PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-14,18:04:38,"Pallares, Kenji",695022,Right,LOY_LIO,Undefined,Fastball,NA,NA,94.85446,-2.046321,-3.386904,2259.486258,213.823927,01:15:00,5.8307,2.06967,6.30304,-11.82694,19.03993,12.04851,2.95555,-0.05059,85.97751,-4.363003,-1.213091,0.399869,-7.26477,10.81213,-1.82609,50,5.67415,7.62018,-137.51163,-5.20477,-13.80736,32.60221,-11.6246,3516c0b5-1da6-4474-aec3-c184b1519266,NA,NA,NA,NA,NA,1000130287,"Kane, Sam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SEA_RED,1,Top,0,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SEA_RED,LoyolaMarymount,D1,WCC,20250214-LoyolaMarymount-1,3679faa0-eb41-11ef-af4e-e11aa7ffe921,94.26201,NA,NA,8.87695,NA,NA,NA,9e03ddd5-0048-4eb2-bec2-271e30cb4b47,2025-02-15,02:04:38,2025-02-15T02:04:38Z,2025-02-15T02:04:38Z,NA,v3,471343,4504,14 February 2025 21:00-seattleu@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.1998,-138.50377,16.30111,5.82716,-4.85101,-5.8123,-2.06438,8.04036,-6.90368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-14,18:04:56,"Pallares, Kenji",695022,Right,LOY_LIO,Undefined,Slider,NA,NA,86.8932,-0.770857,-3.590727,2091.910677,225.64041,01:30:00,5.72088,1.76233,5.94272,-32.15502,6.03926,4.57445,2.32474,-1.19188,77.28573,-6.788295,-2.770822,0.444806,-3.68008,3.82965,-1.47817,50,5.64161,7.68905,-125.60489,-2.75812,-5.68922,33.09087,-26.25363,739f9259-027c-4590-9a84-e6a363ea892c,NA,NA,NA,NA,NA,1000130287,"Kane, Sam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,SEA_RED,1,Top,0,0,1,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SEA_RED,LoyolaMarymount,D1,WCC,20250214-LoyolaMarymount-1,413b9480-eb41-11ef-af4e-e11aa7ffe921,84.7391,NA,NA,9.60747,NA,NA,NA,9e03ddd5-0048-4eb2-bec2-271e30cb4b47,2025-02-15,02:04:56,2025-02-15T02:04:56Z,2025-02-15T02:04:56Z,NA,v3,471343,4504,14 February 2025 21:00-seattleu@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.55616,-126.79953,16.54543,5.72408,-1.81031,-13.12681,-1.75947,7.89445,-2.84461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-14,18:05:13,"Pallares, Kenji",695022,Right,LOY_LIO,Undefined,Fastball,NA,NA,97.07971,-2.740001,-4.454965,2114.594969,221.239498,01:15:00,6.01652,1.48359,6.04903,-12.86741,16.87214,13.91851,2.39784,-1.48938,88.31747,-5.216999,-1.960404,0.392499,-8.43985,9.76583,-1.14334,50,5.79533,10.31801,-140.49819,-7.11444,-16.82093,32.69724,-12.71042,76ce3d10-c835-4283-be6c-1f744d5d809e,NA,NA,NA,NA,160.06573,1000130287,"Kane, Sam",3577.178845,NA,81.67524,Right,7.117687,NA,NA,NA,123.06839,47.98129,1.292213,167.902997,0.43103,2.44597,1.30186,NA,NA,NA,NA,NA,1,3,SEA_RED,1,Top,0,0,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SEA_RED,LoyolaMarymount,D1,WCC,20250214-LoyolaMarymount-1,4b3dd600-eb41-11ef-af4e-e11aa7ffe921,96.03196,6.57227,NA,8.76223,NA,NA,NA,9e03ddd5-0048-4eb2-bec2-271e30cb4b47,2025-02-15,02:05:13,2025-02-15T02:05:13Z,2025-02-15T02:05:13Z,GroundBall,v3,471343,4504,14 February 2025 21:00-seattleu@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.45473,-141.53111,16.34862,6.01374,-6.71291,-6.35521,-1.47769,10.84939,-8.41047,NA,0.2344,-109.65727,12.75941,NA,NA,NA,NA,NA,NA,2.49643,14.32636,-12.61143,NA,NA,NA,NA,NA,NA,1.73257,35.76905,-13.48512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
4,2025-02-14,18:05:39,"Pallares, Kenji",695022,Right,LOY_LIO,Undefined,Slider,NA,NA,88.97652,-3.325384,-3.969859,2171.413723,211.15412,01:00:00,5.78724,1.68404,5.83897,-26.63017,9.16867,4.81374,0.46623,-1.61069,81.27385,-8.246474,-3.108931,0.430632,-3.69847,6.01071,-1.36281,50,5.49933,8.73975,-128.72792,-8.39078,-6.16074,28.53811,-22.16167,3ea25217-0f5e-47e0-bab3-8d39da499a02,NA,NA,NA,NA,NA,1000130287,"Kane, Sam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,SEA_RED,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SEA_RED,LoyolaMarymount,D1,WCC,20250214-LoyolaMarymount-1,5aed56c0-eb41-11ef-af4e-e11aa7ffe921,87.52829,NA,NA,7.70267,NA,NA,NA,9e03ddd5-0048-4eb2-bec2-271e30cb4b47,2025-02-15,02:05:39,2025-02-15T02:05:39Z,2025-02-15T02:05:39Z,NA,v3,471343,4504,14 February 2025 21:00-seattleu@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.66661,-129.75835,14.26906,5.78785,-7.59059,-11.08083,-1.6824,8.9622,-3.08037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-02-14,18:06:01,"Pallares, Kenji",695022,Right,LOY_LIO,Undefined,Fastball,NA,NA,96.37107,-3.105304,-4.300032,2219.958616,223.069755,01:30:00,5.97691,1.48718,6.13281,-12.66725,17.49942,15.38761,2.03995,-1.21279,87.46688,-5.556501,-1.536416,0.395308,-9.21567,10.25965,-1.1658,50,5.73206,9.80224,-139.44435,-7.93308,-18.03912,33.07634,-12.09138,d3f6540d-1527-4ae1-80f1-3aac29f705d4,NA,NA,NA,NA,NA,1000130287,"Kane, Sam",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,SEA_RED,1,Top,0,1,2,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,LOY_LIO,SEA_RED,LoyolaMarymount,D1,WCC,20250214-LoyolaMarymount-1,67be96c0-eb41-11ef-af4e-e11aa7ffe921,95.34965,NA,NA,8.90419,NA,NA,NA,9e03ddd5-0048-4eb2-bec2-271e30cb4b47,2025-02-15,02:06:01,2025-02-15T02:06:01Z,2025-02-15T02:06:01Z,NA,v3,471343,4504,14 February 2025 21:00-seattleu@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.37089,-140.47731,16.53817,5.9739,-7.55547,-6.04569,-1.48072,10.36559,-9.01956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-14,18:06:28,"Pallares, Kenji",695022,Right,LOY_LIO,Undefined,ChangeUp,NA,NA,88.24508,-2.59535,-2.934026,1362.491306,224.544959,01:30:00,5.59498,2.01808,6.13757,-20.12914,15.56713,14.17257,1.51393,0.48489,80.6568,-6.399284,-0.38119,0.430014,-8.20871,9.1454,-1.80135,50,5.386,5.99848,-127.99051,-6.40062,-13.58814,26.93312,-17.03537,f61b39ee-fe96-435e-a001-9720ee50c5de,NA,NA,NA,NA,NA,1000115104,"Feliciano, Vicente",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SEA_RED,1,Top,1,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SEA_RED,LoyolaMarymount,D1,WCC,20250214-LoyolaMarymount-1,77dbcd70-eb41-11ef-af4e-e11aa7ffe921,87.65389,NA,NA,7.58828,NA,NA,NA,9e03ddd5-0048-4eb2-bec2-271e30cb4b47,2025-02-15,02:06:28,2025-02-15T02:06:28Z,2025-02-15T02:06:28Z,NA,v3,471343,4504,14 February 2025 21:00-seattleu@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.36715,-128.90621,13.46656,5.59377,-5.82143,-8.51769,-2.01315,6.46046,-6.79407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-14,18:06:43,"Pallares, Kenji",695022,Right,LOY_LIO,Undefined,ChangeUp,NA,NA,85.91947,-2.3703090000000002,-3.76574,1431.528124,238.766937,02:00:00,5.48783,2.22419,6.2157,-26.36509,11.04847,16.2932,1.09716,0.10148,78.99287,-7.293035,-0.828269,0.440237,-9.5602,6.71752,-1.94982,50,5.29628,7.59187,-124.62452,-5.9663,-15.07371,24.44706,-21.58241,f0e93829-06e8-488b-822a-89425aa232ea,NA,NA,NA,NA,NA,1000115104,"Feliciano, Vicente",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,SEA_RED,1,Top,1,1,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SEA_RED,LoyolaMarymount,D1,WCC,20250214-LoyolaMarymount-1,81125a80-eb41-11ef-af4e-e11aa7ffe921,85.61861,NA,NA,6.9266,NA,NA,NA,9e03ddd5-0048-4eb2-bec2-271e30cb4b47,2025-02-15,02:06:43,2025-02-15T02:06:43Z,2025-02-15T02:06:43Z,NA,v3,471343,4504,14 February 2025 21:00-seattleu@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.29045,-125.46334,12.22353,5.48829,-5.22577,-10.79121,-2.21918,8.1090699999999991,-7.53686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-14,18:06:59,"Pallares, Kenji",695022,Right,LOY_LIO,Undefined,Fastball,NA,NA,96.08587,-2.888248,-3.305452,2159.544062,221.461197,01:30:00,5.81654,1.71305,6.13836,-12.04914,18.20088,15.17076,2.13622,-0.08123,87.27407,-5.228273,-0.575608,0.395853,-8.81457,10.55934,-1.46822,50,5.58923,7.37151,-139.22563,-7.3546,-17.20393,32.90311,-11.56471,4ff1491c-362e-4c8b-8fb8-0704881d2a7f,NA,NA,NA,NA,NA,1000115104,"Feliciano, Vicente",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,SEA_RED,1,Top,1,2,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SEA_RED,LoyolaMarymount,D1,WCC,20250214-LoyolaMarymount-1,8aa845a0-eb41-11ef-af4e-e11aa7ffe921,95.2182,NA,NA,8.81179,NA,NA,NA,9e03ddd5-0048-4eb2-bec2-271e30cb4b47,2025-02-15,02:06:59,2025-02-15T02:06:59Z,2025-02-15T02:06:59Z,NA,v3,471343,4504,14 February 2025 21:00-seattleu@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.36542,-140.25351,16.45156,5.81334,-6.99332,-5.78236,-1.7069,7.90896,-8.60196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-14,18:07:16,"Pallares, Kenji",695022,Right,LOY_LIO,Undefined,Fastball,NA,NA,96.41431,-3.100425,-2.951419,2149.921967,225.246056,01:30:00,5.85346,1.77792,5.90414,-13.24961,16.93387,16.0828,1.8644,0.37577,87.97402,-5.634269,-0.068182,0.395418,-9.10792,9.85886,-1.54984,50,5.59607,6.48107,-139.74012,-7.97994,-17.98531,31.88358,-12.70583,290afec1-9d38-4c55-9141-6dd5cc1500b6,NA,NA,NA,NA,-40.921776,1000115104,"Feliciano, Vicente",NA,NA,86.97923,Left,40.521509,78.594220000000007,72.28312,-76.96009,312.30494,158.0827,4.578749,-50.529531,1.5437,2.26614,-1.01615,NA,NA,NA,NA,NA,2,4,SEA_RED,1,Top,1,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SEA_RED,LoyolaMarymount,D1,WCC,20250214-LoyolaMarymount-1,948b8d70-eb41-11ef-af4e-e11aa7ffe921,95.32314,85.15587,NA,8.44029,NA,NA,NA,9e03ddd5-0048-4eb2-bec2-271e30cb4b47,2025-02-15,02:07:16,2025-02-15T02:07:16Z,2025-02-15T02:07:16Z,FlyBall,v3,471343,4504,14 February 2025 21:00-seattleu@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.60073,-140.78593,15.94179,5.85098,-7.56318,-6.35292,-1.77209,7.071,-8.99266,NA,1.55157,73.09231,-12.00724,1.03893,1.08543,-0.72193,0.20878,-0.03033,0.00179,2.26677,82.86702,-24.75286,2.72937,-0.4348,0.00316,0.01884,-0.00381,2.4e-4,-1.01356,-63.58291,3.99828,-1.28822,0.90595,-0.45501,0.13194,-0.01997,0.00122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
10,2025-02-14,18:07:47,"Pallares, Kenji",695022,Right,LOY_LIO,Undefined,ChangeUp,NA,NA,87.49214,-2.048023,-4.004178,1629.183298,271.606438,03:00:00,5.61126,1.89988,6.31319,-35.74947,0.8152,17.78135,0.74005,-0.31307,79.32843,-8.687931,-0.789049,0.435214,-10.65583,1.40638,-1.6146,50,5.44363,8.19187,-126.74252,-5.69247,-17.05188,29.82258,-29.92349,fb62507f-ea88-4e81-bfa3-4b0bc2bf1361,NA,NA,NA,NA,NA,1000115104,"Feliciano, Vicente",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,SEA_RED,1,Top,1,2,2,Changeup,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,LOY_LIO,SEA_RED,LoyolaMarymount,D1,WCC,20250214-LoyolaMarymount-1,a7548330-eb41-11ef-af4e-e11aa7ffe921,86.60677,NA,NA,8.16371,NA,NA,NA,9e03ddd5-0048-4eb2-bec2-271e30cb4b47,2025-02-15,02:07:47,2025-02-15T02:07:47Z,2025-02-15T02:07:47Z,NA,v3,471343,4504,14 February 2025 21:00-seattleu@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.19222,-127.72514,14.91129,5.61495,-4.70653,-14.96175,-1.89377,8.75371,-8.52594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
11,2025-02-14,18:08:14,"Pallares, Kenji",695022,Right,LOY_LIO,Undefined,Slider,NA,NA,86.77018,-0.94928,-1.977318,2073.263917,197.094609,12:30:00,5.68453,1.74319,5.84112,-28.56332,9.87115,2.54315,2.42133,0.11656,76.98748,-6.32729,-1.521417,0.446202,-2.06351,5.83252,-1.58349,50,5.59068,4.22866,-125.55677,-3.00379,-3.17836,33.72738,-23.1903,ce722872-634a-4694-85e6-acca31ecbbb1,NA,NA,NA,NA,-29.766562,10108574,"Wagoner, Jake",2153.472838,NA,74.15604,Right,-0.299968,NA,NA,NA,37.08883,33.91034,0.326145,-27.029256,3.51986,2.58932,-0.16446,NA,NA,NA,NA,NA,3,1,SEA_RED,1,Top,2,0,0,Slider,InPlay,Undefined,GroundBall,Error,0,0,NA,LOY_LIO,SEA_RED,LoyolaMarymount,D1,WCC,20250214-LoyolaMarymount-1,b7461600-eb41-11ef-af4e-e11aa7ffe921,84.47386,2.58932,NA,9.78271,NA,NA,NA,9e03ddd5-0048-4eb2-bec2-271e30cb4b47,2025-02-15,02:08:14,2025-02-15T02:08:14Z,2025-02-15T02:08:14Z,GroundBall,v3,471343,4504,14 February 2025 21:00-seattleu@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.65886,-126.80206,16.86369,5.68578,-2.14754,-11.59515,-1.74179,4.34601,-1.58918,NA,3.52154,94.34139,-11.79238,NA,NA,NA,NA,NA,NA,2.59426,-0.77121,-22.0689,NA,NA,NA,NA,NA,NA,-0.16615,-53.92673,8.46923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
12,2025-02-14,18:08:51,"Pallares, Kenji",695022,Right,LOY_LIO,Undefined,Fastball,NA,NA,95.55233,-3.341297,-2.059696,2140.464183,217.58668,01:15:00,5.93327,1.88856,5.91099,-13.87052,17.20717,12.37398,1.67036,1.00702,86.2424,-6.007716,0.161006,0.401232,-6.99367,10.20489,-1.73021,50,5.65673,4.41206,-138.35104,-8.4875,-13.36653,34.87791,-12.67006,a39cec2e-ed90-4f46-abe3-64c7f2d66d25,NA,NA,NA,NA,NA,1000274623,"Ishikawa, Keni",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,SEA_RED,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SEA_RED,LoyolaMarymount,D1,WCC,20250214-LoyolaMarymount-1,cd511760-eb41-11ef-af4e-e11aa7ffe921,93.94173,NA,NA,9.30993,NA,NA,NA,9e03ddd5-0048-4eb2-bec2-271e30cb4b47,2025-02-15,02:08:51,2025-02-15T02:08:51Z,2025-02-15T02:08:51Z,NA,v3,471343,4504,14 February 2025 21:00-seattleu@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.59117,-139.50367,17.43896,5.9303,-8.06879,-6.33503,-1.88332,4.85379,-6.68326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
13,2025-02-14,18:09:07,"Pallares, Kenji",695022,Right,LOY_LIO,Undefined,ChangeUp,NA,NA,87.37134,-1.174271,-3.377176,1443.993834,270.727848,03:00:00,5.57339,1.84498,6.31581,-35.4177,1.02008,18.79592,1.53819,0.29675,79.41658,-7.762589,0.023169,0.434457,-10.88312,1.23748,-1.60622,50,5.47041,6.75146,-126.75,-3.74624,-17.49581,28.76073,-30.18464,22198de3-5714-4238-bce3-1c97ad4bcead,NA,NA,NA,NA,24.92727,1000274623,"Ishikawa, Keni",NA,NA,98.02338,Left,2.264929,NA,NA,NA,44.31283,36.89806,0.312484,24.735493,1.87077,1.28364,-0.01408,NA,NA,NA,NA,NA,4,2,SEA_RED,1,Top,2,1,0,Changeup,InPlay,Undefined,GroundBall,Single,0,0,NA,LOY_LIO,SEA_RED,LoyolaMarymount,D1,WCC,20250214-LoyolaMarymount-1,d7031600-eb41-11ef-af4e-e11aa7ffe921,86.75751,1.52903,NA,7.95477,NA,NA,NA,9e03ddd5-0048-4eb2-bec2-271e30cb4b47,2025-02-15,02:09:07,2025-02-15T02:09:07Z,2025-02-15T02:09:07Z,GroundBall,v3,471343,4504,14 February 2025 21:00-seattleu@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.18946,-127.69709,14.38037,5.5774,-2.75227,-15.09232,-1.83803,7.3276,-8.7479,NA,1.8752,130.08438,-23.36663,NA,NA,NA,NA,NA,NA,1.29269,5.29405,-30.26934,NA,NA,NA,NA,NA,NA,-0.01534,60.60021,-3.87396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
14,2025-02-14,18:09:51,"Pallares, Kenji",695022,Right,LOY_LIO,Undefined,Curveball,NA,NA,77.78569,0.055918,-2.555946,2434.493011,51.866653,07:45:00,6.0208,1.73905,5.59753,-61.7233,-13.76292,-19.7947,0.92946,-2.29859,70.53345,-11.144267,-6.092914,0.49844,9.18197,-6.61548,-1.50627,50,5.98527,5.77795,-112.70131,-1.94878,11.4548,26.21252,-40.42705,9f42be4d-4e1d-4df4-9a75-87618d6776ad,NA,NA,NA,NA,NA,1000117509,"Reed, Jackson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,SEA_RED,1,Top,2,0,0,Curveball,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,LOY_LIO,SEA_RED,LoyolaMarymount,D1,WCC,20250214-LoyolaMarymount-1,f1036d70-eb41-11ef-af4e-e11aa7ffe921,75.62087,NA,NA,7.25223,NA,NA,NA,9e03ddd5-0048-4eb2-bec2-271e30cb4b47,2025-02-15,02:09:51,2025-02-15T02:09:51Z,2025-02-15T02:09:51Z,NA,v3,471343,4504,14 February 2025 21:00-seattleu@loyolamary,"Ayers, Robbie",801901,Right,LOY_LIO,54.90923,-113.83739,13.10626,6.03176,-0.19662,-20.21352,-1.74593,5.28148,5.7274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
