PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,15:05:45,"Lopez, David",830576,Right,MEX_LOB,Undefined,Fastball,NA,NA,91.20768,-1.674166,-2.028551,1998.310767,219.794912,01:15:00,6.46625,0.64694,5.64607,-21.54387,12.35127,9.39705,3.10782,-0.46302,83.4965,-5.688219,-0.35006,0.419025,-5.35331,7.0554,-0.48093,50,6.31041,4.27647,-132.36954,-4.61487,-9.5045,28.0763,-19.64758,00ca72cc-6492-401c-bc45-8c9beca19e40,NA,NA,NA,NA,6.871461,1000121040,"DePino, Anthony",3545.842848,NA,112.55851,Right,28.928454,108.62018,59.34464,17.36775,450.49288,443.30905,5.478373,13.983736,1.23458,3.1485,0.45996,NA,NA,NA,NA,NA,1,1,RHO_RAM,1,Top,0,0,0,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,NA,MEX_LOB,RHO_RAM,SantaAnaStarField,D1,MW,20250301-SantaAnaStarField-1,53cc1030-f6e9-11ef-bff8-533e177079a4,89.95274,99.8295,NA,7.71118,NA,NA,NA,6a6c3383-0d53-4ea9-b30f-d109d1821bd0,2025-03-01,22:05:45,2025-03-01T22:05:45Z,2025-03-01T22:05:45Z,FlyBall,v3,471380,471418,01 March 2025 14:00-uri@nmexico,"Banister, Luke",830571,Right,MEX_LOB,54.85542,-133.39543,14.03815,6.46592,-3.89696,-9.82379,-0.64353,4.62375,-4.75225,207.561727,1.23955,143.35954,-28.43378,6.71339,-1.30511,0.20228,-0.0259,0.00258,-1.3e-4,3.14964,79.82208,-18.46941,0.67076,0.28481,-0.17909,0.0475,-0.006,2.9e-4,0.45976,17.29081,3.5417,-1.75584,0.54693,-0.12409,0.01932,-0.00179,7e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
2,2025-03-01,15:06:30,"Lopez, David",830576,Right,MEX_LOB,Undefined,Slider,NA,NA,82.09867,1.878182,-0.62843,1976.584538,80.986758,08:45:00,6.43355,0.66958,5.43577,-40.96042,0.96075,-1.6676,4.7798,-0.05792,75.52898,-5.610433,-0.925189,0.466002,0.67295,0.39953,-0.61277,50,6.57157,1.37682,-119.22766,2.46065,0.97496,21.53323,-31.59522,9a48c48d-0405-44f2-aa0a-6e359eed121b,NA,NA,NA,NA,NA,823759,"Genther, Eric",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,RHO_RAM,1,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MEX_LOB,RHO_RAM,SantaAnaStarField,D1,MW,20250301-SantaAnaStarField-1,6e2a1800-f6e9-11ef-bff8-533e177079a4,80.88467,NA,NA,6.56968,NA,NA,NA,6a6c3383-0d53-4ea9-b30f-d109d1821bd0,2025-03-01,22:06:30,2025-03-01T22:06:30Z,2025-03-01T22:06:30Z,NA,v3,471380,471418,01 March 2025 14:00-uri@nmexico,"Banister, Luke",830571,Right,MEX_LOB,55.06558,-120.13905,10.76662,6.43913,3.79791,-15.79761,-0.67017,1.33555,0.48748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-01,15:06:45,"Lopez, David",830576,Right,MEX_LOB,Undefined,Fastball,NA,NA,90.44154,-1.755905,-1.675928,1919.539337,217.228198,01:15:00,6.20747,1.13366,5.76059,-23.26041,11.21568,7.65859,2.63348,0.21146,82.48487,-6.093856,-0.304412,0.422601,-4.42453,6.56406,-0.9996,50,6.04779,3.51333,-131.24172,-4.81473,-7.6803,29.01056,-20.77988,8c2c4751-b0f7-4c28-b36e-ae60fbe1465b,NA,NA,NA,NA,44.649418,823759,"Genther, Eric",NA,NA,94.97455,Left,-22.484648,NA,NA,NA,8.09173,2.86059,0.050826,32.112459,2.19032,2.71315,-0.30528,NA,NA,NA,NA,NA,2,2,RHO_RAM,1,Top,0,1,0,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,MEX_LOB,RHO_RAM,SantaAnaStarField,D1,MW,20250301-SantaAnaStarField-1,7732b740-f6e9-11ef-bff8-533e177079a4,89.19158,2.71315,NA,7.95667,NA,NA,NA,6a6c3383-0d53-4ea9-b30f-d109d1821bd0,2025-03-01,22:06:45,2025-03-01T22:06:45Z,2025-03-01T22:06:45Z,GroundBall,v3,471380,471418,01 March 2025 14:00-uri@nmexico,"Banister, Luke",830571,Right,MEX_LOB,54.7408,-132.28551,14.50528,6.20757,-4.06708,-10.38994,-1.13098,3.78966,-3.84015,NA,2.18877,91.75337,NA,NA,NA,NA,NA,NA,NA,2.71405,-53.38152,NA,NA,NA,NA,NA,NA,NA,-0.3068,90.63734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
4,2025-03-01,15:07:22,"Lopez, David",830576,Right,MEX_LOB,Undefined,Slider,NA,NA,80.59144,-0.652668,0.09996,2176.025937,133.046176,10:30:00,6.13458,0.82467,5.30028,-39.43412,5.36528,-3.95311,2.23562,0.58909,72.70052,-7.897752,-0.602914,0.481734,2.0191,3.36835,-0.83073,50,6.04685,-0.04093,-116.74828,-2.6826,2.73073,26.09825,-27.61848,71a86077-b8ac-4a06-86e6-9cb6e97a5a74,NA,NA,NA,NA,-10.226313,10095269,"Moroney, Reece",4885.779944,NA,99.98903,Right,20.179202,107.47815,30.81296,-23.41761,304.29888,303.72603,2.89852,-13.911312,1.55741,2.30796,-0.593,NA,NA,NA,NA,NA,3,1,RHO_RAM,1,Top,1,0,0,Slider,InPlay,Undefined,FlyBall,Triple,0,0,NA,MEX_LOB,RHO_RAM,SantaAnaStarField,D1,MW,20250301-SantaAnaStarField-1,8d3b47a0-f6e9-11ef-bff8-533e177079a4,78.24322,34.59675,NA,7.89092,NA,NA,NA,6a6c3383-0d53-4ea9-b30f-d109d1821bd0,2025-03-01,22:07:22,2025-03-01T22:07:22Z,2025-03-01T22:07:22Z,LineDrive,v3,471380,471418,01 March 2025 14:00-uri@nmexico,"Banister, Luke",830571,Right,MEX_LOB,55.1983,-117.9046,13.04912,6.1386,-1.45892,-13.80924,-0.82623,-0.16191,1.36536,98.693784,1.55711,135.4751,-19.68136,4.99275,-1.47663,0.51906,-0.1698,0.03294,-0.00261,2.30807,50.58356,-22.25436,2.16581,-0.20505,-0.04969,0.02934,-0.00462,1e-4,-0.59287,-24.44312,-3.71689,2.62092,-0.79428,0.11793,0.00861,-0.007,9.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
5,2025-03-01,15:08:11,"Lopez, David",830576,Right,MEX_LOB,Undefined,Slider,NA,NA,79.71313,-0.082766,-0.303141,2131.73741,24.101171,06:45:00,6.36781,1.01717,5.29292,-47.28416,-2.69866,-1.77787,2.34975,0.58437,73.94004,-8.641602,-0.619417,0.480583,0.81705,-0.96756,-0.98822,50,6.32534,0.68378,-115.86308,-1.83337,1.11894,20.13416,-33.49912,b09abb41-b14e-467f-b813-d8c9dfb4cafc,NA,NA,NA,NA,NA,1000182865,"Hopko, Jack",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,RHO_RAM,1,Top,1,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MEX_LOB,RHO_RAM,SantaAnaStarField,D1,MW,20250301-SantaAnaStarField-1,aac5fe50-f6e9-11ef-bff8-533e177079a4,78.43068,NA,NA,5.77309,NA,NA,NA,6a6c3383-0d53-4ea9-b30f-d109d1821bd0,2025-03-01,22:08:11,2025-03-01T22:08:11Z,2025-03-01T22:08:11Z,NA,v3,471380,471418,01 March 2025 14:00-uri@nmexico,"Banister, Luke",830571,Right,MEX_LOB,55.21055,-116.76503,10.06708,6.37386,-0.3327,-16.74956,-1.01773,0.63365,0.55947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-01,15:08:32,"Lopez, David",830576,Right,MEX_LOB,Undefined,Slider,NA,NA,80.09669,-0.533803,-0.022646,2170.821005,31.207898,07:00:00,6.29132,1.03623,5.47254,-45.33006,-1.11717,-1.51071,2.01425,0.88914,73.75501,-8.787116,-0.292338,0.47857,0.75728,-0.00906,-1.03317,50,6.21334,0.10577,-116.33561,-2.64235,1.03687,22.00702,-32.18645,04d15ead-3b2c-4f78-9544-49185f117b4a,NA,NA,NA,NA,NA,1000182865,"Hopko, Jack",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,RHO_RAM,1,Top,1,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MEX_LOB,RHO_RAM,SantaAnaStarField,D1,MW,20250301-SantaAnaStarField-1,b729d680-f6e9-11ef-bff8-533e177079a4,78.76048,NA,NA,6.34168,NA,NA,NA,6a6c3383-0d53-4ea9-b30f-d109d1821bd0,2025-03-01,22:08:32,2025-03-01T22:08:32Z,2025-03-01T22:08:32Z,NA,v3,471380,471418,01 March 2025 14:00-uri@nmexico,"Banister, Luke",830571,Right,MEX_LOB,55.02945,-117.28316,11.00351,6.29728,-1.2565,-16.09323,-1.03676,0.06112,0.51844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-01,15:08:52,"Lopez, David",830576,Right,MEX_LOB,Undefined,Splitter,NA,NA,83.57334,-2.234219,-0.230543,1022.574499,252.925628,02:30:00,6.21119,0.72619,5.7202,-36.65644,3.46614,7.35607,1.07421,1.12444,77.28878,-8.932198,1.088909,0.455896,-3.84607,2.69232,-0.71168,50,6.00143,0.20168,-121.39878,-5.97276,-5.75693,23.09585,-28.14407,fcbb8e9b-fc69-44da-8464-424e24442041,NA,NA,NA,NA,NA,1000182865,"Hopko, Jack",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,RHO_RAM,1,Top,1,0,2,Splitter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,MEX_LOB,RHO_RAM,SantaAnaStarField,D1,MW,20250301-SantaAnaStarField-1,c2c29680-f6e9-11ef-bff8-533e177079a4,82.67773,NA,NA,6.28455,NA,NA,NA,6a6c3383-0d53-4ea9-b30f-d109d1821bd0,2025-03-01,22:08:52,2025-03-01T22:08:52Z,2025-03-01T22:08:52Z,NA,v3,471380,471418,01 March 2025 14:00-uri@nmexico,"Banister, Luke",830571,Right,MEX_LOB,54.78283,-122.30532,11.54792,6.21418,-4.86807,-14.07204,-0.72404,0.42764,-2.87847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-01,15:09:26,"Lopez, David",830576,Right,MEX_LOB,Undefined,Slider,NA,NA,83.17265,-2.109935,-1.790034,2221.577116,65.701537,08:15:00,6.25378,0.78358,5.69431,-40.46069,0.14417,-2.37504,0.91382,-1.08314,76.99373,-9.47383,-2.21562,0.458628,0.73421,0.96382,-0.63157,50,6.05071,3.86667,-120.76328,-5.83244,1.08682,22.99704,-30.74738,5f183e7f-4254-4781-9bfa-e7e13b64058c,NA,NA,NA,NA,NA,1000182865,"Hopko, Jack",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,RHO_RAM,1,Top,1,0,2,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,MEX_LOB,RHO_RAM,SantaAnaStarField,D1,MW,20250301-SantaAnaStarField-1,d6f68df0-f6e9-11ef-bff8-533e177079a4,82.18524,NA,NA,6.17892,NA,NA,NA,6a6c3383-0d53-4ea9-b30f-d109d1821bd0,2025-03-01,22:09:26,2025-03-01T22:09:26Z,2025-03-01T22:09:26Z,NA,v3,471380,471418,01 March 2025 14:00-uri@nmexico,"Banister, Luke",830571,Right,MEX_LOB,54.80885,-121.67559,11.49852,6.25789,-4.61268,-15.37369,-0.78411,3.82355,0.54341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-01,15:09:53,"Lopez, David",830576,Right,MEX_LOB,Undefined,Fastball,NA,NA,91.25108,-3.454705,-1.485657,2083.315426,233.784445,01:45:00,6.30833,0.70296,5.93285,-23.56084,10.08638,12.28548,1.13467,0.34804,83.62339,-7.827856,0.723683,0.41749000000000003,-6.77508,6.48618,-0.59143,50,6.01865,2.91709,-132.33134,-8.78468,-11.98387,28.89556,-20.70121,fe227775-e299-4390-8b1f-d286e7ba9ab3,NA,NA,NA,NA,-51.151274,1000182865,"Hopko, Jack",5096.283641,NA,72.56955,Left,65.210159,NA,NA,NA,NA,166.50594,NA,NA,1.20945,2.44454,-0.89132,NA,NA,NA,NA,NA,4,5,RHO_RAM,1,Top,1,1,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,MEX_LOB,RHO_RAM,SantaAnaStarField,D1,MW,20250301-SantaAnaStarField-1,e790e3e0-f6e9-11ef-bff8-533e177079a4,90.28345,98.96525,NA,7.62769,NA,NA,NA,6a6c3383-0d53-4ea9-b30f-d109d1821bd0,2025-03-01,22:09:53,2025-03-01T22:09:53Z,2025-03-01T22:09:53Z,NA,v3,471380,471418,01 March 2025 14:00-uri@nmexico,"Banister, Luke",830571,Right,MEX_LOB,54.56921,-133.32533,14.44778,6.30859,-8.07257,-10.35061,-0.69887,3.32933,-5.99194,155.195592,1.20945,27.99364,-9.40977,2.80984,-0.71697,0.21159,-0.06457,0.01106,-8e-5,2.44454,96.62731,-25.54274,2.86255,-0.54312,0.07937,-0.00593,-0.00167,4.2e-4,-0.89132,-34.7558,1.04093,0.19985,-0.14497,0.06593,-0.02583,0.00564,-2.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
10,2025-03-01,15:10:25,"Lopez, David",830576,Right,MEX_LOB,Undefined,Slider,NA,NA,81.47943,0.266152,1.904486,800.327442,141.741251,10:45:00,6.29053,0.79437,5.61119,-36.41762,6.44433,-3.93945,3.5043,2.24443,74.10208,-6.461772,1.201243,0.471202,2.5515,3.64414,-0.9547,50,6.29011,-3.76755,-118.15892,-0.66248,3.57964,24.11771,-27.06143,365ab08f-9fae-4dcc-af7b-fccd101773ee,NA,NA,NA,NA,NA,1000182865,"Hopko, Jack",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,RHO_RAM,1,Top,1,1,2,Splitter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MEX_LOB,RHO_RAM,SantaAnaStarField,D1,MW,20250301-SantaAnaStarField-1,fa2e5cd0-f6e9-11ef-bff8-533e177079a4,79.99205,NA,NA,7.37735,NA,NA,NA,6a6c3383-0d53-4ea9-b30f-d109d1821bd0,2025-03-01,22:10:25,2025-03-01T22:10:25Z,2025-03-01T22:10:25Z,NA,v3,471380,471418,01 March 2025 14:00-uri@nmexico,"Banister, Luke",830571,Right,MEX_LOB,54.88696,-119.15223,12.05886,6.29444,0.45208,-13.53072,-0.79649,-3.91498,1.78982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
