PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-09,15:23:10,"Onozaki, Takeru",1000304488,Right,SOU_ORE,Undefined,Fastball,NA,NA,85.94211,-2.74113,-3.628615,2145.261682,218.632364,01:15:00,6.67192,2.43072,6.26316,-19.05655,18.95407,14.01867,2.54947,0.24877,77.49762,-6.4037,-1.100674,0.443735,-8.4843,11.14686,-2.16827,50,6.45899,7.34601,-124.40072,-6.46129,-13.08156,28.69959,-14.98719,9cb176f4-e17f-4cca-9f87-d52a7c32ea2c,NA,NA,NA,NA,-5.007565,1000278958,"Genduso, Joey",3026.249234,NA,93.9847,Right,14.735599,109.81589,17.19927,-6.35916,195.28027,195.28027,1.894908,-1.627643,2.74275,2.71406,-0.25721,NA,NA,NA,NA,NA,1,1,CHE_COM,1,Top,0,0,0,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,SOU_ORE,CHE_COM,SouthwesternOregonStadium,JUCO,NJCAA,20250509-SouthwesternOregonStadium-2,35c5e680-2d24-11f0-b869-373fe2be073f,84.94356,17.26087,NA,8.44449,NA,NA,NA,155ddfa1-22d3-431a-8d65-34bf62658e36,2025-05-09,22:23:10,2025-05-09T22:23:10Z,2025-05-09T22:23:10Z,LineDrive,v3,NA,NA,NA,"Long, Kaleb",10299184,Right,SOU_ORE,54.23598,-125.37416,14.3498,6.66952,-5.95295,-7.4936,-2.42496,7.78971,-6.54078,286.373846,2.74275,132.80144,-22.1397,4.36699,-1.04951,0.24225,-0.05213,0.00838,-6.8e-4,2.71406,35.06182,-23.28964,3.05688,-0.7253,0.17505,-0.03634,0.00583,-4.9e-4,-0.25721,-11.63628,6.55387,-1.44699,0.34499,-0.08021,0.01699,-0.00272,2.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
2,2025-05-09,15:23:40,"Onozaki, Takeru",1000304488,Right,SOU_ORE,Undefined,Fastball,NA,NA,84.09205,-3.157386,-3.698486,2123.018715,217.795113,01:15:00,6.76921,2.38845,6.20244,-21.91379,17.97529,12.77335,2.01948,0.03412,75.84418,-7.332509,-1.397534,0.454567,-7.8389,10.78205,-2.11641,50,6.52027,7.37034,-121.62489,-7.30862,-11.53936,27.69322,-16.30217,78664c7f-14a2-4d8c-ab6c-9a0d437cdefe,NA,NA,NA,NA,-52.728476,1000324954,"Leming, Cody",NA,NA,66.42825,Right,-41.008255,NA,NA,NA,4.09331,4.09331,0.032873,-28.94689,2.11329,2.10875,-0.0513,NA,NA,NA,NA,NA,2,1,CHE_COM,1,Top,0,0,0,Changeup,InPlay,Undefined,GroundBall,Single,0,0,NA,SOU_ORE,CHE_COM,SouthwesternOregonStadium,JUCO,NJCAA,20250509-SouthwesternOregonStadium-2,478ad9c0-2d24-11f0-b869-373fe2be073f,82.91935,2.10875,NA,8.24787,NA,NA,NA,155ddfa1-22d3-431a-8d65-34bf62658e36,2025-05-09,22:23:40,2025-05-09T22:23:40Z,2025-05-09T22:23:40Z,GroundBall,v3,NA,NA,NA,"Long, Kaleb",10299184,Right,SOU_ORE,54.29585,-122.59912,13.84661,6.7673,-6.73511,-8.15109,-2.38284,7.77629,-5.76968,NA,2.11248,44.67684,NA,NA,NA,NA,NA,NA,NA,2.10991,-64.14917,NA,NA,NA,NA,NA,NA,NA,-0.05023,-58.70724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
3,2025-05-09,15:24:18,"Onozaki, Takeru",1000304488,Right,SOU_ORE,Undefined,Curveball,NA,NA,65.71742,1.540204,-1.678326,2159.542047,58.086591,08:00:00,6.71733,2.24695,6.64209,-74.39185,-10.13154,-20.011,1.92889,-0.95743,60.03008,-12.256933,-5.329478,0.576956,9.92465,-5.17225,-2.12658,50,6.79287,3.3681,-95.46378,0.795,8.90981,18.41615,-36.81741,dea9d2d6-e20d-456a-be14-4e1f43902707,NA,NA,NA,NA,NA,1000426984,"Kreisberg, Lance",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,CHE_COM,1,Top,0,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_ORE,CHE_COM,SouthwesternOregonStadium,JUCO,NJCAA,20250509-SouthwesternOregonStadium-2,5e45f140-2d24-11f0-b869-373fe2be073f,65.32982,NA,NA,5.68734,NA,NA,NA,155ddfa1-22d3-431a-8d65-34bf62658e36,2025-05-09,22:24:18,2025-05-09T22:24:18Z,2025-05-09T22:24:18Z,NA,v3,NA,NA,NA,"Long, Kaleb",10299184,Right,SOU_ORE,53.86158,-96.20584,9.20807,6.73095,2.27853,-18.4087,-2.25506,3.00908,4.45491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-09,15:24:37,"Onozaki, Takeru",1000304488,Right,SOU_ORE,Undefined,Fastball,NA,NA,85.9389,-2.32407,-3.409893,2180.845043,219.783124,01:15:00,6.65737,2.42289,6.27103,-22.0656,16.19828,12.23599,2.67105,0.29529,76.96009,-6.546247,-1.202012,0.445211,-7.59559,9.65941,-2.17638,50,6.47451,6.93823,-124.37467,-5.65837,-11.60378,30.68939,-17.41735,22a8ab5e-c134-43db-875a-c5f0890f6551,NA,NA,NA,NA,-51.427977,1000426984,"Kreisberg, Lance",4038.62859,NA,104.3175,Right,3.554429,NA,NA,NA,62.40926,62.40926,0.429126,-49.948845,3.75751,2.71427,-0.31773,NA,NA,NA,NA,NA,3,2,CHE_COM,1,Top,0,0,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_ORE,CHE_COM,SouthwesternOregonStadium,JUCO,NJCAA,20250509-SouthwesternOregonStadium-2,697e41c0-2d24-11f0-b869-373fe2be073f,84.66195,3.27147,NA,8.97881,NA,NA,NA,155ddfa1-22d3-431a-8d65-34bf62658e36,2025-05-09,22:24:37,2025-05-09T22:24:37Z,2025-05-09T22:24:37Z,GroundBall,v3,NA,NA,NA,"Long, Kaleb",10299184,Right,SOU_ORE,54.22753,-125.41347,15.3447,6.65606,-5.06882,-8.70867,-2.41788,7.33101,-5.80189,NA,3.77555,94.64514,-23.07157,NA,NA,NA,NA,NA,NA,2.75164,8.30411,-34.48121,NA,NA,NA,NA,NA,NA,-0.32574,-119.14159,20.02641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
5,2025-05-09,15:25:01,"Onozaki, Takeru",1000304488,Right,SOU_ORE,Undefined,Curveball,NA,NA,67.79422,2.936291,-1.51456,2230.044922,58.28239,08:00:00,6.58375,2.21,6.09701,-69.54775,-8.64241,-17.18481,3.50729,-0.62325,62.18803,-9.860824,-4.609902,0.561693,8.5102,-4.98481,-2.08393,50,6.77289,3.12293,-98.41677,3.21555,8.25084,17.29431,-37.00694,ccaa5f1a-dd4b-499c-8414-fbcdcd786ea7,NA,NA,NA,NA,NA,1000426984,"Kreisberg, Lance",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,CHE_COM,1,Top,0,0,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_ORE,CHE_COM,SouthwesternOregonStadium,JUCO,NJCAA,20250509-SouthwesternOregonStadium-2,77f9d660-2d24-11f0-b869-373fe2be073f,67.10503,NA,NA,5.60619,NA,NA,NA,155ddfa1-22d3-431a-8d65-34bf62658e36,2025-05-09,22:25:01,2025-05-09T22:25:01Z,2025-05-09T22:25:01Z,NA,v3,NA,NA,NA,"Long, Kaleb",10299184,Right,SOU_ORE,54.40811,-99.18836,8.64716,6.5926,4.86663,-18.50347,-2.21505,2.75482,4.12542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-09,15:25:25,"Onozaki, Takeru",1000304488,Right,SOU_ORE,Undefined,Curveball,NA,NA,69.12978,1.287141,-1.47343,2335.696983,54.824435,07:45:00,6.64143,2.32206,6.2211,-68.81634,-10.20749,-17.35383,2.09505,-0.48402,63.31259,-11.374431,-4.614656,0.551002,8.62646,-5.33886,-2.20292,50,6.70326,3.11026,-100.42322,0.43694,8.63488,19.26528,-37.51812,f0ba5c03-bda5-4891-a1d4-8e6d6a225510,NA,NA,NA,NA,-43.764828,1000426984,"Kreisberg, Lance",2174.008268,NA,103.28526,Right,17.666883,79.76807,22.82815,-75.74334,214.92791,214.92791,2.096981,-46.157828,4.94961,2.25013,0.66108,NA,NA,NA,NA,NA,3,4,CHE_COM,1,Top,0,0,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_ORE,CHE_COM,SouthwesternOregonStadium,JUCO,NJCAA,20250509-SouthwesternOregonStadium-2,86740b70-2d24-11f0-b869-373fe2be073f,68.40711,23.01501,NA,5.81719,NA,NA,NA,155ddfa1-22d3-431a-8d65-34bf62658e36,2025-05-09,22:25:25,2025-05-09T22:25:25Z,2025-05-09T22:25:25Z,LineDrive,v3,NA,NA,NA,"Long, Kaleb",10299184,Right,SOU_ORE,54.28364,-101.24166,9.63264,6.65085,2.03082,-18.75906,-2.32726,2.74343,4.31744,NA,4.94961,104.24028,-25.01093,5.96654,-1.56353,0.38932,-0.08553,0.01352,-0.00105,2.25013,45.97285,-29.13102,4.91389,-1.28061,0.32667,-0.07072,0.01117,-8.8e-4,0.66108,-99.84021,15.03367,-1.86894,0.31375,-0.0402,0.00543,-5.2e-4,2e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
7,2025-05-09,15:25:55,"Onozaki, Takeru",1000304488,Right,SOU_ORE,Undefined,Fastball,NA,NA,85.32682,-3.845018,-2.361837,2144.534026,203.992692,12:45:00,6.55654,2.39048,6.42039,-21.05422,17.52812,7.13063,1.25903,0.81227,76.70716,-7.87354,-1.069617,0.44706,-4.5667,10.93194,-2.22503,50,6.27206,4.82514,-123.46494,-8.84695,-6.88438,29.93289,-15.6939,b6bedd1e-af99-40e1-a6f4-b2891d44e61c,NA,NA,NA,NA,-32.19182,1000426984,"Kreisberg, Lance",2710.225398,NA,97.36877,Right,2.023721,NA,NA,NA,60.98364,55.12399,0.431942,-33.437563,3.34643,1.56366,-0.92495,NA,NA,NA,NA,NA,3,5,CHE_COM,1,Top,0,0,2,Four-Seam,InPlay,Undefined,GroundBall,Single,0,1,NA,SOU_ORE,CHE_COM,SouthwesternOregonStadium,JUCO,NJCAA,20250509-SouthwesternOregonStadium-2,98486800-2d24-11f0-b869-373fe2be073f,84.31185,1.86695,NA,8.61967,NA,NA,NA,155ddfa1-22d3-431a-8d65-34bf62658e36,2025-05-09,22:25:55,2025-05-09T22:25:55Z,2025-05-09T22:25:55Z,GroundBall,v3,NA,NA,NA,"Long, Kaleb",10299184,Right,SOU_ORE,54.0779,-124.44966,14.96644,6.55461,-8.33066,-7.84695,-2.38749,5.05162,-3.44219,NA,3.36318,120.25829,-23.76367,NA,NA,NA,NA,NA,NA,1.57363,4.73343,-19.44347,NA,NA,NA,NA,NA,NA,-0.91942,-76.20773,1.22203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-05-09,15:26:36,"Onozaki, Takeru",1000304488,Right,SOU_ORE,Undefined,Curveball,NA,NA,66.80485,3.305351,-0.96548,2200.875082,65.824455,08:15:00,6.62523,2.30868,5.83656,-68.65291,-5.36803,-16.53253,3.9802399999999998,0.03349,61.21511,-9.294506,-3.928435,0.57256,8.09453,-3.04689,-2.22039,50,6.85519,2.17222,-96.89716,3.70415,7.62959,16.35694,-35.04593,6c30280c-5d09-4327-960d-8be620319d8a,NA,NA,NA,NA,NA,1000426998,"Crawford Jr., Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,CHE_COM,1,Top,0,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_ORE,CHE_COM,SouthwesternOregonStadium,JUCO,NJCAA,20250509-SouthwesternOregonStadium-2,b0e18e50-2d24-11f0-b869-373fe2be073f,65.83138,NA,NA,5.58974,NA,NA,NA,155ddfa1-22d3-431a-8d65-34bf62658e36,2025-05-09,22:26:36,2025-05-09T22:26:36Z,2025-05-09T22:26:36Z,NA,v3,NA,NA,NA,"Long, Kaleb",10299184,Right,SOU_ORE,54.6661,-97.68165,8.17847,6.63723,5.38499,-17.52297,-2.3158,1.8063,3.81479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-09,15:26:56,"Onozaki, Takeru",1000304488,Right,SOU_ORE,Undefined,Fastball,NA,NA,84.0988,-1.574651,-2.862162,2099.524663,219.491023,01:15:00,6.52686,2.37721,6.36549,-23.52277,16.57336,12.27701,3.11539,0.76422,74.65063,-6.106153,-0.641373,0.455746,-7.51213,9.69823,-2.17566,50,6.40208,5.62078,-121.73376,-3.96245,-10.88862,31.47402,-18.11671,b0e84960-dd17-4701-b1b4-67f6f0c065c9,NA,NA,NA,NA,NA,1000426998,"Crawford Jr., Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,CHE_COM,1,Top,0,1,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SOU_ORE,CHE_COM,SouthwesternOregonStadium,JUCO,NJCAA,20250509-SouthwesternOregonStadium-2,bc6f9ff0-2d24-11f0-b869-373fe2be073f,82.70499,NA,NA,9.44817,NA,NA,NA,155ddfa1-22d3-431a-8d65-34bf62658e36,2025-05-09,22:26:56,2025-05-09T22:26:56Z,2025-05-09T22:26:56Z,NA,v3,NA,NA,NA,"Long, Kaleb",10299184,Right,SOU_ORE,54.13142,-122.79728,15.73701,6.52563,-3.35027,-9.05835,-2.3718,5.98871,-5.44431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-09,15:27:23,"Onozaki, Takeru",1000304488,Right,SOU_ORE,Undefined,Fastball,NA,NA,85.99853,-2.877056,-4.365371,2090.491289,201.950086,12:45:00,6.66991,2.40787,6.35742,-15.39485,23.16257,8.67331,2.72907,-0.89496,76.20348,-5.928217,-2.802363,0.446915,-6.09626,13.52548,-2.09455,50,6.45319,9.12134,-124.10343,-6.56011,-9.19794,32.36807,-11.76709,b54437b2-f154-4ab5-b7e4-719c59e5950b,NA,NA,NA,NA,NA,1000426998,"Crawford Jr., Nick",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,CHE_COM,1,Top,0,1,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_ORE,CHE_COM,SouthwesternOregonStadium,JUCO,NJCAA,20250509-SouthwesternOregonStadium-2,cc8312a0-2d24-11f0-b869-373fe2be073f,84.33909,NA,NA,9.79505,NA,NA,NA,155ddfa1-22d3-431a-8d65-34bf62658e36,2025-05-09,22:27:23,2025-05-09T22:27:23Z,2025-05-09T22:27:23Z,NA,v3,NA,NA,NA,"Long, Kaleb",10299184,Right,SOU_ORE,54.13582,-125.17747,16.18404,6.66439,-6.16966,-5.88355,-2.40228,9.42654,-4.59897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
11,2025-05-09,15:27:42,"Onozaki, Takeru",1000304488,Right,SOU_ORE,Undefined,Curveball,NA,NA,68.40119,2.886942,-0.619,2167.751616,47.752727,07:30:00,6.54522,2.30306,6.0002,-72.92276,-11.97414,-15.70308,3.14584,0.42088,61.82936,-10.5473,-3.447455,0.561893,7.81004,-6.46874,-2.24594,50,6.73342,1.58844,-99.15725,2.9648,7.56354,19.88676,-38.4386,3e12b1ba-f8e8-49cf-a292-97f4170037cb,NA,NA,NA,NA,-8.924645,1000426998,"Crawford Jr., Nick",NA,NA,52.13963,Right,-59.565773,NA,NA,NA,2.4577,0.73866,0.044906,-15.070722,0.64103,2.98446,-0.36702,NA,NA,NA,NA,NA,4,4,CHE_COM,1,Top,0,1,2,Curveball,InPlay,Undefined,GroundBall,Out,1,0,NA,SOU_ORE,CHE_COM,SouthwesternOregonStadium,JUCO,NJCAA,20250509-SouthwesternOregonStadium-2,d84d42e0-2d24-11f0-b869-373fe2be073f,67.08122,2.98446,NA,6.57183,NA,NA,NA,155ddfa1-22d3-431a-8d65-34bf62658e36,2025-05-09,22:27:42,2025-05-09T22:27:42Z,2025-05-09T22:27:42Z,GroundBall,v3,NA,NA,NA,"Long, Kaleb",10299184,Right,SOU_ORE,54.50234,-100.05616,9.94338,6.56014,4.70227,-19.2193,-2.31001,1.24656,3.78177,NA,0.63883,38.57295,NA,NA,NA,NA,NA,NA,NA,2.98826,-66.46073,NA,NA,NA,NA,NA,NA,NA,-0.36667,-6.05736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
12,2025-05-09,15:28:18,"Onozaki, Takeru",1000304488,Right,SOU_ORE,Undefined,Curveball,NA,NA,67.86833,2.361342,-0.723522,2185.320901,50.914853,07:45:00,6.42003,2.27391,5.8861,-71.04075,-10.24355,-14.92111,2.69415,0.35858,62.72773,-10.62201,-3.406506,0.561194,7.423,-5.34402,-2.20695,50,6.56981,1.72588,-98.61974,2.08007,7.27824,16.32942,-37.41387,fb171091-7950-4fcd-a8df-8a706df90275,NA,NA,NA,NA,NA,1000324949,"Hubble, Brody",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,CHE_COM,1,Top,1,0,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_ORE,CHE_COM,SouthwesternOregonStadium,JUCO,NJCAA,20250509-SouthwesternOregonStadium-2,ed315070-2d24-11f0-b869-373fe2be073f,67.16468,NA,NA,5.1406,NA,NA,NA,155ddfa1-22d3-431a-8d65-34bf62658e36,2025-05-09,22:28:18,2025-05-09T22:28:18Z,2025-05-09T22:28:18Z,NA,v3,NA,NA,NA,"Long, Kaleb",10299184,Right,SOU_ORE,54.61921,-99.38165,8.16471,6.43203,3.82574,-18.70694,-2.27955,1.38629,3.63912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
13,2025-05-09,15:28:34,"Onozaki, Takeru",1000304488,Right,SOU_ORE,Undefined,Curveball,NA,NA,69.16175,2.333956,-1.339986,2315.093647,48.554667,07:30:00,6.53957,2.39187,6.11386,-71.97909,-12.73343,-16.88469,2.70115,-0.25441,62.75975,-10.92307,-4.387974,0.553987,8.26122,-6.82343,-2.28033,50,6.6816,2.88859,-100.33439,2.11025,8.19897,20.22883,-38.94606,54ae3f4f-a48c-4bdd-93dd-f9a11d0c7eb3,NA,NA,NA,NA,-34.582143,1000324949,"Hubble, Brody",2123.685329,NA,75.48941,Right,6.24794,NA,NA,NA,68.23858,65.16163,0.667263,-34.222663,1.92209,2.46029,0.52015,NA,NA,NA,NA,NA,5,2,CHE_COM,1,Top,1,0,1,Curveball,InPlay,Undefined,GroundBall,Out,1,0,NA,SOU_ORE,CHE_COM,SouthwesternOregonStadium,JUCO,NJCAA,20250509-SouthwesternOregonStadium-2,f7498af0-2d24-11f0-b869-373fe2be073f,68.03847,3.90409,NA,6.402,NA,NA,NA,155ddfa1-22d3-431a-8d65-34bf62658e36,2025-05-09,22:28:34,2025-05-09T22:28:34Z,2025-05-09T22:28:34Z,GroundBall,v3,NA,NA,NA,"Long, Kaleb",10299184,Right,SOU_ORE,54.38984,-101.21557,10.11442,6.55273,3.80677,-19.47303,-2.39838,2.53143,4.09949,NA,1.94398,90.16823,-12.81644,NA,NA,NA,NA,NA,NA,2.50534,11.13201,-22.40337,NA,NA,NA,NA,NA,NA,0.51623,-62.39002,6.15381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
14,2025-05-09,15:29:12,"Onozaki, Takeru",1000304488,Right,SOU_ORE,Undefined,Curveball,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000188536,"Hooper, Wyatt",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,CHE_COM,1,Top,2,0,0,NA,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_ORE,CHE_COM,SouthwesternOregonStadium,JUCO,NJCAA,20250509-SouthwesternOregonStadium-2,0e5fe1d0-2d25-11f0-b869-373fe2be073f,NA,NA,NA,NA,NA,NA,NA,155ddfa1-22d3-431a-8d65-34bf62658e36,2025-05-09,22:29:12,2025-05-09T22:29:12Z,2025-05-09T22:29:12Z,NA,v3,NA,NA,NA,"Long, Kaleb",10299184,Right,SOU_ORE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
