PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-09,10:02:05,"Wallace, William",1000223433,Right,POM_COL,Undefined,Fastball,NA,NA,90.36485,-2.130724,-1.426695,2261.82086,197.411817,12:30:00,6.18298,0.60418,5.76802,-13.45867,21.36867,6.30788,3.07693,-0.1982,81.54399,-4.745904,-0.29765,0.424748,-3.63264,11.8752,-0.48988,50,5.99855,2.97794,-130.94409,-5.21455,-6.22903,30.84608,-11.81111,a4066cd3-e5ec-4834-90b1-372af71980c4,NA,NA,NA,NA,NA,1000096461,"Livesay, Carson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,EAS_TEX,1,Top,0,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,POM_COL,EAS_TEX,PomonaPitzer,D3,Team,20250209-PomonaPitzer-1,f8fe0f20-e70f-11ef-8ab8-55939d160f53,88.74066,NA,NA,8.82086,NA,NA,NA,6362274b-4e4d-47c2-b6ee-df8d69d8c895,2025-02-09,18:02:05,2025-02-09T18:02:05Z,2025-02-09T18:02:05Z,NA,v3,POM_PIT,NA,NA,"Savas, Peter",1000276389,Right,POM_COL,54.72738,-132.05301,15.42304,6.17838,-4.78993,-5.90555,-0.60096,3.20188,-3.11451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-09,10:02:19,"Wallace, William",1000223433,Right,POM_COL,Undefined,Fastball,NA,NA,91.31372,0.589086,-0.769008,2241.232922,206.905862,01:00:00,6.21707,0.64116,5.82425,-16.59564,17.5367,8.2678,5.38183,0.61518,81.90858,-2.606738,0.712639,0.420489,-4.40721,9.06587,-0.58291,50,6.25547,1.39596,-132.36208,0.88632,-7.68745,32.67319,-16.36052,ae8f1a1b-0e6e-40da-8791-a14a2ae01a0e,NA,NA,NA,NA,NA,1000096461,"Livesay, Carson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,EAS_TEX,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,POM_COL,EAS_TEX,PomonaPitzer,D3,Team,20250209-PomonaPitzer-1,014f4540-e710-11ef-8ab8-55939d160f53,89.63955,NA,NA,9.40513,NA,NA,NA,6362274b-4e4d-47c2-b6ee-df8d69d8c895,2025-02-09,18:02:19,2025-02-09T18:02:19Z,2025-02-09T18:02:19Z,NA,v3,POM_PIT,NA,NA,"Savas, Peter",1000276389,Right,POM_COL,54.66933,-133.50972,16.3366,6.21424,1.46098,-8.18026,-0.63668,1.66598,-3.84372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-09,10:02:34,"Wallace, William",1000223433,Right,POM_COL,Undefined,Fastball,NA,NA,90.67018,-3.331278,-1.028487,2256.931135,191.458998,12:30:00,6.22942,0.43387,5.78641,-13.16453,21.44887,4.09347,2.02918,-0.18195,81.93627,-5.883398,-0.295342,0.423442,-2.4015,12.3267,-0.35157,50,5.94687,2.17576,-131.29876,-7.98047,-4.14045,31.00345,-10.92145,12a95818-20fb-4c42-9fb5-c15378712df6,NA,NA,NA,NA,NA,1000096461,"Livesay, Carson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,EAS_TEX,1,Top,0,1,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,POM_COL,EAS_TEX,PomonaPitzer,D3,Team,20250209-PomonaPitzer-1,0a0ea680-e710-11ef-8ab8-55939d160f53,89.01445,NA,NA,8.73391,NA,NA,NA,6362274b-4e4d-47c2-b6ee-df8d69d8c895,2025-02-09,18:02:34,2025-02-09T18:02:34Z,2025-02-09T18:02:34Z,NA,v3,POM_PIT,NA,NA,"Savas, Peter",1000276389,Right,POM_COL,54.70998,-132.40625,15.50173,6.22497,-7.59034,-5.46072,-0.43194,2.32366,-2.07023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-09,10:02:55,"Wallace, William",1000223433,Right,POM_COL,Undefined,Splitter,NA,NA,82.24494,-0.781156,-0.892853,950.131623,289.851621,03:45:00,6.28207,0.41485,5.55956,-42.39754,-0.10953,4.37658,2.01898,-0.05469,74.83107,-8.547086,-0.110478,0.468037,-2.4804,0.66957,-0.34063,50,6.18704,1.67757,-119.28084,-3.10808,-3.52923,25.60088,-31.22136,e1e2c243-a20a-45d7-b345-95b187dcea08,NA,NA,NA,NA,NA,1000096461,"Livesay, Carson",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,EAS_TEX,1,Top,0,1,2,Splitter,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,POM_COL,EAS_TEX,PomonaPitzer,D3,Team,20250209-PomonaPitzer-1,16b490c0-e710-11ef-8ab8-55939d160f53,80.53304,NA,NA,7.41387,NA,NA,NA,6362274b-4e4d-47c2-b6ee-df8d69d8c895,2025-02-09,18:02:55,2025-02-09T18:02:55Z,2025-02-09T18:02:55Z,NA,v3,POM_PIT,NA,NA,"Savas, Peter",1000276389,Right,POM_COL,54.93791,-120.33598,12.80044,6.28863,-1.82129,-15.61068,-0.41277,1.82303,-1.76461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.24958,2.905383,1.707776,1.197607,-0.56685,1.71531,0.05801,-1.02707,5.18188,-0.10321,72.26851,3.70854,-52.51503,-0.98746,65.84206,-3.89735,5.28748,17.33356,-15.55731,-0.19124,-49.83836,5.12184,High,High,High,NA,NA,High,High,High
5,2025-02-09,10:03:19,"Wallace, William",1000223433,Right,POM_COL,Undefined,Fastball,NA,NA,89.98717,-2.311854,-1.806406,2228.593717,196.957113,12:30:00,6.21468,0.41627,5.83379,-16.48588,18.32918,5.22933,2.68974,-0.82758,81.8284,-5.452578,-0.86933,0.424673,-3.20847,10.40048,-0.272,50,6.01635,3.89112,-130.49268,-5.75348,-5.49905,29.005490000000002,-14.34839,80654c34-fcd8-40d8-a2b5-36108ca70e35,NA,NA,NA,NA,NA,1000313668,"Burnaman, Dylan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,EAS_TEX,1,Top,1,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,POM_COL,EAS_TEX,PomonaPitzer,D3,Team,20250209-PomonaPitzer-1,25394d20-e710-11ef-8ab8-55939d160f53,88.75631,NA,NA,8.15877,NA,NA,NA,6362274b-4e4d-47c2-b6ee-df8d69d8c895,2025-02-09,18:03:19,2025-02-09T18:03:19Z,2025-02-09T18:03:19Z,NA,v3,POM_PIT,NA,NA,"Savas, Peter",1000276389,Right,POM_COL,54.66433,-131.52537,14.50275,6.2121,-5.24263,-7.17419,-0.41402,4.0869,-2.74952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-09,10:03:36,"Wallace, William",1000223433,Right,POM_COL,Undefined,Cutter,NA,NA,87.54723,-1.048713,-2.248734,2334.233168,184.724765,12:15:00,6.17651,0.50758,5.9143,-30.78651,5.77406,0.37957,2.63679,-1.54892,80.04099,-6.750015,-2.180595,0.435189,-0.84287,3.63166,-0.32743,50,6.07496,4.97319,-127.04995,-3.37266,-1.3727,26.91329,-26.25961,baf238f6-fde2-4113-87f3-fbbfa12a2dca,NA,NA,NA,NA,NA,1000313668,"Burnaman, Dylan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,EAS_TEX,1,Top,1,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,POM_COL,EAS_TEX,PomonaPitzer,D3,Team,20250209-PomonaPitzer-1,2f10fc30-e710-11ef-8ab8-55939d160f53,86.61161,NA,NA,7.50624,NA,NA,NA,6362274b-4e4d-47c2-b6ee-df8d69d8c895,2025-02-09,18:03:36,2025-02-09T18:03:36Z,2025-02-09T18:03:36Z,NA,v3,POM_PIT,NA,NA,"Savas, Peter",1000276389,Right,POM_COL,54.58388,-128.01727,13.45665,6.17922,-2.42883,-13.1298,-0.50707,5.02252,-0.68635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-09,10:03:51,"Wallace, William",1000223433,Right,POM_COL,Undefined,Fastball,NA,NA,91.24804,-2.96772,-1.240523,2383.648815,210.874766,01:00:00,6.21883,0.45965,5.82358,-14.8545,19.06812,10.70367,2.2188,0.19815,82.90936,-5.809944,0.678207,0.419195,-5.8491,10.97772,-0.36468,50,5.96736,2.39914,-132.28521,-7.28515,-10.28918,30.13532,-12.86302,a57eefee-24bd-4a1a-bb3a-28089641b265,NA,NA,NA,NA,-3.938033,1000313668,"Burnaman, Dylan",1091.299536,NA,92.23422,Right,2.264346,NA,NA,NA,65.48221,58.79392,0.507866,-3.275064,1.36679,2.23217,-0.19488,NA,NA,NA,NA,NA,2,3,EAS_TEX,1,Top,1,1,1,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,NA,POM_COL,EAS_TEX,PomonaPitzer,D3,Team,20250209-PomonaPitzer-1,37ff83c0-e710-11ef-8ab8-55939d160f53,89.91624,2.58777,NA,8.33868,NA,NA,NA,6362274b-4e4d-47c2-b6ee-df8d69d8c895,2025-02-09,18:03:51,2025-02-09T18:03:51Z,2025-02-09T18:03:51Z,GroundBall,v3,POM_PIT,NA,NA,"Savas, Peter",1000276389,Right,POM_COL,54.67501,-133.34596,15.06766,6.21582,-6.83238,-6.43151,-0.45551,2.76131,-5.14459,313.031807,1.38212,134.44621,-16.67881,NA,NA,NA,NA,NA,NA,2.24514,5.00166,-18.60042,NA,NA,NA,NA,NA,NA,-0.20113,-9.11726,4.25061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-02-09,10:04:29,"Wallace, William",1000223433,Right,POM_COL,Undefined,Fastball,NA,NA,90.30058,-4.28396,-1.583827,2153.495592,185.392805,12:15:00,6.17663,0.34874,5.62849,-16.96395,18.01304,1.58693,0.75666,-0.99724,82.28806,-7.475712,-1.300416,0.42566,-1.27272,10.76036,-0.21489,50,5.80044,3.54286,-130.65787,-10.31807,-2.18736,29.01926,-13.68082,a8e54c79-bdbe-4a99-8757-cdfc454d22eb,NA,NA,NA,NA,NA,1000313694,"Lea, Benjamin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,EAS_TEX,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,POM_COL,EAS_TEX,PomonaPitzer,D3,Team,20250209-PomonaPitzer-1,4eb12560-e710-11ef-8ab8-55939d160f53,88.55062,NA,NA,8.01252,NA,NA,NA,6362274b-4e4d-47c2-b6ee-df8d69d8c895,2025-02-09,18:04:29,2025-02-09T18:04:29Z,2025-02-09T18:04:29Z,NA,v3,POM_PIT,NA,NA,"Savas, Peter",1000276389,Right,POM_COL,54.8695,-131.73495,14.50963,6.17398,-9.81029,-6.84041,-0.34789,3.62404,-1.09368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-09,10:04:48,"Wallace, William",1000223433,Right,POM_COL,Undefined,Cutter,NA,NA,85.91956,-2.593394,-1.809721,2289.571171,202.654382,12:45:00,6.2689,0.67243,5.76451,-31.06376,7.04315,2.43543,1.26369,-0.80951,78.98186,-8.305678,-1.373156,0.444297,-1.75047,4.68355,-0.52408,50,6.03515,3.83839,-124.63463,-6.70053,-2.7518,25.18501,-24.81133,ca9922c1-c952-49a6-93df-48138e0d0e39,NA,NA,NA,NA,NA,1000313694,"Lea, Benjamin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,EAS_TEX,1,Top,1,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,POM_COL,EAS_TEX,PomonaPitzer,D3,Team,20250209-PomonaPitzer-1,59fab3f0-e710-11ef-8ab8-55939d160f53,84.83617,NA,NA,6.9377,NA,NA,NA,6362274b-4e4d-47c2-b6ee-df8d69d8c895,2025-02-09,18:04:48,2025-02-09T18:04:48Z,2025-02-09T18:04:48Z,NA,v3,POM_PIT,NA,NA,"Savas, Peter",1000276389,Right,POM_COL,54.73469,-125.58773,12.59251,6.27095,-5.76157,-12.40567,-0.67131,3.94253,-1.3759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-09,10:05:05,"Wallace, William",1000223433,Right,POM_COL,Undefined,Fastball,NA,NA,88.81716,-2.53336,-0.219806,2072.564742,190.47688,12:15:00,6.33362,0.52386,5.60447,-19.26135,16.83528,2.88358,2.36203,0.55897,80.7252,-6.158977,0.295228,0.432419,-1.53803,9.67481,-0.50701,50,6.10459,0.37022,-128.77748,-6.31092,-2.56166,28.78309,-16.06027,f329a8eb-060c-499a-93a8-2294279a5313,NA,NA,NA,NA,NA,1000313694,"Lea, Benjamin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,EAS_TEX,1,Top,1,2,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,POM_COL,EAS_TEX,PomonaPitzer,D3,Team,20250209-PomonaPitzer-1,641649d0-e710-11ef-8ab8-55939d160f53,87.16646,NA,NA,8.09196,NA,NA,NA,6362274b-4e4d-47c2-b6ee-df8d69d8c895,2025-02-09,18:05:05,2025-02-09T18:05:05Z,2025-02-09T18:05:05Z,NA,v3,POM_PIT,NA,NA,"Savas, Peter",1000276389,Right,POM_COL,54.89426,-129.86679,14.39155,6.33193,-5.70311,-8.03013,-0.52286,0.46717,-1.28083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
