PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-15,18:01:20,"Remy, Nick",810033,Right,UMBC_RET,Undefined,Fastball,NA,NA,86.78032,-4.297437,-0.44943,2218.256806,188.473233,12:15:00,6.57576,-0.08047,5.50393,-17.16674,21.12844,2.93732,1.11837,-0.25603,78.55047,-7.550653,0.074192,0.445393,-1.62516,12.43131,0.11766,50,6.18884,0.85719,-125.47722,-9.92892,-2.55739,28.46149,-12.61168,e900c734-c059-4316-9317-3c2cff1432b2,NA,NA,NA,NA,NA,1000240490,"Zyons, Zac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,BRY_BUL,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UMBC_RET,BRY_BUL,AlumniFieldUMBC,D1,AMEAST,20250515-AlumniFieldUMBC-1,22b2b740-31d8-11f0-a486-cf4c6b751b9d,84.62735,NA,NA,8.22985,NA,NA,NA,bda8046a-9f56-412c-9ea4-228c57af5515,2025-05-15,22:01:20,2025-05-15T22:01:20Z,2025-05-15T22:01:20Z,NA,v3,471348,471248,15 May 2025 18:00-bryant@umbc,"Paris, Derek",810031,Right,UMBC_RET,54.99172,-126.6044,14.23075,6.57218,-9.42945,-6.30584,0.08171,0.95847,-1.27869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-15,18:01:36,"Remy, Nick",810033,Right,UMBC_RET,Undefined,Fastball,NA,NA,87.13547,-4.360322,-1.648309,2286.268613,207.882878,01:00:00,6.52094,0.12874,5.64155,-19.2543,18.79371,9.165,0.83937,-0.64555,78.4524,-8.00079,-0.010457,0.443953,-5.2313,11.43646,0.00514,50,6.13812,3.23481,-125.9039,-10.17984,-8.22928,30.3262,-14.18356,fa4b0cf5-51ac-4c28-b37b-06884ba1e330,NA,NA,NA,NA,NA,1000240490,"Zyons, Zac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,BRY_BUL,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UMBC_RET,BRY_BUL,AlumniFieldUMBC,D1,AMEAST,20250515-AlumniFieldUMBC-1,2c66ffd0-31d8-11f0-a486-cf4c6b751b9d,84.90182,NA,NA,8.68308,NA,NA,NA,bda8046a-9f56-412c-9ea4-228c57af5515,2025-05-15,22:01:36,2025-05-15T22:01:36Z,2025-05-15T22:01:36Z,NA,v3,471348,471248,15 May 2025 18:00-bryant@umbc,"Paris, Derek",810031,Right,UMBC_RET,54.85468,-127.06786,15.1631,6.51838,-9.63546,-7.09178,-0.12507,3.55066,-4.11464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-15,18:01:54,"Remy, Nick",810033,Right,UMBC_RET,Undefined,Cutter,NA,NA,81.22183,-2.501064,-1.019092,2359.046415,155.204661,11:15:00,6.51619,0.50662,5.45533,-33.37923,10.08268,-3.96792,1.3915,-0.77811,74.16786,-8.630511,-1.726548,0.474489,1.70126,6.27229,-0.41392,50,6.27285,2.25274,-117.70782,-6.24396,2.36541,24.21206,-23.45302,c703b700-0eff-40a6-8088-a077f9d82faa,NA,NA,NA,NA,NA,1000240490,"Zyons, Zac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,BRY_BUL,1,Top,0,2,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UMBC_RET,BRY_BUL,AlumniFieldUMBC,D1,AMEAST,20250515-AlumniFieldUMBC-1,36e7e730-31d8-11f0-a486-cf4c6b751b9d,79.43803,NA,NA,7.05397,NA,NA,NA,bda8046a-9f56-412c-9ea4-228c57af5515,2025-05-15,22:01:54,2025-05-15T22:01:54Z,2025-05-15T22:01:54Z,NA,v3,471348,471248,15 May 2025 18:00-bryant@umbc,"Paris, Derek",810031,Right,UMBC_RET,55.04193,-118.7404,12.10603,6.51781,-5.24375,-11.72651,-0.50784,2.15186,1.1827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-15,18:02:17,"Remy, Nick",810033,Right,UMBC_RET,Undefined,Cutter,NA,NA,81.53602,-1.828235,-0.311952,2365.850816,142.681988,10:45:00,6.61926,0.32407,5.50916,-35.78974,6.55221,-4.04733,1.92649,-0.30493,75.53667,-8.359834,-1.034629,0.468335,1.98004,4.14469,-0.29402,50,6.43553,0.80387,-118.44987,-4.98663,2.8322,21.186,-26.24561,8e46bb76-05e2-4940-afb7-920576d091c9,NA,NA,NA,NA,NA,1000240490,"Zyons, Zac",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,BRY_BUL,1,Top,0,2,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UMBC_RET,BRY_BUL,AlumniFieldUMBC,D1,AMEAST,20250515-AlumniFieldUMBC-1,44a2eaf0-31d8-11f0-a486-cf4c6b751b9d,80.48175,NA,NA,5.99935,NA,NA,NA,bda8046a-9f56-412c-9ea4-228c57af5515,2025-05-15,22:02:17,2025-05-15T22:02:17Z,2025-05-15T22:02:17Z,NA,v3,471348,471248,15 May 2025 18:00-bryant@umbc,"Paris, Derek",810031,Right,UMBC_RET,54.99052,-119.33914,10.593,6.62172,-3.88499,-13.12281,-0.32526,0.68499,1.4161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-15,18:02:49,"Remy, Nick",810033,Right,UMBC_RET,Undefined,Splitter,NA,NA,78.73647,-0.274621,-1.128992,1384.977695,257.423809,02:30:00,6.37398,0.46055,5.43378,-42.3264,3.15103,8.2093,2.58956,0.08726,72.91311,-7.98704,0.33419,0.485366,-4.46666,2.00976,-0.3666,50,6.32,1.94195,-114.4332,-1.95889,-5.96519,19.70099,-29.49004,b2218fbc-fe95-40a0-b9f6-cb11d331fd05,NA,NA,NA,NA,-141.260213,1000240490,"Zyons, Zac",4372.730202,NA,67.15201,Left,53.468943,NA,NA,NA,NA,42.50206,NA,NA,2.26581,2.44656,-0.06998,NA,NA,NA,NA,NA,1,5,BRY_BUL,1,Top,0,2,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UMBC_RET,BRY_BUL,AlumniFieldUMBC,D1,AMEAST,20250515-AlumniFieldUMBC-1,57dcf200-31d8-11f0-a486-cf4c6b751b9d,77.65775,46.21755,NA,5.82336,NA,NA,NA,bda8046a-9f56-412c-9ea4-228c57af5515,2025-05-15,22:02:49,2025-05-15T22:02:49Z,2025-05-15T22:02:49Z,NA,v3,471348,471248,15 May 2025 18:00-bryant@umbc,"Paris, Derek",810031,Right,UMBC_RET,55.06687,-115.30221,9.8505,6.37771,-0.65807,-14.74502,-0.45807,2.20508,-2.9826,NA,2.26581,-45.72858,-4.56642,3.12741,-1.06511,0.30406,-0.0802,0.01843,-0.00254,2.44656,79.13966,-32.41702,4.65839,-0.89613,0.13967,-0.014,-0.0045,0.00233,-0.06998,-36.68767,8.71366,-2.82784,0.73197,-0.17149,0.03643,-0.00465,-2.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
6,2025-05-15,18:03:12,"Remy, Nick",810033,Right,UMBC_RET,Undefined,Fastball,NA,NA,87.84797,-2.58017,-0.675547,2111.78022,201.501905,12:45:00,6.57593,0.08019,5.46161,-16.38788,20.65729,7.63953,2.79347,0.08449,79.88863,-5.692106,0.684823,0.438064,-4.07599,11.5726,-0.02622,50,6.33794,1.17114,-127.35295,-6.23222,-6.6517,27.70093,-13.28854,836a8b74-dab8-4eea-9dc2-4021cc1282b0,NA,NA,NA,NA,21.503298,1000240490,"Zyons, Zac",1626.160941,NA,98.32072,Left,25.216141,100.5224,43.47511,44.6681,338.27575,335.55771,3.83107,28.596259,2.21387,2.92993,-0.08186,NA,NA,NA,NA,NA,1,6,BRY_BUL,1,Top,0,2,2,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,UMBC_RET,BRY_BUL,AlumniFieldUMBC,D1,AMEAST,20250515-AlumniFieldUMBC-1,65596620-31d8-11f0-a486-cf4c6b751b9d,86.04328,54.16884,NA,7.95934,NA,NA,NA,bda8046a-9f56-412c-9ea4-228c57af5515,2025-05-15,22:03:12,2025-05-15T22:03:12Z,2025-05-15T22:03:12Z,FlyBall,v3,471348,471248,15 May 2025 18:00-bryant@umbc,"Paris, Derek",810031,Right,UMBC_RET,55.03616,-128.44371,13.85046,6.57304,-5.70896,-6.64427,-0.07749,1.43305,-3.32585,237.641222,2.21542,121.34062,-21.91257,5.12614,-0.90513,0.0654,0.00311,-2.3e-4,-6e-5,2.92883,61.46527,-21.1797,2.15669,-0.53295,0.18513,-0.05001,0.00843,-6.6e-4,-0.084,47.88548,0.79286,-1.24094,-0.15499,0.38888,-0.17035,0.03371,-0.0026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-05-15,18:03:52,"Remy, Nick",810033,Right,UMBC_RET,Undefined,Cutter,NA,NA,83.14026,-4.194004,-1.314016,2359.026517,165.343016,11:30:00,6.6020200000000004,0.33472,5.58024,-31.03092,9.96343,-2.27059,0.09124,-1.08189,76.85168,-9.850265,-1.719998,0.460822,0.80882,6.56134,-0.22015,50,6.22033,2.85128,-120.45422,-9.86257,1.19009,23.07297,-22.51979,6fc44ebd-f48c-4c67-9262-9586e69e0e04,NA,NA,NA,NA,NA,1000156051,"Noriega, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,BRY_BUL,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UMBC_RET,BRY_BUL,AlumniFieldUMBC,D1,AMEAST,20250515-AlumniFieldUMBC-1,7d470a30-31d8-11f0-a486-cf4c6b751b9d,81.79391,NA,NA,6.28857,NA,NA,NA,bda8046a-9f56-412c-9ea4-228c57af5515,2025-05-15,22:03:52,2025-05-15T22:03:52Z,2025-05-15T22:03:52Z,NA,v3,471348,471248,15 May 2025 18:00-bryant@umbc,"Paris, Derek",810031,Right,UMBC_RET,54.91985,-121.39295,11.53648,6.60296,-8.94634,-11.2599,-0.33517,2.80286,0.59505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-15,18:04:09,"Remy, Nick",810033,Right,UMBC_RET,Undefined,Fastball,NA,NA,86.59297,-1.686386,-0.193305,2048.303719,176.038228,11:45:00,6.54296,0.23123,5.43893,-18.22497,20.05218,-1.29551,3.44465,-0.05773,78.39512,-5.144959,-0.423897,0.445288,0.59051,10.98973,-0.21322,50,6.38169,0.48047,-125.51302,-4.24277,0.93264,27.75824,-14.81715,9cb3edc6-0080-4804-b771-860d4f2d76af,NA,NA,NA,NA,NA,1000156051,"Noriega, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,BRY_BUL,1,Top,1,1,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,UMBC_RET,BRY_BUL,AlumniFieldUMBC,D1,AMEAST,20250515-AlumniFieldUMBC-1,87684560-31d8-11f0-a486-cf4c6b751b9d,84.64727,NA,NA,8.19786,NA,NA,NA,bda8046a-9f56-412c-9ea4-228c57af5515,2025-05-15,22:04:09,2025-05-15T22:04:09Z,2025-05-15T22:04:09Z,NA,v3,471348,471248,15 May 2025 18:00-bryant@umbc,"Paris, Derek",810031,Right,UMBC_RET,55.05609,-126.62628,13.87912,6.53993,-3.64852,-7.40858,-0.23174,0.44306,0.46632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-15,18:04:28,"Remy, Nick",810033,Right,UMBC_RET,Undefined,Fastball,NA,NA,88.46783,-3.922681,-0.800125,2231.231766,205.349068,12:45:00,6.57201,-0.06812,5.50001,-15.38446,21.2069,9.44386,1.61494,-0.02954,80.48243,-6.845136,0.882859,0.435372,-5.01985,12.25788,0.13139,50,6.21883,1.37623,-128.07509,-9.23296,-8.28204,28.10821,-11.95028,e2363983-0c89-4e74-9979-14ca982ab92a,NA,NA,NA,NA,-156.580129,1000156051,"Noriega, Gavin",2323.918353,NA,68.27032,Right,17.826496,NA,NA,NA,134.2564,39.2299,1.699494,-160.487185,2.52557,1.70732,0.07123,NA,NA,NA,NA,NA,2,3,BRY_BUL,1,Top,1,1,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UMBC_RET,BRY_BUL,AlumniFieldUMBC,D1,AMEAST,20250515-AlumniFieldUMBC-1,93010560-31d8-11f0-a486-cf4c6b751b9d,86.57522,13.43473,NA,7.9854,NA,NA,NA,bda8046a-9f56-412c-9ea4-228c57af5515,2025-05-15,22:04:28,2025-05-15T22:04:28Z,2025-05-15T22:04:28Z,LineDrive,v3,471348,471248,15 May 2025 18:00-bryant@umbc,"Paris, Derek",810031,Right,UMBC_RET,54.99734,-129.16718,14.0541,6.56854,-8.76865,-5.97514,0.07167,1.69802,-4.14102,NA,2.42107,-86.59808,6.33165,NA,NA,NA,NA,NA,NA,2.01624,28.13626,-17.34698,NA,NA,NA,NA,NA,NA,-0.17078,-35.86954,5.70678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
10,2025-05-15,18:04:52,"Remy, Nick",810033,Right,UMBC_RET,Undefined,Splitter,NA,NA,79.42066,-3.280146,-3.239218,1327.556213,244.901179,02:15:00,6.27614,0.53392,5.46521,-39.2675,5.78311,9.39875,-0.07438,-1.71774,73.63806,-10.394377,-1.564004,0.483083,-5.68957,4.14335,-0.25551,50,5.95956,6.15861,-115.05461,-7.89698,-7.65374,20.63385,-26.60032,3746eed2-a2b4-44d2-a60f-65b9638c7871,NA,NA,NA,NA,NA,1000156051,"Noriega, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,BRY_BUL,1,Top,1,1,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UMBC_RET,BRY_BUL,AlumniFieldUMBC,D1,AMEAST,20250515-AlumniFieldUMBC-1,a1399d90-31d8-11f0-a486-cf4c6b751b9d,78.02475,NA,NA,5.7826,NA,NA,NA,bda8046a-9f56-412c-9ea4-228c57af5515,2025-05-15,22:04:52,2025-05-15T22:04:52Z,2025-05-15T22:04:52Z,NA,v3,471348,471248,15 May 2025 18:00-bryant@umbc,"Paris, Derek",810031,Right,UMBC_RET,55.03579,-115.95421,10.31693,6.27858,-6.73725,-13.30016,-0.53129,6.4923,-3.82687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
11,2025-05-15,18:05:19,"Remy, Nick",810033,Right,UMBC_RET,Undefined,Fastball,NA,NA,87.49989,-2.92105,-1.446765,2104.752066,192.128596,12:30:00,6.58183,0.0162,5.68132,-18.04568,18.87166,3.79461,2.35195,-1.01647,79.96285,-6.325585,-0.768421,0.437307,-2.36272,10.82197,0.10314,50,6.32456,3.04808,-126.88855,-7.02457,-3.84253,26.56697,-14.57421,9c96f780-7435-47a9-aa7e-ba20c1929180,NA,NA,NA,NA,49.401076,1000156051,"Noriega, Gavin",3513.84894,NA,77.33683,Right,52.918474,62.27157,108.20661,90.6763,220.53627,97.70344,5.351245,59.450263,3.11237,2.29944,0.7739,NA,NA,NA,NA,NA,2,5,BRY_BUL,1,Top,1,2,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UMBC_RET,BRY_BUL,AlumniFieldUMBC,D1,AMEAST,20250515-AlumniFieldUMBC-1,b1042060-31d8-11f0-a486-cf4c6b751b9d,86.19213,110.29509,NA,7.53705,NA,NA,NA,bda8046a-9f56-412c-9ea4-228c57af5515,2025-05-15,22:05:19,2025-05-15T22:05:19Z,2025-05-15T22:05:19Z,FlyBall,v3,471348,471248,15 May 2025 18:00-bryant@umbc,"Paris, Derek",810031,Right,UMBC_RET,54.81756,-127.89324,13.28348,6.57979,-6.47341,-7.28711,-0.014880000000000001,3.1934,-1.92126,NA,3.11585,44.41949,-13.14115,2.97551,-0.06851,-0.18954,0.05864,-0.0074400000000000004,3.5e-4,2.2964,90.54214,-22.57561,2.24742,-0.43871,0.03766,0.0104,-0.00299,2.1e-4,0.77492,51.90335,-7.50291,1.51417,-0.12989,-0.02696,0.00951,-0.00102,4e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
12,2025-05-15,18:05:53,"Remy, Nick",810033,Right,UMBC_RET,Undefined,Splitter,NA,NA,78.03798,-1.189091,-1.795537,1179.391368,227.962125,01:30:00,6.38884,0.45916,5.49771,-38.67833,8.13977,7.2963,2.05272,-0.61282,71.41484,-8.29102,-0.494187,0.492468,-4.26173,4.87374,-0.30741,50,6.25868,3.27431,-113.20788,-3.58349,-5.49575,21.88641,-25.88909,9aa77a83-5846-4db8-8031-e8664afbfe93,NA,NA,NA,NA,53.289665,1000156051,"Noriega, Gavin",4889.253479,NA,93.3986,Right,53.851794,NA,NA,NA,NA,91.32039,NA,NA,4.15455,2.05905,0.03747,NA,NA,NA,NA,NA,2,6,BRY_BUL,1,Top,1,2,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UMBC_RET,BRY_BUL,AlumniFieldUMBC,D1,AMEAST,20250515-AlumniFieldUMBC-1,c5538f10-31d8-11f0-a486-cf4c6b751b9d,76.53781,118.21225,NA,6.62314,NA,NA,NA,bda8046a-9f56-412c-9ea4-228c57af5515,2025-05-15,22:05:53,2025-05-15T22:05:53Z,2025-05-15T22:05:53Z,NA,v3,471348,471248,15 May 2025 18:00-bryant@umbc,"Paris, Derek",810031,Right,UMBC_RET,55.00134,-114.17069,10.94321,6.39127,-2.4446,-12.94454,-0.45677,3.51608,-2.74788,NA,4.15451,48.30828,-20.535520000000002,7.09408,-3.25964,2.45763,-1.47415,0.49025,-0.06733,2.05907,110.61102,-25.77048,2.17046,0.49886,-1.03894,0.72672,-0.25417,0.03596,0.03747,64.77915,-12.40501,3.14766,-0.96114,0.55139,-0.30469,0.0977,-0.01306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
13,2025-05-15,18:06:22,"Remy, Nick",810033,Right,UMBC_RET,Undefined,Splitter,NA,NA,78.88549,-2.210347,-1.569131,1309.194822,248.31468,02:15:00,6.36567,0.68783,5.52027,-39.31856,6.455,12.42603,1.02074,0.2559,72.42497,-9.396764,0.650772,0.486944,-6.80839,4.31555,-0.56005,50,6.14676,2.66238,-114.41656,-5.69144,-8.97594,22.18936,-26.48462,b4003ee7-7e1d-44fa-a676-a98423d1c2f6,NA,NA,NA,NA,24.106729,1000156051,"Noriega, Gavin",NA,NA,76.32829,Right,56.300266,101.75652,116.51781,41.78048,171.56794,170.27591,5.527044,22.105729,3.58572,1.37769,-0.25165,NA,NA,NA,NA,NA,2,7,BRY_BUL,1,Top,1,2,2,Changeup,InPlay,Undefined,Popup,Out,1,0,NA,UMBC_RET,BRY_BUL,AlumniFieldUMBC,D1,AMEAST,20250515-AlumniFieldUMBC-1,d6a1a4a0-31d8-11f0-a486-cf4c6b751b9d,77.40617,117.28079,NA,6.46052,NA,NA,NA,bda8046a-9f56-412c-9ea4-228c57af5515,2025-05-15,22:06:22,2025-05-15T22:06:22Z,2025-05-15T22:06:22Z,Popup,v3,471348,471248,15 May 2025 18:00-bryant@umbc,"Paris, Derek",810031,Right,UMBC_RET,54.97919,-115.37816,11.09468,6.36853,-4.5437,-13.24231,-0.68386,3.05136,-4.48797,178.71724,3.59131,56.59241,-14.479,3.43939,-0.49173,0.03719,-0.00208,4.1e-4,-4e-5,1.37913,93.09366,-22.00182,1.51387,0.15754,-0.20323,0.05931,-0.00782,3.9e-4,-0.249,25.32023,-6.87808,1.6259,-0.23109,0.01737,-0.00103,2.1e-4,-2e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
14,2025-05-15,18:07:03,"Remy, Nick",810033,Right,UMBC_RET,Undefined,Fastball,NA,NA,88.39791,-5.019073,-1.9377,2083.556073,197.560633,12:30:00,6.53508,-0.09007,5.614,-15.33859,21.34009,6.33992,0.55774,-1.37093,80.37362,-7.931649,-0.806178,0.435891,-3.77748,12.68406,0.25146,50,6.09557,4.04213,-127.70264,-11.65129,-6.19182,28.11374,-11.38307,63699be3-f522-4218-af59-82379ebe1d03,NA,NA,NA,NA,NA,1000050656,"Wyers, Drew",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,BRY_BUL,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UMBC_RET,BRY_BUL,AlumniFieldUMBC,D1,AMEAST,20250515-AlumniFieldUMBC-1,ef0ba4a0-31d8-11f0-a486-cf4c6b751b9d,86.47207,NA,NA,8.02429,NA,NA,NA,bda8046a-9f56-412c-9ea4-228c57af5515,2025-05-15,22:07:03,2025-05-15T22:07:03Z,2025-05-15T22:07:03Z,NA,v3,471348,471248,15 May 2025 18:00-bryant@umbc,"Paris, Derek",810031,Right,UMBC_RET,54.88163,-128.77284,14.05687,6.53086,-11.21798,-5.69153,0.0931,4.27783,-3.09591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
