PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-25,18:08:29,"Martin, Landon",1000364953,Right,CAL_FUL,Undefined,Fastball,NA,NA,88.86171,-1.466742,-1.37908,1973.862694,199.693179,12:45:00,5.82053,0.88575,5.86519,-20.13757,15.62883,5.14768,2.77915,0.03336,80.48807,-5.279977,-0.455642,0.430436,-3.07658,8.823,-0.77708,50,5.69011,2.88805,-128.91094,-3.92086,-5.11995,29.55922,-17.49106,dc341f6c-8981-4044-addd-07f5b0d70724,NA,NA,NA,NA,-26.909913,1000336187,"Watson, Rex",NA,NA,82.05061,Left,73.608538,NA,NA,NA,NA,34.69425,NA,NA,0.66494,3.16207,-0.64947,NA,NA,NA,NA,NA,1,1,SAN_TOR,1,Top,0,0,0,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,CAL_FUL,SAN_TOR,GoodwinField,D1,BW,20250325-GoodwinField-1,d4cb7a60-09de-11f0-91ec-41cc551cf82d,87.56798,110.06968,NA,8.37364,NA,NA,NA,4f69f254-7555-401e-b034-118e07d33b1e,2025-03-26,01:08:29,2025-03-26T01:08:29Z,2025-03-26T01:08:29Z,NA,v3,471254,5320,25 March 2025 21:00-sandiego@calstfull,"Ortega, Max",703672,Right,CAL_FUL,54.63359,-129.96908,14.77961,5.81926,-3.29473,-8.74553,-0.88374,3.07133,-2.55997,NA,0.66497,30.27848,-13.0026,3.70082,-0.22191,-0.45891,0.20178,0.03247,-0.02858,3.16206,115.45012,-29.52616,3.8369,-0.86047,0.29714,-0.13366,0.0413,-0.00549,-0.64945,-15.37252,-3.67539,1.43911,0.00628,-0.32618,0.15003,0.00737,-0.01489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
2,2025-03-25,18:09:07,"Martin, Landon",1000364953,Right,CAL_FUL,Undefined,Fastball,NA,NA,88.80676,-2.887698,-1.987311,2086.802197,201.088936,12:45:00,5.8089,0.92208,5.79721,-19.77792,16.16832,5.75107,1.47086,-0.4479,80.64136,-6.616077,-0.95719,0.431517,-3.55894,9.51245,-0.7622,50,5.55954,4.22276,-128.67299,-7.10724,-5.90975,29.07769,-16.37822,698123c0-cece-4d4c-a666-59ad3c1221bc,NA,NA,NA,NA,NA,822297,"Libed, Nico",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SAN_TOR,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,SAN_TOR,GoodwinField,D1,BW,20250325-GoodwinField-1,eb4f2e30-09de-11f0-91ec-41cc551cf82d,87.34866,NA,NA,8.16539,NA,NA,NA,4f69f254-7555-401e-b034-118e07d33b1e,2025-03-26,01:09:07,2025-03-26T01:09:07Z,2025-03-26T01:09:07Z,NA,v3,471254,5320,25 March 2025 21:00-sandiego@calstfull,"Ortega, Max",703672,Right,CAL_FUL,54.70168,-129.73113,14.53885,5.80733,-6.51124,-8.18911,-0.91978,4.43782,-2.95488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-25,18:09:23,"Martin, Landon",1000364953,Right,CAL_FUL,Undefined,Slider,NA,NA,78.94971,1.235941,-0.980005,2229.316969,91.013456,09:00:00,5.73587,0.98471,4.9843,-45.60869,2.09071,-11.06564,3.10264,-0.86297,70.48691,-7.111732,-2.93317,0.497082,5.05642,1.19181,-0.88091,50,5.81872,2.43247,-114.13024,0.82663,6.48126,26.5234,-30.64638,e428f1a4-fc5e-4581-95db-7000d361181b,NA,NA,NA,NA,NA,822297,"Libed, Nico",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,SAN_TOR,1,Top,1,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,SAN_TOR,GoodwinField,D1,BW,20250325-GoodwinField-1,f4be3060-09de-11f0-91ec-41cc551cf82d,75.82746,NA,NA,8.4628,NA,NA,NA,4f69f254-7555-401e-b034-118e07d33b1e,2025-03-26,01:09:23,2025-03-26T01:09:23Z,2025-03-26T01:09:23Z,NA,v3,471254,5320,25 March 2025 21:00-sandiego@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.50977,-115.40358,13.2617,5.74372,2.29791,-15.32319,-0.99022,2.12132,3.24063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-25,18:09:42,"Martin, Landon",1000364953,Right,CAL_FUL,Undefined,Slider,NA,NA,78.64792,2.76432,-0.834293,2303.884027,81.87352,08:45:00,5.88131,0.79059,5.10266,-46.64408,0.22551,-9.18552,4.60135,-0.76106,71.51135,-5.736874,-2.457455,0.492739,4.29177,-0.21102,-0.70443,50,6.10602,2.04225,-113.93755,3.84701,5.60931,22.0566,-32.44987,ff248ae7-aa5a-4a1f-adea-758cc6ecece6,NA,NA,NA,NA,NA,822297,"Libed, Nico",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,SAN_TOR,1,Top,1,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,SAN_TOR,GoodwinField,D1,BW,20250325-GoodwinField-1,0026dfb0-09df-11f0-91ec-41cc551cf82d,76.49576,NA,NA,7.13658,NA,NA,NA,4f69f254-7555-401e-b034-118e07d33b1e,2025-03-26,01:09:42,2025-03-26T01:09:42Z,2025-03-26T01:09:42Z,NA,v3,471254,5320,25 March 2025 21:00-sandiego@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.39612,-114.97741,11.0283,5.88859,5.37686,-16.22494,-0.79448,1.7778,2.80465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-25,18:10:04,"Martin, Landon",1000364953,Right,CAL_FUL,Undefined,Slider,NA,NA,79.71218,-0.419443,-0.71471,2475.725195,74.103903,08:30:00,5.73045,0.99003,5.29409,-49.02664,-3.21402,-17.16151,1.25103,-1.11119,72.23449,-9.338098,-3.767612,0.487151,8.40548,-1.04205,-0.9118,50,5.65648,2.13335,-115.5343,-2.56077,11.1164,25.849240000000002,-33.5522,820c22ac-7766-4ec6-934a-9a2a59fd7858,NA,NA,NA,NA,NA,822297,"Libed, Nico",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,SAN_TOR,1,Top,1,1,2,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,SAN_TOR,GoodwinField,D1,BW,20250325-GoodwinField-1,0d446af0-09df-11f0-91ec-41cc551cf82d,77.37314,NA,NA,7.4777,NA,NA,NA,4f69f254-7555-401e-b034-118e07d33b1e,2025-03-26,01:10:04,2025-03-26T01:10:04Z,2025-03-26T01:10:04Z,NA,v3,471254,5320,25 March 2025 21:00-sandiego@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.2062,-116.69331,12.924620000000001,5.73757,-1.05639,-16.7761,-0.99628,1.63492,5.5582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-25,18:10:22,"Martin, Landon",1000364953,Right,CAL_FUL,Undefined,Fastball,NA,NA,88.78231,-1.765824,-0.689042,1997.137307,197.112333,12:30:00,5.84457,0.83279,5.79238,-18.45922,17.4621,4.99,2.66303,0.60762,80.42517,-5.273598,0.205105,0.431368,-2.77221,9.83347,-0.77918,50,5.6884,1.33799,-128.78728,-4.52613,-4.60587,29.43446,-15.83629,6ac00097-5b87-4069-9030-111a2b614af2,NA,NA,NA,NA,-6.230433,822297,"Libed, Nico",3221.122504,NA,87.16723,Right,31.673957,109.73876,60.35023,-7.57632,335.44757,329.96355,4.746357,-0.165596,1.48692,2.83234,-0.63526,NA,NA,NA,NA,NA,2,5,SAN_TOR,1,Top,1,2,2,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,CAL_FUL,SAN_TOR,GoodwinField,D1,BW,20250325-GoodwinField-1,18089ce0-09df-11f0-91ec-41cc551cf82d,87.37892,76.28216,NA,8.35714,NA,NA,NA,4f69f254-7555-401e-b034-118e07d33b1e,2025-03-26,01:10:22,2025-03-26T01:10:22Z,2025-03-26T01:10:22Z,FlyBall,v3,471254,5320,25 March 2025 21:00-sandiego@calstfull,"Ortega, Max",703672,Right,CAL_FUL,54.70623,-129.85844,14.71723,5.84262,-3.94983,-7.91814,-0.83092,1.50561,-2.30293,202.923349,1.48927,108.10818,-18.70803,4.39065,-0.67833,0.03785,0.00651,-0.00107,4e-5,2.83134,67.14597,-16.19577,0.17124,0.25291,-0.13411,0.0401,-0.00608,3.5e-4,-0.63605,-11.78973,6.92648,-2.0353,0.40833,-0.04737,0.00115,3e-4,-2e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-03-25,18:10:58,"Martin, Landon",1000364953,Right,CAL_FUL,Undefined,Fastball,NA,NA,88.29737,-1.979641,-0.324561,2023.094399,202.246922,12:45:00,5.80122,1.10468,6.0444,-22.05828,13.8691,5.16811,2.12945,1.23486,80.21385,-6.139894,0.606343,0.431404,-2.74854,8.10729,-1.08208,50,5.63512,0.51045,-128.12251,-5.10075,-4.5276,28.69363,-18.81908,db39a21c-c727-4ebb-a5d5-add0ca6d3b21,NA,NA,NA,NA,NA,813668,"Gurevitch, Jack",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,SAN_TOR,1,Top,2,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,SAN_TOR,GoodwinField,D1,BW,20250325-GoodwinField-1,2d5cf870-09df-11f0-91ec-41cc551cf82d,87.37155,NA,NA,8.08352,NA,NA,NA,4f69f254-7555-401e-b034-118e07d33b1e,2025-03-26,01:10:58,2025-03-26T01:10:58Z,2025-03-26T01:10:58Z,NA,v3,471254,5320,25 March 2025 21:00-sandiego@calstfull,"Ortega, Max",703672,Right,CAL_FUL,54.45283,-129.11589,14.34682,5.80043,-4.44923,-9.40954,-1.10247,0.66719,-2.2638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-25,18:11:14,"Martin, Landon",1000364953,Right,CAL_FUL,Undefined,Curveball,NA,NA,73.60001,2.515986,0.158457,1953.20824,32.305517,07:00:00,6.12587,0.5836,5.22366,-65.02791,-11.59221,-8.47292,3.07384,0.0265,67.11507,-9.271858,-1.346029,0.526123,4.29784,-6.11445,-0.59149,50,6.30875,0.02395,-106.72142,2.52369,4.89895,20.36418,-39.1437,9c5d35c0-68a0-46f6-85c2-e516e0464bf1,NA,NA,NA,NA,10.687434,813668,"Gurevitch, Jack",2188.364947,NA,103.10826,Left,-2.172667,NA,NA,NA,39.57399,39.57399,0.258738,10.46,1.94262,3.14526,-0.0626,NA,NA,NA,NA,NA,3,2,SAN_TOR,1,Top,2,0,1,Curveball,InPlay,Undefined,GroundBall,Out,1,0,NA,CAL_FUL,SAN_TOR,GoodwinField,D1,BW,20250325-GoodwinField-1,37356ad0-09df-11f0-91ec-41cc551cf82d,71.64188,3.14526,NA,6.48494,NA,NA,NA,4f69f254-7555-401e-b034-118e07d33b1e,2025-03-26,01:11:14,2025-03-26T01:11:14Z,2025-03-26T01:11:14Z,GroundBall,v3,471254,5320,25 March 2025 21:00-sandiego@calstfull,"Ortega, Max",703672,Right,CAL_FUL,55.27937,-107.72409,10.18209,6.13704,4.45102,-19.57185,-0.58674,-0.21726,2.44947,338.00986,1.94475,148.38616,-21.26424,NA,NA,NA,NA,NA,NA,3.14834,-5.89114,-24.30861,NA,NA,NA,NA,NA,NA,-0.06303,28.04717,-0.13126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
9,2025-03-25,18:14:26,"Horn, David",702615,Right,SAN_TOR,Undefined,Fastball,NA,NA,89.64629,-2.001546,-0.604231,2273.773895,165.773042,11:30:00,6.12772,0.70247,5.83099,-20.8584,14.2002,-3.30154,2.5281,-0.13434,81.60042,-5.921696,-1.196389,0.426156,1.49894,8.19217,-0.65124,50,5.95207,1.51526,-130.0548,-5.21071,2.55172,28.81926,-18.22803,a9023101-eb79-41e0-a985-370ba7e9e793,NA,NA,NA,NA,NA,1000091514,"Johnstone, Carter",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,CAL_FUL,1,Bottom,0,0,0,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,SAN_TOR,GoodwinField,D1,BW,20250325-GoodwinField-1,a96e4ae0-09df-11f0-91ec-41cc551cf82d,88.44749,NA,NA,8.04587,NA,NA,NA,4f69f254-7555-401e-b034-118e07d33b1e,2025-03-26,01:14:26,2025-03-26T01:14:26Z,2025-03-26T01:14:26Z,NA,v3,471254,5320,25 March 2025 21:00-sandiego@calstfull,"Libed, Nico",822297,Right,SAN_TOR,54.66617,-131.08471,14.40963,6.12664,-4.55929,-9.11401,-0.70376,1.42407,1.27586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-25,18:14:41,"Horn, David",702615,Right,SAN_TOR,Undefined,Fastball,NA,NA,90.80199,-1.705785,-0.148924,2336.352432,174.292288,11:45:00,6.10209,0.79990000000000006,5.73573,-22.59781,11.56371,-1.04516,2.63,0.57412,82.92999,-5.919801,-0.3361,0.420668,0.49185,6.70989,-0.78683,50,5.9462,0.38791,-131.81939,-4.6965,0.86276,28.81774,-20.40375,64f03f3d-110d-474e-ab29-93f8fca770e7,NA,NA,NA,NA,-18.7616,1000091514,"Johnstone, Carter",2932.602117,NA,95.73758,Left,7.181237,101.23839,5.18132,-43.02072,145.57009,142.60126,1.20806,-24.313651,0.80352,2.61673,-0.61149,NA,NA,NA,NA,NA,1,2,CAL_FUL,1,Bottom,0,0,1,Cutter,InPlay,Undefined,LineDrive,Single,0,0,NA,CAL_FUL,SAN_TOR,GoodwinField,D1,BW,20250325-GoodwinField-1,b2098250-09df-11f0-91ec-41cc551cf82d,89.60129,7.11267,NA,7.872,NA,NA,NA,4f69f254-7555-401e-b034-118e07d33b1e,2025-03-26,01:14:41,2025-03-26T01:14:41Z,2025-03-26T01:14:41Z,LineDrive,v3,471254,5320,25 March 2025 21:00-sandiego@calstfull,"Libed, Nico",822297,Right,SAN_TOR,54.76369,-132.85673,14.40887,6.10204,-3.96203,-10.20188,-0.80024,0.35685,0.43138,95.537256,0.80352,131.91141,-23.00768,4.36863,-1.09006,0.5797,-0.4824,0.25235,-0.05382,2.61673,17.55292,-17.81487,1.46039,-0.185,-0.07402,0.1225,-0.07018,0.01541,-0.61149,-44.80692,-5.9435,2.82815,-1.19733,0.91389,-0.79416,0.41696,-0.0894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
11,2025-03-25,18:15:18,"Horn, David",702615,Right,SAN_TOR,Undefined,Fastball,NA,NA,90.48105,0.626744,1.239479,2281.604055,172.206727,11:45:00,6.14654,0.4834,5.80916,-20.79678,13.60839,-1.70725,4.99647,1.49395,82.11244,-3.297132,0.933689,0.422166,1.225,7.08504,-0.58408,50,6.18565,-2.7643,-131.29733,0.76545,2.1272,29.15589,-19.87086,903222ad-86e6-48ae-acdc-01206278f4cc,NA,NA,NA,NA,NA,823944,"Latta, Maddox",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,CAL_FUL,1,Bottom,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,SAN_TOR,GoodwinField,D1,BW,20250325-GoodwinField-1,c84816d0-09df-11f0-91ec-41cc551cf82d,89.28342,NA,NA,8.36861,NA,NA,NA,4f69f254-7555-401e-b034-118e07d33b1e,2025-03-26,01:15:18,2025-03-26T01:15:18Z,2025-03-26T01:15:18Z,NA,v3,471254,5320,25 March 2025 21:00-sandiego@calstfull,"Libed, Nico",822297,Right,SAN_TOR,54.68697,-132.33403,14.57794,6.14587,1.47199,-9.93543,-0.48445,-2.83994,1.0636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
12,2025-03-25,18:15:37,"Horn, David",702615,Right,SAN_TOR,Undefined,Fastball,NA,NA,90.73228,-1.941766,0.144223,2267.147287,172.194304,11:45:00,6.12796,0.44625,5.77355,-18.96182,15.18312,-1.93,2.74017,0.41963,82.87115,-5.509532,-0.201558,0.420566,1.02402,8.62237,-0.45699,50,5.95609,-0.24722,-131.70277,-5.07278,1.79546,28.42804,-17.05602,751a2742-0919-4ba3-99bd-977c5e9a727e,NA,NA,NA,NA,NA,823944,"Latta, Maddox",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,CAL_FUL,1,Bottom,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,SAN_TOR,GoodwinField,D1,BW,20250325-GoodwinField-1,d36983f0-09df-11f0-91ec-41cc551cf82d,89.62305,NA,NA,7.86113,NA,NA,NA,4f69f254-7555-401e-b034-118e07d33b1e,2025-03-26,01:15:37,2025-03-26T01:15:37Z,2025-03-26T01:15:37Z,NA,v3,471254,5320,25 March 2025 21:00-sandiego@calstfull,"Libed, Nico",822297,Right,SAN_TOR,54.72497,-132.71874,14.21402,6.12649,-4.46323,-8.52801,-0.44701,-0.31138,0.89773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
13,2025-03-25,18:15:56,"Horn, David",702615,Right,SAN_TOR,Undefined,Fastball,NA,NA,90.4117,-0.664773,-0.001255,2244.952867,185.91286,12:15:00,6.16325,0.59966,5.84279,-17.783080000000002,16.46017,1.59173,4.06349,0.73114,82.49468,-4.036525,0.284192,0.421171,-0.80721,8.90792,-0.60046,50,6.09866,-0.06729,-131.30272,-2.06444,-1.40826,27.97417,-16.63328,01f9101a-6827-4f6d-af09-ab765600ba96,NA,NA,NA,NA,NA,823944,"Latta, Maddox",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,CAL_FUL,1,Bottom,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,SAN_TOR,GoodwinField,D1,BW,20250325-GoodwinField-1,deedaa80-09df-11f0-91ec-41cc551cf82d,89.49428,NA,NA,7.91702,NA,NA,NA,4f69f254-7555-401e-b034-118e07d33b1e,2025-03-26,01:15:56,2025-03-26T01:15:56Z,2025-03-26T01:15:56Z,NA,v3,471254,5320,25 March 2025 21:00-sandiego@calstfull,"Libed, Nico",822297,Right,SAN_TOR,54.65439,-132.29063,13.98708,6.16119,-1.47704,-8.31664,-0.59896,-0.01756,-0.70413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
14,2025-03-25,18:16:18,"Horn, David",702615,Right,SAN_TOR,Undefined,Fastball,NA,NA,91.53502,-1.587326,-0.071189,2479.977991,188.119087,12:15:00,6.07629,0.37342,6.02602,-18.06194,15.20355,2.01382,3.10064,0.4753,83.43842,-5.012589,0.291278,0.415115,-1.06449,8.62607,-0.36896,50,5.94235,0.08097,-132.94859,-4.23686,-1.89699,29.65216,-16.80168,e0702326-e7ec-4f9f-945c-e1b8c0ad5a4a,NA,NA,NA,NA,NA,823944,"Latta, Maddox",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,CAL_FUL,1,Bottom,0,2,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CAL_FUL,SAN_TOR,GoodwinField,D1,BW,20250325-GoodwinField-1,ec1d8540-09df-11f0-91ec-41cc551cf82d,90.79999,NA,NA,8.0966,NA,NA,NA,4f69f254-7555-401e-b034-118e07d33b1e,2025-03-26,01:16:18,2025-03-26T01:16:18Z,2025-03-26T01:16:18Z,NA,v3,471254,5320,25 March 2025 21:00-sandiego@calstfull,"Libed, Nico",822297,Right,SAN_TOR,54.47378,-133.94268,14.82608,6.07494,-3.67359,-8.40084,-0.37275,0.14457,-0.9485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
