PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-28,18:05:24,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Fastball,NA,NA,90.00284,-0.877018,4.121282,2212.7256,143.591409,10:45:00,5.65952,-2.51536,5.80155,-20.78111,13.92851,-9.46091,3.10988,0.53602,82.24141,-4.775069,2.432666,0.42403,5.93477,7.67374,2.18182,50,5.57489,-8.98452,-130.41116,-2.67454,10.23543,27.04949,-18.93946,21c5c52b-537b-4440-9507-4e0754e7672d,NA,NA,NA,NA,NA,831546,"Thompson, Kyeler",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,TEX_RAI,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,TEX_RAI,KansasState,D1,BIG12,20250328-KansasState-1,21c75770-0c29-11f0-a554-6d961a5d2a5a,88.89103,NA,NA,7.76143,NA,NA,NA,3143b06f-44cd-4539-9be3-66583081bc40,2025-03-28,23:05:24,2025-03-28T23:05:24Z,2025-03-28T23:05:24Z,NA,v3,471328,2330,28 March 2025 19:00-txtech@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.69792,-131.38197,13.52475,5.65868,-1.9948,-9.46973,2.51087,-9.35188,5.11771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-28,18:05:43,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Fastball,NA,NA,87.87967,-2.036474,3.214855,2225.649859,146.558638,11:00:00,5.71726,-2.5021,5.8613,-20.12918,16.73095,-10.15292,2.14407,-0.35829,79.21077,-5.860256,1.397069,0.436968,6.2467,9.60784,2.24712,50,5.54028,-6.72032,-127.21984,-5.13105,10.07722,29.91505,-16.67461,c42e406b-ae9b-4fc4-a008-43134e5f6b89,NA,NA,NA,NA,125.23114700000001,831546,"Thompson, Kyeler",4218.328349,NA,64.29495,Right,55.210116,NA,NA,NA,NA,29.40849,NA,NA,1.58224,2.10128,0.3253,NA,NA,NA,NA,NA,1,2,TEX_RAI,1,Top,0,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,TEX_RAI,KansasState,D1,BIG12,20250328-KansasState-1,2d04d810-0c29-11f0-a554-6d961a5d2a5a,86.25897,38.18971,NA,8.6689,NA,NA,NA,3143b06f-44cd-4539-9be3-66583081bc40,2025-03-28,23:05:43,2025-03-28T23:05:43Z,2025-03-28T23:05:43Z,NA,v3,471328,2330,28 March 2025 19:00-txtech@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.63743,-128.30567,14.95752,5.71554,-4.52581,-8.33731,2.49769,-7.0861,5.03861,333.670399,1.58224,-31.03846,-3.01448,1.51877,-0.13983,-0.44409,-0.27088,1.98752,-1.59431,2.10128,77.44307,-26.76338,3.05036,-0.52201,-0.003,-0.58483,1.5863,-1.09552,0.3253,43.94888,-4.73655,0.61927,-0.09092,0.07982,-0.22843,0.31936,-0.16584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
3,2025-03-28,18:06:06,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Fastball,NA,NA,89.20486,-0.795942,4.123391,2214.267325,145.461733,10:45:00,5.70814,-2.39892,5.7876,-18.45804,16.79804,-10.80985,3.42751,0.54302,81.66006,-4.278999,2.194711,0.427355,6.63646,9.11902,2.06529,50,5.63137,-8.86575,-129.31186,-2.37197,11.27931,26.01577,-16.67534,6a674658-9a1e-4ad0-a6de-76abfb95b9dd,NA,NA,NA,NA,109.901128,831546,"Thompson, Kyeler",4064.52454,NA,61.16917,Right,65.435708,NA,NA,NA,NA,12.24304,NA,NA,1.07067,3.44372,-0.53486,NA,NA,NA,NA,NA,1,3,TEX_RAI,1,Top,0,0,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,TEX_RAI,KansasState,D1,BIG12,20250328-KansasState-1,3ac5f650-0c29-11f0-a554-6d961a5d2a5a,88.19941,29.4605,NA,7.5448,NA,NA,NA,3143b06f-44cd-4539-9be3-66583081bc40,2025-03-28,23:06:06,2025-03-28T23:06:06Z,2025-03-28T23:06:06Z,NA,v3,471328,2330,28 March 2025 19:00-txtech@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.71354,-130.2567,13.00788,5.70652,-1.76635,-8.33767,2.39471,-9.2754,5.63966,337.044688,1.07528,-12.8687,-4.71029,NA,NA,NA,NA,NA,NA,3.44869,81.4092,-23.43697,NA,NA,NA,NA,NA,NA,-0.53365,35.02351,-3.13002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
4,2025-03-28,18:06:31,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Slider,NA,NA,80.37899,-0.268688,1.978014,2292.960114,281.786191,03:30:00,5.46279,-2.80521,5.56931,-43.42207,0.27996,5.01882,1.59314,-0.53849,74.1091,-8.190832,2.87383,0.475798,-2.02106,0.54906,2.63115,50,5.41071,-4.22416,-116.73347,-2.00467,-2.79085,21.82073,-31.41587,df74d03c-e70e-47c3-8611-b0d6a3d7cfbb,NA,NA,NA,NA,-48.16992,831546,"Thompson, Kyeler",NA,NA,83.56769,Right,-20.006066,NA,NA,NA,8.03786,2.82612,0.051732,-34.894379,2.61073,2.17386,-0.14928,NA,NA,NA,NA,NA,1,4,TEX_RAI,1,Top,0,0,2,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,KAN_WIL,TEX_RAI,KansasState,D1,BIG12,20250328-KansasState-1,49bdbfd0-0c29-11f0-a554-6d961a5d2a5a,79.21947,2.17386,NA,6.26988,NA,NA,NA,3143b06f-44cd-4539-9be3-66583081bc40,2025-03-28,23:06:31,2025-03-28T23:06:31Z,2025-03-28T23:06:31Z,GroundBall,v3,471328,2330,28 March 2025 19:00-txtech@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.9334,-117.65204,10.91036,5.46726,-0.68218,-15.70794,2.8065,-4.10667,-1.39542,NA,2.60937,76.97348,NA,NA,NA,NA,NA,NA,NA,2.17461,-42.02173,NA,NA,NA,NA,NA,NA,NA,-0.14775,-85.99925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
5,2025-03-28,18:07:07,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Slider,NA,NA,82.55348,0.499227,4.379175,1528.100228,89.239075,09:00:00,5.24834,-2.91407,5.71064,-40.1151,1.02654,-13.908,2.37191,0.01487,76.11767,-6.847849,1.899356,0.461649,8.24937,0.72098,2.55568,50,5.26498,-8.62573,-119.71829,-0.30818,12.06031,21.52307,-31.11997,1da9afef-3232-4202-820c-b96f8ffe1ef3,NA,NA,NA,NA,-31.395785,809720,"Bravo, Damian",3666.588163,NA,101.95019,Right,6.521002,NA,NA,NA,105.93555,103.88557,0.784308,-33.922636,2.05044,2.40395,0.01953,NA,NA,NA,NA,NA,2,1,TEX_RAI,1,Top,1,0,0,Changeup,InPlay,Undefined,GroundBall,Error,0,0,NA,KAN_WIL,TEX_RAI,KansasState,D1,BIG12,20250328-KansasState-1,5f4a1b50-0c29-11f0-a554-6d961a5d2a5a,81.64733,5.0217,NA,6.43581,NA,NA,NA,3143b06f-44cd-4539-9be3-66583081bc40,2025-03-28,23:07:07,2025-03-28T23:07:07Z,2025-03-28T23:07:07Z,GroundBall,v3,471328,2330,28 March 2025 19:00-txtech@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.79286,-120.57688,10.76153,5.25251,0.93324,-15.55998,2.90937,-9.10683,6.03015,NA,2.12258,125.55755,-20.74339,NA,NA,NA,NA,NA,NA,2.48846,15.50859,-23.94376,NA,NA,NA,NA,NA,NA,0.04374,-77.82248,3.01134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
6,2025-03-28,18:07:51,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Fastball,NA,NA,90.48097,-1.420181,3.531609,2234.80535,131.70513,10:30:00,5.56757,-2.62536,5.8234,-20.46253,14.33339,-14.65702,2.53922,-0.55925,81.50103,-5.294287,0.909953,0.424557,8.62186,8.13705,2.34504,50,5.43931,-7.44499,-130.99608,-3.90345,14.75791,31.52668,-18.24599,067458b8-d66d-4e52-823c-bb30e41f58a3,NA,NA,NA,NA,55.291101,1000077151,"Villeneuve, Robin",4573.570832,NA,81.32507,Right,64.766444,NA,NA,NA,NA,54.86768,NA,NA,0.25981,3.84703,-1.27341,NA,NA,NA,NA,NA,3,1,TEX_RAI,1,Top,1,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,TEX_RAI,KansasState,D1,BIG12,20250328-KansasState-1,79886620-0c29-11f0-a554-6d961a5d2a5a,88.7807,116.653,NA,8.97994,NA,NA,NA,3143b06f-44cd-4539-9be3-66583081bc40,2025-03-28,23:07:51,2025-03-28T23:07:51Z,2025-03-28T23:07:51Z,NA,v3,471328,2330,28 March 2025 19:00-txtech@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.67561,-132.11657,15.76334,5.56652,-3.25498,-9.123,2.61896,-7.9695,7.37896,NA,0.25981,28.95352,-16.93217,6.15491,-1.72,0.42134,-0.08607,0.01213,-8.6e-4,3.84703,107.89487,-28.15982,3.07023,-0.34623,-0.02561,0.02854,-0.00867,0.00108,-1.27341,41.80041,-9.20182,2.462,-0.53655,0.09986,-0.01257,1.9e-4,1.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
7,2025-03-28,18:08:40,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,ChangeUp,NA,NA,82.28628,0.386466,3.605619,1591.956417,112.286831,09:45:00,5.20088,-2.82278,5.6297,-35.61309,6.36067,-12.11843,2.59446,-0.46383,74.93291,-6.189038,1.446078,0.466295,7.22225,3.5054,2.52343,50,5.21103,-7.02901,-119.24558,-0.377,10.3454,24.0365,-27.15281,66bc1a96-6121-4947-bcbf-cdf5bb5fc561,NA,NA,NA,NA,11.420209,1000077151,"Villeneuve, Robin",4225.082642,NA,90.537,Right,47.162164,107.67506,106.25068,22.49606,320.60415,251.07041,5.939258,12.932139,NA,NA,NA,NA,NA,NA,NA,NA,3,2,TEX_RAI,1,Top,1,0,1,Changeup,InPlay,Undefined,FlyBall,Out,1,0,NA,KAN_WIL,TEX_RAI,KansasState,D1,BIG12,20250328-KansasState-1,9703b380-0c29-11f0-a554-6d961a5d2a5a,80.83395,134.37584,NA,7.35338,NA,NA,NA,3143b06f-44cd-4539-9be3-66583081bc40,2025-03-28,23:08:40,2025-03-28T23:08:40Z,2025-03-28T23:08:40Z,FlyBall,v3,471328,2330,28 March 2025 19:00-txtech@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.87104,-120.22344,12.01825,5.2039,0.72762,-13.5764,2.81795,-7.44988,5.1727,184.391032,5.60887,88.37261,-16.81877,3.6724,-0.45754,0.00845,0.00555,-5.8e-4,1e-5,7.26366,97.37085,-22.68045,2.22178,-0.28602,-0.02686,0.01877,-0.00289,1.5e-4,0.52696,17.85948,-2.4778,0.50074,-0.05879,0.00152,2.5e-4,2e-5,-0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
8,2025-03-28,18:09:53,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Fastball,NA,NA,89.93222,-0.918399,3.822611,2159.67427,139.441542,10:45:00,5.63608,-2.54017,5.81377,-18.62332,16.12276,-12.84516,3.22816,-0.05076,82.06313,-4.437791,1.527686,0.424252,7.65811,8.83008,2.2344,50,5.5497,-8.16745,-130.3807,-2.67555,13.18126,27.43048,-16.97562,0a7189ef-e8b2-4c94-b194-0d77ebc8afec,NA,NA,NA,NA,-18.889937,813314,"Hughes, Logan",4243.664176,NA,96.47368,Left,55.608478,99.66944,136.4738,-46.54035,295.25303,127.67788,6.380514,-31.527095,2.2589,2.39416,0.11027,NA,NA,NA,NA,NA,4,1,TEX_RAI,1,Top,2,0,0,Four-Seam,InPlay,Undefined,FlyBall,Triple,0,1,NA,KAN_WIL,TEX_RAI,KansasState,D1,BIG12,20250328-KansasState-1,c2740060-0c29-11f0-a554-6d961a5d2a5a,88.84442,160.95558,NA,7.86909,NA,NA,NA,3143b06f-44cd-4539-9be3-66583081bc40,2025-03-28,23:09:53,2025-03-28T23:09:53Z,2025-03-28T23:09:53Z,FlyBall,v3,471328,2330,28 March 2025 19:00-txtech@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.68752,-131.36319,13.71524,5.63464,-2.06752,-8.48781,2.5354,-8.63957,6.59063,155.445177,2.2701,75.39727,-16.63802,3.32165,-0.09027,-0.15899,0.04381,-0.00485,2e-4,2.37877,116.98138,-28.57898,4.38427,-1.10647,0.20319,-0.02045,6.9e-4,2e-5,0.11292,-25.93871,-0.66997,0.20712,0.13929,-0.09211,0.0225,-0.00253,1.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
9,2025-03-28,18:11:38,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,ChangeUp,NA,NA,83.4488,-1.581532,4.110902,1625.271009,104.757741,09:30:00,5.35003,-3.00558,5.7775,-34.61392,5.62677,-16.7178,0.98974,-0.56692,76.9658,-7.93981,1.121641,0.456567,9.6165,3.65803,2.67583,50,5.19807,-8.03325,-120.98802,-4.50032,14.33343,22.3761,-26.72177,4855154d-6be4-4072-9b0d-f8f940da0610,NA,NA,NA,NA,NA,805263,"Maxcey, Dylan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,TEX_RAI,1,Top,2,0,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,TEX_RAI,KansasState,D1,BIG12,20250328-KansasState-1,012afe80-0c2a-11f0-a554-6d961a5d2a5a,82.55628,NA,NA,6.48299,NA,NA,NA,3143b06f-44cd-4539-9be3-66583081bc40,2025-03-28,23:11:38,2025-03-28T23:11:38Z,2025-03-28T23:11:38Z,NA,v3,471328,2330,28 March 2025 19:00-txtech@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.72487,-121.85873,11.18805,5.35296,-3.46052,-13.36088,2.99927,-8.591,7.16672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-28,18:11:55,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,ChangeUp,NA,NA,83.07039,1.002738,3.342724,1575.215469,89.020263,09:00:00,5.19602,-3.04576,5.77697,-39.75215,1.10874,-12.54694,2.81809,-0.97734,75.79824,-6.32192,1.09921,0.460071,7.32914,0.69606,2.77698,50,5.2551,-6.52839,-120.45747,0.76371,10.73519,24.07671,-31.15452,fec6cd5b-130a-4e9e-8867-d692aab2f12a,NA,NA,NA,NA,NA,805263,"Maxcey, Dylan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,TEX_RAI,1,Top,2,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,TEX_RAI,KansasState,D1,BIG12,20250328-KansasState-1,0adf6e20-0c2a-11f0-a554-6d961a5d2a5a,81.92736,NA,NA,7.27214,NA,NA,NA,3143b06f-44cd-4539-9be3-66583081bc40,2025-03-28,23:11:55,2025-03-28T23:11:55Z,2025-03-28T23:11:55Z,NA,v3,471328,2330,28 March 2025 19:00-txtech@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.72378,-121.39797,12.03835,5.2015,1.9807,-15.57726,3.04018,-6.94773,5.3676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
11,2025-03-28,18:12:14,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Fastball,NA,NA,91.33404,-1.027553,2.532815,2374.727518,140.225022,10:45:00,5.64092,-2.50916,5.71706,-16.97052,17.10568,-13.24619,3.26844,-1.25199,82.55289,-4.263324,0.165709,0.420143,7.45248,9.33363,2.30529,50,5.54455,-5.25159,-132.37435,-2.89245,13.09436,30.83511,-15.77446,7853d396-25a2-40c1-b1b1-21a09d8845fd,NA,NA,NA,NA,NA,805263,"Maxcey, Dylan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,TEX_RAI,1,Top,2,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,TEX_RAI,KansasState,D1,BIG12,20250328-KansasState-1,165f7600-0c2a-11f0-a554-6d961a5d2a5a,89.71341,NA,NA,8.78114,NA,NA,NA,3143b06f-44cd-4539-9be3-66583081bc40,2025-03-28,23:12:14,2025-03-28T23:12:14Z,2025-03-28T23:12:14Z,NA,v3,471328,2330,28 March 2025 19:00-txtech@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.7806,-133.48329,15.41756,5.63838,-2.32514,-7.88723,2.50262,-5.72251,6.54718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
12,2025-03-28,18:12:32,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,ChangeUp,NA,NA,82.73911,-0.203669,4.486586,1556.930391,101.545655,09:30:00,5.2552,-3.00436,5.77381,-37.06104,4.59189,-15.22461,1.97667,-0.08942,74.90539,-7.059175,1.768853,0.464509,9.22481,2.79756,2.64245,50,5.2159,-8.79499,-119.73789,-1.64256,13.22101,25.88249,-28.16461,c162f643-5949-4c57-86aa-6e1663ace548,NA,NA,NA,NA,NA,805263,"Maxcey, Dylan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,TEX_RAI,1,Top,2,2,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,TEX_RAI,KansasState,D1,BIG12,20250328-KansasState-1,21497f70-0c2a-11f0-a554-6d961a5d2a5a,81.1447,NA,NA,7.83372,NA,NA,NA,3143b06f-44cd-4539-9be3-66583081bc40,2025-03-28,23:12:32,2025-03-28T23:12:32Z,2025-03-28T23:12:32Z,NA,v3,471328,2330,28 March 2025 19:00-txtech@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.72713,-120.75538,12.94124,5.2587,-0.53535,-14.08231,2.99841,-9.31473,6.61051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
13,2025-03-28,18:12:58,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,Fastball,NA,NA,91.36352,0.035882,1.840516,2258.419083,142.456248,10:45:00,5.69636,-2.55854,5.62099,-17.24619,17.27013,-12.26489,4.29268,-1.86238,81.64559,-3.272602,-0.34824,0.422847,6.7439,9.06056,2.40916,50,5.68864,-3.6723,-132.29359,-0.43748,11.70557,33.64162,-16.44742,3df00474-bf07-46d0-80da-d8fc86d80680,NA,NA,NA,NA,NA,805263,"Maxcey, Dylan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,TEX_RAI,1,Top,2,2,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,KAN_WIL,TEX_RAI,KansasState,D1,BIG12,20250328-KansasState-1,30b651e0-0c2a-11f0-a554-6d961a5d2a5a,89.13958,NA,NA,9.71794,NA,NA,NA,3143b06f-44cd-4539-9be3-66583081bc40,2025-03-28,23:12:58,2025-03-28T23:12:58Z,2025-03-28T23:12:58Z,NA,v3,471328,2330,28 March 2025 19:00-txtech@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.87367,-133.52719,16.82081,5.69363,0.16563,-8.22371,2.55169,-4.10153,5.85279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
14,2025-03-28,18:13:18,"Frost, Jacob",1000238999,Left,KAN_WIL,Undefined,ChangeUp,NA,NA,84.20471,0.466894,4.568439,1533.911695,102.7647,09:30:00,5.20595,-2.95537,5.80402,-36.38746,3.80843,-10.53103,2.60929,0.42493,76.13175,-6.268879,2.689638,0.456312,6.82611,2.19236,2.58592,50,5.22276,-9.30848,-121.82433,-0.22014,10.12721,26.78916,-28.92144,fad548a9-761f-4b38-bd89-07813b6757cd,NA,NA,NA,NA,-34.016063,805263,"Maxcey, Dylan",NA,NA,90.40332,Right,-14.158472,NA,NA,NA,12.05575,11.62651,0.081441,-32.258085,1.49791,2.64693,-0.56477,NA,NA,NA,NA,NA,5,6,TEX_RAI,1,Top,2,3,2,Changeup,InPlay,Undefined,GroundBall,Out,1,0,NA,KAN_WIL,TEX_RAI,KansasState,D1,BIG12,20250328-KansasState-1,3c6e80c0-0c2a-11f0-a554-6d961a5d2a5a,82.60228,2.64693,NA,8.07296,NA,NA,NA,3143b06f-44cd-4539-9be3-66583081bc40,2025-03-28,23:13:18,2025-03-28T23:13:18Z,2025-03-28T23:13:18Z,GroundBall,v3,471328,2330,28 March 2025 19:00-txtech@kansasst,"Madliak, Bear",1000213566,Right,KAN_WIL,54.6959,-122.85262,13.39458,5.2099,0.88999,-14.46072,2.95068,-9.69721,5.06361,180,1.49494,106.7901,NA,NA,NA,NA,NA,NA,NA,2.64783,-32.5013,NA,NA,NA,NA,NA,NA,NA,-0.56277,-72.0744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
