PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-01,15:05:02,"Marks, Caleb",1000211292,Right,APP_MOU,Undefined,Fastball,NA,NA,89.33222,-2.708239,-0.958232,2222.522844,186.870038,12:15:00,6.44836,0.48037,6.27264,-13.98969,21.44702,2.41272,2.78371,-0.20202,79.68015,-5.468324,-0.522151,0.428448,-1.59847,12.51154,-0.41066,50,6.24121,2.06533,-129.38601,-6.43308,-2.63492,33.93669,-11.55011,be96f4f6-55a2-42e6-957a-6b1a9314f5a3,NA,NA,NA,NA,-4.863811,1000122224,"Knight, Lawson",3082.624561,NA,96.98132,Right,26.078229,109.79284,49.85264,-6.74584,384.54708,378.77108,4.806206,-0.714793,1.68496,2.84007,0.1954,NA,NA,NA,NA,NA,1,1,GAR_RUN,1,Top,0,0,0,Four-Seam,InPlay,Undefined,LineDrive,Out,1,0,NA,APP_MOU,GAR_RUN,JimBettieSmith,D1,SBELT,20250301-JimBettieSmith-1,766f28e0-f6d8-11ef-86c8-a9bfb2cc691e,87.97435,71.93411,NA,9.65207,NA,NA,NA,5ce56cfe-ad56-43f6-bb98-fc127bb83092,2025-03-01,20:05:02,2025-03-01T20:05:02Z,2025-03-01T20:05:02Z,FlyBall,v3,471230,471504,NA,"Church, Braxton",1000192101,Right,APP_MOU,54.2242,-130.48928,16.96835,6.44424,-6.05759,-5.77506,-0.47919,2.15099,-1.31746,195.402786,1.68505,127.29981,-21.01134,4.76158,-1.07237,0.24602,-0.04857,0.0061,-3.3e-4,2.84183,62.48411,-15.2169,0.29834,0.31746,-0.19375,0.05451,-0.00747,4e-4,0.19543,-10.8333,4.81348,-1.25745,0.30504,-0.06711,0.01144,-0.00124,6e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
2,2025-03-01,15:05:36,"Marks, Caleb",1000211292,Right,APP_MOU,Undefined,Fastball,NA,NA,90.21499,-3.132662,-0.510413,2144.420347,198.112247,12:30:00,6.38463,0.68367,6.35796,-16.36025,17.1719,5.28965,2.13506,0.65469,83.19768,-6.240078,0.447753,0.416775,-2.88634,10.07233,-0.64903,50,6.14951,0.95725,-131.0642,-7.61938,-5.0574,25.79835,-14.52541,8965c983-331c-4283-b63d-f8772e35b06d,NA,NA,NA,NA,NA,10052708,"Carter, Merik",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,GAR_RUN,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,APP_MOU,GAR_RUN,JimBettieSmith,D1,SBELT,20250301-JimBettieSmith-1,8a919420-f6d8-11ef-86c8-a9bfb2cc691e,90.43824,NA,NA,7.0173,NA,NA,NA,5ce56cfe-ad56-43f6-bb98-fc127bb83092,2025-03-01,20:05:36,2025-03-01T20:05:36Z,2025-03-01T20:05:36Z,NA,v3,471230,471504,NA,"Church, Braxton",1000192101,Right,APP_MOU,54.14264,-131.87711,12.89917,6.38239,-7.16168,-7.26271,-0.6817,1.11661,-2.5287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-01,15:05:49,"Marks, Caleb",1000211292,Right,APP_MOU,Undefined,Fastball,NA,NA,91.18609,-2.444436,-0.755352,1958.347806,208.89994,01:00:00,6.49711,0.68658,5.77787,-18.33761,15.098,7.80217,2.69285,0.63386,84.2664,-5.870686,0.642595,0.416175,-4.19185,8.62654,-0.62908,50,6.28408,1.4141,-132.49246,-6.25662,-7.52725,25.60219,-16.68343,2934211c-f161-4ffb-a0ec-2ffc159c5429,NA,NA,NA,NA,-5.983071,10052708,"Carter, Merik",870.851817,NA,98.39984,Left,12.399997,108.92425,17.15445,-15.34609,226.77853,225.27434,2.092621,-9.77669,0.82155,2.61613,-0.63223,NA,NA,NA,NA,NA,2,2,GAR_RUN,1,Top,1,0,1,Four-Seam,InPlay,Undefined,FlyBall,Single,0,0,NA,APP_MOU,GAR_RUN,JimBettieSmith,D1,SBELT,20250301-JimBettieSmith-1,92426b90-f6d8-11ef-86c8-a9bfb2cc691e,90.56869,17.29036,NA,6.91968,NA,NA,NA,5ce56cfe-ad56-43f6-bb98-fc127bb83092,2025-03-01,20:05:49,2025-03-01T20:05:49Z,2025-03-01T20:05:49Z,LineDrive,v3,471230,471504,NA,"Church, Braxton",1000192101,Right,APP_MOU,54.72404,-133.40218,12.8011,6.49587,-5.66381,-8.34172,-0.68408,1.68157,-3.76363,124.217068,0.82155,140.18501,-23.37528,5.098,-1.14653,0.2503,-0.05011,0.0074400000000000004,-5.5e-4,2.61613,30.99049,-17.43855,1.30179,-0.22169,0.03924,-0.00568,8.3e-4,-7e-5,-0.63223,-14.6922,-3.16412,1.22547,-0.36846,0.09536,-0.02069,0.00319,-2.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
4,2025-03-01,15:06:25,"Marks, Caleb",1000211292,Right,APP_MOU,Undefined,Curveball,NA,NA,78.06502,-0.003772,-0.732447,2258.873416,0.192646,06:00:00,6.29999,1.04463,5.43958,-53.89448,-6.99115,-0.0287,1.80526,0.35634,71.59569,-9.791557,-0.737568,0.492916,-0.20728,-3.17449,-0.97981,50,6.26189,1.45007,-113.33971,-1.83158,-0.26731,22.38086,-36.2678,100af6e4-230d-4d49-bc56-98c7f54e4580,NA,NA,NA,NA,NA,805506,"Kennell, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,GAR_RUN,1,Top,1,0,0,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,APP_MOU,GAR_RUN,JimBettieSmith,D1,SBELT,20250301-JimBettieSmith-1,a7ee35f0-f6d8-11ef-86c8-a9bfb2cc691e,76.46821,NA,NA,6.46933,NA,NA,NA,5ce56cfe-ad56-43f6-bb98-fc127bb83092,2025-03-01,20:06:25,2025-03-01T20:06:25Z,2025-03-01T20:06:25Z,NA,v3,471230,471504,NA,"Church, Braxton",1000192101,Right,APP_MOU,55.06342,-114.3352,11.19043,6.30748,-0.21841,-18.1339,-1.04457,1.46196,-0.13365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-01,15:06:46,"Marks, Caleb",1000211292,Right,APP_MOU,Undefined,Fastball,NA,NA,91.14285,-0.867277,-0.94447,2208.515669,196.407778,12:30:00,6.46399,0.55535,6.05763,-13.37536,20.75733,5.72634,4.54644,0.15825,81.42795,-3.503009,0.086237,0.420491,-3.22984,11.28642,-0.48478,50,6.38925,1.92133,-132.08745,-2.30477,-5.57927,33.96685,-12.67766,c0b8d400-0673-407b-ac5c-0e81bd039a5c,NA,NA,NA,NA,NA,805506,"Kennell, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,GAR_RUN,1,Top,1,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,APP_MOU,GAR_RUN,JimBettieSmith,D1,SBELT,20250301-JimBettieSmith-1,b44a45f0-f6d8-11ef-86c8-a9bfb2cc691e,89.63909,NA,NA,9.71491,NA,NA,NA,5ce56cfe-ad56-43f6-bb98-fc127bb83092,2025-03-01,20:06:46,2025-03-01T20:06:46Z,2025-03-01T20:06:46Z,NA,v3,471230,471504,NA,"Church, Braxton",1000192101,Right,APP_MOU,54.43654,-133.22344,16.98343,6.45924,-1.88078,-6.33883,-0.55216,2.10793,-2.78964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-01,15:07:02,"Marks, Caleb",1000211292,Right,APP_MOU,Undefined,Curveball,NA,NA,76.96745,-0.593805,-2.114874,2294.433241,37.776481,07:15:00,6.34491,0.94231,5.76384,-56.05357,-7.36162,-7.16146,1.1207,-1.62379,69.50379,-10.850194,-3.400427,0.502227,2.86973,-2.96626,-0.76276,50,6.26228,4.38718,-111.48295,-2.9641,3.50535,25.53335,-35.79729,d9191f64-50c0-4e83-b2bb-555afe374d49,NA,NA,NA,NA,NA,805506,"Kennell, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,GAR_RUN,1,Top,1,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,APP_MOU,GAR_RUN,JimBettieSmith,D1,SBELT,20250301-JimBettieSmith-1,bdbfb0c0-f6d8-11ef-86c8-a9bfb2cc691e,75.05063,NA,NA,7.46366,NA,NA,NA,5ce56cfe-ad56-43f6-bb98-fc127bb83092,2025-03-01,20:07:02,2025-03-01T20:07:02Z,2025-03-01T20:07:02Z,NA,v3,471230,471504,NA,"Church, Braxton",1000192101,Right,APP_MOU,54.73537,-112.56228,12.76667,6.3556,-1.4509,-17.89865,-0.94509,4.23901,1.75267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-01,15:07:25,"Marks, Caleb",1000211292,Right,APP_MOU,Undefined,ChangeUp,NA,NA,82.93609,-1.604779,-2.923567,1574.222402,251.028345,02:15:00,6.32459,0.92807,5.74031,-35.15714,5.63351,12.74316,1.89819,-0.73466,76.43559,-8.060865,-0.642403,0.459676,-7.27166,3.69118,-0.69245,50,6.16928,5.63854,-120.34432,-4.54721,-10.70068,22.60393,-26.74225,652a06bb-03d9-41f2-acb3-3604dcfafeb2,NA,NA,NA,NA,NA,805506,"Kennell, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,GAR_RUN,1,Top,1,2,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,APP_MOU,GAR_RUN,JimBettieSmith,D1,SBELT,20250301-JimBettieSmith-1,cb4ffb00-f6d8-11ef-86c8-a9bfb2cc691e,81.99787,NA,NA,6.5005,NA,NA,NA,5ce56cfe-ad56-43f6-bb98-fc127bb83092,2025-03-01,20:07:25,2025-03-01T20:07:25Z,2025-03-01T20:07:25Z,NA,v3,471230,471504,NA,"Church, Braxton",1000192101,Right,APP_MOU,54.76088,-121.23525,11.30196,6.32773,-3.49318,-13.37113,-0.92301,6.0603,-5.35034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-01,15:07:43,"Marks, Caleb",1000211292,Right,APP_MOU,Undefined,Curveball,NA,NA,77.26479,0.002712,-1.609748,2261.438263,38.382563,07:15:00,6.33775,1.05674,5.50371,-54.657470000000004,-5.73048,-6.08579,1.7855,-0.95638,69.33977,-9.996491,-2.696561,0.503438,2.44744,-2.25425,-0.91197,50,6.30195,3.38478,-111.82867,-1.83426,3.00068,26.14,-34.93787,9f1b3bf4-ee74-4d01-acd3-7a3c3310f8e2,NA,NA,NA,NA,NA,805506,"Kennell, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,GAR_RUN,1,Top,1,2,2,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,APP_MOU,GAR_RUN,JimBettieSmith,D1,SBELT,20250301-JimBettieSmith-1,d641a590-f6d8-11ef-86c8-a9bfb2cc691e,74.87013,NA,NA,7.92502,NA,NA,NA,5ce56cfe-ad56-43f6-bb98-fc127bb83092,2025-03-01,20:07:43,2025-03-01T20:07:43Z,2025-03-01T20:07:43Z,NA,v3,471230,471504,NA,"Church, Braxton",1000192101,Right,APP_MOU,54.99347,-112.98987,13.07,6.34896,-0.28224,-17.46893,-1.05937,3.25149,1.50034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-01,15:08:13,"Marks, Caleb",1000211292,Right,APP_MOU,Undefined,Slider,NA,NA,78.32738,-1.319357,-2.380422,2415.961209,13.404789,06:30:00,6.37565,0.87821,5.69421,-51.15826,-5.57776,-1.63547,0.88159,-1.47782,73.0581,-10.582448,-2.673572,0.485916,0.22185,-2.16587,-0.67703,50,6.23221,4.79106,-113.81119,-4.29622,0.29288,19.60385,-35.03353,aaa0bc3c-6eeb-47f2-aac8-2592f757535c,NA,NA,NA,NA,NA,1000102108,"Francis, Dale",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,GAR_RUN,1,Top,2,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,APP_MOU,GAR_RUN,JimBettieSmith,D1,SBELT,20250301-JimBettieSmith-1,e801dde0-f6d8-11ef-86c8-a9bfb2cc691e,77.56993,NA,NA,5.26928,NA,NA,NA,5ce56cfe-ad56-43f6-bb98-fc127bb83092,2025-03-01,20:08:13,2025-03-01T20:08:13Z,2025-03-01T20:08:13Z,NA,v3,471230,471504,NA,"Church, Braxton",1000192101,Right,APP_MOU,54.80999,-114.63672,9.80192,6.38207,-2.82095,-17.51676,-0.87852,4.77873,0.14644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-01,15:08:32,"Marks, Caleb",1000211292,Right,APP_MOU,Undefined,Fastball,NA,NA,83.82664,-1.680206,-1.766425,1435.427188,233.884474,01:45:00,6.39428,1.04001,5.51782,-29.94037,9.98973,12.12741,2.32699,0.39843,77.68411,-7.172207,0.396688,0.454801,-6.62835,5.80563,-0.8947,50,6.22762,3.27016,-121.79021,-4.58877,-10.06088,21.5517,-23.36196,b09e4392-d12b-4cb5-947b-f4aca319a8a6,NA,NA,NA,NA,-23.597586,1000102108,"Francis, Dale",2420.477498,NA,106.28829,Right,23.083189,98.99418,43.74412,-47.95943,442.85456,398.46312,4.453899,-31.965535,2.05975,2.48717,-0.41673,NA,NA,NA,NA,NA,4,2,GAR_RUN,1,Top,2,1,0,Changeup,InPlay,Undefined,LineDrive,HomeRun,0,2,NA,APP_MOU,GAR_RUN,JimBettieSmith,D1,SBELT,20250301-JimBettieSmith-1,f3a23f00-f6d8-11ef-86c8-a9bfb2cc691e,82.87677,66.74269,NA,6.14253,NA,NA,NA,5ce56cfe-ad56-43f6-bb98-fc127bb83092,2025-03-01,20:08:32,2025-03-01T20:08:32Z,2025-03-01T20:08:32Z,FlyBall,v3,471230,471504,NA,"Church, Braxton",1000192101,Right,APP_MOU,54.985,-122.66917,10.77585,6.39533,-3.63598,-11.68098,-1.03644,3.68048,-5.03044,145.073214,2.05934,131.43139,-24.78953,6.57,-1.54282,0.34574,-0.06623,0.00831,-4.6e-4,2.48872,61.07492,-14.26981,-0.91627,0.79306,-0.32138,0.07851,-0.01021,5.3e-4,-0.41656,-57.41178,1.69366,-0.15331,0.0073,-0.00956,0.00476,-8.8e-4,6e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
