PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-28,18:03:47,"Parmer, Evan",1000102591,Right,VIR_KEY,Undefined,Fastball,NA,NA,92.03013,-2.106275,-3.916286,2273.660913,218.080484,01:15:00,5.71465,2.37574,5.36866,-14.78662,19.11174,14.08221,2.50202,-0.12847,83.67974,-4.917383,-1.421447,0.419045,-8.25528,10.56442,-2.03461,50,5.51532,8.47658,-133.20668,-5.38278,-14.78401,29.49226,-13.25468,dbf2473e-3df0-4da2-813c-9c004e7a63b6,NA,NA,NA,NA,-32.855972,1000230993,"Wolf, Jeremy",2777.372006,NA,102.85891,Right,18.684238,89.14764,29.06414,-64.44119,294.90961,160.47973,2.849088,-41.623508,2.25826,2.61568,0.17261,NA,NA,NA,NA,NA,1,1,UNC_SPA,1,Top,0,0,0,Four-Seam,InPlay,Undefined,LineDrive,Single,0,0,NA,VIR_KEY,UNC_SPA,GrayMinorStadium,D1,SOCON,20250328-GrayMinorStadium-1,863df6e0-0c20-11f0-becf-7780a2f52675,89.9484,32.58875,NA,8.35039,NA,NA,NA,ae5a10e4-8a45-4ae7-a841-f380e70e654f,2025-03-28,22:03:47,2025-03-28T22:03:47Z,2025-03-28T22:03:47Z,LineDrive,v3,471480,471372,28 March 2025 18:00-uncgreen@vmi,"Peterson, Ryan",1000079058,Left,VIR_KEY,55.13139,-134.33798,14.74613,5.71205,-4.87434,-6.62734,-2.37064,9.04368,-7.392,104.553016,2.25821,120.05057,-25.35761,6.20072,-1.457,0.26396,-0.02966,-0.0012,6.3e-4,2.6157,48.32791,-22.12906,2.53916,-0.45561,0.09258,-0.02325,0.00565,-6.8e-4,0.17263,-77.53318,0.33601,2.41539,-1.04446,0.33176,-0.08255,0.01461,-0.00122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
2,2025-03-28,18:04:24,"Parmer, Evan",1000102591,Right,VIR_KEY,Undefined,Fastball,NA,NA,85.88726,0.765631,-2.377914,1692.82428,226.484848,01:30:00,5.68867,2.48395,5.61102,-25.85454,12.47115,11.85359,4.24942,1.25094,78.32155,-4.055639,-0.264002,0.44557,-6.63473,6.46772,-2.28832,50,5.73762,4.66735,-124.60675,0.81173,-10.42909,25.09096,-22.00744,8482b832-42cd-4839-8c56-a0047af6f49c,NA,NA,NA,NA,NA,1000069443,"Truitt, Trey",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,UNC_SPA,1,Top,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,UNC_SPA,GrayMinorStadium,D1,SOCON,20250328-GrayMinorStadium-1,9c36f6e0-0c20-11f0-becf-7780a2f52675,84.59367,NA,NA,7.56571,NA,NA,NA,ae5a10e4-8a45-4ae7-a841-f380e70e654f,2025-03-28,22:04:24,2025-03-28T22:04:24Z,2025-03-28T22:04:24Z,NA,v3,471480,471372,28 March 2025 18:00-uncgreen@vmi,"Peterson, Ryan",1000079058,Left,VIR_KEY,54.88686,-125.58692,12.54548,5.68912,1.67144,-11.00372,-2.47861,5.07476,-5.21455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-28,18:04:42,"Parmer, Evan",1000102591,Right,VIR_KEY,Undefined,Fastball,NA,NA,91.64774,0.304052,-2.723905,2163.661875,217.257887,01:15:00,5.69738,2.63172,5.16941,-17.27064,16.91761,12.04973,4.54462,1.07046,83.56312,-2.937677,-0.593642,0.420833,-6.73453,8.65969,-2.38734,50,5.71302,5.74797,-132.8799,0.10884,-12.06048,28.04289,-16.66584,fd04cd53-c32e-401b-887b-5bcef2fb5611,NA,NA,NA,NA,NA,1000069443,"Truitt, Trey",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,UNC_SPA,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,UNC_SPA,GrayMinorStadium,D1,SOCON,20250328-GrayMinorStadium-1,a7234a40-0c20-11f0-becf-7780a2f52675,89.56623,NA,NA,8.08462,NA,NA,NA,ae5a10e4-8a45-4ae7-a841-f380e70e654f,2025-03-28,22:04:42,2025-03-28T22:04:42Z,2025-03-28T22:04:42Z,NA,v3,471480,471372,28 March 2025 18:00-uncgreen@vmi,"Peterson, Ryan",1000079058,Left,VIR_KEY,55.32902,-133.99981,14.02144,5.69538,0.7744,-8.33292,-2.62651,6.22962,-6.03024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-28,18:04:59,"Parmer, Evan",1000102591,Right,VIR_KEY,Undefined,Slider,NA,NA,83.18345,-0.202482,-2.785761,2156.710332,148.677541,11:00:00,5.51331,2.60308,5.39408,-37.1264,3.77516,-1.57634,2.22946,-0.14109,76.87057,-6.969078,-3.065718,0.4603,0.07902,2.3148,-2.35314,50,5.46904,5.9403,-120.7403,-1.74433,0.11755,21.85045,-28.7312,73f05432-98c3-4da5-8ff5-e53521203b69,NA,NA,NA,NA,NA,1000069443,"Truitt, Trey",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,UNC_SPA,1,Top,0,2,0,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,UNC_SPA,GrayMinorStadium,D1,SOCON,20250328-GrayMinorStadium-1,b1552740-0c20-11f0-becf-7780a2f52675,81.88662,NA,NA,6.31288,NA,NA,NA,ae5a10e4-8a45-4ae7-a841-f380e70e654f,2025-03-28,22:04:59,2025-03-28T22:04:59Z,2025-03-28T22:04:59Z,NA,v3,471480,471372,28 March 2025 18:00-uncgreen@vmi,"Peterson, Ryan",1000079058,Left,VIR_KEY,55.10602,-121.66083,10.92522,5.51702,-0.53393,-14.3656,-2.60329,5.93534,0.05877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-28,18:05:17,"Parmer, Evan",1000102591,Right,VIR_KEY,Undefined,Fastball,NA,NA,87.02545,-1.309815,-2.525185,1455.774999,232.174662,01:45:00,5.56694,2.42247,5.70271,-28.75135,8.25193,9.19378,1.94912,0.83414,80.13382,-6.613889,-0.881283,0.437816,-5.34374,4.88469,-2.21641,50,5.43906,5.18737,-126.33954,-3.88044,-8.68373,24.43596,-24.23631,a1c5f2d7-6cad-499b-9ef3-fb37022b5557,NA,NA,NA,NA,NA,1000069443,"Truitt, Trey",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,UNC_SPA,1,Top,0,2,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,UNC_SPA,GrayMinorStadium,D1,SOCON,20250328-GrayMinorStadium-1,bbf3a8c0-0c20-11f0-becf-7780a2f52675,86.09197,NA,NA,6.89163,NA,NA,NA,ae5a10e4-8a45-4ae7-a841-f380e70e654f,2025-03-28,22:05:17,2025-03-28T22:05:17Z,2025-03-28T22:05:17Z,NA,v3,471480,471372,28 March 2025 18:00-uncgreen@vmi,"Peterson, Ryan",1000079058,Left,VIR_KEY,54.7971,-127.26399,12.21798,5.56852,-2.96355,-12.11815,-2.41887,5.51589,-4.34187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-28,18:05:34,"Parmer, Evan",1000102591,Right,VIR_KEY,Undefined,Cutter,NA,NA,87.44827,-3.851528,-4.041604,1689.151315,241.841139,02:00:00,5.541,2.47019,5.83119,-27.79541,9.05741,14.71391,-0.36981,-0.06677,80.41961,-8.9689,-1.407278,0.436925,-8.73044,6.03359,-2.14894,50,5.20889,8.35014,-126.5244,-9.46644,-14.16049,25.67274,-22.38779,d1d17a49-d7f7-4aa0-9844-94bb9bd86f11,NA,NA,NA,NA,NA,1000069443,"Truitt, Trey",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,UNC_SPA,1,Top,0,2,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,UNC_SPA,GrayMinorStadium,D1,SOCON,20250328-GrayMinorStadium-1,c64283a0-0c20-11f0-becf-7780a2f52675,86.26754,NA,NA,7.02866,NA,NA,NA,ae5a10e4-8a45-4ae7-a841-f380e70e654f,2025-03-28,22:05:34,2025-03-28T22:05:34Z,2025-03-28T22:05:34Z,NA,v3,471480,471372,28 March 2025 18:00-uncgreen@vmi,"Peterson, Ryan",1000079058,Left,VIR_KEY,54.67034,-127.46853,12.83637,5.54188,-8.64312,-11.19389,-2.4656,8.8709,-7.08024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-28,18:05:53,"Parmer, Evan",1000102591,Right,VIR_KEY,Undefined,Slider,NA,NA,83.62385,-0.109815,-3.577421,2062.181738,134.42482,10:30:00,5.5192,2.61829,5.50779,-37.31848,3.53709,-2.2465,2.30643,-0.91886,76.36817,-6.947989,-3.976595,0.460042,0.08476,2.17914,-2.30415,50,5.48443,7.66645,-121.16067,-1.52926,0.12523,24.99427,-28.95417,bc4a8b39-9bb8-43bb-8b98-193c3172acd8,NA,NA,NA,NA,19.922075,1000069443,"Truitt, Trey",1753.454683,NA,90.77002,Right,12.2829,102.62425,15.76661,39.60124,220.30828,220.21731,2.061074,22.040566,1.6946,2.38511,0.91692,NA,NA,NA,NA,NA,2,6,UNC_SPA,1,Top,0,3,2,Slider,InPlay,Undefined,LineDrive,Single,0,0,NA,VIR_KEY,UNC_SPA,GrayMinorStadium,D1,SOCON,20250328-GrayMinorStadium-1,d19f9a30-0c20-11f0-becf-7780a2f52675,81.93269,15.79377,NA,7.25568,NA,NA,NA,ae5a10e4-8a45-4ae7-a841-f380e70e654f,2025-03-28,22:05:53,2025-03-28T22:05:53Z,2025-03-28T22:05:53Z,LineDrive,v3,471480,471372,28 March 2025 18:00-uncgreen@vmi,"Peterson, Ryan",1000079058,Left,VIR_KEY,54.99186,-122.18611,12.49714,5.5228,-0.34136,-14.47708,-2.61857,7.66131,0.06261,215.948718,1.6946,122.29731,-16.63233,3.45307,-0.71254,0.14049,-0.0261,0.00376,-2.8e-4,2.38511,28.3215,-15.66479,0.84378,-0.12077,0.01775,-0.00138,2.1e-4,-3e-5,0.91692,44.32417,-2.92975,0.41854,-0.05376,0.0049,-4.5e-4,3e-5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-03-28,18:06:35,"Parmer, Evan",1000102591,Right,VIR_KEY,Undefined,Slider,NA,NA,83.99402,0.676671,-2.126205,2166.307843,119.093502,10:00:00,5.50752,2.4482,5.39319,-36.57852,3.64776,-4.39138,3.09395,0.08867,77.22051,-6.012263,-2.906278,0.456485,1.64059,2.01953,-2.25514,50,5.54221,4.71107,-121.92112,0.13167,2.47869,23.13065,-29.12286,531bd18e-4c9a-4bc0-ade6-56c93e9afeae,NA,NA,NA,NA,NA,1000090425,"Kermode, Case",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,UNC_SPA,1,Top,0,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,UNC_SPA,GrayMinorStadium,D1,SOCON,20250328-GrayMinorStadium-1,ea94c330-0c20-11f0-becf-7780a2f52675,82.57107,NA,NA,6.7735,NA,NA,NA,ae5a10e4-8a45-4ae7-a841-f380e70e654f,2025-03-28,22:06:35,2025-03-28T22:06:35Z,2025-03-28T22:06:35Z,NA,v3,471480,471372,28 March 2025 18:00-uncgreen@vmi,"Peterson, Ryan",1000079058,Left,VIR_KEY,55.10645,-122.88608,11.56532,5.51138,1.34662,-14.56143,-2.44952,4.60766,1.23934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-28,18:06:52,"Parmer, Evan",1000102591,Right,VIR_KEY,Undefined,Slider,NA,NA,81.72017,-0.823262,-2.755056,2111.016141,94.833259,09:15:00,5.49633,2.50306,5.56739,-40.59246,1.58075,-4.12217,1.34363,-0.41609,75.64107,-8.216243,-3.490027,0.467401,1.37098,1.38165,-2.26256,50,5.39841,5.87164,-118.63347,-3.09506,1.96431,21.55519,-30.19447,be9427ae-924d-45cf-b57d-f1b111c7710b,NA,NA,NA,NA,NA,1000090425,"Kermode, Case",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,UNC_SPA,1,Top,0,0,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,UNC_SPA,GrayMinorStadium,D1,SOCON,20250328-GrayMinorStadium-1,f4f4b510-0c20-11f0-becf-7780a2f52675,80.64258,NA,NA,6.0791,NA,NA,NA,ae5a10e4-8a45-4ae7-a841-f380e70e654f,2025-03-28,22:06:52,2025-03-28T22:06:52Z,2025-03-28T22:06:52Z,NA,v3,471480,471372,28 March 2025 18:00-uncgreen@vmi,"Peterson, Ryan",1000079058,Left,VIR_KEY,54.93335,-119.52648,10.7776,5.50072,-1.84414,-15.09724,-2.50412,5.79026,0.98215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-28,18:07:12,"Parmer, Evan",1000102591,Right,VIR_KEY,Undefined,Slider,NA,NA,83.92203,-2.559523,-2.911462,2143.664551,146.653139,11:00:00,5.50773,2.53046,5.55437,-36.06655,4.53146,-2.08736,0.10593,-0.36625,76.82955,-9.143603,-3.283743,0.458589,0.18622,3.44162,-2.27713,50,5.26222,6.26581,-121.53431,-6.68414,0.27634,25.58869,-27.06747,21b83b43-e0b3-4ae3-8538-acded48adc17,NA,NA,NA,NA,NA,1000090425,"Kermode, Case",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,UNC_SPA,1,Top,0,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,UNC_SPA,GrayMinorStadium,D1,SOCON,20250328-GrayMinorStadium-1,00dc3150-0c21-11f0-becf-7780a2f52675,82.19214,NA,NA,7.09248,NA,NA,NA,ae5a10e4-8a45-4ae7-a841-f380e70e654f,2025-03-28,22:07:12,2025-03-28T22:07:12Z,2025-03-28T22:07:12Z,NA,v3,471480,471372,28 March 2025 18:00-uncgreen@vmi,"Peterson, Ryan",1000079058,Left,VIR_KEY,54.94491,-122.57102,12.79434,5.51082,-5.58752,-13.53373,-2.53076,6.25462,0.13817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
11,2025-03-28,18:07:33,"Parmer, Evan",1000102591,Right,VIR_KEY,Undefined,Slider,NA,NA,85.64998,-1.544627,-2.67242,2181.714951,130.45281,10:15:00,5.44152,2.61738,5.41149,-33.04659,5.70174,-5.30752,1.23858,-0.33046,78.93169,-7.572452,-3.615649,0.44802,1.95638,3.64205,-2.37569,50,5.28089,6.02357,-124.23062,-4.54184,3.06564,24.26005,-26.46704,58dec98e-7331-48bc-854f-5f38f2cc25ee,NA,NA,NA,NA,NA,1000090425,"Kermode, Case",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,UNC_SPA,1,Top,0,1,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,VIR_KEY,UNC_SPA,GrayMinorStadium,D1,SOCON,20250328-GrayMinorStadium-1,0d01c800-0c21-11f0-becf-7780a2f52675,84.13106,NA,NA,6.71828,NA,NA,NA,ae5a10e4-8a45-4ae7-a841-f380e70e654f,2025-03-28,22:07:33,2025-03-28T22:07:33Z,2025-03-28T22:07:33Z,NA,v3,471480,471372,28 March 2025 18:00-uncgreen@vmi,"Peterson, Ryan",1000079058,Left,VIR_KEY,55.08817,-125.22031,12.13003,5.44415,-3.46212,-13.23352,-2.61887,5.8985,1.53282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
12,2025-03-28,18:08:03,"Parmer, Evan",1000102591,Right,VIR_KEY,Undefined,ChangeUp,NA,NA,86.03979,-0.972311,-3.005993,1500.870043,250.402778,02:15:00,5.53212,2.56379,5.81906,-31.9151,5.97107,13.40678,1.96718,0.8836,78.86347,-6.86843,-0.60418,0.443008,-7.68815,3.68091,-2.32565,50,5.43351,6.00745,-124.84934,-3.20205,-12.13522,25.12782,-26.36398,e1a4f214-70ac-413c-9999-98f615270128,NA,NA,NA,NA,-165.480822,10055268,"Wight, Parker",2574.08668,NA,66.42461,Left,22.276116,NA,NA,NA,NA,22.315550000000002,NA,NA,3.03078,1.96101,-0.93235,NA,NA,NA,NA,NA,4,1,UNC_SPA,1,Top,1,0,0,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,UNC_SPA,GrayMinorStadium,D1,SOCON,20250328-GrayMinorStadium-1,1ee60310-0c21-11f0-becf-7780a2f52675,85.08296,11.97603,NA,7.17632,NA,NA,NA,ae5a10e4-8a45-4ae7-a841-f380e70e654f,2025-03-28,22:08:03,2025-03-28T22:08:03Z,2025-03-28T22:08:03Z,NA,v3,471480,471372,28 March 2025 18:00-uncgreen@vmi,"Peterson, Ryan",1000079058,Left,VIR_KEY,54.68087,-125.78791,12.56391,5.53472,-2.21731,-13.18199,-2.5585,6.46072,-6.06761,209.804873,3.0299,-87.23193,8.90969,NA,NA,NA,NA,NA,NA,1.95965,36.99371,-5.45609,NA,NA,NA,NA,NA,NA,-0.93142,-22.64466,-5.8674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
13,2025-03-28,18:08:24,"Parmer, Evan",1000102591,Right,VIR_KEY,Undefined,Slider,NA,NA,82.76593,-1.318569,-2.763864,2110.3468,126.530835,10:15:00,5.45945,2.55691,5.33962,-39.01853,2.44717,-1.66303,0.96926,-0.17656,76.62808,-8.394425,-3.05922,0.463464,0.11846,1.92772,-2.30619,50,5.3122,5.86587,-120.09428,-4.1598,0.17407,21.92545,-29.34149,b355af11-fcaa-43b0-94e5-9336814db74c,NA,NA,NA,NA,NA,10055268,"Wight, Parker",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,UNC_SPA,1,Top,1,0,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,UNC_SPA,GrayMinorStadium,D1,SOCON,20250328-GrayMinorStadium-1,2bac4690-0c21-11f0-becf-7780a2f52675,81.32766,NA,NA,6.13785,NA,NA,NA,ae5a10e4-8a45-4ae7-a841-f380e70e654f,2025-03-28,22:08:24,2025-03-28T22:08:24Z,2025-03-28T22:08:24Z,NA,v3,471480,471372,28 March 2025 18:00-uncgreen@vmi,"Peterson, Ryan",1000079058,Left,VIR_KEY,55.16103,-121.03285,10.96273,5.46338,-2.90377,-14.67075,-2.55714,5.85842,0.08704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
14,2025-03-28,18:08:46,"Parmer, Evan",1000102591,Right,VIR_KEY,Undefined,Slider,NA,NA,84.76857,-1.997463,-2.169011,2120.600664,129.958753,10:15:00,5.40632,2.66075,5.4887,-35.35348,3.9117,-3.30638,0.58942,0.35508,78.55509,-8.427201,-2.758382,0.450999,1.12177,2.81512,-2.46833,50,5.20698,4.79559,-123.05404,-5.54762,1.73162,22.875610000000002,-27.82846,6b17a56b-0e62-45f2-a159-ade67919a772,NA,NA,NA,NA,NA,10055268,"Wight, Parker",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,UNC_SPA,1,Top,1,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,VIR_KEY,UNC_SPA,GrayMinorStadium,D1,SOCON,20250328-GrayMinorStadium-1,38a86720-0c21-11f0-becf-7780a2f52675,83.57549,NA,NA,6.21348,NA,NA,NA,ae5a10e4-8a45-4ae7-a841-f380e70e654f,2025-03-28,22:08:46,2025-03-28T22:08:46Z,2025-03-28T22:08:46Z,NA,v3,471480,471372,28 March 2025 18:00-uncgreen@vmi,"Peterson, Ryan",1000079058,Left,VIR_KEY,55.01239,-123.98233,11.43781,5.40919,-4.41833,-13.91423,-2.66151,4.72532,0.86581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
