PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-23,14:01:38,"Froehlich, Kyle",683292,Right,UNI_TEX,Undefined,Fastball,NA,NA,89.71484,-3.425702,-1.580728,2078.316864,197.453868,12:30:00,6.14574,0.57274,6.19164,-13.00808,21.43281,6.38406,1.89381,-0.35511,81.98781,-5.944962,-0.428973,0.422385,-3.74984,12.40383,-0.45672,50,5.88042,3.33075,-130.12612,-8.10361,-6.42238,27.59021,-10.92997,4c10ad6d-3bab-4371-bd9f-d592fab08953,NA,NA,NA,NA,NA,1000239795,"Endo, Josh",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,TEX_A&M1,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UNI_TEX,TEX_A&M1,IrwinField,D2,LS,20250223-IrwinField-1,fe76f9a0-f220-11ef-8edf-6f4420c6813d,89.23716,NA,NA,7.72703,NA,NA,NA,2be8dd60-84af-4363-9e91-8c6578226b2c,2025-02-23,20:01:38,2025-02-23T20:01:38Z,2025-02-23T20:01:38Z,NA,v3,NA,NA,NA,"Labuda, Blake",1000297905,Left,UNI_TEX,54.30918,-131.0366,13.79511,6.14189,-7.74292,-5.46499,-0.57013,3.54269,-3.21119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-02-23,14:01:52,"Froehlich, Kyle",683292,Right,UNI_TEX,Undefined,Fastball,NA,NA,91.38733,-5.121937,-1.171287,2227.112501,199.379583,12:45:00,6.14523,0.48847,5.90776,-11.28335,22.30879,7.46339,0.4368,0.02302,83.79664,-7.29771,0.168292,0.417148,-4.1628,13.18894,-0.39877,50,5.72636,2.38866,-132.28192,-12.14133,-7.3902,27.71159,-8.75971,9965dca2-a552-45b4-bda6-96d23c276192,NA,NA,NA,NA,NA,1000239795,"Endo, Josh",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,TEX_A&M1,1,Top,0,0,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UNI_TEX,TEX_A&M1,IrwinField,D2,LS,20250223-IrwinField-1,06cbd940-f221-11ef-8edf-6f4420c6813d,90.35746,NA,NA,7.59068,NA,NA,NA,2be8dd60-84af-4363-9e91-8c6578226b2c,2025-02-23,20:01:52,2025-02-23T20:01:52Z,2025-02-23T20:01:52Z,NA,v3,NA,NA,NA,"Labuda, Blake",1000297905,Left,UNI_TEX,54.59432,-133.24091,13.85579,6.14128,-11.83819,-4.37986,-0.48585,2.64441,-3.6951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-23,14:02:14,"Froehlich, Kyle",683292,Right,UNI_TEX,Undefined,Fastball,NA,NA,89.85289,-1.304983,-0.235442,2076.39698,192.696965,12:30:00,6.11558,0.61616,6.12034,-11.27871,23.17367,4.9626,3.96896,0.81203,81.62524,-3.532972,0.658905,0.422456,-2.61473,12.65135,-0.60057,50,6.00941,0.32662,-130.48135,-3.20238,-4.48391,28.81344,-10.47872,7682ad59-12dc-4ed4-bd36-1a036b13bafb,NA,NA,NA,NA,NA,1000239795,"Endo, Josh",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,TEX_A&M1,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UNI_TEX,TEX_A&M1,IrwinField,D2,LS,20250223-IrwinField-1,13c561c0-f221-11ef-8edf-6f4420c6813d,89.22225,NA,NA,8.22765,NA,NA,NA,2be8dd60-84af-4363-9e91-8c6578226b2c,2025-02-23,20:02:14,2025-02-23T20:02:14Z,2025-02-23T20:02:14Z,NA,v3,NA,NA,NA,"Labuda, Blake",1000297905,Left,UNI_TEX,54.37871,-131.44472,14.40672,6.11062,-2.85203,-5.23936,-0.614,0.47654,-2.24195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-23,14:02:29,"Froehlich, Kyle",683292,Right,UNI_TEX,Undefined,Fastball,NA,NA,89.57965,-2.687604,-1.697821,2185.21131,195.60467,12:30:00,5.94863,0.72134,6.25834,-12.95812,21.6506,5.71567,2.38756,-0.36843,81.36784,-5.218964,-0.665544,0.423413,-3.48276,12.40717,-0.59807,50,5.74253,3.62204,-129.95951,-6.40142,-5.91205,29.12707,-11.11268,c23ccbe7-2bb1-4609-81b1-1205d97c6a0e,NA,NA,NA,NA,-23.086455,1000239795,"Endo, Josh",NA,NA,86.17353,Left,29.181361,96.58825,49.4799,-52.63743,272.6797,251.22638,3.897327,-36.801953,1.00719,2.31381,0.40281,NA,NA,NA,NA,NA,1,4,TEX_A&M1,1,Top,0,2,1,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,UNI_TEX,TEX_A&M1,IrwinField,D2,LS,20250223-IrwinField-1,1c8956e0-f221-11ef-8edf-6f4420c6813d,89.02053,55.18485,NA,8.21181,NA,NA,NA,2be8dd60-84af-4363-9e91-8c6578226b2c,2025-02-23,20:02:29,2025-02-23T20:02:29Z,2025-02-23T20:02:29Z,FlyBall,v3,NA,NA,NA,"Labuda, Blake",1000297905,Left,UNI_TEX,54.24225,-130.90684,14.56353,5.94486,-6.03999,-5.55634,-0.71901,3.81433,-2.95602,129.341227,1.00649,101.53185,-23.89593,6.4189,-1.78245,0.51877,-0.13076,0.02018,-0.00128,2.31436,61.60676,-19.89275,1.03447,0.23309,-0.19291,0.06181,-0.00925,5.2e-4,0.40315,-43.28012,-2.64179,2.11343,-0.64602,0.10096,-1.1e-4,-0.00276,3.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
5,2025-02-23,14:02:59,"Froehlich, Kyle",683292,Right,UNI_TEX,Undefined,Fastball,NA,NA,89.10945,-2.262246,-0.366875,2217.827501,192.20384,12:30:00,6.11706,0.40254,6.12152,-9.73638,25.67194,5.27067,3.21307,0.50257,80.20011,-4.235055,0.582918,0.428276,-2.80575,14.27087,-0.37695,50,5.93818,0.60121,-129.19007,-5.24145,-4.66995,30.72019,-8.42118,4aa72270-d835-45d7-85af-76e8f6d8a359,NA,NA,NA,NA,NA,1000098543,"Aguilar, Isaiah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,TEX_A&M1,1,Top,1,0,0,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,UNI_TEX,TEX_A&M1,IrwinField,D2,LS,20250223-IrwinField-1,2e77cb20-f221-11ef-8edf-6f4420c6813d,88.00959,NA,NA,8.90934,NA,NA,NA,2be8dd60-84af-4363-9e91-8c6578226b2c,2025-02-23,20:02:59,2025-02-23T20:02:59Z,2025-02-23T20:02:59Z,NA,v3,NA,NA,NA,"Labuda, Blake",1000297905,Left,UNI_TEX,54.37524,-130.22631,15.3601,6.11019,-4.95739,-4.21059,-0.39988,0.75874,-2.33498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-02-23,14:03:11,"Froehlich, Kyle",683292,Right,UNI_TEX,Undefined,Fastball,NA,NA,90.95295,-2.54998,-1.362478,2248.890644,186.710178,12:15:00,6.12124,0.44243,6.37834,-11.21225,21.97615,2.46008,2.83859,-0.60633,83.10526,-4.753016,-0.917133,0.414634,-1.65693,12.47178,-0.34522,50,5.93152,3.0409,-132.07338,-6.1133,-2.92586,28.20149,-10.15101,0a121aab-38c8-4eb2-902f-8028084c7aa0,NA,NA,NA,NA,NA,1000098543,"Aguilar, Isaiah",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,TEX_A&M1,1,Top,1,0,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,UNI_TEX,TEX_A&M1,IrwinField,D2,LS,20250223-IrwinField-1,35e55800-f221-11ef-8edf-6f4420c6813d,90.90539,NA,NA,7.8477,NA,NA,NA,2be8dd60-84af-4363-9e91-8c6578226b2c,2025-02-23,20:03:11,2025-02-23T20:03:11Z,2025-02-23T20:03:11Z,NA,v3,NA,NA,NA,"Labuda, Blake",1000297905,Left,UNI_TEX,54.12182,-132.95059,14.10075,6.11677,-5.79756,-5.07551,-0.44122,3.13191,-1.46293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-23,14:03:26,"Froehlich, Kyle",683292,Right,UNI_TEX,Undefined,Fastball,NA,NA,91.15972,-3.565249,-0.968537,2218.974601,196.038499,12:30:00,6.13471,0.50145,6.01013,-10.56217,22.89178,6.2767,1.94671,0.12711,83.57467,-5.626787,0.160154,0.416289,-3.49744,13.07383,-0.42884,50,5.84854,1.97231,-132.25842,-8.48266,-6.21365,27.41036,-8.94677,6b064f26-7669-4627-82b2-8ccfc14a0235,NA,NA,NA,NA,23.634626,1000098543,"Aguilar, Isaiah",5101.720031,NA,78.6954,Right,23.684389,95.06955,37.03611,55.3333,246.03646,234.18229,3.385682,38.074682,0.3477,1.823,-0.1608,NA,NA,NA,NA,NA,2,3,TEX_A&M1,1,Top,1,0,2,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,UNI_TEX,TEX_A&M1,IrwinField,D2,LS,20250223-IrwinField-1,3e8ee750-f221-11ef-8edf-6f4420c6813d,90.5439,38.96793,NA,7.58505,NA,NA,NA,2be8dd60-84af-4363-9e91-8c6578226b2c,2025-02-23,20:03:26,2025-02-23T20:03:26Z,2025-02-23T20:03:26Z,LineDrive,v3,NA,NA,NA,"Labuda, Blake",1000297905,Left,UNI_TEX,54.49162,-133.18605,13.70518,6.13049,-8.17989,-4.47339,-0.49915,2.1826,-3.10683,226.081601,0.34771,96.83309,-22.19349,5.39545,-1.09417,0.17216,-0.01694,2.8e-4,1e-4,1.82291,46.36482,-14.65722,-0.10664,0.17287,-0.0056,-0.0176,0.00593,-6.1e-4,-0.16077,42.37228,2.82041,-1.38941,0.44419,-0.11192,0.02196,-0.00288,1.8e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-02-23,14:03:54,"Froehlich, Kyle",683292,Right,UNI_TEX,Undefined,Fastball,NA,NA,91.17761,-2.895632,-0.349328,2232.085916,192.763567,12:30:00,6.27887,0.27134,5.9612,-10.95426,22.46824,4.85485,2.6785,0.35196,83.64881,-5.026782,0.523038,0.416093,-2.54059,12.51914,-0.24602,50,6.042,0.58915,-132.33,-6.92842,-4.52955,26.79661,-9.85417,35f67559-74e1-4ea5-acbd-6bc880faa809,NA,NA,NA,NA,174.508822,1000116185,"Sanchez, Vincent",1724.3566,NA,76.35356,Right,8.530788,NA,NA,NA,95.62767,47.45585,0.932846,176.524265,0.93511,2.47311,-0.22182,NA,NA,NA,NA,NA,3,1,TEX_A&M1,1,Top,2,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UNI_TEX,TEX_A&M1,IrwinField,D2,LS,20250223-IrwinField-1,4f33eba0-f221-11ef-8edf-6f4420c6813d,90.5865,5.6908,NA,7.5288,NA,NA,NA,2be8dd60-84af-4363-9e91-8c6578226b2c,2025-02-23,20:03:54,2025-02-23T20:03:54Z,2025-02-23T20:03:54Z,GroundBall,v3,NA,NA,NA,"Labuda, Blake",1000297905,Left,UNI_TEX,54.53685,-133.24553,13.39831,6.27297,-6.59175,-4.92709,-0.26879,0.7439,-2.26478,318.178354,0.9324,-110.19568,7.36997,NA,NA,NA,NA,NA,NA,2.52357,15.88207,-19.97975,NA,NA,NA,NA,NA,NA,-0.19988,10.27768,-4.14872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Medium,NA,NA,NA
9,2025-02-23,14:04:12,"Froehlich, Kyle",683292,Right,UNI_TEX,Undefined,Cutter,NA,NA,83.9716,0.587574,-0.78491,2083.434484,145.530389,10:45:00,5.96528,0.62011,6.2092,-31.11328,7.97414,-4.64551,3.9149,-0.49152,76.9018,-5.229024,-1.623692,0.449976,2.18008,4.35004,-0.55901,50,5.99387,1.85092,-122.05193,0.30101,3.28921,23.97561,-25.61093,3d14189a-e0f1-4dbf-82ef-66ad84273dc9,NA,NA,NA,NA,NA,1000116185,"Sanchez, Vincent",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,TEX_A&M1,1,Top,2,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UNI_TEX,TEX_A&M1,IrwinField,D2,LS,20250223-IrwinField-1,5a352690-f221-11ef-8edf-6f4420c6813d,83.76535,NA,NA,7.0698,NA,NA,NA,2be8dd60-84af-4363-9e91-8c6578226b2c,2025-02-23,20:04:12,2025-02-23T20:04:12Z,2025-02-23T20:04:12Z,NA,v3,NA,NA,NA,"Labuda, Blake",1000297905,Left,UNI_TEX,54.29124,-122.892,11.9878,5.96761,1.19838,-12.80546,-0.62184,1.73567,1.64461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-23,14:04:32,"Froehlich, Kyle",683292,Right,UNI_TEX,Undefined,Cutter,NA,NA,85.13261,-2.166532,-0.080176,2138.272489,168.691281,11:30:00,6.0397,0.57669,6.28539,-26.06875,11.9119,-2.14154,1.86954,0.32433,78.13024,-7.051322,-0.467824,0.44356,1.10102,7.16748,-0.56973,50,5.86718,0.25246,-123.70305,-5.44384,1.70391,24.96823,-21.08188,24f85e8a-8ca3-4b07-b32c-9c70fcbd5457,NA,NA,NA,NA,15.103676,1000116185,"Sanchez, Vincent",3308.597725,NA,90.00523,Right,17.059203,103.81672,26.18651,36.3603,268.3712,259.51872,3.023766,26.615871,1.95736,1.96232,-0.32339,NA,NA,NA,NA,NA,3,3,TEX_A&M1,1,Top,2,1,1,Slider,InPlay,Undefined,LineDrive,Out,1,0,NA,UNI_TEX,TEX_A&M1,IrwinField,D2,LS,20250223-IrwinField-1,66313c40-f221-11ef-8edf-6f4420c6813d,84.97706,28.58506,NA,7.00237,NA,NA,NA,2be8dd60-84af-4363-9e91-8c6578226b2c,2025-02-23,20:04:32,2025-02-23T20:04:32Z,2025-02-23T20:04:32Z,LineDrive,v3,NA,NA,NA,"Labuda, Blake",1000297905,Left,UNI_TEX,54.21681,-124.55126,12.48411,6.03995,-4.72765,-10.54094,-0.57733,0.19457,0.85196,237.134805,1.95732,121.84091,-22.47936,4.48637,-0.86422,0.11122,3.7e-4,-0.00405,6.1e-4,1.96232,38.7259,-15.03836,0.7137,-0.04162,0.03244,-0.02055,0.00655,-7.8e-4,-0.32339,32.88371,6.62191,-3.0171,0.94994,-0.23227,0.0444,-0.00562,3.3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
