PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-09,18:04:53,"Knaak, Aidan",1000092059,Right,CLE_TIG,Undefined,FourSeamFastBall,NA,NA,89.56177,-1.279768,-0.630046,2112.197249,220.748945,01:15:00,6.17159,0.95095,5.71432,-19.5021,15.76036,12.55827,3.35392,1.4105,81.40043,-4.959907,1.616983,0.427394,-6.52154,8.73016,-0.90588,50,6.05257,0.8704,-129.95858,-3.51844,-11.08413,28.81084,-17.33612,7f1328ee-5ead-4f7c-a625-0029084ecc36,NA,NA,NA,NA,NA,800712,"Clark, Wallace",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,DUK_BLU,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CLE_TIG,DUK_BLU,KingsmoreStadium,D1,ACC,20250509-KingsmoreStadium-1,a3403470-2d21-11f0-b2fa-b5ef3fd7abbe,88.19142,NA,NA,8.16133,NA,NA,NA,55d27162-0ae6-43a7-8acc-291083244fd9,2025-05-09,22:04:53,2025-05-09T22:04:53Z,2025-05-09T22:04:53Z,NA,v3,471272,471284,09 May 2025 18:00-duke@clemson,"Jarrell, Jacob",703447,Right,CLE_TIG,54.78267,-131.01457,14.40542,6.16989,-2.88303,-8.66806,-0.94523,1.27667,-5.54207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-09,18:05:07,"Knaak, Aidan",1000092059,Right,CLE_TIG,Undefined,FourSeamFastBall,NA,NA,89.3679,-2.838324,-0.646215,2211.017751,213.844371,01:15:00,6.21851,0.9223,5.91338,-16.01733,19.29851,12.11138,2.24711,1.33179,81.05573,-5.903712,1.528942,0.427717,-6.36107,11.09516,-0.87718,50,5.98162,0.93799,-129.55723,-6.86368,-10.70921,29.46234,-13.49473,7d7da500-03d1-49d3-ab11-ae7194ae3962,NA,NA,NA,NA,NA,800712,"Clark, Wallace",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,DUK_BLU,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CLE_TIG,DUK_BLU,KingsmoreStadium,D1,ACC,20250509-KingsmoreStadium-1,ab1cfde0-2d21-11f0-b2fa-b5ef3fd7abbe,88.1248,NA,NA,8.31217,NA,NA,NA,55d27162-0ae6-43a7-8acc-291083244fd9,2025-05-09,22:05:07,2025-05-09T22:05:07Z,2025-05-09T22:05:07Z,NA,v3,471272,471284,09 May 2025 18:00-duke@clemson,"Jarrell, Jacob",703447,Right,CLE_TIG,54.58355,-130.5954,14.73117,6.2151,-6.38817,-6.74737,-0.91687,1.31535,-5.35461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-09,18:05:21,"Knaak, Aidan",1000092059,Right,CLE_TIG,Undefined,FourSeamFastBall,NA,NA,92.7413,-3.553628,-2.535074,2315.515984,212.64857,01:00:00,6.1939,0.62578,5.55549,-13.72524,19.53505,11.77457,1.72222,-0.76323,84.1995,-6.177534,-0.437195,0.415082,-6.71882,11.28154,-0.4146,50,5.87742,5.40405,-134.21731,-8.75222,-12.17178,30.91455,-11.73644,fc97b133-cc7f-42b4-93c1-02f77636a2b3,NA,NA,NA,NA,NA,800712,"Clark, Wallace",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,DUK_BLU,1,Top,0,2,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CLE_TIG,DUK_BLU,KingsmoreStadium,D1,ACC,20250509-KingsmoreStadium-1,b3f16dc0-2d21-11f0-b2fa-b5ef3fd7abbe,90.80712,NA,NA,8.5418,NA,NA,NA,55d27162-0ae6-43a7-8acc-291083244fd9,2025-05-09,22:05:21,2025-05-09T22:05:21Z,2025-05-09T22:05:21Z,NA,v3,471272,471284,09 May 2025 18:00-duke@clemson,"Jarrell, Jacob",703447,Right,CLE_TIG,54.94329,-135.35112,15.45727,6.19053,-8.32178,-5.86822,-0.62098,5.85045,-6.08589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-09,18:05:35,"Knaak, Aidan",1000092059,Right,CLE_TIG,Undefined,FourSeamFastBall,NA,NA,92.18754,-2.545552,-1.010069,2297.665147,211.605586,01:00:00,6.18831,0.73109,5.74883,-13.03442,20.14985,11.72241,2.73029,0.76749,83.98407,-5.053113,1.088187,0.414608,-6.27201,11.33131,-0.65451,50,5.96898,1.83873,-133.74094,-6.31002,-11.32014,29.78957,-11.72249,b994c32b-bcb4-45ee-8766-f7f14b5dc1ec,NA,NA,NA,NA,-3.130833,800712,"Clark, Wallace",2522.515355,NA,99.14982,Left,34.291668,109.5129,71.5627,-10.33973,354.95371,349.09,5.576186,-9.73747,1.11355,2.9335,-0.7778,NA,NA,NA,NA,NA,1,4,DUK_BLU,1,Top,0,2,1,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,CLE_TIG,DUK_BLU,KingsmoreStadium,D1,ACC,20250509-KingsmoreStadium-1,bc47acf0-2d21-11f0-b2fa-b5ef3fd7abbe,90.91108,104.26547,NA,8.20347,NA,NA,NA,55d27162-0ae6-43a7-8acc-291083244fd9,2025-05-09,22:05:35,2025-05-09T22:05:35Z,2025-05-09T22:05:35Z,FlyBall,v3,471272,471284,09 May 2025 18:00-duke@clemson,"Jarrell, Jacob",703447,Right,CLE_TIG,54.7504,-134.7949,14.89479,6.18489,-5.89528,-5.86125,-0.72665,2.23924,-5.66007,163.676821,1.11732,119.89707,-24.85801,5.77755,-1.14893,0.19287,-0.02661,0.00258,-1.2e-4,2.93459,81.9011,-19.21459,1.29285,-0.00778,-0.08155,0.02574,-0.00338,1.6e-4,-0.77777,-6.56341,-2.67812,0.91664,-0.23612,0.0443,-0.00523,3.4e-4,-1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
5,2025-05-09,18:06:08,"Knaak, Aidan",1000092059,Right,CLE_TIG,Undefined,FourSeamFastBall,NA,NA,91.90441,-2.866043,-2.944387,2202.069951,212.210888,01:00:00,6.17002,0.82554,5.81367,-13.89387,19.42473,11.54906,2.34143,-0.95231,83.87764,-5.526875,-0.878004,0.415446,-6.69201,11.02709,-0.59094,50,5.92648,6.33621,-133.17093,-7.06599,-12.01182,28.72501,-12.381,36ac5236-99d7-440d-93fd-20c6f8571c4c,NA,NA,NA,NA,NA,1000091685,"Gracia, AJ",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,DUK_BLU,1,Top,1,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,CLE_TIG,DUK_BLU,KingsmoreStadium,D1,ACC,20250509-KingsmoreStadium-1,cf98be70-2d21-11f0-b2fa-b5ef3fd7abbe,90.72762,NA,NA,8.02677,NA,NA,NA,55d27162-0ae6-43a7-8acc-291083244fd9,2025-05-09,22:06:08,2025-05-09T22:06:08Z,2025-05-09T22:06:08Z,NA,v3,471272,471284,09 May 2025 18:00-duke@clemson,"Jarrell, Jacob",703447,Right,CLE_TIG,54.68485,-134.17765,14.36251,6.16652,-6.63208,-6.1905,-0.82037,6.75719,-6.00591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-09,18:06:22,"Knaak, Aidan",1000092059,Right,CLE_TIG,Undefined,FourSeamFastBall,NA,NA,92.02479,-2.212719,-0.927169,2303.669707,216.756077,01:15:00,6.17732,0.83343,5.84284,-15.26788,17.68749,12.44946,2.84732,1.00914,84.40049,-5.110184,1.305506,0.413175,-6.67052,9.98083,-0.76555,50,5.98824,1.63215,-133.66617,-5.62995,-12.10045,28.09031,-14.06864,c6b8ceb5-cdfd-4199-ae71-0abf0acb612c,NA,NA,NA,NA,-115.027512,1000091685,"Gracia, AJ",4973.959818,NA,81.61099,Left,60.67505,NA,NA,NA,NA,23.87462,NA,NA,0.4504,2.75263,-0.93054,NA,NA,NA,NA,NA,2,2,DUK_BLU,1,Top,1,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,CLE_TIG,DUK_BLU,KingsmoreStadium,D1,ACC,20250509-KingsmoreStadium-1,d7e70e60-2d21-11f0-b2fa-b5ef3fd7abbe,91.22625,39.18589,NA,7.62431,NA,NA,NA,55d27162-0ae6-43a7-8acc-291083244fd9,2025-05-09,22:06:22,2025-05-09T22:06:22Z,2025-05-09T22:06:22Z,NA,v3,471272,471284,09 May 2025 18:00-duke@clemson,"Jarrell, Jacob",703447,Right,CLE_TIG,54.6582,-134.64155,14.04515,6.17524,-5.14144,-7.03432,-0.82952,2.05231,-6.05022,24.199787,0.46369,-25.24798,-7.24221,NA,NA,NA,NA,NA,NA,2.7701,103.77579,-33.06869,NA,NA,NA,NA,NA,NA,-0.9333,-53.02796,6.21589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
7,2025-05-09,18:06:37,"Knaak, Aidan",1000092059,Right,CLE_TIG,Undefined,FourSeamFastBall,NA,NA,92.66054,-0.18353,-1.401204,2218.906462,213.196049,01:00:00,6.11092,0.79086,5.6183,-16.10993,17.29966,10.51646,4.59709,0.35927,83.15497,-3.273275,0.475992,0.416013,-5.70863,9.12796,-0.67785,50,6.08512,2.78266,-134.25882,-0.91767,-10.24869,33.51937,-15.78662,3b857cd6-22ef-41db-8306-32f9ead97ad6,NA,NA,NA,NA,NA,1000091685,"Gracia, AJ",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,DUK_BLU,1,Top,1,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CLE_TIG,DUK_BLU,KingsmoreStadium,D1,ACC,20250509-KingsmoreStadium-1,e1077b60-2d21-11f0-b2fa-b5ef3fd7abbe,90.60401,NA,NA,9.50557,NA,NA,NA,55d27162-0ae6-43a7-8acc-291083244fd9,2025-05-09,22:06:37,2025-05-09T22:06:37Z,2025-05-09T22:06:37Z,NA,v3,471272,471284,09 May 2025 18:00-duke@clemson,"Jarrell, Jacob",703447,Right,CLE_TIG,54.87591,-135.47069,16.75969,6.10798,-0.34692,-7.89331,-0.78515,3.15319,-5.12435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-09,18:06:51,"Knaak, Aidan",1000092059,Right,CLE_TIG,Undefined,FourSeamFastBall,NA,NA,93.49701,-2.07351,-1.522989,2298.092846,216.184898,01:15:00,6.19486,0.79588,5.88803,-17.12021,15.38245,10.37442,2.84128,0.24589,84.13778,-5.340031,0.338984,0.410328,-5.81201,8.89815,-0.67908,50,6.01791,3.13807,-135.49877,-5.43747,-10.61873,34.37582,-15.91688,62b79f6b-a3d9-42f8-b6f2-353528660bf6,NA,NA,NA,NA,17.188126,1000091685,"Gracia, AJ",2076.595861,NA,108.83523,Left,26.785385,104.45961,54.99993,34.46878,394.47972,377.3327,5.07633,19.848575,0.98522,3.09283,-0.16263,NA,NA,NA,NA,NA,2,4,DUK_BLU,1,Top,1,1,2,Four-Seam,InPlay,Undefined,FlyBall,HomeRun,0,1,NA,CLE_TIG,DUK_BLU,KingsmoreStadium,D1,ACC,20250509-KingsmoreStadium-1,e93ee7f0-2d21-11f0-b2fa-b5ef3fd7abbe,91.85936,85.79371,NA,9.35923,NA,NA,NA,55d27162-0ae6-43a7-8acc-291083244fd9,2025-05-09,22:06:51,2025-05-09T22:06:51Z,2025-05-09T22:06:51Z,FlyBall,v3,471272,471284,09 May 2025 18:00-duke@clemson,"Jarrell, Jacob",703447,Right,CLE_TIG,54.6093,-136.66314,17.18791,6.19296,-4.89834,-7.95844,-0.79147,3.49774,-5.30937,196.997813,0.98678,136.10198,-30.46463,7.71936,-1.66593,0.32139,-0.05363,0.00616,-3.2e-4,3.09529,71.87979,-16.55572,-0.02575,0.50114,-0.24557,0.06348,-0.00817,4.1e-4,-0.16276,42.11385,-4.77098,0.31665,0.03768,-0.00998,-3.1e-4,3.2e-4,-3e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
9,2025-05-09,18:07:33,"Knaak, Aidan",1000092059,Right,CLE_TIG,Undefined,FourSeamFastBall,NA,NA,92.37917,-2.238678,-0.507838,2186.969514,228.457188,01:30:00,6.13289,0.83282,5.91464,-18.64403,14.35741,14.923,2.50037,1.60507,83.85857,-5.761196,2.173013,0.413464,-7.79044,8.375,-0.80055,50,5.94282,0.53115,-134.02334,-5.82964,-14.03403,31.55529,-17.0869,0bd16fb2-d056-477e-825a-d258637bf9ef,NA,NA,NA,NA,NA,823373,"Miller, Ben",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,DUK_BLU,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CLE_TIG,DUK_BLU,KingsmoreStadium,D1,ACC,20250509-KingsmoreStadium-1,025fb4d0-2d22-11f0-b2fa-b5ef3fd7abbe,91.16256,NA,NA,8.5206,NA,NA,NA,55d27162-0ae6-43a7-8acc-291083244fd9,2025-05-09,22:07:33,2025-05-09T22:07:33Z,2025-05-09T22:07:33Z,NA,v3,471272,471284,09 May 2025 18:00-duke@clemson,"Jarrell, Jacob",703447,Right,CLE_TIG,54.58376,-135.09826,15.77764,6.13149,-5.24759,-8.54345,-0.82679,1.00922,-7.01702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-09,18:07:49,"Knaak, Aidan",1000092059,Right,CLE_TIG,Undefined,ChangeUp,NA,NA,77.48422,-0.707815,-1.908399,2059.411116,248.492379,02:15:00,6.15174,0.74796,6.06272,-39.31565,6.90587,13.82611,2.21995,0.13323,71.24542,-7.990033,0.583706,0.489321,-7.76945,4.13792,-0.60761,50,6.07549,3.27639,-112.595,-2.53312,-9.9585,20.74018,-26.87031,a44e55ff-70ab-4b38-9705-1b74367eac1a,NA,NA,NA,NA,-15.969005,823373,"Miller, Ben",2508.601605,NA,68.95055,Right,4.692855,NA,NA,NA,59.98358,56.60037,0.587362,-15.604158,4.37148,2.81145,-0.24086,NA,NA,NA,NA,NA,3,2,DUK_BLU,1,Top,1,1,0,Changeup,InPlay,Undefined,GroundBall,Error,0,0,NA,CLE_TIG,DUK_BLU,KingsmoreStadium,D1,ACC,20250509-KingsmoreStadium-1,0c43e700-2d22-11f0-b2fa-b5ef3fd7abbe,77.03013,3.54851,NA,6.2388,NA,NA,NA,55d27162-0ae6-43a7-8acc-291083244fd9,2025-05-09,22:07:49,2025-05-09T22:07:49Z,2025-05-09T22:07:49Z,GroundBall,v3,471272,471284,09 May 2025 18:00-duke@clemson,"Jarrell, Jacob",703447,Right,CLE_TIG,54.43914,-113.40975,10.37009,6.15427,-1.47756,-13.43515,-0.744,3.6676,-4.97925,16.720144,4.37583,96.79825,-10.03681,NA,NA,NA,NA,NA,NA,2.83224,7.79824,-21.54349,NA,NA,NA,NA,NA,NA,-0.23869,-27.77824,1.21029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
11,2025-05-09,18:08:35,"Knaak, Aidan",1000092059,Right,CLE_TIG,Undefined,FourSeamFastBall,NA,NA,92.75568,-1.643952,0.109018,2302.870988,204.910487,12:45:00,6.20354,0.98213,5.98118,-13.97816,18.57836,8.11863,3.51443,1.75974,84.22243,-4.337925,1.568612,0.410668,-4.10843,10.33099,-0.99505,50,6.06579,-0.61716,-134.6312,-4.24388,-7.49007,31.05941,-13.3397,0ff6b342-604a-4ae4-a03f-8c08a4296710,NA,NA,NA,NA,NA,700426,"Hyde, Jake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,DUK_BLU,1,Top,1,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CLE_TIG,DUK_BLU,KingsmoreStadium,D1,ACC,20250509-KingsmoreStadium-1,2709ff70-2d22-11f0-b2fa-b5ef3fd7abbe,91.78333,NA,NA,8.53324,NA,NA,NA,55d27162-0ae6-43a7-8acc-291083244fd9,2025-05-09,22:08:35,2025-05-09T22:08:35Z,2025-05-09T22:08:35Z,NA,v3,471272,471284,09 May 2025 18:00-duke@clemson,"Jarrell, Jacob",703447,Right,CLE_TIG,54.51583,-135.669,15.52971,6.20015,-3.79816,-6.66985,-0.97861,-0.36689,-3.74503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
12,2025-05-09,18:08:52,"Knaak, Aidan",1000092059,Right,CLE_TIG,Undefined,ChangeUp,NA,NA,78.11312,0.645031,-2.081439,1992.250742,241.782376,02:00:00,6.16364,0.88593,6.03999,-36.4327,9.20544,14.41457,3.72524,0.15907,71.37042,-6.14671,0.512291,0.486223,-7.97059,5.01559,-0.73102,50,6.19447,3.58926,-113.4184,0.20982,-10.35489,21.25636,-25.6581,ea5696b3-fdf2-469c-a802-5cc34eeac546,NA,NA,NA,NA,NA,700426,"Hyde, Jake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,DUK_BLU,1,Top,1,1,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CLE_TIG,DUK_BLU,KingsmoreStadium,D1,ACC,20250509-KingsmoreStadium-1,3166e410-2d22-11f0-b2fa-b5ef3fd7abbe,77.52091,NA,NA,6.7427,NA,NA,NA,55d27162-0ae6-43a7-8acc-291083244fd9,2025-05-09,22:08:52,2025-05-09T22:08:52Z,2025-05-09T22:08:52Z,NA,v3,471272,471284,09 May 2025 18:00-duke@clemson,"Jarrell, Jacob",703447,Right,CLE_TIG,54.45842,-114.25092,10.62818,6.16657,1.21473,-12.82905,-0.87954,3.99481,-5.17744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
13,2025-05-09,18:10:21,"Knaak, Aidan",1000092059,Right,CLE_TIG,Undefined,ChangeUp,NA,NA,77.24038,-0.027867,-0.856898,1884.534442,246.512865,02:15:00,6.05908,0.99126,5.95158,-40.21908,6.55654,11.64449,2.68165,1.16684,70.81788,-7.47554,1.237821,0.492245,-6.18055,3.86205,-0.92939,50,6.03459,1.24769,-112.20415,-1.26261,-7.85963,20.77417,-27.26278,fd9db9b9-5b8e-4de9-9bd8-53fddbf7075e,NA,NA,NA,NA,NA,700426,"Hyde, Jake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,DUK_BLU,1,Top,1,2,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,CLE_TIG,DUK_BLU,KingsmoreStadium,D1,ACC,20250509-KingsmoreStadium-1,66bc9ba0-2d22-11f0-b2fa-b5ef3fd7abbe,76.57253,NA,NA,6.4225,NA,NA,NA,55d27162-0ae6-43a7-8acc-291083244fd9,2025-05-09,22:10:21,2025-05-09T22:10:21Z,2025-05-09T22:10:21Z,NA,v3,471272,471284,09 May 2025 18:00-duke@clemson,"Jarrell, Jacob",703447,Right,CLE_TIG,54.54668,-113.04282,10.38709,6.06335,-0.16199,-13.63139,-0.98616,1.56499,-3.92982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
14,2025-05-09,18:10:42,"Knaak, Aidan",1000092059,Right,CLE_TIG,Undefined,FourSeamFastBall,NA,NA,92.7726,-3.692847,-2.128456,2137.505818,207.926914,01:00:00,6.17715,0.93528,5.96784,-13.73072,18.83033,9.40819,1.60191,-0.25506,84.67013,-6.322106,-0.438539,0.410696,-5.43555,11.04524,-0.77178,50,5.87631,4.58701,-134.42518,-9.0643,-9.92331,29.75738,-12.00952,8e3610a3-1250-4ab8-b802-9956d1f9250e,NA,NA,NA,NA,NA,700426,"Hyde, Jake",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,DUK_BLU,1,Top,1,3,0,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,CLE_TIG,DUK_BLU,KingsmoreStadium,D1,ACC,20250509-KingsmoreStadium-1,734a1be0-2d22-11f0-b2fa-b5ef3fd7abbe,91.77699,NA,NA,8.10248,NA,NA,NA,55d27162-0ae6-43a7-8acc-291083244fd9,2025-05-09,22:10:42,2025-05-09T22:10:42Z,2025-05-09T22:10:42Z,NA,v3,471272,471284,09 May 2025 18:00-duke@clemson,"Jarrell, Jacob",703447,Right,CLE_TIG,54.53114,-135.42452,14.87869,6.17394,-8.66099,-6.00476,-0.93142,4.92026,-4.96165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
