PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-15,19:06:49,"Mertens, Nathan",1000118443,Right,SOU_RED,Undefined,Fastball,NA,NA,88.65701,-3.511782,-3.362438,2151.389825,196.205209,12:30:00,6.26707,1.23427,5.96821,-14.348,21.61997,5.91114,1.80575,-1.3942,80.35143,-6.283417,-2.302889,0.431648,-4.04158,12.51804,-0.97081,50,5.98004,7.28327,-128.23358,-8.23944,-6.66772,28.79605,-11.52202,326cda67-5438-4a4c-bf07-ad91d0527bfd,NA,NA,NA,NA,NA,1000224279,"Seguine, Alex",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,LIT_TRO,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_RED,LIT_TRO,SEMissouriState,D1,OVC,20250515-SEMissouriState-1,a041c050-31e9-11f0-9a80-4b14b43aaf78,87.32227,NA,NA,8.30558,NA,NA,NA,325c0724-cc93-48f0-b333-588a3b106dfa,2025-05-16,00:06:49,2025-05-16T00:06:49Z,2025-05-16T00:06:49Z,NA,v3,471444,471235,15 May 2025 00:00-arkansaslr@semost,"McGahan, Shea",802002,Right,SOU_RED,54.5277,-129.24632,14.39803,6.26269,-7.83421,-5.76101,-1.23109,7.51777,-3.33386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-15,19:07:06,"Mertens, Nathan",1000118443,Right,SOU_RED,Undefined,Fastball,NA,NA,89.14863,-3.883707,-2.863142,2128.804994,200.898978,12:45:00,6.23012,1.13815,5.95143,-13.17135,22.36856,8.06146,1.52056,-0.84767,80.89405,-6.439249,-1.417279,0.429071,-4.99162,13.00816,-0.91481,50,5.91316,6.11033,-128.98437,-9.08615,-8.34135,28.8509,-10.43656,99d46c01-a52c-4e2e-b847-d2ecbbb1e727,NA,NA,NA,NA,NA,1000224279,"Seguine, Alex",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,LIT_TRO,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_RED,LIT_TRO,SEMissouriState,D1,OVC,20250515-SEMissouriState-1,aa250820-31e9-11f0-9a80-4b14b43aaf78,87.84657,NA,NA,8.25458,NA,NA,NA,325c0724-cc93-48f0-b333-588a3b106dfa,2025-05-16,00:07:06,2025-05-16T00:07:06Z,2025-05-16T00:07:06Z,NA,v3,471444,471235,15 May 2025 00:00-arkansaslr@semost,"McGahan, Shea",802002,Right,SOU_RED,54.54563,-129.99714,14.42545,6.22569,-8.71978,-5.21828,-1.13445,6.40314,-4.17067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-15,19:07:24,"Mertens, Nathan",1000118443,Right,SOU_RED,Undefined,Fastball,NA,NA,88.302,-3.809308,-1.630764,2055.222544,199.551805,12:45:00,6.25068,1.30181,5.69863,-15.89513,20.69072,6.88311,1.36969,0.35536,80.06651,-6.842024,-0.400084,0.43534,-3.98492,12.05225,-1.16924,50,5.92076,3.33897,-127.78538,-8.95563,-6.52468,28.73344,-12.44041,cd55caf0-5830-48ff-ac1c-37b7d13e893b,NA,NA,NA,NA,NA,1000224279,"Seguine, Alex",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,LIT_TRO,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_RED,LIT_TRO,SEMissouriState,D1,OVC,20250515-SEMissouriState-1,b4b90250-31e9-11f0-9a80-4b14b43aaf78,86.58171,NA,NA,8.23549,NA,NA,NA,325c0724-cc93-48f0-b333-588a3b106dfa,2025-05-16,00:07:24,2025-05-16T00:07:24Z,2025-05-16T00:07:24Z,NA,v3,471444,471235,15 May 2025 00:00-arkansaslr@semost,"McGahan, Shea",802002,Right,SOU_RED,54.79748,-128.85962,14.36672,6.24689,-8.49054,-6.22021,-1.29863,3.5829,-3.26234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-15,19:07:41,"Mertens, Nathan",1000118443,Right,SOU_RED,Undefined,Fastball,NA,NA,88.85231,-3.547628,-2.68318,2151.700119,200.472512,12:45:00,6.27469,1.18078,5.92536,-14.99375,20.74265,7.28004,1.72554,-0.70408,80.75141,-6.425688,-1.377602,0.430256,-4.56461,12.09615,-0.97034,50,5.98208,5.72954,-128.65483,-8.38953,-7.59281,28.574,-12.05318,8ed3dfd1-860d-4806-b22f-1ad921cc7636,NA,NA,NA,NA,-12.169222,1000224279,"Seguine, Alex",2027.416435,NA,96.114,Right,-0.760531,NA,NA,NA,38.18046,37.49926,0.259934,-11.122591,3.01231,1.94123,0.63648,NA,NA,NA,NA,NA,1,4,LIT_TRO,1,Top,0,2,1,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,SOU_RED,LIT_TRO,SEMissouriState,D1,OVC,20250515-SEMissouriState-1,bee62460-31e9-11f0-9a80-4b14b43aaf78,87.60475,1.94123,NA,8.1009,NA,NA,NA,325c0724-cc93-48f0-b333-588a3b106dfa,2025-05-16,00:07:41,2025-05-16T00:07:41Z,2025-05-16T00:07:41Z,GroundBall,v3,471444,471235,15 May 2025 00:00-arkansaslr@semost,"McGahan, Shea",802002,Right,SOU_RED,54.57324,-129.66656,14.287,6.27157,-7.96276,-6.02659,-1.17797,5.99838,-3.7964,54.256263,3.01444,137.67858,-19.84011,NA,NA,NA,NA,NA,NA,1.94352,-1.98828,-21.15303,NA,NA,NA,NA,NA,NA,0.63776,-29.77913,-3.90366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
5,2025-05-15,19:08:22,"Mertens, Nathan",1000118443,Right,SOU_RED,Undefined,Fastball,NA,NA,89.69938,-3.056118,-1.978652,2086.924848,203.074798,12:45:00,6.26873,1.11891,5.95606,-12.91162,22.22761,8.92689,2.35426,0.02717,81.02772,-5.578057,-0.375689,0.426646,-5.23662,12.77481,-0.96683,50,6.01869,4.11661,-129.9489,-7.25765,-8.83614,30.58676,-10.61815,f139db9e-796a-4d6e-bb2c-26975487d95b,NA,NA,NA,NA,0.288671,1000100623,"Henry, Zach",NA,NA,93.48289,Left,53.598802,109.50824,140.28906,-10.3887,240.26112,104.64208000000001,6.274088,-9.431106,2.42608,2.89448,-0.1252,NA,NA,NA,NA,NA,2,1,LIT_TRO,1,Top,1,0,0,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,SOU_RED,LIT_TRO,SEMissouriState,D1,OVC,20250515-SEMissouriState-1,d738f2e0-31e9-11f0-9a80-4b14b43aaf78,88.346,154.29515,NA,8.67166,NA,NA,NA,325c0724-cc93-48f0-b333-588a3b106dfa,2025-05-16,00:08:22,2025-05-16T00:08:22Z,2025-05-16T00:08:22Z,FlyBall,v3,471444,471235,15 May 2025 00:00-arkansaslr@semost,"McGahan, Shea",802002,Right,SOU_RED,54.54194,-131.0136,15.29338,6.26489,-6.88804,-5.30907,-1.11549,4.42418,-4.41807,167.936784,2.43936,81.13668,-22.51558,5.41134,-0.55741,-0.08106,0.03424,-0.00414,1.8e-4,2.88548,110.47472,-24.85627,2.52919,-0.42809,0.03778,0.00498,-0.00156,1e-4,-0.1262,0.41704,-5.06538,1.74544,-0.35108,0.03392,0.0012,-5.6e-4,3e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
6,2025-05-15,19:09:01,"Mertens, Nathan",1000118443,Right,SOU_RED,Undefined,Fastball,NA,NA,89.93243,-3.394515,-2.335735,2021.365924,202.986854,12:45:00,6.23819,1.34184,5.85782,-14.06678,20.92107,8.35378,1.90588,-0.13329,81.59363,-6.105178,-0.838848,0.425726,-4.94839,12.05272,-1.157,50,5.95405,4.94663,-130.2093,-8.09686,-8.4287,29.3461,-11.64429,0072c473-4e33-457e-a2d4-4bb6da80ce66,NA,NA,NA,NA,NA,1000227733,"Geck, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,LIT_TRO,1,Top,2,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_RED,LIT_TRO,SEMissouriState,D1,OVC,20250515-SEMissouriState-1,eeb4c250-31e9-11f0-9a80-4b14b43aaf78,88.53692,NA,NA,8.3388,NA,NA,NA,325c0724-cc93-48f0-b333-588a3b106dfa,2025-05-16,00:09:01,2025-05-16T00:09:01Z,2025-05-16T00:09:01Z,NA,v3,471444,471235,15 May 2025 00:00-arkansaslr@semost,"McGahan, Shea",802002,Right,SOU_RED,54.63844,-131.25053,14.67305,6.23401,-7.68371,-5.82215,-1.33782,5.24569,-4.21435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-15,19:09:18,"Mertens, Nathan",1000118443,Right,SOU_RED,Undefined,Splitter,NA,NA,78.24349,0.827152,-0.987017,1431.157404,244.57333,02:15:00,6.28508,0.89455,5.85722,-39.51219,6.30839,10.15123,3.76106,0.82337,71.4761,-6.494975,0.834729,0.487194,-5.45032,3.45429,-0.82027,50,6.32937,1.57369,-113.61395,0.42331,-7.09654,21.56443,-27.67641,04c3b77e-51cf-4abe-b11f-e22e1ae29cf6,NA,NA,NA,NA,NA,1000227733,"Geck, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,LIT_TRO,1,Top,2,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_RED,LIT_TRO,SEMissouriState,D1,OVC,20250515-SEMissouriState-1,f8e0fa00-31e9-11f0-9a80-4b14b43aaf78,77.36643,NA,NA,6.76739,NA,NA,NA,325c0724-cc93-48f0-b333-588a3b106dfa,2025-05-16,00:09:18,2025-05-16T00:09:18Z,2025-05-16T00:09:18Z,NA,v3,471444,471235,15 May 2025 00:00-arkansaslr@semost,"McGahan, Shea",802002,Right,SOU_RED,54.64033,-114.49132,10.78221,6.28924,1.54934,-13.83821,-0.89017,1.86242,-3.54827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-15,19:09:36,"Mertens, Nathan",1000118443,Right,SOU_RED,Undefined,Splitter,NA,NA,80.34413,-2.488846,-2.344795,1493.752768,253.914642,02:30:00,6.24188,1.0168,5.94923,-38.45124,5.0765,12.54949,0.72586,-0.11338,73.66242,-9.566289,-0.085557,0.474848,-7.14579,3.78748,-0.83719,50,6.02216,4.29867,-116.50419,-6.26883,-9.75451,23.2793,-27.00384,25d8566e-0a38-419f-90cd-4cecd2926104,NA,NA,NA,NA,NA,1000227733,"Geck, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,LIT_TRO,1,Top,2,1,1,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,SOU_RED,LIT_TRO,SEMissouriState,D1,OVC,20250515-SEMissouriState-1,037fc9a0-31ea-11f0-9a80-4b14b43aaf78,79.37794,NA,NA,6.68171,NA,NA,NA,325c0724-cc93-48f0-b333-588a3b106dfa,2025-05-16,00:09:36,2025-05-16T00:09:36Z,2025-05-16T00:09:36Z,NA,v3,471444,471235,15 May 2025 00:00-arkansaslr@semost,"McGahan, Shea",802002,Right,SOU_RED,54.54948,-117.40973,11.63965,6.24558,-5.21842,-13.50192,-1.01179,4.67811,-4.87726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-15,19:09:55,"Mertens, Nathan",1000118443,Right,SOU_RED,Undefined,Fastball,NA,NA,90.94724,-5.41138,-2.857005,2107.341863,200.570592,12:45:00,6.1048,1.14052,6.06891,-12.9989,21.18198,7.48611,-0.00729,-0.88168,82.53069,-7.921586,-1.511199,0.420788,-4.73922,12.94784,-0.92303,50,5.67701,6.23955,-131.32494,-12.77685,-8.19594,30.33356,-9.78213,2a51311f-fff7-444d-8c97-d5a4a714df49,NA,NA,NA,NA,NA,1000227733,"Geck, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,LIT_TRO,1,Top,2,1,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_RED,LIT_TRO,SEMissouriState,D1,OVC,20250515-SEMissouriState-1,0eb0ee30-31ea-11f0-9a80-4b14b43aaf78,89.57587,NA,NA,8.41655,NA,NA,NA,325c0724-cc93-48f0-b333-588a3b106dfa,2025-05-16,00:09:55,2025-05-16T00:09:55Z,2025-05-16T00:09:55Z,NA,v3,471444,471235,15 May 2025 00:00-arkansaslr@semost,"McGahan, Shea",802002,Right,SOU_RED,54.42872,-132.34394,15.16678,6.10071,-12.44824,-4.89106,-1.13726,6.51488,-4.09797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-15,19:10:14,"Mertens, Nathan",1000118443,Right,SOU_RED,Undefined,Fastball,NA,NA,89.68663,-3.020526,-3.494647,2126.195821,199.807166,12:45:00,6.24658,1.0227,6.05687,-13.77828,21.14245,7.17796,2.29478,-1.61781,81.40898,-5.68979,-2.206151,0.425317,-4.72768,12.13375,-0.75469,50,6.00388,7.62621,-129.82932,-7.20312,-8.01221,28.97568,-11.61051,27157b9a-f725-46da-b4fa-af8042328ae9,NA,NA,NA,NA,NA,1000227733,"Geck, Ryan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,LIT_TRO,1,Top,2,2,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SOU_RED,LIT_TRO,SEMissouriState,D1,OVC,20250515-SEMissouriState-1,1a311d20-31ea-11f0-9a80-4b14b43aaf78,88.62192,NA,NA,8.27764,NA,NA,NA,325c0724-cc93-48f0-b333-588a3b106dfa,2025-05-16,00:10:14,2025-05-16T00:10:14Z,2025-05-16T00:10:14Z,NA,v3,471444,471235,15 May 2025 00:00-arkansaslr@semost,"McGahan, Shea",802002,Right,SOU_RED,54.43997,-130.81649,14.48784,6.24254,-6.80756,-5.80526,-1.01916,7.89917,-4.00611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
