PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-16,18:04:37,"Jones, Merit",1000196598,Right,UTA_UTE,Undefined,FourSeamFastBall,NA,NA,94.40997,-1.997681,-2.291805,2052.963138,205.487411,12:45:00,6.05289,2.02248,6.38041,-19.25162,11.33064,4.97284,2.60861,0.32742,86.99407,-5.62223,-1.391572,0.398021,-3.18988,6.71284,-1.85956,50,5.8998,5.28582,-137.19425,-5.3903,-6.12237,28.36023,-19.29002,75a03e1c-2578-4e37-b465-d88d3cb0f3c3,NA,NA,NA,NA,NA,702710,"Bowen, Karson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,TCU_HFG,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250516-SmithsBallparkUT-1,856e6f20-32b2-11f0-9e05-0f8773b7daaf,94.69958,NA,NA,7.41591,NA,NA,NA,216035f8-83f0-4fcd-8810-97b68ad2b765,2025-05-17,00:04:37,2025-05-17T00:04:37Z,2025-05-17T00:04:37Z,NA,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Kleveno, Jack",822577,Right,UTA_UTE,54.11872,-138.04302,14.18012,6.05248,-4.81298,-9.64501,-2.0205,5.46905,-3.06119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-16,18:04:51,"Jones, Merit",1000196598,Right,UTA_UTE,Undefined,Sinker,NA,NA,92.5857,-2.095086,-3.092616,2160.944636,241.13792,02:00:00,5.76041,2.18214,6.11853,-23.6595,8.44256,13.62461,1.84815,0.45556,85.50075,-6.494452,-0.638657,0.407791,-7.87209,5.17792,-1.95229,50,5.58717,6.70331,-134.45678,-5.72157,-14.5373,26.76112,-22.61205,3f444238-389e-4a0a-ba20-112dedc4aebc,NA,NA,NA,NA,NA,702710,"Bowen, Karson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,TCU_HFG,1,Top,0,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250516-SmithsBallparkUT-1,8dea37b0-32b2-11f0-9e05-0f8773b7daaf,92.43072,NA,NA,7.08495,NA,NA,NA,216035f8-83f0-4fcd-8810-97b68ad2b765,2025-05-17,00:04:51,2025-05-17T00:04:51Z,2025-05-17T00:04:51Z,NA,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Kleveno, Jack",822577,Right,UTA_UTE,54.38228,-135.32618,13.38056,5.76111,-4.98696,-11.30603,-2.17774,7.17559,-7.26865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-16,18:05:08,"Jones, Merit",1000196598,Right,UTA_UTE,Undefined,FourSeamFastBall,NA,NA,93.34239,0.235095,-2.221906,2122.114057,206.994253,01:00:00,5.79501,2.27041,6.25876,-19.39277,11.92548,5.62359,4.39589,0.68926,85.995590000000007,-3.420679,-1.206732,0.402782,-3.46402,6.41213,-2.1082,50,5.80277,5.02906,-135.72189,-0.05155,-6.52621,26.90963,-20.09363,b1887293-da8c-4d4d-91fb-cfc535ec688d,NA,NA,NA,NA,NA,702710,"Bowen, Karson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,TCU_HFG,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250516-SmithsBallparkUT-1,97f2e1d0-32b2-11f0-9e05-0f8773b7daaf,93.58023,NA,NA,7.3468,NA,NA,NA,216035f8-83f0-4fcd-8810-97b68ad2b765,2025-05-17,00:05:08,2025-05-17T00:05:08Z,2025-05-17T00:05:08Z,NA,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Kleveno, Jack",822577,Right,UTA_UTE,54.23972,-136.55991,13.45482,5.79463,0.57421,-10.04681,-2.26798,5.2323,-3.2631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-16,18:05:24,"Jones, Merit",1000196598,Right,UTA_UTE,Undefined,Slider,NA,NA,86.52534,-3.269388,-4.052277,2179.472487,59.715492,08:00:00,5.90413,1.9902,5.80055,-41.02317,-3.42705,-7.74559,-0.56615,-2.43046,80.41264,-10.672829,-5.43806,0.441309,2.91732,-0.65165,-1.65193,50,5.60953,9.17766,-125.31257,-8.60402,4.64426,25.04915,-33.21142,7b5c3f13-e5f5-4de8-9bfc-5ee3f3fd312b,NA,NA,NA,NA,NA,702710,"Bowen, Karson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,TCU_HFG,1,Top,0,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250516-SmithsBallparkUT-1,a1988460-32b2-11f0-9e05-0f8773b7daaf,85.41051,NA,NA,6.1127,NA,NA,NA,216035f8-83f0-4fcd-8810-97b68ad2b765,2025-05-17,00:05:24,2025-05-17T00:05:24Z,2025-05-17T00:05:24Z,NA,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Kleveno, Jack",822577,Right,UTA_UTE,54.70166,-126.2489,12.52457,5.90794,-7.36258,-16.60571,-1.99174,9.00406,2.32213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-16,18:05:44,"Jones, Merit",1000196598,Right,UTA_UTE,Undefined,FourSeamFastBall,NA,NA,93.37746,-1.436294,-2.773869,2247.579773,197.694287,12:30:00,6.01262,1.94099,6.42175,-15.12954,16.50351,4.92611,3.42971,-0.20031,84.78892,-4.355725,-1.882441,0.404801,-3.37559,9.3389,-1.74506,50,5.90289,6.35614,-135.48848,-3.79832,-6.23393,31.39784,-14.92721,417adfb7-a12b-474b-9bf1-faea3d809174,NA,NA,NA,NA,NA,702710,"Bowen, Karson",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,TCU_HFG,1,Top,0,2,2,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250516-SmithsBallparkUT-1,ad9e8520-32b2-11f0-9e05-0f8773b7daaf,93.11343,NA,NA,8.58854,NA,NA,NA,216035f8-83f0-4fcd-8810-97b68ad2b765,2025-05-17,00:05:44,2025-05-17T00:05:44Z,2025-05-17T00:05:44Z,NA,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Kleveno, Jack",822577,Right,UTA_UTE,54.07408,-136.42933,15.69892,6.01001,-3.35102,-7.46361,-1.93832,6.54294,-3.11697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-16,18:06:15,"Jones, Merit",1000196598,Right,UTA_UTE,Undefined,Slider,NA,NA,85.464340000000007,-0.539917,-1.467557,2295.051651,66.688785,08:15:00,6.11946,2.0604,5.80109,-40.94018,-1.8698,-7.63953,2.20545,0.05856,77.24706,-8.078368,-2.838106,0.449879,3.37008,-0.28606,-1.93546,50,6.05132,3.49791,-123.8974,-2.61644,5.13623,29.2597,-32.61005,de3948ed-7b29-4025-a76f-81c5a976d38a,NA,NA,NA,NA,NA,820831,"Strosnider, Sawyer",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,TCU_HFG,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250516-SmithsBallparkUT-1,c00388f0-32b2-11f0-9e05-0f8773b7daaf,83.78358,NA,NA,8.21728,NA,NA,NA,216035f8-83f0-4fcd-8810-97b68ad2b765,2025-05-17,00:06:15,2025-05-17T00:06:15Z,2025-05-17T00:06:15Z,NA,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Kleveno, Jack",822577,Right,UTA_UTE,54.6944,-125.00112,14.62985,6.12681,-1.38635,-16.30503,-2.06375,3.30417,2.56811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-16,18:06:30,"Jones, Merit",1000196598,Right,UTA_UTE,Undefined,FourSeamFastBall,NA,NA,93.98734,-1.066939,-2.869659,2301.939289,204.411712,12:45:00,5.99437,1.82559,6.45297,-16.98784,14.0619,5.92906,3.5972,-0.31883,85.69592,-4.314284,-1.796131,0.401052,-3.92618,7.9641,-1.62491,50,5.91103,6.59797,-136.47519,-3.03136,-7.38473,30.80199,-17.19451,b8e41bbc-4efb-44d9-87f7-3f4a2e721d69,NA,NA,NA,NA,-155.497993,820831,"Strosnider, Sawyer",3420.073518,NA,74.02543,Left,39.130581,-101.75597,49.8911,-41.78116,210.69075,104.45527,3.124504,-158.82043,1.20211,3.57219,0.32515,NA,NA,NA,NA,NA,2,2,TCU_HFG,1,Top,1,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250516-SmithsBallparkUT-1,c8d11b00-32b2-11f0-9e05-0f8773b7daaf,93.98399,49.88699,NA,8.29142,NA,NA,NA,216035f8-83f0-4fcd-8810-97b68ad2b765,2025-05-17,00:06:30,2025-05-17T00:06:30Z,2025-05-17T00:06:30Z,FlyBall,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Kleveno, Jack",822577,Right,UTA_UTE,54.04515,-137.38513,15.401,5.99308,-2.5234,-8.59726,-1.82305,6.81612,-3.69236,18.866369,1.20224,-76.6435,3.10354,0.46381,0.17015,-0.27488,0.14783,-0.03561,0.00319,3.57261,68.50168,-29.2652,3.49625,-0.50658,-0.01412,0.02605,-0.00379,8e-5,0.32504,-34.92444,4.97832,-0.87034,0.20541,-0.08871,0.0435,-0.01135,0.0011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
8,2025-05-16,18:06:51,"Jones, Merit",1000196598,Right,UTA_UTE,Undefined,FourSeamFastBall,NA,NA,93.86986,0.202989,-1.307198,2236.186418,209.403219,01:00:00,5.97608,1.96961,6.14009,-15.91914,15.13977,8.04119,4.83712,1.43146,86.50007,-2.818969,0.142336,0.401111,-4.4691,8.04626,-1.87396,50,5.98309,2.77048,-136.54579,0.00376,-8.52814,27.04153,-16.81971,48f116e7-0fc3-4760-afdf-54c49f7b33fc,NA,NA,NA,NA,NA,820831,"Strosnider, Sawyer",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,TCU_HFG,1,Top,1,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250516-SmithsBallparkUT-1,d519f120-32b2-11f0-9e05-0f8773b7daaf,93.97008,NA,NA,7.36979,NA,NA,NA,216035f8-83f0-4fcd-8810-97b68ad2b765,2025-05-17,00:06:51,2025-05-17T00:06:51Z,2025-05-17T00:06:51Z,NA,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Kleveno, Jack",822577,Right,UTA_UTE,54.35862,-137.40626,13.52076,5.97446,0.53897,-8.40986,-1.96643,3.04185,-4.26407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-16,18:07:06,"Jones, Merit",1000196598,Right,UTA_UTE,Undefined,Slider,NA,NA,86.336,0.20918900000000001,-2.238048,2260.124208,42.222185,07:30:00,6.07189,1.95544,5.72326,-40.88423,-3.47807,-4.10831,2.85987,-0.47254,79.95897,-7.252206,-2.973031,0.440193,1.54236,-1.58036,-1.76586,50,6.0636,5.06943,-125.49744,-0.99878,2.47902,23.53833,-34.71409,07ad144a-ba4b-42d2-8b30-b5d4d868b402,NA,NA,NA,NA,4.51208,820831,"Strosnider, Sawyer",2022.537838,NA,90.52927,Left,21.259616,109.83988,36.65486,5.92027,331.79951,324.65472,3.774708,-0.427496,2.43154,3.00205,0.39743,NA,NA,NA,NA,NA,2,4,TCU_HFG,1,Top,1,1,2,Slider,InPlay,Undefined,FlyBall,Out,1,0,NA,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250516-SmithsBallparkUT-1,de56e6d0-32b2-11f0-9e05-0f8773b7daaf,85.62707,45.13076,NA,6.37703,NA,NA,NA,216035f8-83f0-4fcd-8810-97b68ad2b765,2025-05-17,00:07:06,2025-05-17T00:07:06Z,2025-05-17T00:07:06Z,LineDrive,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Kleveno, Jack",822577,Right,UTA_UTE,54.77853,-126.39052,11.76917,6.07651,0.31833,-17.35705,-1.95641,4.97537,1.23951,155.246741,2.43095,123.37392,-17.22956,3.79991,-0.95185,0.26778,-0.06402,0.00923,-5.5e-4,3.0026,48.12771,-14.57707,0.43145,0.12479,-0.10423,0.03391,-0.00503,2.7e-4,0.39728,9.73899,-5.10834,1.15808,-0.28768,0.07791,-0.01797,0.00255,-1.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
10,2025-05-16,18:07:43,"Jones, Merit",1000196598,Right,UTA_UTE,Undefined,FourSeamFastBall,NA,NA,93.7848,-1.033082,-2.345056,2216.444857,203.42869,12:45:00,6.082,1.87055,6.46612,-17.2054,13.5502,5.49634,3.69848,0.17356,86.58637,-4.296681,-1.348876,0.399148,-3.44693,7.62095,-1.70732,50,6.00114,5.36069,-136.3889,-2.96403,-6.56469,26.88623,-17.65998,302115e7-b580-48cd-a3da-ad859d3fc011,NA,NA,NA,NA,NA,823144,"Cramer, Cole",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,TCU_HFG,1,Top,2,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250516-SmithsBallparkUT-1,f41f12d0-32b2-11f0-9e05-0f8773b7daaf,94.43235,NA,NA,7.19843,NA,NA,NA,216035f8-83f0-4fcd-8810-97b68ad2b765,2025-05-17,00:07:43,2025-05-17T00:07:43Z,2025-05-17T00:07:43Z,NA,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Kleveno, Jack",822577,Right,UTA_UTE,54.03265,-137.18154,13.44312,6.08085,-2.44339,-8.82999,-1.86822,5.5542299999999996,-3.28235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
11,2025-05-16,18:07:55,"Jones, Merit",1000196598,Right,UTA_UTE,Undefined,Slider,NA,NA,85.38529,-0.454953,-2.20679,2201.84596,59.337295,08:00:00,5.89615,2.18961,5.81802,-41.56809,-3.28701,-7.43386,2.00883,-0.48268,78.91022,-8.0494,-3.539596,0.445311,3.2128,-1.21819,-2.00451,50,5.83416,5.07974,-124.0624,-2.44375,5.02337,24.07504,-34.07876,22db727e-c3ed-4c02-a7ea-06b976030e78,NA,NA,NA,NA,NA,823144,"Cramer, Cole",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,TCU_HFG,1,Top,2,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250516-SmithsBallparkUT-1,fbc58a00-32b2-11f0-9e05-0f8773b7daaf,84.64294,NA,NA,6.47507,NA,NA,NA,216035f8-83f0-4fcd-8810-97b68ad2b765,2025-05-17,00:07:55,2025-05-17T00:07:55Z,2025-05-17T00:07:55Z,NA,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Kleveno, Jack",822577,Right,UTA_UTE,54.68242,-124.96775,12.03752,5.90196,-1.1622,-17.03938,-2.19198,4.89084,2.51169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
12,2025-05-16,18:08:09,"Jones, Merit",1000196598,Right,UTA_UTE,Undefined,Slider,NA,NA,84.72591,0.707108,-1.535805,2261.214661,61.086917,08:00:00,6.05511,1.92143,5.71082,-40.55868,-1.78945,-5.17914,3.33426,0.05868,78.50699,-6.707268,-2.46247,0.448141,2.27563,-0.81449,-1.7895,50,6.08868,3.50859,-123.20808,0.10379,3.53238,22.22753,-33.43834,4986ff9f-0d00-4974-b988-bb3e8e86b2cd,NA,NA,NA,NA,108.259528,823144,"Cramer, Cole",5763.453285,NA,77.96209,Right,65.350084,NA,NA,NA,NA,18.38908,NA,NA,1.21829,3.14526,-0.05138,NA,NA,NA,NA,NA,3,3,TCU_HFG,1,Top,2,1,1,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250516-SmithsBallparkUT-1,0428c180-32b3-11f0-9e05-0f8773b7daaf,84.1084,41.29537,NA,6.21893,NA,NA,NA,216035f8-83f0-4fcd-8810-97b68ad2b765,2025-05-17,00:08:09,2025-05-17T00:08:09Z,2025-05-17T00:08:09Z,NA,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Kleveno, Jack",822577,Right,UTA_UTE,54.79072,-124.06934,11.11376,6.05955,1.39945,-16.71917,-1.9228,3.37172,1.76619,334.638984,1.22845,-15.27485,-6.81026,NA,NA,NA,NA,NA,NA,3.15529,103.59908,-26.51281,NA,NA,NA,NA,NA,NA,-0.04543,45.09526,-7.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
13,2025-05-16,18:08:35,"Jones, Merit",1000196598,Right,UTA_UTE,Undefined,Cutter,NA,NA,87.87479,0.730888,-2.952363,2086.529261,178.621756,12:00:00,5.92737,2.02985,6.02733,-30.42777,5.95244,-0.11346,4.06954,-0.71624,79.63649,-4.946333,-2.972736,0.434114,-0.84535,3.23465,-1.7988,50,5.9684,6.57486,-127.39072,0.61198,-1.37591,28.50273,-26.90932,100fa19d-2208-42a3-ba65-78385261c9e1,NA,NA,NA,NA,NA,823144,"Cramer, Cole",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,TCU_HFG,1,Top,2,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250516-SmithsBallparkUT-1,133a2d80-32b3-11f0-9e05-0f8773b7daaf,86.8261,NA,NA,8.2383,NA,NA,NA,216035f8-83f0-4fcd-8810-97b68ad2b765,2025-05-17,00:08:35,2025-05-17T00:08:35Z,2025-05-17T00:08:35Z,NA,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Kleveno, Jack",822577,Right,UTA_UTE,54.4679,-128.38649,14.25136,5.9306,1.55208,-13.45466,-2.02934,6.62293,-0.68796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
14,2025-05-16,18:08:51,"Jones, Merit",1000196598,Right,UTA_UTE,Undefined,Slider,NA,NA,85.83873,-0.516253,-2.48694,2357.891889,49.685575,07:45:00,6.0841,1.795,5.62518,-44.35018,-5.7052,-8.22449,1.90606,-1.21247,78.47556,-8.597818,-3.956215,0.447423,3.40146,-2.32917,-1.57769,50,6.0118,5.75495,-124.50015,-2.75146,5.28761,27.23199,-35.7948,b8589ed1-7400-4c49-b6ef-219851a67758,NA,NA,NA,NA,NA,823144,"Cramer, Cole",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,TCU_HFG,1,Top,2,2,2,Slider,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,UTA_UTE,TCU_HFG,SmithsBallparkUT,D1,BIG12,20250516-SmithsBallparkUT-1,1d158610-32b3-11f0-9e05-0f8773b7daaf,84.24348,NA,NA,7.36317,NA,NA,NA,216035f8-83f0-4fcd-8810-97b68ad2b765,2025-05-17,00:08:51,2025-05-17T00:08:51Z,2025-05-17T00:08:51Z,NA,v3,471475,5045,15 May 2025 20:00-tcu@utah,"Kleveno, Jack",822577,Right,UTA_UTE,54.87365,-125.56164,13.616,6.09186,-1.35619,-17.8974,-1.798,5.54884,2.64381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
