PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-28,16:05:56,"Revis, Dusty",1000297622,Right,WCC,Undefined,Undefined,NA,NA,90.17926,-0.665609,-4.452726,2160.140946,250.736096,02:15:00,5.7932,2.89335,5.75063,-27.69726,6.98146,16.79843,2.86354,0.13952,82.38674,-5.793777,-1.455985,0.423841,-9.81056,4.06634,-2.53344,50,5.72084,9.44858,-130.65183,-2.50212,-16.95958,27.49846,-25.14457,6a070364-01e2-4892-b158-499c5234a204,NA,NA,NA,NA,NA,1000278567,"Leahy, Matthew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,RID_BRO,1,Top,0,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WCC,RID_BRO,HennonStadium,D1,SOCON,20250228-HennonStadium-1,ce2c38a0-f617-11ef-9cd1-57f0466f4219,88.93061,NA,NA,7.79252,NA,NA,NA,ecd0bb7c-3b51-4ad7-8e65-6439c74a275f,2025-02-28,21:05:56,2025-02-28T21:05:56Z,2025-02-28T21:05:56Z,NA,v3,471488,471421,28 February 2025 16:00-rider@wcarolina,"Quarless, Noah",10109615,Right,WCC,54.75034,-131.64784,13.74923,5.79498,-1.59136,-12.57229,-2.8868,10.06287,-8.47979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.2275,1.986966,0.69888,1.288086,0.15774,2.73425,-0.1083,-0.363,6.72939,0.63895,127.27804,-1.06169,2.59054,-0.24938,110.12578,-8.73012,6.7523,9.28643,-11.94255,0.60997,-0.64712,1.72035,High,High,High,NA,NA,High,High,High
2,2025-02-28,16:06:51,"Revis, Dusty",1000297622,Right,WCC,Undefined,Undefined,NA,NA,93.51635,-1.894113,-5.190318,2413.002318,224.909571,01:30:00,5.74656,2.71601,6.31416,-19.48001,12.42052,11.28327,2.37068,-1.13778,84.79516,-5.588915,-3.161401,0.406509,-7.40796,7.35142,-2.34012,50,5.59796,11.80651,-135.25237,-5.08355,-13.6147,31.65902,-18.66323,c44e6828-a67e-4714-8e01-3d83c14f1c34,NA,NA,NA,NA,NA,1000278567,"Leahy, Matthew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,RID_BRO,1,Top,0,0,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WCC,RID_BRO,HennonStadium,D1,SOCON,20250228-HennonStadium-1,a1fa0319-2c58-4982-b9e0-56ceb30f9ed8,92.72221,NA,NA,8.7212,NA,NA,NA,ecd0bb7c-3b51-4ad7-8e65-6439c74a275f,2025-02-28,21:06:51,2025-02-28T21:06:51Z,2025-02-28T21:06:51Z,NA,v3,471488,471421,28 February 2025 16:00-rider@wcarolina,"Quarless, Noah",10109615,Right,WCC,54.18424,-136.22827,15.82951,5.74579,-4.50825,-9.33161,-2.71053,12.22619,-6.80735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-02-28,16:07:05,"Revis, Dusty",1000297622,Right,WCC,Undefined,Undefined,NA,NA,93.25758,-0.895091,-5.734579,2366.465721,222.590498,01:30:00,5.62995,2.79639,6.44443,-20.41257,11.37418,9.50064,3.10224,-1.6988,84.92215,-4.758198,-4.025601,0.405783,-6.57989,6.51059,-2.39221,50,5.55689,13.15262,-134.90114,-2.73403,-12.09528,30.0224,-20.20617,6205ad80-2661-4c6f-9bd1-c790f368bab6,NA,NA,NA,NA,NA,1000278567,"Leahy, Matthew",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,RID_BRO,1,Top,0,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WCC,RID_BRO,HennonStadium,D1,SOCON,20250228-HennonStadium-1,b4a5fa2c-64c5-499e-8a27-46499654a0c7,92.88806,NA,NA,8.33543,NA,NA,NA,ecd0bb7c-3b51-4ad7-8e65-6439c74a275f,2025-02-28,21:07:05,2025-02-28T21:07:05Z,2025-02-28T21:07:05Z,NA,v3,471488,471421,28 February 2025 16:00-rider@wcarolina,"Quarless, Noah",10109615,Right,WCC,54.05436,-135.80045,15.0112,5.62972,-2.12877,-10.10309,-2.79161,13.51492,-6.04764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-02-28,16:07:21,"Revis, Dusty",1000297622,Right,WCC,Undefined,Undefined,NA,NA,93.8852,-1.825288,-4.838911,2281.389022,245.817078,02:15:00,5.6327,2.81907,6.37845,-22.87643,8.38497,16.45552,2.04048,-0.27209,85.88498,-6.119262,-1.870744,0.402416,-9.93225,5.17744,-2.47682,50,5.48998,10.83704,-136.03141,-5.08834,-18.62322,29.65715,-22.46618,7e4cb9dc-af15-4a41-8217-3c35bc80d794,NA,NA,NA,NA,57.317563,1000278567,"Leahy, Matthew",5422.868323,NA,86.40525,Right,18.19364,52.57032,28.64374,96.62425,249.24792,130.64618,2.959017,66.736236,-0.11463,2.12635,0.05344,NA,NA,NA,NA,NA,1,4,RID_BRO,1,Top,0,1,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WCC,RID_BRO,HennonStadium,D1,SOCON,20250228-HennonStadium-1,c2cf54b7-a6a6-4688-a6b9-8240e00a2937,93.66531,30.31547,NA,8.00022,NA,NA,NA,ecd0bb7c-3b51-4ad7-8e65-6439c74a275f,2025-02-28,21:07:21,2025-02-28T21:07:21Z,2025-02-28T21:07:21Z,LineDrive,v3,471488,471421,28 February 2025 16:00-rider@wcarolina,"Quarless, Noah",10109615,Right,WCC,54.12273,-136.92728,14.82858,5.63344,-4.40969,-11.23309,-2.81268,11.3996,-9.31161,NA,-0.11477,65.0141,-19.31284,4.77822,-1.00393,0.19117,-0.02933,0.00258,-6e-5,2.12669,39.55696,-13.89658,-0.18212,0.21021,-0.06057,0.00437,0.00193,-3.3e-4,0.05338,101.33255,-14.14703,3.28677,-0.65130999999999994,0.11883,-0.01871,0.00191,-8e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
5,2025-02-28,16:07:40,"Revis, Dusty",1000297622,Right,WCC,Undefined,Undefined,NA,NA,83.45318,0.171401,-3.458644,2210.697294,106.701896,09:30:00,5.63147,3.03181,5.33664,-37.65762,2.89465,-6.01603,2.65444,-0.71834,77.56605,-6.662428,-4.523908,0.458331,2.21945,1.69862,-2.71469,50,5.61949,7.56532,-121.1441,-0.9823,3.34066,20.81901,-29.61735,e87aaa43-579b-42cf-b617-90478f4f18d4,NA,NA,NA,NA,-27.351932,1000278567,"Leahy, Matthew",2000.112541,NA,59.51056,Right,0.346177,NA,NA,NA,37.92473,35.71947,0.418573,-24.698106,2.91591,2.78946,0.66595,NA,NA,NA,NA,NA,1,5,RID_BRO,1,Top,0,1,2,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,WCC,RID_BRO,HennonStadium,D1,SOCON,20250228-HennonStadium-1,aadc7692-6fe1-4f6b-ba93-5f1b6fb4b2c4,82.23852,2.79343,NA,5.88712,NA,NA,NA,ecd0bb7c-3b51-4ad7-8e65-6439c74a275f,2025-02-28,21:07:40,2025-02-28T21:07:40Z,2025-02-28T21:07:40Z,GroundBall,v3,471488,471421,28 February 2025 16:00-rider@wcarolina,"Quarless, Noah",10109615,Right,WCC,55.1661,-122.02868,10.4095,5.6344900000000004,0.27612,-14.80867,-3.03312,7.42338,1.67033,40.036845,2.91666,77.49823,-5.14024,NA,NA,NA,NA,NA,NA,2.79204,0.4458,-17.01555,NA,NA,NA,NA,NA,NA,0.66598,-40.10217,1.55999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,High,NA,NA,NA
6,2025-02-28,16:08:11,"Revis, Dusty",1000297622,Right,WCC,Undefined,Undefined,NA,NA,94.11269,-2.265825,-4.261722,2266.516866,241.580678,02:00:00,5.63134,2.77921,6.39629,-19.99552,10.73186,18.20863,1.87431,0.36987,86.99511,-6.020837,-0.971793,0.398965,-10.55571,6.43437,-2.48083,50,5.45883,9.43378,-136.57798,-6.04783,-20.17995,26.66511,-19.87309,47db5550-b746-4bef-a9a7-557e1a933e78,NA,NA,NA,NA,NA,1000239317,"Hartmann, Erich",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,RID_BRO,1,Top,1,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WCC,RID_BRO,HennonStadium,D1,SOCON,20250228-HennonStadium-1,540540c6-4a18-4ec4-b42a-e442bc3e57b0,94.47567,NA,NA,7.11759,NA,NA,NA,ecd0bb7c-3b51-4ad7-8e65-6439c74a275f,2025-02-28,21:08:11,2025-02-28T21:08:11Z,2025-02-28T21:08:11Z,NA,v3,471488,471421,28 February 2025 16:00-rider@wcarolina,"Quarless, Noah",10109615,Right,WCC,54.10618,-137.37731,13.33255,5.63119,-5.45209,-9.93655,-2.7727,10.03871,-10.08998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-02-28,16:08:24,"Revis, Dusty",1000297622,Right,WCC,Undefined,Undefined,NA,NA,93.81809,-2.480327,-3.907778,2275.448399,241.26043,02:00:00,5.55732,2.9588,6.11945,-20.87596,10.44217,17.36438,1.51775,0.78737,86.56056,-6.377861,-0.784397,0.402781,-9.98339,6.30626,-2.6681,50,5.35576,8.56434,-136.10185,-6.60381,-18.90218,27.23977,-20.23399,51516d96-61e0-4ce0-8113-ed270df6e6cc,NA,NA,NA,NA,NA,1000239317,"Hartmann, Erich",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,RID_BRO,1,Top,1,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WCC,RID_BRO,HennonStadium,D1,SOCON,20250228-HennonStadium-1,04c8f36c-1878-4361-951b-b1139c079a8d,93.58042,NA,NA,7.25753,NA,NA,NA,ecd0bb7c-3b51-4ad7-8e65-6439c74a275f,2025-02-28,21:08:24,2025-02-28T21:08:24Z,2025-02-28T21:08:24Z,NA,v3,471488,471421,28 February 2025 16:00-rider@wcarolina,"Quarless, Noah",10109615,Right,WCC,54.38277,-136.97622,13.61989,5.55732,-5.95432,-10.117,-2.95275,9.17108,-9.45109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-02-28,16:08:39,"Revis, Dusty",1000297622,Right,WCC,Undefined,Undefined,NA,NA,94.32347,-2.170736,-3.468847,2269.207848,241.206347,02:00:00,5.63218,2.94206,6.44031,-21.61312,8.95874,14.68123,1.83172,0.97398,87.05356,-6.222069,-0.810339,0.397954,-8.56422,5.51477,-2.70177,50,5.46787,7.70503,-136.9785,-5.89189,-16.41644,27.73587,-21.60302,7f88288f-ec45-4175-b532-8251c8b918dd,NA,NA,NA,NA,NA,1000239317,"Hartmann, Erich",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,RID_BRO,1,Top,1,1,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WCC,RID_BRO,HennonStadium,D1,SOCON,20250228-HennonStadium-1,3997d36b-6606-4fdc-9563-551bf1afe247,94.71565,NA,NA,7.26991,NA,NA,NA,ecd0bb7c-3b51-4ad7-8e65-6439c74a275f,2025-02-28,21:08:39,2025-02-28T21:08:39Z,2025-02-28T21:08:39Z,NA,v3,471488,471421,28 February 2025 16:00-rider@wcarolina,"Quarless, Noah",10109615,Right,WCC,54.06144,-137.79842,13.86794,5.63261,-5.25327,-10.80151,-2.93672,8.19033,-8.20822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-02-28,16:08:54,"Revis, Dusty",1000297622,Right,WCC,Undefined,Fastball,NA,NA,93.10491,-2.880369,-4.162067,2248.92484,248.586347,02:15:00,5.42655,3.06664,6.53415,-24.52104,6.85465,15.11666,0.73178,0.50181,85.9764,-7.457955,-1.421667,0.403151,-9.04237,4.62075,-2.78372,50,5.21545,9.23583,-135.0474,-7.58898,-16.82539,27.32827,-23.57613,94eeda5c-bd01-427b-a287-9ddef7eac6d4,NA,NA,NA,NA,NA,1000239317,"Hartmann, Erich",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,RID_BRO,1,Top,1,1,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WCC,RID_BRO,HennonStadium,D1,SOCON,20250228-HennonStadium-1,37e07680-f618-11ef-b1d2-8345bba97db3,93.49449,NA,NA,7.12851,NA,NA,NA,ecd0bb7c-3b51-4ad7-8e65-6439c74a275f,2025-02-28,21:08:54,2025-02-28T21:08:54Z,2025-02-28T21:08:54Z,NA,v3,471488,471421,28 February 2025 16:00-rider@wcarolina,"Quarless, Noah",10109615,Right,WCC,53.96819,-135.84803,13.66414,5.42766,-6.89828,-11.78806,-3.06152,9.72876,-8.41269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-02-28,16:09:09,"Revis, Dusty",1000297622,Right,WCC,Undefined,Fastball,NA,NA,93.89889,-1.565515,-4.640466,2217.62127,240.356299,02:00:00,5.65597,2.86828,6.40998,-21.67277,9.42548,14.87867,2.40539,-0.16789,86.12024,-5.640967,-1.95476,0.401365,-9.05772,5.6315,-2.54235,50,5.53359,10.4499,-136.15445,-4.41907,-17.0642,28.88435,-21.56461,f2230cb0-7782-431f-978e-77af5605dda8,NA,NA,NA,NA,-15.626946,1000239317,"Hartmann, Erich",5093.966376,NA,91.66605,Left,59.21759,96.90224,146.15937,-52.05695,237.80975,87.44075,6.140079,-35.209078,1.55611,2.17845,0.27792,NA,NA,NA,NA,NA,2,5,RID_BRO,1,Top,1,2,2,Sinker,InPlay,Undefined,Popup,Out,1,0,NA,WCC,RID_BRO,HennonStadium,D1,SOCON,20250228-HennonStadium-1,40be3530-f618-11ef-b1d2-8345bba97db3,93.91066,152.84904,NA,7.77865,NA,NA,NA,ecd0bb7c-3b51-4ad7-8e65-6439c74a275f,2025-02-28,21:09:09,2025-02-28T21:09:09Z,2025-02-28T21:09:09Z,FlyBall,v3,471488,471421,28 February 2025 16:00-rider@wcarolina,"Quarless, Noah",10109615,Right,WCC,54.0918,-137.01975,14.44218,5.6563,-3.77304,-10.78231,-2.86306,10.9611,-8.5321,152.460202,1.56447,66.03738,-16.83896,3.17272,0.30543,-0.37577,0.09845,-0.01142,5e-4,2.14723,115.98446,-29.88906,5.40257,-1.76598,0.43393,-0.06289,0.00455,-1.2e-4,0.28736,-18.74727,-3.94753,0.59025,0.56645,-0.34112,0.0824,-0.00939,4.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
11,2025-02-28,16:09:43,"Revis, Dusty",1000297622,Right,WCC,Undefined,Fastball,NA,NA,93.86538,-2.0103,-3.931406,2228.590453,239.510251,02:00:00,5.5578,2.94318,6.30232,-20.41477,10.76516,16.66414,1.99928,0.70402,86.20223,-5.849426,-0.924492,0.401892,-9.72808,6.42469,-2.66198,50,5.39991,8.66859,-136.18567,-5.44111,-18.35674,28.57247,-20.05079,caefd255-b60e-4f1e-9c5f-0c116dd87a18,NA,NA,NA,NA,NA,1000278564,"Tiroly, Joe",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,RID_BRO,1,Top,2,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WCC,RID_BRO,HennonStadium,D1,SOCON,20250228-HennonStadium-1,54fd2920-f618-11ef-b1d2-8345bba97db3,93.78757,NA,NA,7.66315,NA,NA,NA,ecd0bb7c-3b51-4ad7-8e65-6439c74a275f,2025-02-28,21:09:43,2025-02-28T21:09:43Z,2025-02-28T21:09:43Z,NA,v3,471488,471421,28 February 2025 16:00-rider@wcarolina,"Quarless, Noah",10109615,Right,WCC,54.19927,-137.06387,14.28624,5.55768,-4.82484,-10.02539,-2.93709,9.2328,-9.17837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
12,2025-02-28,16:09:57,"Revis, Dusty",1000297622,Right,WCC,Undefined,Slider,NA,NA,82.5492,-0.015921,-2.8159,2114.498109,89.696863,09:00:00,5.69899,2.9384,5.61241,-40.48628,1.34429,-8.63544,2.31026,-0.41163,75.30908,-7.437888,-4.355291,0.465499,3.51977,1.09933,-2.69193,50,5.67161,6.23589,-119.67248,-1.42194,5.05728,25.08463,-30.59453,6ab8d309-3ac5-47a2-9628-7a2226f452e8,NA,NA,NA,NA,NA,1000278564,"Tiroly, Joe",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,RID_BRO,1,Top,2,0,1,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,WCC,RID_BRO,HennonStadium,D1,SOCON,20250228-HennonStadium-1,5d59f800-f618-11ef-b1d2-8345bba97db3,80.97219,NA,NA,7.24012,NA,NA,NA,ecd0bb7c-3b51-4ad7-8e65-6439c74a275f,2025-02-28,21:09:57,2025-02-28T21:09:57Z,2025-02-28T21:09:57Z,NA,v3,471488,471421,28 February 2025 16:00-rider@wcarolina,"Quarless, Noah",10109615,Right,WCC,54.8869,-120.69248,12.54232,5.70414,-0.17789,-15.29727,-2.94132,6.03025,2.52864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
13,2025-02-28,16:10:10,"Revis, Dusty",1000297622,Right,WCC,Undefined,Slider,NA,NA,82.83701,-0.420744,-3.133542,2124.519322,60.269714,08:00:00,5.84005,2.86712,5.25451,-44.33014,-2.35811,-6.48339,1.74993,-0.62045,75.97992,-8.449345,-4.282097,0.466285,2.36973,-0.78299,-2.57438,50,5.76808,6.83747,-120.07513,-2.48731,3.43924,24.53886,-33.31042,3329a518-0ea7-41c4-b5d9-156fd3b832ec,NA,NA,NA,NA,NA,1000278564,"Tiroly, Joe",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,RID_BRO,1,Top,2,0,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WCC,RID_BRO,HennonStadium,D1,SOCON,20250228-HennonStadium-1,6591d9c0-f618-11ef-b1d2-8345bba97db3,80.83562,NA,NA,6.85709,NA,NA,NA,ecd0bb7c-3b51-4ad7-8e65-6439c74a275f,2025-02-28,21:10:10,2025-02-28T21:10:10Z,2025-02-28T21:10:10Z,NA,v3,471488,471421,28 February 2025 16:00-rider@wcarolina,"Quarless, Noah",10109615,Right,WCC,55.24772,-121.14282,12.26943,5.84477,-1.03796,-16.65521,-2.86862,6.68783,1.71962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
14,2025-02-28,16:10:30,"Revis, Dusty",1000297622,Right,WCC,Undefined,Fastball,NA,NA,94.51106,-1.633115,-4.415398,2294.996233,229.829376,01:45:00,5.80973,2.7347,6.2886,-21.3345,9.64717,10.24784,2.52193,-0.4885,86.31574,-5.643517,-2.569742,0.400612,-6.62571,5.77351,-2.41392,50,5.6787,10.15456,-136.98226,-4.60766,-12.56681,30.76214,-21.2236,29a8f6c1-6b1a-40ed-97e7-b838e7095ba0,NA,NA,NA,NA,0.3214,1000278564,"Tiroly, Joe",NA,NA,104.57778,Right,-17.205553,NA,NA,NA,9.90006,9.54432,0.05579,3.096779,1.69909,2.53506,0.4889,NA,NA,NA,NA,NA,3,4,RID_BRO,1,Top,2,0,2,Sinker,InPlay,Undefined,GroundBall,Single,0,0,NA,WCC,RID_BRO,HennonStadium,D1,SOCON,20250228-HennonStadium-1,7151d0d0-f618-11ef-b1d2-8345bba97db3,94.08715,2.53506,NA,8.19533,NA,NA,NA,ecd0bb7c-3b51-4ad7-8e65-6439c74a275f,2025-02-28,21:10:30,2025-02-28T21:10:30Z,2025-02-28T21:10:30Z,GroundBall,v3,471488,471421,28 February 2025 16:00-rider@wcarolina,"Quarless, Noah",10109615,Right,WCC,54.21256,-137.92503,15.38107,5.80994,-3.95721,-10.6118,-2.73103,10.5397,-6.28341,180,1.69707,146.73849,NA,NA,NA,NA,NA,NA,NA,2.53568,-45.43945,NA,NA,NA,NA,NA,NA,NA,0.48889,0.82314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
