PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-23,12:07:14,1,1,"McGarrh, Cade",1000107414,Right,ABI_WIL,"Pelc, Eddy",688442,Left,GRA_CAN,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,91.4103,-1.029122,-2.497616,2339.338271,205.623794,12:45:00,5.49622,1.98343,6.20569,-15.14918,18.20426,8.17898,3.2829,0.35825,82.72018,-3.959612,-1.022921,0.415663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.9604,10.04938,-1.79961,50,5.41106,5.43324,-132.59949,-2.77814,-8.75046,30.78553,-14.44626,ABI_WIL,GRA_CAN,AbileneChristian,D1,WAC,20250323-AbileneChristian-1,44eebd70-0809-11f0-bd54-ad3381e7a7fe,90.68021,NA,NA,8.69012,NA,NA,NA,NA,NA,NA,a256a856-e439-4f97-a973-f22c250e6626,2025-03-23,17:07:14,2025-03-23T17:07:14Z,2025-03-23T17:07:14Z,NA,v3,471223,5310,23 March 2025 13:05-gcanyon@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,5f037947-cee9-4144-88b2-0f7ab4b579e3,54.28982,-133.59174,15.392760000000001,5.4931,-2.31252,-7.22313,-1.97927,5.71528,-4.37523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-23,12:07:29,1,2,"McGarrh, Cade",1000107414,Right,ABI_WIL,"Pelc, Eddy",688442,Left,GRA_CAN,Undefined,1,Top,0,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,89.01161,-0.223104,-2.004886,2305.913417,239.001786,02:00:00,5.19107,2.03553,6.31384,-26.56647,7.77197,11.32249,2.77157,1.1316,82.21681,-5.18555,0.043226,0.421756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.37941,4.41374,-1.89385,50,5.16199,4.08401,-129.48068,-1.34594,-10.94054,24.45256,-24.60459,ABI_WIL,GRA_CAN,AbileneChristian,D1,WAC,20250323-AbileneChristian-1,4dd70370-0809-11f0-bd54-ad3381e7a7fe,89.37015,NA,NA,6.7948,NA,NA,NA,NA,NA,NA,a256a856-e439-4f97-a973-f22c250e6626,2025-03-23,17:07:29,2025-03-23T17:07:29Z,2025-03-23T17:07:29Z,NA,v3,471223,5310,23 March 2025 13:05-gcanyon@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,9c15c85b-f555-4c15-bcdc-365f5e58225a,54.18578,-130.26877,12.22628,5.19259,-0.55296,-12.3023,-2.03116,4.43661,-5.47027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-23,12:07:47,1,3,"McGarrh, Cade",1000107414,Right,ABI_WIL,"Pelc, Eddy",688442,Left,GRA_CAN,Undefined,1,Top,0,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,80.77322,0.781523,-0.757617,1528.212716,280.72287,03:15:00,4.9668,2.15946,6.49905,-42.55994,-0.03898,8.35811,2.13759,2.16053,72.9069,-7.192932,0.761616,0.469324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.58107,0.2515,-2.10953,50,5.00399,1.24207,-117.27247,0.34003,-6.25751,26.13768,-31.83051,ABI_WIL,GRA_CAN,AbileneChristian,D1,WAC,20250323-AbileneChristian-1,58bfad50-0809-11f0-bd54-ad3381e7a7fe,80.31217,NA,NA,7.86632,NA,NA,NA,NA,NA,NA,a256a856-e439-4f97-a973-f22c250e6626,2025-03-23,17:07:47,2025-03-23T17:07:47Z,2025-03-23T17:07:47Z,NA,v3,471223,5310,23 March 2025 13:05-gcanyon@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,f7d2c284-5248-462e-8364-0e5d5d3300e6,53.99667,-118.15989,13.06884,4.9741,1.42073,-15.91525,-2.15531,1.45452,-3.12875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-23,12:08:02,1,4,"McGarrh, Cade",1000107414,Right,ABI_WIL,"Pelc, Eddy",688442,Left,GRA_CAN,Undefined,1,Top,0,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,82.19614,1.015358,-1.747725,1428.971646,261.63796,02:45:00,4.90126,2.03046,6.03708,-38.61352,2.48858,8.23386,2.62416,1.09782,75.28912,-6.139073,-0.265749,0.461427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.71469,1.4024,-1.89843,50,4.95977,3.327,-119.4086,0.88348,-6.80559,23.04082,-30.14971,ABI_WIL,GRA_CAN,AbileneChristian,D1,WAC,20250323-AbileneChristian-1,61861370-0809-11f0-bd54-ad3381e7a7fe,81.68661,NA,NA,6.90702,NA,NA,NA,NA,NA,NA,a256a856-e439-4f97-a973-f22c250e6626,2025-03-23,17:08:02,2025-03-23T17:08:02Z,2025-03-23T17:08:02Z,NA,v3,471223,5310,23 March 2025 13:05-gcanyon@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,f1dd479e-9d1c-4713-bcb2-1866d486750b,54.46162,-120.26642,11.52041,4.90598,2.00597,-15.07486,-2.02701,3.58038,-3.40279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-23,12:08:22,1,5,"McGarrh, Cade",1000107414,Right,ABI_WIL,"Pelc, Eddy",688442,Left,GRA_CAN,Undefined,1,Top,0,1,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,91.73602,-0.693841,-3.025551,2444.450442,206.495321,01:00:00,5.42144,1.70161,6.2241,-18.26186,14.78402,6.81394,3.25851,-0.52477,83.21348,-4.178748,-1.797452,0.413742,80.9452,79.948129,21.691021,NA,NA,NA,NA,NA,14.7695,NA,NA,-4.44607,8.20382,-1.47858,50,5.36039,6.75089,-133.08575,-2.14857,-7.91284,30.6083,-17.57338,ABI_WIL,GRA_CAN,AbileneChristian,D1,WAC,20250323-AbileneChristian-1,6d3c1f70-0809-11f0-bd54-ad3381e7a7fe,91.10126,98.50309,NA,8.52254,NA,NA,NA,NA,NA,NA,a256a856-e439-4f97-a973-f22c250e6626,2025-03-23,17:08:22,2025-03-23T17:08:22Z,2025-03-23T17:08:22Z,NA,v3,471223,5310,23 March 2025 13:05-gcanyon@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,e6394ad1-97d3-4f96-b6a7-e95854462005,54.27345,-134.065,15.30415,5.42013,-1.58634,-8.78669,-1.69861,7.00405,-3.95642,177.796497,2.11837,19.254,-14.24345,5.48999,-1.59948,0.43706,-0.12066,0.0304,-0.00452,6.71192,116.89712,-31.77905,4.1476,-0.63016,0.06666,-0.01424,0.00841,-0.00211,0.39015,7.6586,-8.38924,3.37006,-1.00344,0.27739,-0.07645,0.01897,-0.00278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Undefined,NA,NA,NA
6,2025-03-23,12:09:03,1,6,"McGarrh, Cade",1000107414,Right,ABI_WIL,"Pelc, Eddy",688442,Left,GRA_CAN,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,91.73302,-2.192373,-3.785826,2342.578417,199.573002,12:45:00,5.27459,1.76728,6.48867,-16.13489,16.50595,5.49118,1.9119,-1.2558,83.71532,-5.28737,-2.792533,0.411199,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.93374,9.57315,-1.50356,50,5.11302,8.5768,-132.98936,-5.52556,-7.03113,29.04445,-15.06318,ABI_WIL,GRA_CAN,AbileneChristian,D1,WAC,20250323-AbileneChristian-1,85b93240-0809-11f0-bd54-ad3381e7a7fe,91.66475,NA,NA,8.01771,NA,NA,NA,NA,NA,NA,a256a856-e439-4f97-a973-f22c250e6626,2025-03-23,17:09:03,2025-03-23T17:09:03Z,2025-03-23T17:09:03Z,NA,v3,471223,5310,23 March 2025 13:05-gcanyon@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,1db4bb13-86b1-4a08-b7e5-5f72580fe3b7,54.00828,-133.86189,14.52223,5.27221,-5.07304,-7.53159,-1.76439,8.78802,-3.51556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-23,12:09:21,1,7,"McGarrh, Cade",1000107414,Right,ABI_WIL,"Pelc, Eddy",688442,Left,GRA_CAN,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,91.52808,-1.972842,-3.602081,2340.984243,214.933073,01:15:00,5.28188,1.84673,6.44878,-18.01977,14.76001,9.57067,1.96336,-0.66952,83.5964,-5.407907,-1.870677,0.412073,85.73284,21.262749,18.837196,2064.477456,103.87596,32.91174,36.18976,295.16822,287.2576,19.559215,3.352359,-6.06366,8.61201,-1.59551,50,5.13363,7.98411,-132.7871,-5.09097,-10.80629,28.92838,-16.82629,ABI_WIL,GRA_CAN,AbileneChristian,D1,WAC,20250323-AbileneChristian-1,90a7f6a0-0809-11f0-bd54-ad3381e7a7fe,91.47025,37.1216,NA,7.9316700000000004,NA,NA,NA,1.50181,2.01168,0.77217,a256a856-e439-4f97-a973-f22c250e6626,2025-03-23,17:09:21,2025-03-23T17:09:21Z,2025-03-23T17:09:21Z,LineDrive,v3,471223,5310,23 March 2025 13:05-gcanyon@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,e1e855ca-8c0d-479e-8287-25abc41d51f2,54.0507,-133.66665,14.46419,5.28064,-4.57937,-8.41314,-1.84326,8.31267,-5.40314,185.716234,1.50136,110.92087,-13.86969,2.87984,-0.7993,0.28377,-0.08414,0.01427,-9.7e-4,2.01196,45.59008,-16.12779,1.00911,-0.05916,-0.06299,0.02999,-0.00528,3.2e-4,0.77202,37.8408,-4.17386,0.86873,-0.24869,0.09105,-0.02744,0.00468,-3.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-03-23,12:09:57,2,1,"McGarrh, Cade",1000107414,Right,ABI_WIL,"Wakefield, Josh",811718,Left,GRA_CAN,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,79.98349,1.745323,-1.321559,1605.909706,274.658909,03:15:00,4.8817,2.03897,6.4913,-42.58203,0.45331,12.19394,2.93635,1.84171,72.6521,-6.224468,0.892464,0.472154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.73209,0.19504,-1.95095,50,4.98622,2.23941,-116.17317,2.29782,-9.10901,23.77956,-31.91016,ABI_WIL,GRA_CAN,AbileneChristian,D1,WAC,20250323-AbileneChristian-1,a63367c0-0809-11f0-bd54-ad3381e7a7fe,79.83074,NA,NA,7.33139,NA,NA,NA,NA,NA,NA,a256a856-e439-4f97-a973-f22c250e6626,2025-03-23,17:09:57,2025-03-23T17:09:57Z,2025-03-23T17:09:57Z,NA,v3,471223,5310,23 March 2025 13:05-gcanyon@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,9e716ba2-4475-49c7-be4b-1ce8448cc26f,54.00632,-116.99035,11.88978,4.88842,3.39441,-15.95508,-2.03329,2.55244,-4.55451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-23,12:10:13,2,2,"McGarrh, Cade",1000107414,Right,ABI_WIL,"Wakefield, Josh",811718,Left,GRA_CAN,Undefined,1,Top,1,1,0,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Out,1,0,NA,82.07,0.259313,-3.139293,1512.147548,273.533194,03:00:00,4.954,1.92891,6.476,-39.84849,0.51756,10.82256,1.87177,-0.05486,75.72795,-7.145668,-1.176811,0.457277,95.80831,18.186975,-3.37542,3043.387198,109.53836,31.71294,-10.06562,332.06795,323.82275,-8.512568,3.69061,-6.52233,0.54051,-1.71248,50,4.95466,6.16437,-119.29821,-0.63794,-9.44743,21.85751,-31.39112,ABI_WIL,GRA_CAN,AbileneChristian,D1,WAC,20250323-AbileneChristian-1,afd14220-0809-11f0-bd54-ad3381e7a7fe,82.42798,40.0522,NA,6.34205,NA,NA,NA,1.45589,1.92083,0.05145,a256a856-e439-4f97-a973-f22c250e6626,2025-03-23,17:10:13,2025-03-23T17:10:13Z,2025-03-23T17:10:13Z,LineDrive,v3,471223,5310,23 March 2025 13:05-gcanyon@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,5b0f9d86-7b35-495e-83e5-c74e78f5a80b,54.0251,-120.03341,10.92875,4.95836,0.41794,-15.69556,-1.92517,6.48215,-4.72371,150.784874,1.45534,133.28476,-22.11977,4.98469,-1.18371,0.30522,-0.07137,0.01077,-6.9e-4,1.9215,43.83684,-12.47723,-0.56342,0.53224,-0.22899,0.06386,-0.00928,5.2e-4,0.05143,-7.85788,-4.72462,2.05458,-0.62269,0.14441,-0.02539,0.00287,-1.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-03-23,12:10:48,3,1,"McGarrh, Cade",1000107414,Right,ABI_WIL,"Yorke, Zach",1000217629,Left,GRA_CAN,Undefined,1,Top,2,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,92.1995,-0.98976,-2.065087,2389.110908,210.103203,01:00:00,5.34019,1.83698,6.21361,-17.48595,15.12698,8.14536,2.96893,0.60914,83.84425,-4.327694,-0.595233,0.411023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-4.85051,8.46241,-1.68624,50,5.25721,4.49091,-133.88668,-2.82753,-8.75465,30.43266,-16.90029,ABI_WIL,GRA_CAN,AbileneChristian,D1,WAC,20250323-AbileneChristian-1,c45a5e70-0809-11f0-bd54-ad3381e7a7fe,91.70396,NA,NA,8.35524,NA,NA,NA,NA,NA,NA,a256a856-e439-4f97-a973-f22c250e6626,2025-03-23,17:10:48,2025-03-23T17:10:48Z,2025-03-23T17:10:48Z,NA,v3,471223,5310,23 March 2025 13:05-gcanyon@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,5cf926bf-f595-4f34-8294-8bc2651bab91,54.28487,-134.85712,15.21633,5.33878,-2.28861,-8.45014,-1.8339,4.77008,-4.37733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
11,2025-03-23,12:11:22,3,2,"McGarrh, Cade",1000107414,Right,ABI_WIL,"Yorke, Zach",1000217629,Left,GRA_CAN,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,92.14836,-0.420364,-2.565905,2466.486534,218.059971,01:15:00,5.42302,1.65112,6.37614,-16.84217,15.9958,11.58284,3.63237,0.25408,82.76544,-3.680039,-0.470487,0.412439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.78882,8.78229,-1.47058,50,5.38462,5.48681,-133.61598,-1.42763,-12.06749,33.28749,-16.56308,ABI_WIL,GRA_CAN,AbileneChristian,D1,WAC,20250323-AbileneChristian-1,d89e3460-0809-11f0-bd54-ad3381e7a7fe,91.38919,NA,NA,9.38293,NA,NA,NA,NA,NA,NA,a256a856-e439-4f97-a973-f22c250e6626,2025-03-23,17:11:22,2025-03-23T17:11:22Z,2025-03-23T17:11:22Z,NA,v3,471223,5310,23 March 2025 13:05-gcanyon@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,66b07622-194f-4814-a16f-87e1ae307d09,54.11776,-134.63792,16.64374,5.42065,-0.91913,-8.28154,-1.64472,5.85729,-6.03375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
12,2025-03-23,12:11:38,3,3,"McGarrh, Cade",1000107414,Right,ABI_WIL,"Yorke, Zach",1000217629,Left,GRA_CAN,Undefined,1,Top,2,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,92.4908,-0.331389,-0.902231,2527.789752,213.055382,01:00:00,5.55463,1.74056,6.12774,-15.05607,17.87127,10.83615,3.99359,1.80952,82.91793,-3.259787,1.051076,0.413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.81016,9.6328,-1.67662,50,5.52128,1.62485,-134.1333,-1.16701,-10.38689,34.08324,-14.95332,ABI_WIL,GRA_CAN,AbileneChristian,D1,WAC,20250323-AbileneChristian-1,e25cb620-0809-11f0-bd54-ad3381e7a7fe,91.26504,NA,NA,9.57286,NA,NA,NA,NA,NA,NA,a256a856-e439-4f97-a973-f22c250e6626,2025-03-23,17:11:38,2025-03-23T17:11:38Z,2025-03-23T17:11:38Z,NA,v3,471223,5310,23 March 2025 13:05-gcanyon@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,d115e2ff-cf79-4f5c-a630-8d1a9d1e0316,54.36536,-135.23799,17.04162,5.55125,-0.68235,-7.47666,-1.73474,1.9615,-5.19344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
13,2025-03-23,12:11:53,3,4,"McGarrh, Cade",1000107414,Right,ABI_WIL,"Yorke, Zach",1000217629,Left,GRA_CAN,Undefined,1,Top,2,1,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,89.51986,-1.392954,-2.869429,2294.045512,232.87875,01:45:00,5.11271,1.93047,6.29783,-23.04663,11.62859,13.77989,1.90683,0.43271,81.18168,-5.752395,-0.379309,0.42382,68.25367,66.075465,-150.587176,4884.298293,NA,NA,NA,NA,32.42229,NA,NA,-8.06855,6.82575,-1.72598,50,4.99917,5.95809,-129.87422,-3.85677,-13.6405,29.78822,-20.63458,ABI_WIL,GRA_CAN,AbileneChristian,D1,WAC,20250323-AbileneChristian-1,eb5290b0-0809-11f0-bd54-ad3381e7a7fe,88.93512,56.55057,NA,8.33818,NA,NA,NA,1.83269,2.09863,-0.46761,a256a856-e439-4f97-a973-f22c250e6626,2025-03-23,17:11:53,2025-03-23T17:11:53Z,2025-03-23T17:11:53Z,NA,v3,471223,5310,23 March 2025 13:05-gcanyon@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,96aeae5c-7737-4dad-b366-991fcf283278,54.20044,-130.83409,14.89411,5.11273,-3.19185,-10.31729,-1.92506,6.39763,-6.82025,7.634415,1.83269,-35.3634,-2.46742,2.36909,0.07832,-2.93369,5.50658,-4.62529,1.48069,2.09863,91.50404,-35.69521,5.45027,-0.27391,-2.92481,5.32701,-4.35149,1.3649,-0.46761,-19.93664,2.09409,0.38724,0.01611,-0.79368,1.54096,-1.3163,0.4261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
14,2025-03-23,12:12:15,3,5,"McGarrh, Cade",1000107414,Right,ABI_WIL,"Yorke, Zach",1000217629,Left,GRA_CAN,Undefined,1,Top,2,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,82.44703,-1.806898,-3.78009,1597.399586,252.852675,02:30:00,4.81502,1.90089,6.65474,-35.36431,5.83733,13.50883,0.21024,-0.4378,73.72833,-8.483605,-1.322557,0.461986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.51315,4.21512,-1.65124,50,4.67948,7.39897,-119.3374,-4.75475,-11.8959,29.59959,-26.28404,ABI_WIL,GRA_CAN,AbileneChristian,D1,WAC,20250323-AbileneChristian-1,f81fb200-0809-11f0-bd54-ad3381e7a7fe,81.58788,NA,NA,8.7187,NA,NA,NA,NA,NA,NA,a256a856-e439-4f97-a973-f22c250e6626,2025-03-23,17:12:15,2025-03-23T17:12:15Z,2025-03-23T17:12:15Z,NA,v3,471223,5310,23 March 2025 13:05-gcanyon@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,301a3653-9e27-4011-84e0-100d537d16fd,53.84103,-120.28633,14.79979,4.81841,-3.91212,-13.14202,-1.89456,7.78034,-5.94795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
15,2025-03-23,12:12:36,3,6,"McGarrh, Cade",1000107414,Right,ABI_WIL,"Yorke, Zach",1000217629,Left,GRA_CAN,Undefined,1,Top,2,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,NA,91.99712,-1.23184,-1.932555,2403.201844,219.372827,01:15:00,5.38804,1.76072,6.21084,-19.22072,13.79942,10.36071,2.64862,0.83987,83.06703,-4.897225,-0.062367,0.413581,92.80741,7.054243,20.096408,1381.355608,NA,NA,NA,134.75449,131.66216,23.559565,1.110852,-5.9939,7.88504,-1.62086,50,5.28605,4.06955,-133.48466,-3.44685,-10.66427,32.46214,-18.14514,ABI_WIL,GRA_CAN,AbileneChristian,D1,WAC,20250323-AbileneChristian-1,04931a90-080a-11f0-bd54-ad3381e7a7fe,91.13677,6.54959,NA,8.93009,NA,NA,NA,1.98637,2.71217,-0.83414,a256a856-e439-4f97-a973-f22c250e6626,2025-03-23,17:12:36,2025-03-23T17:12:36Z,2025-03-23T17:12:36Z,GroundBall,v3,471223,5310,23 March 2025 13:05-gcanyon@abilchrist,"Miesse, Maddox",809515,Right,ABI_WIL,ee42dabe-d2e2-4fe5-b7fd-e0c719bd7fa8,54.28638,-134.52302,16.23107,5.38702,-2.86644,-9.07257,-1.75649,4.41067,-5.33213,273.018625,1.98637,126.86229,-18.05768,2.59388,-0.51199,0.08241,-0.01402,0.00236,-2.3e-4,2.71217,16.71642,-19.02039,1.933,-0.38225,0.08712,-0.01638,0.00281,-3.1e-4,-0.83414,46.41599,3.8618,-1.55228,0.41811,-0.10254,0.02193,-0.00409,4.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
