PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,18:02:54,"Pancione, Dominic",1000200095,Right,SHE_UNI,Undefined,Undefined,NA,NA,90.37899,-2.236057,-5.922426,2376.533921,251.299883,02:30:00,5.58474,3.29091,5.72044,-28.18549,6.59473,16.13517,1.14082,-0.90098,82.67231,-7.427725,-3.055119,0.424461,-9.94512,4.29331,-2.80476,50,5.37924,12.85738,-130.55301,-6.12655,-17.15705,27.59146,-24.76739,f5f40788-8b2d-4060-9132-2fcc1e8fe1f3,NA,NA,NA,NA,NA,1000220184,"Woolley, David",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ELI_BLU,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ELI_BLU,BridgeforthField,D3,Team,20250429-BridgeforthField-1,b4475430-2545-11f0-ad83-2562f0b0c0f6,88.8008,NA,NA,7.70668,NA,NA,NA,2286287f-8a76-4927-bee3-01a3476c6744,2025-04-29,22:02:54,2025-04-29T22:02:54Z,2025-04-29T22:02:54Z,NA,v3,NA,elizabethtown,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,54.78212,-131.5598,13.79573,5.5863,-5.22281,-12.38369,-3.28533,13.48342,-8.57853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-29,18:03:09,"Pancione, Dominic",1000200095,Right,SHE_UNI,Undefined,Undefined,NA,NA,88.44436,-0.176784,-3.72116,2412.916651,242.442049,02:00:00,5.49427,3.41191,5.84051,-27.08679,8.92402,14.8206,3.07239,1.18362,80.47762,-5.224582,-1.070114,0.431905,-8.59512,4.97299,-3.11687,50,5.46404,7.69923,-128.19214,-1.31102,-14.25029,27.40477,-23.92905,f6ad9e15-7ae9-4e4d-a455-b95d6b929aac,NA,NA,NA,NA,NA,1000220184,"Woolley, David",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ELI_BLU,1,Top,0,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ELI_BLU,BridgeforthField,D3,Team,20250429-BridgeforthField-1,bcbadf60-2545-11f0-ad83-2562f0b0c0f6,87.27029,NA,NA,7.96674,NA,NA,NA,2286287f-8a76-4927-bee3-01a3476c6744,2025-04-29,22:03:09,2025-04-29T22:03:09Z,2025-04-29T22:03:09Z,NA,v3,NA,elizabethtown,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,54.65885,-129.18426,13.70239,5.49582,-0.44472,-11.96452,-3.40494,8.21512,-7.12514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-29,18:03:24,"Pancione, Dominic",1000200095,Right,SHE_UNI,Undefined,Undefined,NA,NA,89.9206,-0.940686,-5.715302,2427.148053,225.968097,01:30:00,5.61983,3.22197,5.67612,-24.58245,10.49493,9.70737,2.68985,-1.31507,82.24539,-5.496606,-3.993819,0.42627,-6.50331,5.91835,-2.74466,50,5.52466,12.58959,-129.98848,-2.99547,-11.14895,26.75045,-22.0279,f9af5f6d-5e52-4e0d-bde4-3e2e425067ce,NA,NA,NA,NA,NA,1000220184,"Woolley, David",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,ELI_BLU,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ELI_BLU,BridgeforthField,D3,Team,20250429-BridgeforthField-1,c6152110-2545-11f0-ad83-2562f0b0c0f6,88.42382,NA,NA,7.67521,NA,NA,NA,2286287f-8a76-4927-bee3-01a3476c6744,2025-04-29,22:03:24,2025-04-29T22:03:24Z,2025-04-29T22:03:24Z,NA,v3,NA,elizabethtown,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,54.82466,-130.97759,13.37523,5.62036,-2.18098,-11.01395,-3.21778,13.00183,-5.57448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-29,18:03:42,"Pancione, Dominic",1000200095,Right,SHE_UNI,Undefined,Undefined,NA,NA,87.059,1.058876,-0.345496,2393.082983,234.180969,01:45:00,5.75189,3.37847,5.6857,-27.03151,10.4217,12.68312,4.48638,4.11336,78.82799,-3.992838,1.921758,0.44047,-6.39615,5.3717,-3.3566,50,5.82449,0.18582,-126.25945,1.42126,-10.24255,27.62117,-23.572,526eb6d9-e0de-4505-bb18-7d2b65f0e82a,NA,NA,NA,NA,NA,1000220184,"Woolley, David",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,ELI_BLU,1,Top,0,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ELI_BLU,BridgeforthField,D3,Team,20250429-BridgeforthField-1,d05aad20-2545-11f0-ad83-2562f0b0c0f6,85.57328,NA,NA,8.23101,NA,NA,NA,2286287f-8a76-4927-bee3-01a3476c6744,2025-04-29,22:03:42,2025-04-29T22:03:42Z,2025-04-29T22:03:42Z,NA,v3,NA,elizabethtown,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,54.80898,-127.30714,13.81058,5.75363,2.31536,-11.786,-3.37102,0.57433,-5.12128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-29,18:04:05,"Pancione, Dominic",1000200095,Right,SHE_UNI,Undefined,Undefined,NA,NA,78.16266,0.428652,-1.166199,2819.580667,35.514337,07:15:00,5.62885,3.33837,4.76669,-68.41437,-18.53595,-14.78241,0.33417,1.00062,69.47558,-11.859024,-3.776522,0.508309,6.76992,-8.69941,-3.20767,50,5.6116,2.93286,-112.89002,-1.75614,8.31754,29.70612,-42.8622,e406991c-6997-4809-81e6-696004501db5,NA,NA,NA,NA,NA,1000220184,"Woolley, David",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,ELI_BLU,1,Top,0,3,1,Curveball,BallinDirt,Walk,Undefined,Undefined,0,0,NA,SHE_UNI,ELI_BLU,BridgeforthField,D3,Team,20250429-BridgeforthField-1,de976400-2545-11f0-ad83-2562f0b0c0f6,74.15262,NA,NA,8.68708,NA,NA,NA,2286287f-8a76-4927-bee3-01a3476c6744,2025-04-29,22:04:05,2025-04-29T22:04:05Z,2025-04-29T22:04:05Z,NA,v3,NA,elizabethtown,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,55.7333,-114.38874,14.85306,5.64566,0.40634,-21.4311,-3.34506,2.51323,4.15877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-29,18:04:39,"Pancione, Dominic",1000200095,Right,SHE_UNI,Undefined,Undefined,NA,NA,88.37075,-2.093215,-4.621442,2393.094015,242.913856,02:00:00,5.62804,3.48596,5.93526,-26.45324,9.7513,16.60332,1.47441,0.57269,80.26026,-7.027502,-1.64908,0.433065,-9.98142,5.99359,-3.126,50,5.44543,9.65606,-127.86377,-5.55364,-16.3802,28.51293,-22.33816,f2e4e724-3292-440a-bc8a-1fcda7d68433,NA,NA,NA,NA,NA,1000220228,"Woolwine, Mason",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ELI_BLU,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ELI_BLU,BridgeforthField,D3,Team,20250429-BridgeforthField-1,f26853e0-2545-11f0-ad83-2562f0b0c0f6,87.03647,NA,NA,8.11049,NA,NA,NA,2286287f-8a76-4927-bee3-01a3476c6744,2025-04-29,22:04:39,2025-04-29T22:04:39Z,2025-04-29T22:04:39Z,NA,v3,NA,elizabethtown,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,54.56602,-128.87794,14.25647,5.62884,-4.75909,-11.16908,-3.47982,10.23869,-8.1901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-29,18:04:54,"Pancione, Dominic",1000200095,Right,SHE_UNI,Undefined,Undefined,NA,NA,88.28987,-0.705358,-6.1081,2509.184172,211.307825,01:00:00,5.53075,3.61294,5.15251,-25.03993,12.6891,6.885,2.77623,-1.58546,79.57297,-5.339542,-4.901217,0.442089,-5.3176,6.9289,-3.04524,50,5.44578,13.28714,-127.18363,-2.4738,-8.60322,29.06883,-20.96391,f1c28e6d-cc85-40dd-a9c3-96a5c65c68e6,NA,NA,NA,NA,NA,1000220228,"Woolwine, Mason",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,ELI_BLU,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ELI_BLU,BridgeforthField,D3,Team,20250429-BridgeforthField-1,fb720490-2545-11f0-ad83-2562f0b0c0f6,85.25993,NA,NA,8.71691,NA,NA,NA,2286287f-8a76-4927-bee3-01a3476c6744,2025-04-29,22:04:54,2025-04-29T22:04:54Z,2025-04-29T22:04:54Z,NA,v3,NA,elizabethtown,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,55.34355,-128.39913,14.53441,5.53089,-1.5972,-10.48195,-3.60835,13.64688,-4.30161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-29,18:05:14,"Pancione, Dominic",1000200095,Right,SHE_UNI,Undefined,Undefined,NA,NA,88.90868,-1.521098,-6.073396,2440.604923,233.332085,01:45:00,5.49542,3.47909,5.39468,-24.04312,13.18237,15.70745,2.05788,-0.92528,79.3128,-6.023934,-3.303164,0.439129,-9.89036,7.55032,-2.94618,50,5.34256,12.88504,-127.98337,-4.24132,-16.03695,31.92824,-19.93137,ca332b58-6f9f-4f70-ab70-464f5842cd82,NA,NA,NA,NA,NA,1000220228,"Woolwine, Mason",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,ELI_BLU,1,Top,0,2,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ELI_BLU,BridgeforthField,D3,Team,20250429-BridgeforthField-1,0748df00-2546-11f0-ad83-2562f0b0c0f6,85.83464,NA,NA,9.59589,NA,NA,NA,2286287f-8a76-4927-bee3-01a3476c6744,2025-04-29,22:05:14,2025-04-29T22:05:14Z,2025-04-29T22:05:14Z,NA,v3,NA,elizabethtown,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,55.10078,-129.24961,15.96412,5.49509,-3.45086,-9.96569,-3.4698,13.52105,-8.01847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-29,18:05:33,"Pancione, Dominic",1000200095,Right,SHE_UNI,Undefined,Undefined,NA,NA,89.87452,-2.217924,-6.383394,2467.611996,233.209155,01:45:00,5.3596,3.52427,5.4463800000000004,-22.78989,13.16387,15.86505,1.36984,-1.15518,81.23021,-6.463356,-3.585017,0.431562,-9.89394,7.67347,-2.96916,50,5.14699,13.75846,-129.46919,-5.83357,-16.63695,29.38314,-19.27086,afd1e48f-ac8e-4a79-a8f0-923a20298bcd,NA,NA,NA,NA,NA,1000220228,"Woolwine, Mason",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,ELI_BLU,1,Top,0,2,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ELI_BLU,BridgeforthField,D3,Team,20250429-BridgeforthField-1,1300e6d0-2546-11f0-ad83-2562f0b0c0f6,87.3395,NA,NA,8.64431,NA,NA,NA,2286287f-8a76-4927-bee3-01a3476c6744,2025-04-29,22:05:33,2025-04-29T22:05:33Z,2025-04-29T22:05:33Z,NA,v3,NA,elizabethtown,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,55.05216,-130.61075,14.69157,5.35908,-5.08488,-9.63543,-3.51625,14.40482,-8.31848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-29,18:05:55,"Pancione, Dominic",1000200095,Right,SHE_UNI,Undefined,Undefined,NA,NA,87.70067,-0.161998,-2.013995,2364.291062,237.29775,02:00:00,5.43021,3.47513,5.80233,-26.96966,9.88741,13.38623,3.03198,2.71672,79.29417,-5.207749,0.383978,0.43695,-7.60674,5.4424,-3.31827,50,5.40084,3.93416,-127.24725,-1.24955,-12.30131,29.44537,-23.37286,5916d7b2-7999-4699-bcc1-0a0094b41a41,NA,NA,NA,NA,NA,1000220228,"Woolwine, Mason",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,ELI_BLU,1,Top,0,3,1,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ELI_BLU,BridgeforthField,D3,Team,20250429-BridgeforthField-1,2010dd80-2546-11f0-ad83-2562f0b0c0f6,86.26257,NA,NA,8.4065,NA,NA,NA,2286287f-8a76-4927-bee3-01a3476c6744,2025-04-29,22:05:55,2025-04-29T22:05:55Z,2025-04-29T22:05:55Z,NA,v3,NA,elizabethtown,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,54.69967,-128.33016,14.72269,5.43099,-0.38997,-11.68643,-3.47127,4.38656,-6.15066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
11,2025-04-29,18:07:19,"Pancione, Dominic",1000200095,Right,SHE_UNI,Undefined,Undefined,NA,NA,88.71742,-2.438832,-4.647766,2450.224099,243.355045,02:00:00,5.39589,3.63179,5.85599,-27.97175,8.03197,13.55312,0.79005,0.43331,80.7938,-7.622796,-2.225156,0.431862,-8.42599,5.17107,-3.26197,50,5.18067,9.88178,-128.34016,-6.42617,-13.94677,28.44599,-23.61486,9e7ca7ad-eed3-49c3-bb8b-a8c2c520b3a7,NA,NA,NA,NA,NA,1000220194,"Perilli, Quinten",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,ELI_BLU,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ELI_BLU,BridgeforthField,D3,Team,20250429-BridgeforthField-1,523c7e40-2546-11f0-ad83-2562f0b0c0f6,87.27889,NA,NA,7.92362,NA,NA,NA,2286287f-8a76-4927-bee3-01a3476c6744,2025-04-29,22:07:19,2025-04-29T22:07:19Z,2025-04-29T22:07:19Z,NA,v3,NA,elizabethtown,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,54.6461,-129.36585,14.223,5.39703,-5.57469,-11.80743,-3.62735,10.38466,-6.97338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
12,2025-04-29,18:07:33,"Pancione, Dominic",1000200095,Right,SHE_UNI,Undefined,Undefined,NA,NA,77.90614,2.06844,-2.153129,2723.080739,60.457036,08:00:00,5.41181,3.41758,5.2476,-56.80149,-8.83973,-18.53804,2.6244,-0.15163,70.71784,-8.241142,-5.436377,0.498447,8.49434,-4.52536,-3.20574,50,5.56013,4.99936,-112.83512,2.06647,10.76389,23.80497,-37.90851,dd7fa958-de9f-4c75-b10a-2d430f823070,NA,NA,NA,NA,NA,1000220194,"Perilli, Quinten",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,ELI_BLU,1,Top,0,1,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ELI_BLU,BridgeforthField,D3,Team,20250429-BridgeforthField-1,5a98ff00-2546-11f0-ad83-2562f0b0c0f6,75.61975,NA,NA,7.1883,NA,NA,NA,2286287f-8a76-4927-bee3-01a3476c6744,2025-04-29,22:07:33,2025-04-29T22:07:33Z,2025-04-29T22:07:33Z,NA,v3,NA,elizabethtown,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,55.25405,-113.93818,11.90249,5.42368,3.82306,-18.95426,-3.42584,4.50059,5.38195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
13,2025-04-29,18:07:47,"Pancione, Dominic",1000200095,Right,SHE_UNI,Undefined,Undefined,NA,NA,77.71599,1.188541,-2.021543,2794.589161,59.884856,08:00:00,5.37683,3.55044,5.03132,-57.83936,-9.40186,-19.04198,1.67917,0.05543,70.89404,-9.238704,-5.38466,0.500913,8.84044,-4.62835,-3.34094,50,5.44377,4.74536,-112.6265,0.26397,11.18185,23.36823,-38.02822,4ff6c5f0-b5f6-4f2a-9c0c-ba74d0c63a91,NA,NA,NA,NA,-11.861815,1000220194,"Perilli, Quinten",1952.610374,NA,107.39561,Right,21.012047,108.18763,39.51969,-19.88385,444.95885,434.37471,4.573123,-6.748062,1.08978,1.67134,-0.01019,NA,NA,NA,NA,NA,3,3,ELI_BLU,1,Top,0,1,1,Curveball,InPlay,Undefined,FlyBall,HomeRun,0,3,NA,SHE_UNI,ELI_BLU,BridgeforthField,D3,Team,20250429-BridgeforthField-1,62d6d430-2546-11f0-ad83-2562f0b0c0f6,75.24747,62.9896,NA,6.82194,NA,NA,NA,2286287f-8a76-4927-bee3-01a3476c6744,2025-04-29,22:07:47,2025-04-29T22:07:47Z,2025-04-29T22:07:47Z,LineDrive,v3,NA,elizabethtown,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,55.47209,-113.75621,11.68412,5.38657,2.1024,-19.01411,-3.55728,4.20478,5.59093,202.360684,1.08889,143.92159,-21.91981,5.1688,-1.23309,0.30048,-0.06045,0.00751,-4e-4,1.67288,56.44089,-13.05972,-0.42863,0.48203,-0.21136,0.05365,-0.00705,3.7e-4,-0.01003,-30.22852,9.29231,-2.39947,0.57818,-0.12942,0.02329,-0.00268,1.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
14,2025-04-29,18:08:40,"Pancione, Dominic",1000200095,Right,SHE_UNI,Undefined,Undefined,NA,NA,90.06709,-1.798158,-5.931474,2516.403578,233.180108,01:45:00,5.6161,3.29032,5.49887,-25.72096,10.24961,11.85233,1.78113,-1.29001,80.83093,-6.580137,-3.836427,0.431663,-7.90957,6.1615,-2.778,50,5.44104,12.93658,-129.76089,-5.00667,-13.23725,31.8222,-21.86232,e44cc74a-9c79-4a39-b493-3c171849e678,NA,NA,NA,NA,NA,10129819,"Martin, Sawyer",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,ELI_BLU,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ELI_BLU,BridgeforthField,D3,Team,20250429-BridgeforthField-1,81e7dcc0-2546-11f0-ad83-2562f0b0c0f6,87.31906,NA,NA,9.23616,NA,NA,NA,2286287f-8a76-4927-bee3-01a3476c6744,2025-04-29,22:08:40,2025-04-29T22:08:40Z,2025-04-29T22:08:40Z,NA,v3,NA,elizabethtown,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,54.99787,-130.98082,15.9111,5.61691,-4.16857,-10.93116,-3.28365,13.44404,-6.61863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
15,2025-04-29,18:08:54,"Pancione, Dominic",1000200095,Right,SHE_UNI,Undefined,Undefined,NA,NA,88.42463,0.348803,-2.783161,2480.607466,228.69517,01:30:00,5.55852,3.32068,5.37993,-26.01383,10.95103,10.95449,3.71807,1.62244,79.64773,-4.497159,-0.838647,0.437589,-6.3013,5.77622,-3.07908,50,5.57187,5.71265,-128.00522,-0.14282,-10.32172,29.56777,-22.71245,35e55789-e37a-43aa-9209-5ce08c12303b,NA,NA,NA,NA,NA,10129819,"Martin, Sawyer",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,ELI_BLU,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SHE_UNI,ELI_BLU,BridgeforthField,D3,Team,20250429-BridgeforthField-1,8ac17cc0-2546-11f0-ad83-2562f0b0c0f6,86.13671,NA,NA,8.7769,NA,NA,NA,2286287f-8a76-4927-bee3-01a3476c6744,2025-04-29,22:08:54,2025-04-29T22:08:54Z,2025-04-29T22:08:54Z,NA,v3,NA,elizabethtown,NA,"Pickette, Brody",1000048494,Right,SHE_UNI,55.1158,-129.1815,14.78388,5.55958,0.76075,-11.35623,-3.31451,6.12327,-5.16086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
