PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-21,17:51:42,"Quinn, JT",802411,Right,GEO_BUL,Undefined,Undefined,NA,NA,95.86361,-1.36344,-1.089716,1980.542296,211.965906,01:00:00,6.46463,0.56162,6.08128,-16.09552,14.36627,8.30748,3.86141,0.24558,86.7556,-4.438837,0.406761,0.397237,-4.57977,8.11674,-0.48154,50,6.35065,2.26624,-139.11287,-3.80363,-8.88437,34.13771,-16.42823,8a3bf1c4-9da2-4954-9ee3-4ab3a64a7eda,NA,NA,NA,NA,NA,811306,"Walk, Jason",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,OKL_SOO,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,HooverMetropolitan,D1,SEC,20250521-HooverMetropolitan-3,2a4bcb50-3696-11f0-befe-69fe0f125169,94.88662,NA,NA,9.10801,NA,NA,NA,be75f794-b4fa-4944-af41-bfa32b26fbe0,2025-05-21,22:51:42,2025-05-21T22:51:42Z,2025-05-21T22:51:42Z,NA,v3,226,4244,NA,"Hunter, Henry",802001,Right,GEO_BUL,54.41605,-140.19236,17.06886,6.46272,-3.28414,-8.21411,-0.55764,2.54719,-4.44219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-21,17:52:02,"Quinn, JT",802411,Right,GEO_BUL,Undefined,Undefined,NA,NA,96.00419,-3.204645,-1.463921,2029.091761,234.439245,01:45:00,6.41535,0.59113,6.14802,-19.70387,10.54288,13.33068,1.80808,0.349,87.50172,-6.903014,0.942158,0.395832,-7.36103,6.70906,-0.48656,50,6.16099,2.98043,-139.25362,-8.45443,-14.35744,33.22406,-19.08831,c895c555-dc64-4384-942d-4f55da01292a,NA,NA,NA,NA,71.173358,811306,"Walk, Jason",NA,NA,68.2403,Left,-50.495667,NA,NA,NA,2.55395,2.55395,0.023958,25.643928,1.80873,1.85545,-0.34261,NA,NA,NA,NA,NA,1,2,OKL_SOO,1,Top,0,1,0,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,GEO_BUL,OKL_SOO,HooverMetropolitan,D1,SEC,20250521-HooverMetropolitan-3,3644d3c0-3696-11f0-befe-69fe0f125169,95.22337,1.85545,NA,8.50246,NA,NA,NA,be75f794-b4fa-4944-af41-bfa32b26fbe0,2025-05-21,22:52:02,2025-05-21T22:52:02Z,2025-05-21T22:52:02Z,GroundBall,v3,226,4244,NA,"Hunter, Henry",802001,Right,GEO_BUL,54.3528,-140.2883,16.61203,6.41503,-7.85997,-9.54415,-0.58634,3.42755,-7.17872,NA,1.8085,20.60534,NA,NA,NA,NA,NA,NA,NA,1.85631,-77.44647,NA,NA,NA,NA,NA,NA,NA,-0.34328,60.43566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
3,2025-05-21,17:52:37,"Quinn, JT",802411,Right,GEO_BUL,Undefined,Undefined,NA,NA,87.29107,-1.67432,-1.106165,2577.734558,59.697425,08:00:00,6.39876,0.69625,5.81538,-40.70892,-4.48193,-9.26642,1.44876,-1.10464,81.70031,-9.064293,-2.771056,0.433199,4.49229,-1.6074,-0.60008,50,6.23714,2.82773,-127.00462,-5.18014,7.44501,22.4392,-34.838,13c1ebde-d888-41cf-9de5-fb0c1b3324aa,NA,NA,NA,NA,NA,1000220775,"Gambill, Trey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,OKL_SOO,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,HooverMetropolitan,D1,SEC,20250521-HooverMetropolitan-3,4ae7e0b0-3696-11f0-befe-69fe0f125169,87.00948,NA,NA,5.59076,NA,NA,NA,be75f794-b4fa-4944-af41-bfa32b26fbe0,2025-05-21,22:52:37,2025-05-21T22:52:37Z,2025-05-21T22:52:37Z,NA,v3,226,4244,NA,"Hunter, Henry",802001,Right,GEO_BUL,54.68877,-127.83035,11.2196,6.40417,-3.89816,-17.419,-0.69909,2.55377,3.7225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-21,17:52:55,"Quinn, JT",802411,Right,GEO_BUL,Undefined,Undefined,NA,NA,96.25904,-1.840716,-1.446418,2155.267477,214.463927,01:15:00,6.44549,0.36424,6.21117,-15.04036,14.99839,9.58717,3.49213,-0.17206,87.24751,-4.726487,0.284566,0.394469,-5.36248,8.61217,-0.26014,50,6.29965,3.09518,-139.69126,-4.92863,-10.50378,34.02558,-15.30494,b4f0264e-5fb5-4f7f-ac56-513df8650aab,NA,NA,NA,NA,NA,1000220775,"Gambill, Trey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,OKL_SOO,1,Top,1,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,HooverMetropolitan,D1,SEC,20250521-HooverMetropolitan-3,55b699f0-3696-11f0-befe-69fe0f125169,95.55246,NA,NA,9.01154,NA,NA,NA,be75f794-b4fa-4944-af41-bfa32b26fbe0,2025-05-21,22:52:55,2025-05-21T22:52:55Z,2025-05-21T22:52:55Z,NA,v3,226,4244,NA,"Hunter, Henry",802001,Right,GEO_BUL,54.2866,-140.7315,17.01279,6.44318,-4.46072,-7.65247,-0.35968,3.4163,-5.25189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-21,17:53:17,"Quinn, JT",802411,Right,GEO_BUL,Undefined,Undefined,NA,NA,96.28106,-2.03388,-1.451581,2143.536489,230.37588,01:45:00,6.44906,0.52198,6.07272,-18.54985,11.51115,12.70804,3.01979,0.23747,87.72788,-5.530369,0.837817,0.394615,-6.98469,6.82571,-0.41629,50,6.28162,2.97773,-139.77636999999999,-5.58212,-13.75171,32.92722,-18.73533,1960228e-e9ef-4d1e-b83c-54424820c79d,NA,NA,NA,NA,-146.293924,1000220775,"Gambill, Trey",2750.661457,NA,81.14822,Left,33.010431,NA,NA,NA,NA,58.60479,NA,NA,0.36899,2.79247,0.01037,NA,NA,NA,NA,NA,2,3,OKL_SOO,1,Top,1,1,1,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,HooverMetropolitan,D1,SEC,20250521-HooverMetropolitan-3,62c13970-3696-11f0-befe-69fe0f125169,95.5171,30.52765,NA,8.55318,NA,NA,NA,be75f794-b4fa-4944-af41-bfa32b26fbe0,2025-05-21,22:53:17,2025-05-21T22:53:17Z,2025-05-21T22:53:17Z,NA,v3,226,4244,NA,"Hunter, Henry",802001,Right,GEO_BUL,54.42763,-140.81553,16.46361,6.44846,-4.99085,-9.36767,-0.51712,3.41173,-6.87586,NA,0.36899,-83.02683,0.24112,3.30574,-1.38259,0.4718,-0.13652,0.03471,-0.00523,2.79247,64.83959,-36.31342,6.6059,-1.54893,0.33316,-0.06907,0.01341,-0.00154,0.01037,-55.38473,15.56574,-3.60251,0.80747,-0.15165,0.02902,-0.00553,8.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
6,2025-05-21,17:53:42,"Quinn, JT",802411,Right,GEO_BUL,Undefined,Undefined,NA,NA,85.23117,-2.170312,-1.029539,2682.00112,33.017077,07:00:00,6.55401,0.34584,5.70179,-46.74499,-8.21359,-6.0478,0.63495,-1.11761,79.34434,-10.620578,-2.115671,0.446765,2.81291,-3.27024,-0.25566,50,6.34263,2.47087,-123.85489,-6.38517,4.39025,23.63239,-37.27805,3b38a2d6-79dd-4f9c-bffc-2f3603f6bc03,NA,NA,NA,NA,NA,1000220775,"Gambill, Trey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,OKL_SOO,1,Top,1,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,HooverMetropolitan,D1,SEC,20250521-HooverMetropolitan-3,71dcdea0-3696-11f0-befe-69fe0f125169,84.36753,NA,NA,5.88683,NA,NA,NA,be75f794-b4fa-4944-af41-bfa32b26fbe0,2025-05-21,22:53:42,2025-05-21T22:53:42Z,2025-05-21T22:53:42Z,NA,v3,226,4244,NA,"Hunter, Henry",802001,Right,GEO_BUL,54.8019,-124.76777,11.81619,6.56146,-4.9452,-18.63903,-0.34783,2.30128,2.19512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-21,17:54:06,"Quinn, JT",802411,Right,GEO_BUL,Undefined,Undefined,NA,NA,97.27179,-0.916348,-1.509447,2063.991736,231.898472,01:45:00,6.35532,0.58629,6.38229,-19.98832,8.99414,10.30343,3.84627,0.05597,88.85052,-4.689051,0.357295,0.387471,-5.77894,5.23048,-0.48194,50,6.28002,3.27671,-141.37903,-2.91869,-11.68081,32.63633,-21.60183,151ea9dc-5394-4575-93a5-07061def1324,NA,NA,NA,NA,NA,1000220775,"Gambill, Trey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,OKL_SOO,1,Top,1,2,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,HooverMetropolitan,D1,SEC,20250521-HooverMetropolitan-3,805984b0-3696-11f0-befe-69fe0f125169,97.27813,NA,NA,8.42127,NA,NA,NA,be75f794-b4fa-4944-af41-bfa32b26fbe0,2025-05-21,22:54:06,2025-05-21T22:54:06Z,2025-05-21T22:54:06Z,NA,v3,226,4244,NA,"Hunter, Henry",802001,Right,GEO_BUL,54.11763,-142.32638,16.31817,6.35565,-2.29164,-10.80092,-0.58198,3.61578,-5.8404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-21,17:54:33,"Quinn, JT",802411,Right,GEO_BUL,Undefined,Undefined,NA,NA,97.34105,-3.709575,-0.920223,2228.641035,219.464696,01:15:00,6.39879,0.46012,6.21461,-17.08517,11.988,9.14123,1.54631,0.37257,89.58667,-6.91588,0.73175,0.388077,-5.00469,7.48493,-0.39568,50,6.11173,1.8746,-141.28642,-9.7181,-10.15874,30.92388,-16.9808,0ad9cdab-9cbe-432d-96cc-3152d50a5c4d,NA,NA,NA,NA,NA,1000220775,"Gambill, Trey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,OKL_SOO,1,Top,1,3,2,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,HooverMetropolitan,D1,SEC,20250521-HooverMetropolitan-3,9046f8d0-3696-11f0-befe-69fe0f125169,97.12629,NA,NA,7.75437,NA,NA,NA,be75f794-b4fa-4944-af41-bfa32b26fbe0,2025-05-21,22:54:33,2025-05-21T22:54:33Z,2025-05-21T22:54:33Z,NA,v3,226,4244,NA,"Hunter, Henry",802001,Right,GEO_BUL,54.2869,-142.22161,15.46194,6.39786,-9.20457,-8.4904,-0.45702,2.18182,-5.07937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-21,17:55:05,"Quinn, JT",802411,Right,GEO_BUL,Undefined,Undefined,NA,NA,85.25016,-2.068996,-0.559797,2815.998591,48.860937,07:45:00,6.53643,0.35191,5.73054,-44.13676,-5.95319,-7.96611,0.93053,-0.8333,79.80721,-10.05381,-1.990674,0.444743,3.9487,-2.25024,-0.30021,50,6.33628,1.52813,-123.99758,-6.05309,6.22443,21.89906,-35.72116,6f87fcae-90a4-4a28-bc84-e3f745da6e19,NA,NA,NA,NA,NA,702695,"Carmichael, Easton",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,OKL_SOO,1,Top,2,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,HooverMetropolitan,D1,SEC,20250521-HooverMetropolitan-3,a348b1d0-3696-11f0-befe-69fe0f125169,84.75099,NA,NA,5.44295,NA,NA,NA,be75f794-b4fa-4944-af41-bfa32b26fbe0,2025-05-21,22:55:05,2025-05-21T22:55:05Z,2025-05-21T22:55:05Z,NA,v3,226,4244,NA,"Hunter, Henry",802001,Right,GEO_BUL,54.77394,-124.83785,10.94953,6.54224,-4.68247,-17.86058,-0.35426,1.28929,3.11221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-21,17:55:23,"Quinn, JT",802411,Right,GEO_BUL,Undefined,Undefined,NA,NA,87.18934,-0.975705,-0.136596,2780.502875,51.827495,07:45:00,6.498,0.40167,5.84107,-41.10085,-4.6354,-7.19256,2.16602,-0.32466,80.95682,-8.473515,-1.429728,0.434623,3.67839,-1.8735,-0.38616,50,6.39389,0.59006,-126.84639,-3.62292,6.03977,24.05403,-35.25027,b97cb6b2-f957-4554-89f2-404b66f5c493,NA,NA,NA,NA,-19.211705,702695,"Carmichael, Easton",NA,NA,71.07938,Right,-44.277785,NA,NA,NA,3.67347,3.67347,0.02991,-6.489829,1.53522,2.1836700000000002,0.3217,NA,NA,NA,NA,NA,3,2,OKL_SOO,1,Top,2,1,0,Slider,InPlay,Undefined,GroundBall,Out,1,0,NA,GEO_BUL,OKL_SOO,HooverMetropolitan,D1,SEC,20250521-HooverMetropolitan-3,adf84a50-3696-11f0-befe-69fe0f125169,86.72454,2.1836700000000002,NA,6.23251,NA,NA,NA,be75f794-b4fa-4944-af41-bfa32b26fbe0,2025-05-21,22:55:23,2025-05-21T22:55:23Z,2025-05-21T22:55:23Z,GroundBall,v3,226,4244,NA,"Hunter, Henry",802001,Right,GEO_BUL,54.66292,-127.72756,12.02701,6.50295,-2.33159,-17.62514,-0.40372,0.3688,3.01989,NA,1.53417,70.7017,NA,NA,NA,NA,NA,NA,NA,2.18476,-73.00723,NA,NA,NA,NA,NA,NA,NA,0.32207,-24.63713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
11,2025-05-21,17:58:47,"Witherspoon, Kyson",804817,Right,OKL_SOO,Undefined,Undefined,NA,NA,96.56237,-1.738628,-1.524622,2165.894838,199.399955,12:45:00,6.24334,1.42286,5.56733,-13.23698,17.19725,5.70461,3.51501,0.47365,87.89399,-4.264224,-0.507354,0.397057,-3.33323,9.50626,-1.29525,50,6.08494,3.45885,-140.08946,-4.6778,-6.60274,32.59352,-13.34333,36a4538e-8e8f-42c7-b168-9fc51ddf4549,NA,NA,NA,NA,159.918101,695477,"Alford, Slate",3759.023999,NA,73.68397,Right,31.66456,-105.85084,36.56931,29.92572,202.25995,60.30891,2.66376,167.023721,0.59491,3.35965,-0.49792,NA,NA,NA,NA,NA,1,1,GEO_BUL,1,Bottom,0,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,HooverMetropolitan,D1,SEC,20250521-HooverMetropolitan-3,279ede50-3697-11f0-befe-69fe0f125169,94.92958,36.70594,NA,8.66838,NA,NA,NA,be75f794-b4fa-4944-af41-bfa32b26fbe0,2025-05-21,22:58:47,2025-05-21T22:58:47Z,2025-05-21T22:58:47Z,FlyBall,v3,226,4244,NA,"Carmichael, Easton",702695,Right,OKL_SOO,54.93261,-141.23243,16.29676,6.24077,-4.20988,-6.67166,-1.4206,3.69039,-3.30137,319.965033,0.59484,-86.386,5.04704,-0.15466,-0.18069,0.16751,-0.07661,0.01999,-0.00217,3.35965,56.73042,-27.28534,3.31011,-0.6829,0.08976,0.00363,-0.00383,5e-4,-0.4979,31.58135,-8.44601,1.81783,-0.2835,-0.05543,0.05831,-0.01759,0.00197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
12,2025-05-21,17:59:11,"Witherspoon, Kyson",804817,Right,OKL_SOO,Undefined,Undefined,NA,NA,83.86036,-0.548224,-2.540861,2215.162504,42.941326,07:30:00,5.8084,1.67016,5.38919,-45.02561,-4.27945,-5.20827,1.5419,-1.14693,76.86,-8.718992,-3.467236,0.459425,1.85764,-1.5565,-1.43927,50,5.72781,5.61774,-121.60212,-2.82979,2.76454,25.20271,-34.49046,aac15dd0-25dd-42c0-8050-5703c9e211ec,NA,NA,NA,NA,NA,695477,"Alford, Slate",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,GEO_BUL,1,Bottom,0,0,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,HooverMetropolitan,D1,SEC,20250521-HooverMetropolitan-3,35c37950-3697-11f0-befe-69fe0f125169,82.04258,NA,NA,7.00036,NA,NA,NA,be75f794-b4fa-4944-af41-bfa32b26fbe0,2025-05-21,22:59:11,2025-05-21T22:59:11Z,2025-05-21T22:59:11Z,NA,v3,226,4244,NA,"Carmichael, Easton",702695,Right,OKL_SOO,55.11131,-122.65689,12.60136,5.81603,-1.38631,-17.24523,-1.67196,5.50204,1.38227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
13,2025-05-21,17:59:33,"Witherspoon, Kyson",804817,Right,OKL_SOO,Undefined,Undefined,NA,NA,97.8855,-2.937485,-2.659746,2333.897272,190.23322,12:15:00,6.12048,1.45559,5.68153,-7.85402,21.82702,3.75618,2.72235,-0.71254,88.74763,-4.508379,-1.989643,0.392113,-2.69949,12.25989,-1.23378,50,5.86792,6.40582,-141.75518,-7.44465,-5.45599,34.43541,-7.39531,daeb8f6b-a12c-4834-919c-06469ac0b279,NA,NA,NA,NA,NA,695477,"Alford, Slate",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,GEO_BUL,1,Bottom,0,1,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,HooverMetropolitan,D1,SEC,20250521-HooverMetropolitan-3,430cf690-3697-11f0-befe-69fe0f125169,96.1265,NA,NA,9.13787,NA,NA,NA,be75f794-b4fa-4944-af41-bfa32b26fbe0,2025-05-21,22:59:33,2025-05-21T22:59:33Z,2025-05-21T22:59:33Z,NA,v3,226,4244,NA,"Carmichael, Easton",702695,Right,OKL_SOO,54.81767,-142.92071,17.2177,6.11566,-7.19434,-3.69766,-1.45372,6.59049,-2.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
14,2025-05-21,17:59:55,"Witherspoon, Kyson",804817,Right,OKL_SOO,Undefined,Undefined,NA,NA,75.95857,0.673262,-0.708636,2643.142709,27.70697,07:00:00,5.93299,1.41682,5.53401,-65.47362,-16.02095,-9.26193,1.10627,-0.01744,69.82069,-11.185751,-2.366934,0.506135,4.44673,-7.76634,-1.34907,50,5.94805,1.71619,-110.32777,-0.90594,5.41854,21.7126,-41.63769,e4f4a499-6c41-4fc0-8713-4534081a94fc,NA,NA,NA,NA,NA,695477,"Alford, Slate",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,GEO_BUL,1,Bottom,0,1,2,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,GEO_BUL,OKL_SOO,HooverMetropolitan,D1,SEC,20250521-HooverMetropolitan-3,4ff6c7a0-3697-11f0-befe-69fe0f125169,74.47114,NA,NA,6.13788,NA,NA,NA,be75f794-b4fa-4944-af41-bfa32b26fbe0,2025-05-21,22:59:55,2025-05-21T22:59:55Z,2025-05-21T22:59:55Z,NA,v3,226,4244,NA,"Carmichael, Easton",702695,Right,OKL_SOO,54.97072,-111.30172,10.8563,5.9468,0.96177,-20.81885,-1.4206,1.47313,2.70927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.27305,NA,NA,0.924292,NA,NA,NA,0.05505,5.29112,-2.04623,72.60465,9.60219,-52.19312,0.10737,83.93923,-5.92917,5.34344,17.88278,-14.33585,-2.16407,-62.2785,8.7633,High,High,High,NA,NA,High,High,High
