PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,15:04:07,1,1,"Millikan, Noah",1000123901,Right,PEN_QUA,"Amato, Andrew",1000130811,Left,DEL_BLU,Undefined,1,Top,0,0,0,Sinker,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.63861,-2.069503,-3.318924,1901.402131,243.373548,02:00:00,5.2533,2.44534,6.90669,-25.46155,10.4163,17.98808,1.24266,0.91816,78.54656,-6.945448,-0.030097,0.431107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.68438,6.67217,-2.24151,50,5.11414,6.69596,-127.01775,-5.26828,-17.01698,32.09929,-21.54728,PEN_QUA,DEL_BLU,UofPennsylvania,D1,IVY,20250307-UofPennsylvania-1,544dba90-fb8f-11ef-baa3-1538f740b93d,87.43183,NA,NA,9.09204,NA,NA,NA,NA,NA,NA,ba2ae1ab-f38d-4fa5-887e-b413e4889333,2025-03-07,20:04:07,2025-03-07T20:04:07Z,2025-03-07T20:04:07Z,NA,v3,526523,471283,NA,"Ahearn, Qwynn",1000315083,Right,PEN_QUA,cdd5cbd3-8ea0-4d4d-bb00-debd1c8544f3,53.58997,-127.92177,16.04965,5.25397,-4.66144,-10.77364,-2.43684,7.17521,-8.50849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-07,15:04:20,1,2,"Millikan, Noah",1000123901,Right,PEN_QUA,"Amato, Andrew",1000130811,Left,DEL_BLU,Undefined,1,Top,0,1,0,Sinker,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,88.65993,-1.319767,-2.986314,1993.615383,246.240242,02:15:00,5.33854,2.40127,6.62761,-25.11923,10.09961,19.95659,2.03498,1.32743,79.74096,-6.103261,0.643807,0.427129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.37327,6.14646,-2.20545,50,5.23895,5.9097,-128.56877,-3.68278,-18.66912,31.45851,-22.08467,PEN_QUA,DEL_BLU,UofPennsylvania,D1,IVY,20250307-UofPennsylvania-1,5bec6990-fb8f-11ef-baa3-1538f740b93d,88.24605,NA,NA,8.91897,NA,NA,NA,NA,NA,NA,ba2ae1ab-f38d-4fa5-887e-b413e4889333,2025-03-07,20:04:20,2025-03-07T20:04:20Z,2025-03-07T20:04:20Z,NA,v3,526523,471283,NA,"Ahearn, Qwynn",1000315083,Right,PEN_QUA,08d1104b-b6dd-4dd6-af0b-875ecb96fa7c,53.86876,-129.51193,15.72926,5.33944,-3.02066,-11.04233,-2.39102,6.46942,-9.33456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-07,15:04:36,1,3,"Millikan, Noah",1000123901,Right,PEN_QUA,"Amato, Andrew",1000130811,Left,DEL_BLU,Undefined,1,Top,0,1,1,Cutter,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.97144,-2.808868,-3.716874,2199.530574,189.460191,12:15:00,5.31802,2.38567,6.6829,-19.45013,16.44867,2.51256,1.12047,-0.80948,79.06535,-6.5579,-3.26062,0.431232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.59988,10.03422,-2.13814,50,5.1221,8.1766,-127.32574,-6.74052,-4.1745,31.48282,-16.06258,PEN_QUA,DEL_BLU,UofPennsylvania,D1,IVY,20250307-UofPennsylvania-1,659d56c0-fb8f-11ef-baa3-1538f740b93d,87.40636,NA,NA,8.90609,NA,NA,NA,NA,NA,NA,ba2ae1ab-f38d-4fa5-887e-b413e4889333,2025-03-07,20:04:36,2025-03-07T20:04:36Z,2025-03-07T20:04:36Z,NA,v3,526523,471283,NA,"Ahearn, Qwynn",1000315083,Right,PEN_QUA,8699113d-b5da-4597-83fa-17d60bd9abbe,53.81345,-128.26519,15.74141,5.31609,-6.26121,-8.03129,-2.38399,8.30117,-2.08725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-07,15:04:51,1,4,"Millikan, Noah",1000123901,Right,PEN_QUA,"Amato, Andrew",1000130811,Left,DEL_BLU,Undefined,1,Top,0,2,1,Sinker,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,86.52489,-0.625518,-3.012272,1920.627306,237.043902,02:00:00,5.38012,2.39569,7.00448,-20.18178,17.0606,23.78029,3.12886,1.63649,76.00643,-4.614019,1.34226,0.439228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.63245,9.74851,-2.21586,50,5.3346,5.66805,-125.30508,-1.79278,-20.75946,35.25969,-17.32904,PEN_QUA,DEL_BLU,UofPennsylvania,D1,IVY,20250307-UofPennsylvania-1,6eac85b0-fb8f-11ef-baa3-1538f740b93d,85.81514,NA,NA,10.51845,NA,NA,NA,NA,NA,NA,ba2ae1ab-f38d-4fa5-887e-b413e4889333,2025-03-07,20:04:51,2025-03-07T20:04:51Z,2025-03-07T20:04:51Z,NA,v3,526523,471283,NA,"Ahearn, Qwynn",1000315083,Right,PEN_QUA,177fd7b9-4dfa-4ab5-a789-fc8e3c1cc854,53.48719,-126.28253,17.62984,5.37763,-1.31239,-8.66452,-2.38097,6.24354,-10.37973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-07,15:05:08,1,5,"Millikan, Noah",1000123901,Right,PEN_QUA,"Amato, Andrew",1000130811,Left,DEL_BLU,Undefined,1,Top,0,2,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.64457,0.112417,-3.384998,1765.780336,277.572591,03:15:00,5.16603,2.52596,7.16363,-41.75416,-2.1428,31.22305,1.78858,2.05652,73.03765,-7.896028,2.359609,0.452982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.93111,-0.45098,-2.33188,50,5.16312,6.03011,-122.40543,-0.94521,-25.3741,39.22866,-32.81224,PEN_QUA,DEL_BLU,UofPennsylvania,D1,IVY,20250307-UofPennsylvania-1,78867eb0-fb8f-11ef-baa3-1538f740b93d,83.20952,NA,NA,11.60691,NA,NA,NA,NA,NA,NA,ba2ae1ab-f38d-4fa5-887e-b413e4889333,2025-03-07,20:05:08,2025-03-07T20:05:08Z,2025-03-07T20:05:08Z,NA,v3,526523,471283,NA,"Ahearn, Qwynn",1000315083,Right,PEN_QUA,f77ac269-fe42-46ad-99b9-ffd3ae4b3c2f,53.32691,-123.46704,19.61433,5.17668,-0.05724,-16.40612,-2.50435,6.71678,-12.68705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-03-07,15:05:23,1,6,"Millikan, Noah",1000123901,Right,PEN_QUA,"Amato, Andrew",1000130811,Left,DEL_BLU,Undefined,1,Top,0,3,2,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,88.21665,-1.135748,-4.121793,1956.284338,242.463645,02:00:00,5.34856,2.34415,6.96117,-21.42733,14.28032,24.49462,2.5268,0.62878,78.02896,-5.318347,0.353699,0.430083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-14.33981,8.42815,-2.09361,50,5.27054,8.23012,-127.67678,-3.04386,-22.85507,34.71594,-18.74106,PEN_QUA,DEL_BLU,UofPennsylvania,D1,IVY,20250307-UofPennsylvania-1,8187caf0-fb8f-11ef-baa3-1538f740b93d,87.63995,NA,NA,10.18769,NA,NA,NA,NA,NA,NA,ba2ae1ab-f38d-4fa5-887e-b413e4889333,2025-03-07,20:05:23,2025-03-07T20:05:23Z,2025-03-07T20:05:23Z,NA,v3,526523,471283,NA,"Ahearn, Qwynn",1000315083,Right,PEN_QUA,8d35474d-076a-425c-9cf2-d2933906cc33,53.53228,-128.63364,17.35797,5.34732,-2.52731,-9.37053,-2.32913,8.86007,-11.42753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-07,15:05:49,1,7,"Millikan, Noah",1000123901,Right,PEN_QUA,"Amato, Andrew",1000130811,Left,DEL_BLU,Undefined,1,Top,0,3,2,Sinker,Sinker,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,89.44368,-1.609963,-4.801858,2092.958038,252.157878,02:30:00,5.31741,2.3289,6.92877,-26.8945,7.39433,19.0154,1.60496,-0.46831,80.55087,-6.729341,-1.333348,0.421452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.65575,4.84988,-2.03346,50,5.20739,10.1642,-129.52591,-4.40233,-19.44258,31.62559,-24.08415,PEN_QUA,DEL_BLU,UofPennsylvania,D1,IVY,20250307-UofPennsylvania-1,90b1a0f0-fb8f-11ef-baa3-1538f740b93d,89.43475,NA,NA,8.89281,NA,NA,NA,NA,NA,NA,ba2ae1ab-f38d-4fa5-887e-b413e4889333,2025-03-07,20:05:49,2025-03-07T20:05:49Z,2025-03-07T20:05:49Z,NA,v3,526523,471283,NA,"Ahearn, Qwynn",1000315083,Right,PEN_QUA,719b2e2d-c753-4e75-bd13-f4990f5729a9,53.56923,-130.39448,15.81279,5.31921,-3.74088,-12.04208,-2.31994,10.69817,-9.72129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.83637,NA,NA,0.880688,NA,NA,NA,-0.24721,5.6127,-2.50868,73.34197,4.11173,-51.4367,-0.20845,88.68866,-5.86787,5.61819,8.20536,-11.25757,-2.57341,-62.52796,7.98794,High,High,High,NA,NA,High,Low,Medium
8,2025-03-07,15:06:15,2,1,"Millikan, Noah",1000123901,Right,PEN_QUA,"Finn, Rory",10106451,Right,DEL_BLU,Undefined,1,Top,1,0,0,Sinker,Sinker,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,88.92148,-0.513114,-2.674253,1965.877344,243.747363,02:00:00,5.42495,2.30445,7.18165,-22.49934,11.80095,21.30875,3.08462,1.65561,79.72897,-4.873955,1.242958,0.421522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.56339,6.89162,-2.15484,50,5.38824,5.31357,-129.1962,-1.69945,-20.71945,33.0035,-20.80844,PEN_QUA,DEL_BLU,UofPennsylvania,D1,IVY,20250307-UofPennsylvania-1,a0b86970-fb8f-11ef-baa3-1538f740b93d,89.41988,NA,NA,9.19251,NA,NA,NA,NA,NA,NA,ba2ae1ab-f38d-4fa5-887e-b413e4889333,2025-03-07,20:06:15,2025-03-07T20:06:15Z,2025-03-07T20:06:15Z,NA,v3,526523,471283,NA,"Ahearn, Qwynn",1000315083,Right,PEN_QUA,5e3717d2-7138-40ce-be89-a3d6102114f0,53.31881,-130.04123,16.50175,5.42493,-1.16667,-10.40422,-2.29768,5.84407,-10.35973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-07,15:07:02,3,1,"Millikan, Noah",1000123901,Right,PEN_QUA,"Graeber, Aaron",806016,Left,DEL_BLU,Undefined,1,Top,1,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,84.26311,1.8503,-2.502386,1979.337042,272.618821,03:00:00,5.23284,2.56483,7.33677,-37.77018,0.49673,22.13836,3.75882,2.14793,75.0293,-5.381943,1.579529,0.445229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-12.67737,0.12425,-2.42885,50,5.32691,4.56535,-122.30356,2.96639,-18.61748,30.95978,-31.99157,PEN_QUA,DEL_BLU,UofPennsylvania,D1,IVY,20250307-UofPennsylvania-1,bcad8c00-fb8f-11ef-baa3-1538f740b93d,84.65862,NA,NA,9.23381,NA,NA,NA,NA,NA,NA,ba2ae1ab-f38d-4fa5-887e-b413e4889333,2025-03-07,20:07:02,2025-03-07T20:07:02Z,2025-03-07T20:07:02Z,NA,v3,526523,471283,NA,"Ahearn, Qwynn",1000315083,Right,PEN_QUA,4065b343-98b3-4d8b-8052-bf0151253bf3,53.15947,-123.10075,15.47989,5.23992,3.79015,-15.99578,-2.55257,5.04473,-9.30874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-07,15:07:20,3,2,"Millikan, Noah",1000123901,Right,PEN_QUA,"Graeber, Aaron",806016,Left,DEL_BLU,Undefined,1,Top,1,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,76.57117,2.362068,-0.777941,2422.658578,62.529451,08:00:00,5.30806,2.48683,6.28818,-54.17727,-5.46988,-14.43619,2.97154,0.56684,67.90089,-7.765589,-3.38886,0.502306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.06815,-3.03583,-2.42354,50,5.45788,2.04072,-110.86051,2.95285,8.45041,27.06728,-35.80359,PEN_QUA,DEL_BLU,UofPennsylvania,D1,IVY,20250307-UofPennsylvania-1,c76ab910-fb8f-11ef-baa3-1538f740b93d,75.03873,NA,NA,8.67027,NA,NA,NA,NA,NA,NA,ba2ae1ab-f38d-4fa5-887e-b413e4889333,2025-03-07,20:07:20,2025-03-07T20:07:20Z,2025-03-07T20:07:20Z,NA,v3,526523,471283,NA,"Ahearn, Qwynn",1000315083,Right,PEN_QUA,10a419d9-f480-444b-9be1-8b92f22553e8,54.20636,-111.88281,13.53364,5.32082,4.3051,-17.9018,-2.49459,1.72156,4.22521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
