PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,15:02:51,"Fritton, Dominic",1000138541,Left,NOR_WOL,Undefined,Fastball,NA,NA,93.17335,-1.004728,1.663387,2130.756861,135.823902,10:30:00,5.54592,-1.79656,6.12322,-15.9217,16.85143,-15.09548,3.2898,-1.51636,82.82554,-4.1021,-1.057145,0.412031,8.28689,9.38571,1.67639,50,5.46071,-3.23315,-134.9576,-2.79721,14.85008,37.13204,-15.35487,888dcfc4-2250-4f28-9145-c89db6c456c8,NA,NA,NA,NA,NA,1000270400,"Peltier, JP",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,WRI_RAI,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,WRI_RAI,DoakField,D1,ACC,20250307-DoakField-1,26efa770-fb8f-11ef-b2e7-c795bbb7805b,91.47954,NA,NA,10.34781,NA,NA,NA,56b56b2f-1a0c-412c-a19c-24d12b31b7e1,2025-03-07,20:02:51,2025-03-07T20:02:51Z,2025-03-07T20:02:51Z,NA,v3,471387,471496,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.36991,-136.15463,18.56602,5.54291,-2.30221,-7.67743,1.78833,-3.71187,7.42504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-07,15:03:05,"Fritton, Dominic",1000138541,Left,NOR_WOL,Undefined,Fastball,NA,NA,92.64964,-2.145402,3.175596,2129.537886,151.277002,11:00:00,5.48432,-1.58078,6.14688,-12.61524,20.41702,-10.48209,2.44665,0.48308,82.77745,-4.637257,1.289402,0.413657,6.44225,11.59142,1.34382,50,5.31404,-6.96993,-134.05585,-5.31121,11.46151,35.01242,-11.5516,e4878066-6e2e-48c6-b45a-1f0834446421,NA,NA,NA,NA,NA,1000270400,"Peltier, JP",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,WRI_RAI,1,Top,0,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,WRI_RAI,DoakField,D1,ACC,20250307-DoakField-1,2f2e18e0-fb8f-11ef-b2e7-c795bbb7805b,91.11999,NA,NA,9.87219,NA,NA,NA,56b56b2f-1a0c-412c-a19c-24d12b31b7e1,2025-03-07,20:03:05,2025-03-07T20:03:05Z,2025-03-07T20:03:05Z,NA,v3,471387,471496,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.34702,-135.18643,17.50621,5.47952,-4.9382,-5.7758,1.57486,-7.34003,5.73076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-07,15:03:19,"Fritton, Dominic",1000138541,Left,NOR_WOL,Undefined,Slider,NA,NA,79.48845,2.306334,-0.621733,2484.020755,316.594841,04:30:00,5.35576,-1.93898,5.59316,-53.43275,-8.3563,9.32434,3.05774,-1.74248,72.34813,-7.467074,1.043965,0.483221,-4.88236,-4.42701,1.98619,50,5.51913,0.87943,-115.32291,2.80066,-6.51573,23.25462,-38.08207,2cd6cd9e-9bc3-4a92-8946-79f6096d054c,NA,NA,NA,NA,NA,1000270400,"Peltier, JP",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,WRI_RAI,1,Top,0,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,WRI_RAI,DoakField,D1,ACC,20250307-DoakField-1,37cd47f0-fb8f-11ef-b2e7-c795bbb7805b,78.00242,NA,NA,7.14032,NA,NA,NA,56b56b2f-1a0c-412c-a19c-24d12b31b7e1,2025-03-07,20:03:19,2025-03-07T20:03:19Z,2025-03-07T20:03:19Z,NA,v3,471387,471496,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.9071,-116.30821,11.62731,5.36628,4.4142,-19.04104,1.94308,1.1555,-3.25786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-07,15:03:36,"Fritton, Dominic",1000138541,Left,NOR_WOL,Undefined,Fastball,NA,NA,91.37502,-3.729631,3.08004,2143.971833,148.118603,11:00:00,5.45054,-1.67746,6.32318,-12.17331,21.52041,-12.5789,0.99143,0.11362,82.02305,-6.138538,0.808179,0.417778,7.5491,12.79324,1.45792,50,5.17143,-6.5847,-132.16089,-8.8813,13.09261,33.26574,-9.9864,e712b7de-3f15-450c-b36f-00532590f4d7,NA,NA,NA,NA,NA,1000270400,"Peltier, JP",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,WRI_RAI,1,Top,0,2,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,WRI_RAI,DoakField,D1,ACC,20250307-DoakField-1,41b8a610-fb8f-11ef-b2e7-c795bbb7805b,90.22115,NA,NA,9.35197,NA,NA,NA,56b56b2f-1a0c-412c-a19c-24d12b31b7e1,2025-03-07,20:03:36,2025-03-07T20:03:36Z,2025-03-07T20:03:36Z,NA,v3,471387,471496,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.1731,-133.20715,16.63287,5.44583,-8.56721,-4.9932,1.67149,-6.99649,6.5463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-03-07,15:03:54,"Fritton, Dominic",1000138541,Left,NOR_WOL,Undefined,Fastball,NA,NA,93.22064,-2.123492,3.424726,2142.921085,139.532628,10:45:00,5.5098,-1.71104,5.99167,-15.28871,17.49666,-13.8465,2.26338,0.31271,83.42805,-5.082039,0.940265,0.412108,8.25154,10.05359,1.44833,50,5.3338,-7.45197,-134.86876,-5.43694,14.87606,35.13236,-14.04924,decada49-9f29-4e2f-b01e-b2eee1de98bc,NA,NA,NA,NA,112.427652,1000270400,"Peltier, JP",4238.105479,NA,73.37306,Right,39.764176,NA,NA,NA,NA,23.24421,NA,NA,0.82989,2.19053,-0.36494,NA,NA,NA,NA,NA,1,5,WRI_RAI,1,Top,0,3,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,WRI_RAI,DoakField,D1,ACC,20250307-DoakField-1,4c713f40-fb8f-11ef-b2e7-c795bbb7805b,91.46245,20.16391,NA,9.79259,NA,NA,NA,56b56b2f-1a0c-412c-a19c-24d12b31b7e1,2025-03-07,20:03:54,2025-03-07T20:03:54Z,2025-03-07T20:03:54Z,NA,v3,471387,471496,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.50427,-136.03703,17.56618,5.50683,-4.96975,-7.02462,1.70436,-7.94664,7.43803,NA,0.83264,-31.68467,-5.61441,NA,NA,NA,NA,NA,NA,2.19336,68.70457,-25.39203,NA,NA,NA,NA,NA,NA,-0.36426,76.4334,-6.97717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
6,2025-03-07,15:04:21,"Fritton, Dominic",1000138541,Left,NOR_WOL,Undefined,Fastball,NA,NA,94.29845,-2.390276,3.502156,2240.546636,135.84169,10:30:00,5.52616,-1.7893,5.98901,-16.56796,15.38009,-13.77052,1.92477,0.31297,84.72732,-5.562812,1.031363,0.406812,8.22997,9.0306,1.52039,50,5.32823,-7.73601,-136.4535,-6.20824,15.24013,35.02228,-15.45136,da7adff1-a6a2-4935-ad06-73cdbe5fc07a,NA,NA,NA,NA,-11.685388,1000270400,"Peltier, JP",2433.715008,NA,98.6055,Right,26.097193,108.21883,50.98076,-19.71465,353.25236,346.99957,4.867685,-9.564717,1.60001,1.98167,-0.30391,NA,NA,NA,NA,NA,1,6,WRI_RAI,1,Top,0,3,2,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,NOR_WOL,WRI_RAI,DoakField,D1,ACC,20250307-DoakField-1,5c5df010-fb8f-11ef-b2e7-c795bbb7805b,92.65322,72.75685,NA,9.57113,NA,NA,NA,56b56b2f-1a0c-412c-a19c-24d12b31b7e1,2025-03-07,20:04:21,2025-03-07T20:04:21Z,2025-03-07T20:04:21Z,FlyBall,v3,471387,471496,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.5081,-137.60569,17.51114,5.52411,-5.69991,-7.72568,1.78314,-8.23739,7.62007,197.221073,1.60229,127.13925,-25.3942,5.7014,-1.02446,0.13728,-0.01654,0.00213,-1.4e-4,1.98191,63.60672,-14.51561,-0.53615,0.61587,-0.25865,0.06712,-0.00915,4.9e-4,-0.30458,-26.28952,9.64823,-3.55255,0.9687,-0.2015,0.03136,-0.0032,1.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
7,2025-03-07,15:04:54,"Fritton, Dominic",1000138541,Left,NOR_WOL,Undefined,Slider,NA,NA,81.4806,1.567147,2.065651,2496.899431,306.041353,04:15:00,5.39197,-1.78226,5.55006,-52.03963,-8.12536,13.53477,2.52108,1.27673,72.88397,-7.972883,4.478127,0.476951,-6.01981,-4.10977,1.59451,50,5.49394,-4.81842,-117.90435,1.37535,-8.21141,28.8829,-37.78005,6201f080-7a60-4fe8-9714-3c4e43b605a1,NA,NA,NA,NA,NA,1000077197,"Smith, Boston",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,WRI_RAI,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,WRI_RAI,DoakField,D1,ACC,20250307-DoakField-1,701e1710-fb8f-11ef-b2e7-c795bbb7805b,79.02784,NA,NA,8.59663,NA,NA,NA,56b56b2f-1a0c-412c-a19c-24d12b31b7e1,2025-03-07,20:04:54,2025-03-07T20:04:54Z,2025-03-07T20:04:54Z,NA,v3,471387,471496,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.94673,-119.10999,14.44145,5.40362,2.95236,-18.89002,1.78849,-4.47566,-4.10571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-07,15:05:09,"Fritton, Dominic",1000138541,Left,NOR_WOL,Undefined,Fastball,NA,NA,93.47558,-3.477482,3.543672,2230.648054,132.340954,10:30:00,5.46035,-1.66862,6.24502,-16.77654,15.7619,-15.85147,0.84485,0.28301,83.37624,-6.714276,0.684844,0.410554,9.43626,9.77052,1.41198,50,5.19264,-7.66996,-135.06086,-8.68987,16.96299,36.75971,-14.61014,778f7585-f2a8-45e0-9f81-5af9edf43fc4,NA,NA,NA,NA,NA,1000077197,"Smith, Boston",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,WRI_RAI,1,Top,1,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,WRI_RAI,DoakField,D1,ACC,20250307-DoakField-1,796238b0-fb8f-11ef-b2e7-c795bbb7805b,91.80883,NA,NA,10.09935,NA,NA,NA,56b56b2f-1a0c-412c-a19c-24d12b31b7e1,2025-03-07,20:05:09,2025-03-07T20:05:09Z,2025-03-07T20:05:09Z,NA,v3,471387,471496,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.25024,-136.21274,18.37986,5.45777,-8.23205,-7.30507,1.66065,-8.20151,8.48149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-07,15:05:27,"Fritton, Dominic",1000138541,Left,NOR_WOL,Undefined,Fastball,NA,NA,93.69873,-1.547278,3.446828,2239.931908,134.0001,10:30:00,5.41423,-1.89991,6.08348,-15.32521,17.05194,-16.34843,2.70273,-0.06963,83.64943,-4.522479,0.508223,0.409535,9.61792,9.67627,1.64202,50,5.28656,-7.44601,-135.6163,-4.09477,17.48912,36.18516,-14.57885,e10cc280-0fb6-4c15-bf33-e4ca6244e509,NA,NA,NA,NA,4.207268,1000077197,"Smith, Boston",7500.852043,NA,90.05133,Left,13.513711,109.86947,13.57645,5.34978,180.47135,180.47135,1.7000440000000001,2.400612,1.4102,2.73108,0.05446,NA,NA,NA,NA,NA,2,3,WRI_RAI,1,Top,1,2,0,Sinker,InPlay,Undefined,LineDrive,Single,0,0,NA,NOR_WOL,WRI_RAI,DoakField,D1,ACC,20250307-DoakField-1,838b8a30-fb8f-11ef-b2e7-c795bbb7805b,92.03723,14.13345,NA,10.0493,NA,NA,NA,56b56b2f-1a0c-412c-a19c-24d12b31b7e1,2025-03-07,20:05:27,2025-03-07T20:05:27Z,2025-03-07T20:05:27Z,LineDrive,v3,471387,471496,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.4131,-136.78873,18.09258,5.41158,-3.6224,-7.28943,1.89246,-8.01267,8.74456,62.257287,1.4102,128.07238,-16.8178,2.69165,-0.46654,0.02392,0.01139,-0.00552,9.2e-4,2.73108,30.86305,-22.79825,2.93133,-0.60362,0.11979,-0.01881,0.00225,-1.3e-4,0.05446,9.42138,-6.28784,3.09558,-0.97889,0.25328,-0.05374,0.00928,-7.5e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-03-07,15:06:02,"Fritton, Dominic",1000138541,Left,NOR_WOL,Undefined,Fastball,NA,NA,92.49862,-2.336962,2.969486,2136.949838,146.799117,11:00:00,5.53445,-1.65484,6.40923,-11.44741,21.01206,-12.9889,2.42768,-0.00449,83.49109,-4.606949,0.619514,0.410055,7.72083,12.04497,1.4479,50,5.36154,-6.42192,-134.09748,-5.71926,13.87915,32.45431,-10.52179,f858d7e1-8d3c-402b-834d-47c5559ab873,NA,NA,NA,NA,-46.364298,1000238608,"Fultz, Patrick",5100.097095,NA,90.88796,Left,43.661877,64.60401,88.99944,-89.02988,304.58723,121.55135,5.269043,-64.576213,0.85076,2.92628,-0.6046,NA,NA,NA,NA,NA,3,1,WRI_RAI,1,Top,1,0,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,NOR_WOL,WRI_RAI,DoakField,D1,ACC,20250307-DoakField-1,98cd9640-fb8f-11ef-b2e7-c795bbb7805b,91.92045,106.42209,NA,9.00754,NA,NA,NA,56b56b2f-1a0c-412c-a19c-24d12b31b7e1,2025-03-07,20:06:02,2025-03-07T20:06:02Z,2025-03-07T20:06:02Z,FlyBall,v3,471387,471496,NA,"Sosa, Alex",806227,Right,NOR_WOL,54.08883,-135.08344,16.22716,5.53044,-5.39961,-5.2609,1.64941,-6.84357,6.93958,NA,0.86565,66.30001,-20.17087,4.65936,-0.73169,0.15296,-0.05627,0.01128,-7.8e-4,2.94241,91.70664,-23.33573,0.37257,1.34681,-0.73157,0.18622,-0.02318,0.00113,-0.62016,-69.48547,4.03493,1.60858,-1.6238,0.69905,-0.16189,0.01914,-9.1e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
