PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-03,12:04:11,"Zebrowski, Christian",10095604,Right,MID_COL,Undefined,Fastball,NA,NA,84.57652,-3.469063,-1.840089,1386.304795,220.748068,01:15:00,6.32936,0.54777,5.56281,-27.4712,11.77886,9.17351,0.79358,-0.40742,78.56264,-8.497158,-0.201956,0.450912,-5.12717,7.17166,-0.39524,50,6.01137,3.57139,-122.7014,-8.36484,-7.90582,21.6834,-21.11574,c60ecc05-d4ed-454a-b88a-b6d6147813e4,NA,NA,NA,NA,NA,1000231703,"Fleckner, Henry",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,TUF_UNI,1,Top,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MID_COL,TUF_UNI,ForbesFieldLaptop,D3,Team,20250503-ForbesFieldLaptop-1,40ff7b10-2838-11f0-8c17-958e61f01464,83.59162,NA,NA,6.01389,NA,NA,NA,8ff49b1a-aad2-4f33-996c-cbc452fe65c9,2025-05-03,16:04:11,2025-05-03T16:04:11Z,2025-05-03T16:04:11Z,NA,v3,NA,NA,NA,"Slaughter, Ben",1000192110,Right,MID_COL,54.93747,-123.57086,10.8417,6.3298,-7.51815,-10.55787,-0.5448,3.8884,-3.95291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-03,12:04:28,"Zebrowski, Christian",10095604,Right,MID_COL,Undefined,Fastball,NA,NA,84.65075,-2.253369,-1.589124,1546.0534,211.60749,01:00:00,6.33457,0.56657,5.5713,-24.63777,14.61981,8.26847,2.17471,-0.22913,78.06651,-6.814939,-0.11336,0.450955,-4.58532,8.34934,-0.43514,50,6.12423,3.06436,-122.86837,-5.63887,-7.05955,22.71822,-19.31943,2d4a8e3f-84a4-481c-8ba4-16ef24f89cbd,NA,NA,NA,NA,NA,1000231703,"Fleckner, Henry",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,TUF_UNI,1,Top,0,1,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MID_COL,TUF_UNI,ForbesFieldLaptop,D3,Team,20250503-ForbesFieldLaptop-1,4b1fa4d0-2838-11f0-8c17-958e61f01464,83.58359,NA,NA,6.58424,NA,NA,NA,8ff49b1a-aad2-4f33-996c-cbc452fe65c9,2025-05-03,16:04:28,2025-05-03T16:04:28Z,2025-05-03T16:04:28Z,NA,v3,NA,NA,NA,"Slaughter, Ben",1000192110,Right,MID_COL,54.92679,-123.77598,11.35911,6.33408,-4.86705,-9.65971,-0.5632,3.34639,-3.52978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-03,12:04:45,"Zebrowski, Christian",10095604,Right,MID_COL,Undefined,ChangeUp,NA,NA,79.29803,0.796535,-1.136369,1305.724272,252.24403,02:30:00,6.00972,0.92329,6.22206,-37.94522,5.74146,13.82438,3.58279,1.02664,72.92232,-6.265355,1.36165,0.475714,-7.43953,3.19307,-0.84475,50,6.05059,1.78535,-115.30017,0.48516,-10.04459,20.84206,-27.86287,35616815-24c6-4f50-9c7b-e47c5aefdc4c,NA,NA,NA,NA,NA,1000231703,"Fleckner, Henry",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,TUF_UNI,1,Top,0,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MID_COL,TUF_UNI,ForbesFieldLaptop,D3,Team,20250503-ForbesFieldLaptop-1,557e1010-2838-11f0-8c17-958e61f01464,79.23341,NA,NA,6.37571,NA,NA,NA,8ff49b1a-aad2-4f33-996c-cbc452fe65c9,2025-05-03,16:04:45,2025-05-03T16:04:45Z,2025-05-03T16:04:45Z,NA,v3,NA,NA,NA,"Slaughter, Ben",1000192110,Right,MID_COL,54.2769,-116.0707,10.42103,6.01362,1.51525,-13.93144,-0.91761,2.1567,-5.0223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-03,12:05:01,"Zebrowski, Christian",10095604,Right,MID_COL,Undefined,Fastball,NA,NA,84.25704,-4.683221,-1.568808,1724.463052,212.56048,01:00:00,6.29407,0.49863,5.54564,-22.33403,17.44564,10.37048,0.0449,-0.10362,78.03958,-8.797532,0.282071,0.453944,-5.68233,10.40351,-0.36996,50,5.87285,2.92422,-122.03378,-10.71151,-8.64437,22.03403,-16.34744,522750d8-8959-481d-9e03-2c631054347e,NA,NA,NA,NA,NA,1000231703,"Fleckner, Henry",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,TUF_UNI,1,Top,0,2,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MID_COL,TUF_UNI,ForbesFieldLaptop,D3,Team,20250503-ForbesFieldLaptop-1,5f068db0-2838-11f0-8c17-958e61f01464,83.0333,NA,NA,6.21746,NA,NA,NA,8ff49b1a-aad2-4f33-996c-cbc452fe65c9,2025-05-03,16:05:01,2025-05-03T16:05:01Z,2025-05-03T16:05:01Z,NA,v3,NA,NA,NA,"Slaughter, Ben",1000192110,Right,MID_COL,54.95435,-122.92507,11.01701,6.29276,-10.05025,-8.17372,-0.49532,3.27388,-4.32219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-03,12:05:20,"Zebrowski, Christian",10095604,Right,MID_COL,Undefined,Fastball,NA,NA,84.49699,-2.20168,-1.429969,1640.359887,199.303824,12:45:00,6.32511,0.59166,5.90689,-22.28698,16.76131,5.44177,2.42258,-0.28246,77.58335,-6.382766,-0.45283,0.449751,-3.19776,9.5776,-0.48004,50,6.13551,2.85034,-122.68507,-5.37995,-4.88315,23.83697,-17.54859,9e6a1a5d-c9ca-40fb-ae9f-99663a2b7f81,NA,NA,NA,NA,NA,1000231703,"Fleckner, Henry",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,TUF_UNI,1,Top,0,3,1,Changeup,InPlay,Undefined,LineDrive,HomeRun,0,1,NA,MID_COL,TUF_UNI,ForbesFieldLaptop,D3,Team,20250503-ForbesFieldLaptop-1,6a155d30-2838-11f0-8c17-958e61f01464,83.80728,NA,NA,6.91364,NA,NA,NA,8ff49b1a-aad2-4f33-996c-cbc452fe65c9,2025-05-03,16:05:20,2025-05-03T16:05:20Z,2025-05-03T16:05:20Z,NA,v3,NA,NA,NA,"Slaughter, Ben",1000192110,Right,MID_COL,54.59218,-123.57409,11.91848,6.32396,-4.72547,-8.7743,-0.58974,3.03246,-2.44157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-03,12:06:06,"Zebrowski, Christian",10095604,Right,MID_COL,Undefined,Fastball,NA,NA,84.84913,0.176873,-0.366573,1927.005378,194.45157,12:30:00,6.27725,0.67378,5.68068,-16.66308,22.60005,5.4915,5.05354,0.78969,77.05868,-3.025753,0.614896,0.450987,-2.86516,11.75839,-0.64626,50,6.28173,0.5537,-123.13451,-0.05493,-4.38087,25.38851,-14.19535,815c3d45-58a0-4d3d-a8f9-a319a86cf9d2,NA,NA,NA,NA,NA,1000231718,"Leonard, Ben",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,TUF_UNI,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MID_COL,TUF_UNI,ForbesFieldLaptop,D3,Team,20250503-ForbesFieldLaptop-1,85b92b70-2838-11f0-8c17-958e61f01464,83.57769,NA,NA,7.79045,NA,NA,NA,8ff49b1a-aad2-4f33-996c-cbc452fe65c9,2025-05-03,16:06:06,2025-05-03T16:06:06Z,2025-05-03T16:06:06Z,NA,v3,NA,NA,NA,"Slaughter, Ben",1000192110,Right,MID_COL,54.81408,-124.12313,12.69425,6.27311,0.49783,-7.09767,-0.67114,0.72429,-2.19043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-03,12:06:24,"Zebrowski, Christian",10095604,Right,MID_COL,Undefined,Fastball,NA,NA,84.30028,-1.955828,-1.268388,1610.08594,191.92982,12:30:00,6.17718,0.77038,5.84338,-28.25706,11.40571,2.12642,2.00367,-0.23136,76.86773,-7.214866,-0.886772,0.453276,-1.46071,6.8191,-0.66837,50,6.00148,2.621,-122.27837,-5.07303,-2.19649,25.65039,-21.92021,f06d5822-bfbe-45b8-b291-41cef0cf9ce5,NA,NA,NA,NA,NA,1000231718,"Leonard, Ben",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,TUF_UNI,1,Top,0,1,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MID_COL,TUF_UNI,ForbesFieldLaptop,D3,Team,20250503-ForbesFieldLaptop-1,9031fc80-2838-11f0-8c17-958e61f01464,83.15553,NA,NA,7.43255,NA,NA,NA,8ff49b1a-aad2-4f33-996c-cbc452fe65c9,2025-05-03,16:06:24,2025-05-03T16:06:24Z,2025-05-03T16:06:24Z,NA,v3,NA,NA,NA,"Slaughter, Ben",1000192110,Right,MID_COL,54.65295,-123.25056,12.82519,6.17801,-4.24222,-10.96011,-0.76928,2.70425,-1.09824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-03,12:06:39,"Zebrowski, Christian",10095604,Right,MID_COL,Undefined,Fastball,NA,NA,84.4097,-0.46646,-1.111032,1540.553495,194.522367,12:30:00,6.08604,0.89164,5.77536,-29.58486,9.86213,2.22563,3.1865,0.04315,77.13385,-5.964082,-0.712297,0.452042,-1.44303,5.55614,-0.80121,50,6.02982,2.28474,-122.54735,-1.96377,-2.18979,24.69474,-23.74258,4cbf952e-331f-4306-bb77-8a930d7d1bb9,NA,NA,NA,NA,NA,1000231718,"Leonard, Ben",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,TUF_UNI,1,Top,0,1,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MID_COL,TUF_UNI,ForbesFieldLaptop,D3,Team,20250503-ForbesFieldLaptop-1,991d9de0-2838-11f0-8c17-958e61f01464,83.38269,NA,NA,7.27585,NA,NA,NA,8ff49b1a-aad2-4f33-996c-cbc452fe65c9,2025-05-03,16:06:39,2025-05-03T16:06:39Z,2025-05-03T16:06:39Z,NA,v3,NA,NA,NA,"Slaughter, Ben",1000192110,Right,MID_COL,54.72108,-123.49504,12.34737,6.08769,-1.0526199999999999,-11.87129,-0.8905,2.36878,-1.09489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-03,12:06:52,"Zebrowski, Christian",10095604,Right,MID_COL,Undefined,Curveball,NA,NA,75.07986,-0.114627,0.833308,2077.616452,37.217802,07:15:00,6.30669,0.37597,5.30455,-57.82676,-7.08926,-6.598,1.38018,0.60844,69.30783,-10.564379,-0.342532,0.512668,3.56547,-3.09579,-0.4466,50,6.25384,-1.33812,-109.0353,-2.14573,4.27661,19.82557,-35.8873,30e0e11f-7416-4341-923e-3085225e4dda,NA,NA,NA,NA,0.984261,1000231718,"Leonard, Ben",NA,NA,87.0737,Left,-8.346084,NA,NA,NA,10.35917,10.35917,0.070006,-2.562316,1.4954,1.29904,-0.61522,NA,NA,NA,NA,NA,2,4,TUF_UNI,1,Top,0,1,2,Curveball,InPlay,Undefined,GroundBall,Single,0,0,NA,MID_COL,TUF_UNI,ForbesFieldLaptop,D3,Team,20250503-ForbesFieldLaptop-1,a12ff640-2838-11f0-8c17-958e61f01464,73.52216,1.29904,NA,5.77204,NA,NA,NA,8ff49b1a-aad2-4f33-996c-cbc452fe65c9,2025-05-03,16:06:52,2025-05-03T16:06:52Z,2025-05-03T16:06:52Z,GroundBall,v3,NA,NA,NA,"Slaughter, Ben",1000192110,Right,MID_COL,55.19704,-109.9762,9.91279,6.31526,-0.44255,-17.94365,-0.37828,-1.54108,2.13831,180,1.49393,126.46657,NA,NA,NA,NA,NA,NA,NA,1.29925,-18.55611,NA,NA,NA,NA,NA,NA,NA,-0.61525,2.17273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
10,2025-05-03,12:07:33,"Zebrowski, Christian",10095604,Right,MID_COL,Undefined,Curveball,NA,NA,75.03818,-1.511648,-1.35239,1744.290817,75.030999,08:30:00,6.19554,0.785,5.40939,-49.97526,0.89602,-2.95697,0.61395,-0.7287,69.02886,-10.579783,-1.87994,0.513343,1.08827,1.3865,-0.66252,50,6.02609,2.67962,-108.83712,-4.4817,1.29561,20.43948,-30.52343,06770f66-e1b2-4de6-8b69-32ca55c83b9a,NA,NA,NA,NA,NA,10032964,"Henshon, James",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,TUF_UNI,1,Top,0,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,MID_COL,TUF_UNI,ForbesFieldLaptop,D3,Team,20250503-ForbesFieldLaptop-1,b9557330-2838-11f0-8c17-958e61f01464,73.4254,NA,NA,6.00932,NA,NA,NA,8ff49b1a-aad2-4f33-996c-cbc452fe65c9,2025-05-03,16:07:33,2025-05-03T16:07:33Z,2025-05-03T16:07:33Z,NA,v3,NA,NA,NA,"Slaughter, Ben",1000192110,Right,MID_COL,55.08947,-109.78876,10.21974,6.20167,-3.06057,-15.26171,-0.78588,2.61929,0.64781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
11,2025-05-03,12:07:50,"Zebrowski, Christian",10095604,Right,MID_COL,Undefined,Slider,NA,NA,75.49013,0.198077,-1.267817,1617.529165,80.010243,08:45:00,6.18942,0.63997,5.33667,-49.84294,0.93547,-4.96449,2.22172,-0.96335,68.5803,-8.905997,-2.150901,0.512874,2.07189,0.9587,-0.52189,50,6.17188,2.61405,-109.40541,-1.25811,2.47232,22.09003,-31.03004,67516273-b5bf-4809-aeee-89c0ad41f5d5,NA,NA,NA,NA,NA,10032964,"Henshon, James",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,TUF_UNI,1,Top,0,1,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MID_COL,TUF_UNI,ForbesFieldLaptop,D3,Team,20250503-ForbesFieldLaptop-1,c3946f90-2838-11f0-8c17-958e61f01464,73.49255,NA,NA,6.90982,NA,NA,NA,8ff49b1a-aad2-4f33-996c-cbc452fe65c9,2025-05-03,16:07:50,2025-05-03T16:07:50Z,2025-05-03T16:07:50Z,NA,v3,NA,NA,NA,"Slaughter, Ben",1000192110,Right,MID_COL,55.16003,-110.44235,11.04501,6.19675,0.1985,-15.51502,-0.64188,2.49799,1.23616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
12,2025-05-03,12:08:04,"Zebrowski, Christian",10095604,Right,MID_COL,Undefined,Fastball,NA,NA,82.67418,-2.647761,-1.501434,1701.580794,198.108188,12:30:00,6.31624,0.43764,5.81849,-22.22926,18.92635,5.74268,1.99942,-0.4801,75.5896,-6.827857,-0.472002,0.461728,-3.35823,10.83075,-0.31818,50,6.08629,2.91532,-119.89543,-6.18468,-4.87606,23.72198,-16.44814,06c937fb-4ad5-4f39-bbde-bb58d0bec0d2,NA,NA,NA,NA,NA,10032964,"Henshon, James",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,TUF_UNI,1,Top,0,1,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,MID_COL,TUF_UNI,ForbesFieldLaptop,D3,Team,20250503-ForbesFieldLaptop-1,cbbbd690-2838-11f0-8c17-958e61f01464,81.63347,NA,NA,7.08458,NA,NA,NA,8ff49b1a-aad2-4f33-996c-cbc452fe65c9,2025-05-03,16:08:04,2025-05-03T16:08:04Z,2025-05-03T16:08:04Z,NA,v3,NA,NA,NA,"Slaughter, Ben",1000192110,Right,MID_COL,54.67851,-120.81755,11.86099,6.31428,-5.54531,-8.22407,-0.43519,3.10487,-2.43803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
13,2025-05-03,12:08:25,"Zebrowski, Christian",10095604,Right,MID_COL,Undefined,Curveball,NA,NA,72.88364,-0.715508,-1.354859,2194.815685,20.741823,06:45:00,6.33134,0.17597,5.24545,-62.08129,-7.78406,-3.62532,0.48527,-1.39962,67.22055,-11.894019,-2.000637,0.530347,1.4139,-3.24461,-0.0487,50,6.21905,2.63338,-105.75254,-3.33625,1.58545,19.68931,-35.8123,5d688bd5-d1a9-4add-a4cd-3aa20e851169,NA,NA,NA,NA,NA,10032964,"Henshon, James",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,TUF_UNI,1,Top,0,1,2,Curveball,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,MID_COL,TUF_UNI,ForbesFieldLaptop,D3,Team,20250503-ForbesFieldLaptop-1,d8b251d0-2838-11f0-8c17-958e61f01464,71.07123,NA,NA,5.66309,NA,NA,NA,8ff49b1a-aad2-4f33-996c-cbc452fe65c9,2025-05-03,16:08:25,2025-05-03T16:08:25Z,2025-05-03T16:08:25Z,NA,v3,NA,NA,NA,"Slaughter, Ben",1000192110,Right,MID_COL,55.25602,-106.72664,9.84466,6.34027,-1.5645,-17.90615,-0.17704,2.55494,0.79272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
14,2025-05-03,12:08:54,"Zebrowski, Christian",10095604,Right,MID_COL,Undefined,Curveball,NA,NA,71.87514,1.375439,-0.952937,2258.636,26.014002,06:45:00,6.43126,0.34804,5.41167,-69.04771,-13.56028,-7.50615,1.96631,-1.17032,66.07409,-11.125098,-2.292654,0.536128,3.51087,-6.8315,-0.25777,50,6.50472,2.00215,-104.34959,0.3212,3.82944,19.32388,-39.62542,f8689b36-7bdb-42a5-b9d0-7f7c7bb8ab25,NA,NA,NA,NA,-37.210265,10032964,"Henshon, James",NA,NA,77.56887,Right,-25.593935,NA,NA,NA,6.49936,5.5671,0.042881,-11.950273,2.84575,2.11267,1.32154,NA,NA,NA,NA,NA,3,5,TUF_UNI,1,Top,0,2,2,Curveball,InPlay,Undefined,GroundBall,Out,1,0,NA,MID_COL,TUF_UNI,ForbesFieldLaptop,D3,Team,20250503-ForbesFieldLaptop-1,e9c3faa0-2838-11f0-8c17-958e61f01464,70.30488,2.11267,NA,5.80106,NA,NA,NA,8ff49b1a-aad2-4f33-996c-cbc452fe65c9,2025-05-03,16:08:54,2025-05-03T16:08:54Z,2025-05-03T16:08:54Z,GroundBall,v3,NA,NA,NA,"Slaughter, Ben",1000192110,Right,MID_COL,55.09163,-105.28825,9.66194,6.44237,2.24603,-19.81271,-0.35051,1.81613,1.91472,180,2.84436,81.91777,NA,NA,NA,NA,NA,NA,NA,2.1135,-49.26757,NA,NA,NA,NA,NA,NA,NA,1.3226,-62.20211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
15,2025-05-03,12:09:27,"Zebrowski, Christian",10095604,Right,MID_COL,Undefined,Fastball,NA,NA,82.30659,-3.353227,-1.580343,1898.082555,191.757367,12:30:00,6.27215,0.44365,6.02864,-20.8597,20.39804,3.95803,1.42371,-0.69044,75.27964,-7.297247,-0.868101,0.4623,-2.48327,11.86938,-0.32219,50,5.99832,3.13915,-119.31007,-7.54974,-3.56947,23.55195,-15.11284,b2c0d8ac-5f4f-428c-bb8a-ec03eec10131,NA,NA,NA,NA,NA,1000298227,"Smith, Cooper",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,TUF_UNI,1,Top,1,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,MID_COL,TUF_UNI,ForbesFieldLaptop,D3,Team,20250503-ForbesFieldLaptop-1,fd186780-2838-11f0-8c17-958e61f01464,81.53238,NA,NA,7.02695,NA,NA,NA,8ff49b1a-aad2-4f33-996c-cbc452fe65c9,2025-05-03,16:09:27,2025-05-03T16:09:27Z,2025-05-03T16:09:27Z,NA,v3,NA,NA,NA,"Slaughter, Ben",1000192110,Right,MID_COL,54.46793,-120.18881,11.77597,6.26949,-6.98587,-7.55642,-0.4418,3.27233,-1.78473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
