PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-15,18:06:44,"Sipila, Marko",815443,Right,SAN_AZT,Undefined,Fastball,NA,NA,91.59177,-4.736722,-1.528887,2206.341773,208.38698,01:00:00,6.86711,0.23339,6.30796,-14.03442,19.40674,9.81591,1.32225,-0.35747,82.7378,-7.452837,0.246711,0.41621,-5.58902,11.9767,-0.1257,50,6.51199,3.12853,-132.4929,-11.32619,-9.78253,32.36059,-11.21109,9e6db530-d745-47c6-a9e6-ff9f4336bb96,NA,NA,NA,NA,NA,692160,"Hartman, Max",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,WAS_COU,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_AZT,WAS_COU,TonyGwynnStadium,D1,MW,20250515-TonyGwynnStadium-1,08ec83d0-31f2-11f0-ae85-051b764b60ca,90.5612,NA,NA,8.85397,NA,NA,NA,c7937e3a-b05a-49f3-b22e-f7c8e1f2f3b9,2025-05-16,01:06:44,2025-05-16T01:06:44Z,2025-05-16T01:06:44Z,NA,v3,471432,4505,15 May 2025 21:00-washst@sandiegost,"Sipe, Evan",1000125054,Right,SAN_AZT,54.19161,-133.51275,16.1803,6.86337,-10.97287,-5.60554,-0.22916,3.43682,-4.89127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-15,18:06:59,"Sipila, Marko",815443,Right,SAN_AZT,Undefined,Fastball,NA,NA,91.88083,-1.683144,-1.284494,2260.992195,199.281931,12:45:00,7.00058,0.28512,5.85589,-13.39847,20.29757,6.66418,4.31928,-0.35323,82.5503,-4.295769,-0.089576,0.417793,-3.78906,11.23186,-0.18452,50,6.856,2.68178,-133.14072,-4.2526,-6.68758,33.04578,-12.35026,a8a40d13-3218-47af-ab7d-13b0c0e93664,NA,NA,NA,NA,NA,692160,"Hartman, Max",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,WAS_COU,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_AZT,WAS_COU,TonyGwynnStadium,D1,MW,20250515-TonyGwynnStadium-1,11e67d10-31f2-11f0-ae85-051b764b60ca,90.21807,NA,NA,9.33053,NA,NA,NA,c7937e3a-b05a-49f3-b22e-f7c8e1f2f3b9,2025-05-16,01:06:59,2025-05-16T01:06:59Z,2025-05-16T01:06:59Z,NA,v3,471432,4505,15 May 2025 21:00-washst@sandiegost,"Sipe, Evan",1000125054,Right,SAN_AZT,54.64102,-134.28769,16.52289,6.99616,-3.82394,-6.17513,-0.28163,2.91389,-3.34379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-15,18:07:17,"Sipila, Marko",815443,Right,SAN_AZT,Undefined,Fastball,NA,NA,90.4878,-2.148218,-1.482453,2123.151493,195.223926,12:30:00,6.85649,0.15402,5.94916,-12.10816,22.65391,5.80217,3.85334,-0.7378,81.03185,-4.546094,-0.440556,0.42435,-3.43469,12.64383,-0.03905,50,6.67844,3.13124,-131.03919,-5.17137,-5.8516,32.90125,-10.63303,91f0dffd-841f-4b25-b259-fc117ce08d7f,NA,NA,NA,NA,NA,692160,"Hartman, Max",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,WAS_COU,1,Top,0,2,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_AZT,WAS_COU,TonyGwynnStadium,D1,MW,20250515-TonyGwynnStadium-1,1c75bc50-31f2-11f0-ae85-051b764b60ca,88.82394,NA,NA,9.45595,NA,NA,NA,c7937e3a-b05a-49f3-b22e-f7c8e1f2f3b9,2025-05-16,01:07:17,2025-05-16T01:07:17Z,2025-05-16T01:07:17Z,NA,v3,471432,4505,15 May 2025 21:00-washst@sandiegost,"Sipe, Evan",1000125054,Right,SAN_AZT,54.54667,-132.17584,16.45063,6.85074,-4.80403,-5.31652,-0.15072,3.33339,-2.9258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-15,18:07:37,"Sipila, Marko",815443,Right,SAN_AZT,Undefined,Fastball,NA,NA,90.97864,-2.19595,-1.336876,2285.492326,194.332235,12:30:00,7.08965,0.17395,5.64119,-13.93835,20.79942,4.97878,3.87794,-0.65857,81.62704,-4.900844,-0.447714,0.424202,-3.01134,11.72213,-0.06373,50,6.89473,2.85832,-131.78177,-5.44623,-5.18771,33.3236,-11.98015,887be397-7394-4509-83e8-83c27ae4d2c3,NA,NA,NA,NA,NA,692160,"Hartman, Max",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,WAS_COU,1,Top,0,3,0,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,SAN_AZT,WAS_COU,TonyGwynnStadium,D1,MW,20250515-TonyGwynnStadium-1,28bf2eb0-31f2-11f0-ae85-051b764b60ca,88.85495,NA,NA,9.35161,NA,NA,NA,c7937e3a-b05a-49f3-b22e-f7c8e1f2f3b9,2025-05-16,01:07:37,2025-05-16T01:07:37Z,2025-05-16T01:07:37Z,NA,v3,471432,4505,15 May 2025 21:00-washst@sandiegost,"Sipe, Evan",1000125054,Right,SAN_AZT,54.85968,-133.00496,16.6618,7.08658,-5.00649,-5.99008,-0.17214,3.04874,-2.59386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-15,18:08:53,"Sipila, Marko",815443,Right,SAN_AZT,Undefined,Fastball,NA,NA,91.90369,-4.996248,-1.695144,2270.029062,200.369457,12:45:00,6.83467,-0.00973,6.07109,-11.89351,21.6756,7.57898,1.20621,-0.9473,82.9029,-7.321302,-0.330966,0.417005,-4.41827,13.10257,0.13727,50,6.43999,3.59759,-132.79485,-11.8789,-7.77086,32.43094,-9.12932,024f6ad6-d8e5-437f-b0b9-82ae8e087c98,NA,NA,NA,NA,NA,833546,"Roy, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,WAS_COU,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_AZT,WAS_COU,TonyGwynnStadium,D1,MW,20250515-TonyGwynnStadium-1,5613a4e0-31f2-11f0-ae85-051b764b60ca,90.38844,NA,NA,9.00078,NA,NA,NA,c7937e3a-b05a-49f3-b22e-f7c8e1f2f3b9,2025-05-16,01:08:53,2025-05-16T01:08:53Z,2025-05-16T01:08:53Z,NA,v3,471432,4505,15 May 2025 21:00-washst@sandiegost,"Sipe, Evan",1000125054,Right,SAN_AZT,54.42694,-133.87163,16.21547,6.82936,-11.57579,-4.56466,0.01354,3.85559,-3.88543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-05-15,18:09:10,"Sipila, Marko",815443,Right,SAN_AZT,Undefined,Fastball,NA,NA,90.50529,-2.388505,-0.307349,2175.191763,197.964507,12:30:00,6.95214,0.18737,6.20177,-10.92134,23.62781,7.2176,3.83584,0.50511,80.7463,-4.589126,0.995461,0.423048,-3.78358,13.35528,-0.16743,50,6.76645,0.38629,-131.08393,-5.64541,-6.42018,34.10718,-9.51219,58a0f1c7-4143-4301-9f29-87ab71681350,NA,NA,NA,NA,NA,833546,"Roy, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,WAS_COU,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_AZT,WAS_COU,TonyGwynnStadium,D1,MW,20250515-TonyGwynnStadium-1,602e5060-31f2-11f0-ae85-051b764b60ca,89.09723,NA,NA,9.759,NA,NA,NA,c7937e3a-b05a-49f3-b22e-f7c8e1f2f3b9,2025-05-16,01:09:10,2025-05-16T01:09:10Z,2025-05-16T01:09:10Z,NA,v3,471432,4505,15 May 2025 21:00-washst@sandiegost,"Sipe, Evan",1000125054,Right,SAN_AZT,54.29316,-132.19627,17.05359,6.94551,-5.33519,-4.75609,-0.18345,0.59567,-3.21009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-15,18:09:31,"Sipila, Marko",815443,Right,SAN_AZT,Undefined,Fastball,NA,NA,91.19279,-3.835652,-1.209466,2220.830212,199.179237,12:45:00,6.85852,0.1576,6.01171,-9.83075,24.32938,8.00748,2.47968,-0.29578,81.89579,-5.811154,0.230285,0.42066,-4.47028,14.07776,-0.06675,50,6.5513,2.42994,-131.93675,-9.01017,-7.73682,32.81503,-7.80921,e8661bcb-94b0-4b34-b221-755634259dcb,NA,NA,NA,NA,NA,833546,"Roy, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,WAS_COU,1,Top,0,2,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_AZT,WAS_COU,TonyGwynnStadium,D1,MW,20250515-TonyGwynnStadium-1,6c9c13a0-31f2-11f0-ae85-051b764b60ca,89.60308,NA,NA,9.297,NA,NA,NA,c7937e3a-b05a-49f3-b22e-f7c8e1f2f3b9,2025-05-16,01:09:31,2025-05-16T01:09:31Z,2025-05-16T01:09:31Z,NA,v3,471432,4505,15 May 2025 21:00-washst@sandiegost,"Sipe, Evan",1000125054,Right,SAN_AZT,54.48534,-133.04766,16.40752,6.85186,-8.7458,-3.90461,-0.15344,2.69186,-3.86841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-15,18:09:48,"Sipila, Marko",815443,Right,SAN_AZT,Undefined,Slider,NA,NA,84.53387,-1.264713,-0.666994,2214.565889,249.843798,02:15:00,6.87939,0.29005,5.78895,-38.04675,2.0865,1.50433,2.53196,-0.20514,76.05244,-8.299632,-0.396893,0.455957,-0.9939,1.98689,-0.23598,50,6.75285,1.36286,-122.47594,-4.0079,-1.47365,29.56961,-29.22809,a0c24440-5238-4b2f-9b1c-e3d5076fe801,NA,NA,NA,NA,NA,833546,"Roy, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,WAS_COU,1,Top,0,2,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SAN_AZT,WAS_COU,TonyGwynnStadium,D1,MW,20250515-TonyGwynnStadium-1,769e2e10-31f2-11f0-ae85-051b764b60ca,82.66672,NA,NA,8.48143,NA,NA,NA,c7937e3a-b05a-49f3-b22e-f7c8e1f2f3b9,2025-05-16,01:09:48,2025-05-16T01:09:48Z,2025-05-16T01:09:48Z,NA,v3,471432,4505,15 May 2025 21:00-washst@sandiegost,"Sipe, Evan",1000125054,Right,SAN_AZT,54.70864,-123.60752,14.78481,6.88483,-2.88938,-14.61405,-0.28922,1.41926,-0.73682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-05-15,18:10:05,"Sipila, Marko",815443,Right,SAN_AZT,Undefined,Slider,NA,NA,84.9426,-4.931801,-2.762423,1063.303046,247.225559,02:15:00,6.93023,0.28036,5.70605,-35.46703,3.95697,6.37658,-0.63742,-1.76421,78.3656,-11.358966,-1.619293,0.45191,-4.10425,3.75252,-0.05282,50,6.49289,5.67783,-122.81606,-11.8132,-6.24339,25.24495,-26.46573,b6544f3e-135a-4acb-9439-3c855852fb2f,NA,NA,NA,NA,NA,833546,"Roy, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,WAS_COU,1,Top,0,2,2,Splitter,BallCalled,Undefined,Undefined,Undefined,0,1,NA,SAN_AZT,WAS_COU,TonyGwynnStadium,D1,MW,20250515-TonyGwynnStadium-1,80e3ba20-31f2-11f0-ae85-051b764b60ca,83.407,NA,NA,6.577,NA,NA,NA,c7937e3a-b05a-49f3-b22e-f7c8e1f2f3b9,2025-05-16,01:10:05,2025-05-16T01:10:05Z,2025-05-16T01:10:05Z,NA,v3,471432,4505,15 May 2025 21:00-washst@sandiegost,"Sipe, Evan",1000125054,Right,SAN_AZT,54.79792,-123.79835,12.62248,6.93251,-10.78341,-13.23286,-0.27847,5.92076,-3.12169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-05-15,18:10:41,"Sipila, Marko",815443,Right,SAN_AZT,Undefined,Fastball,NA,NA,91.7611,-2.728185,-1.145063,2179.774229,196.284458,12:30:00,6.86694,0.16658,6.31641,-13.07426,20.318,5.5576,3.26202,-0.42517,82.15474,-5.304846,-0.139724,0.415905,-3.27902,11.86442,-0.08527,50,6.66074,2.42382,-132.95621,-6.631,-5.73464,34.61171,-11.42451,ced05b3d-3b9f-4d89-b347-04321d12f222,NA,NA,NA,NA,NA,833546,"Roy, Gavin",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,WAS_COU,1,Top,0,3,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,SAN_AZT,WAS_COU,TonyGwynnStadium,D1,MW,20250515-TonyGwynnStadium-1,969b1d40-31f2-11f0-ae85-051b764b60ca,90.62751,NA,NA,9.60636,NA,NA,NA,c7937e3a-b05a-49f3-b22e-f7c8e1f2f3b9,2025-05-16,01:10:41,2025-05-16T01:10:41Z,2025-05-16T01:10:41Z,NA,v3,471432,4505,15 May 2025 21:00-washst@sandiegost,"Sipe, Evan",1000125054,Right,SAN_AZT,54.18176,-134.0404,17.30585,6.86284,-6.27313,-5.71225,-0.164,2.60345,-2.86732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
