PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,14:00:18,"Melendez, Adiel",699719,Left,UNI_MON,Undefined,Fastball,NA,NA,88.83897,0.15862,2.846456,2105.871882,125.305944,10:15:00,5.75802,-2.89962,5.84333,-23.50068,12.08776,-15.43867,3.94724,-1.53835,80.8832,-4.248689,0.082023,0.429364,8.65497,6.47217,2.67636,50,5.7572,-5.74334,-128.8925,-0.41042,14.52571,27.37881,-21.31174,8ef84039-f7b7-438e-821c-e450bb5529c8,NA,NA,NA,NA,NA,10103006,"Lapinskes, Sean",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,UNI_ALA,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UNI_MON,UNI_ALA,UofMontevallo,D2,Team,20250307-UofMontevallo-1,cb7931e0-fb8e-11ef-9d2d-ff19a6244ef4,87.78658,NA,NA,7.95578,NA,NA,NA,66c4ae68-7341-4a40-b409-985f761ef5c7,2025-03-07,20:00:18,2025-03-07T20:00:18Z,2025-03-07T20:00:18Z,NA,v3,NA,NA,NA,"Stephenson, Payton",1000106771,Right,UNI_MON,54.66171,-129.87895,13.6894,5.75815,0.35743,-10.65587,2.89272,-6.2667,7.26285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-07,14:00:31,"Melendez, Adiel",699719,Left,UNI_MON,Undefined,Fastball,NA,NA,89.09798,-1.017718,3.145301,2207.609576,126.240956,10:15:00,5.79671,-3.06512,5.80518,-24.4056,10.832090000000001,-13.30418,2.81479,-1.24535,81.76547,-5.558577,0.764867,0.427243,7.61827,6.12957,2.81438,50,5.69834,-6.53804,-129.29876,-3.12229,12.95215,25.87804,-21.75294,d67c892f-e449-449c-9a16-50ee77ed45b4,NA,NA,NA,NA,NA,10103006,"Lapinskes, Sean",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,UNI_ALA,1,Top,0,1,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UNI_MON,UNI_ALA,UofMontevallo,D2,Team,20250307-UofMontevallo-1,d361bb20-fb8e-11ef-9d2d-ff19a6244ef4,88.22246,NA,NA,7.33251,NA,NA,NA,66c4ae68-7341-4a40-b409-985f761ef5c7,2025-03-07,20:00:31,2025-03-07T20:00:31Z,2025-03-07T20:00:31Z,NA,v3,NA,NA,NA,"Stephenson, Payton",1000106771,Right,UNI_MON,54.70113,-130.23625,12.93902,5.79718,-2.33424,-10.87647,3.05974,-7.00726,6.47607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-07,14:00:46,"Melendez, Adiel",699719,Left,UNI_MON,Undefined,Slider,NA,NA,76.82437,1.43089,1.724588,2781.540115,281.791376,03:30:00,5.65493,-3.11443,5.33454,-50.04389,-1.98567,16.03816,2.82814,-0.15919,71.15314,-7.646047,4.571104,0.498948,-7.65063,-1.00504,2.94633,50,5.74784,-3.96939,-111.5969,1.11088,-9.70378,18.99704,-33.44883,133d6f90-7cfd-4373-b3b2-16b5e6000b9b,NA,NA,NA,NA,47.003402,10103006,"Lapinskes, Sean",5738.479232,NA,67.2814,Right,45.148364,62.23708,63.8769,90.70031,191.65029,153.98746,3.953303,59.784495,1.22132,2.82124,0.14323,NA,NA,NA,NA,NA,1,3,UNI_ALA,1,Top,0,1,1,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UNI_MON,UNI_ALA,UofMontevallo,D2,Team,20250307-UofMontevallo-1,dc46ccd0-fb8e-11ef-9d2d-ff19a6244ef4,75.54382,64.17936,NA,5.67123,NA,NA,NA,66c4ae68-7341-4a40-b409-985f761ef5c7,2025-03-07,20:00:46,2025-03-07T20:00:46Z,2025-03-07T20:00:46Z,Popup,v3,NA,NA,NA,"Stephenson, Payton",1000106771,Right,UNI_MON,55.17494,-112.47437,9.49852,5.66085,2.65589,-16.72442,3.11932,-3.52117,-4.85189,219.619228,1.22068,47.48338,-13.96823,4.29253,-1.39591,0.57456,-0.19474,0.0365,-0.00269,2.82449,69.86733,-22.30852,1.05673,0.72713,-0.56061,0.17978,-0.02742,0.0016,0.14424,50.87686,-3.38503,0.13435,0.21845,-0.11644,0.02961,-0.0036,1.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
4,2025-03-07,14:01:17,"Melendez, Adiel",699719,Left,UNI_MON,Undefined,Fastball,NA,NA,90.87105,-0.75914,3.183984,2197.270575,139.914321,10:45:00,5.78288,-2.95652,5.8617,-20.33166,13.63268,-10.55686,3.3821,-0.87487,82.90398,-4.583741,1.294294,0.419453,6.2739,7.50622,2.70387,50,5.7093,-6.87238,-131.80666,-2.40678,11.03001,28.18135,-18.97751,b2e70d40-f4b7-4654-809a-4b9d52358448,NA,NA,NA,NA,164.094733,10103006,"Lapinskes, Sean",1422.030378,NA,77.15213,Right,13.89371,-105.24832,10.91865,31.98057,156.28548,57.23137,1.652638,162.979371,-0.5768,3.1468,0.81548,NA,NA,NA,NA,NA,1,4,UNI_ALA,1,Top,0,1,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UNI_MON,UNI_ALA,UofMontevallo,D2,Team,20250307-UofMontevallo-1,ee877fc0-fb8e-11ef-9d2d-ff19a6244ef4,89.86098,12.9959,NA,7.96707,NA,NA,NA,66c4ae68-7341-4a40-b409-985f761ef5c7,2025-03-07,20:01:17,2025-03-07T20:01:17Z,2025-03-07T20:01:17Z,LineDrive,v3,NA,NA,NA,"Stephenson, Payton",1000106771,Right,UNI_MON,54.6434,-132.79575,14.09067,5.78208,-1.74072,-9.48876,2.95187,-7.2595,5.515,57.632249,-0.57682,-105.63824,10.68735,-0.93932,-0.19771,0.59487,-0.49775,0.20816,-0.03521,3.14679,27.17198,-19.84759,1.75615,-0.4444,0.2824,-0.18239,0.073,-0.01222,0.81549,30.10217,-1.47827,-0.25991,0.1992,-0.2463,0.18768,-0.07732,0.01303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
5,2025-03-07,14:01:39,"Melendez, Adiel",699719,Left,UNI_MON,Undefined,ChangeUp,NA,NA,82.87349,0.486764,3.865451,1949.356125,111.803493,09:45:00,5.58296,-3.30637,5.96866,-33.325920000000004,7.16185,-14.83843,3.2582,-0.95316,76.10398,-5.692915,1.205754,0.457966,8.6613,3.91225,3.00766,50,5.60292,-7.55489,-120.24627,-0.03035,12.74209,22.27429,-26.41852,c8fe22a9-f355-4094-af2b-a09cfeaba56c,NA,NA,NA,NA,26.405773,10103006,"Lapinskes, Sean",NA,NA,96.36702,Right,-9.261429,NA,NA,NA,18.15452,18.14681,0.125398,28.546128,0.66645,3.16893,0.89385,NA,NA,NA,NA,NA,1,5,UNI_ALA,1,Top,0,1,2,Changeup,InPlay,Undefined,GroundBall,Single,0,0,NA,UNI_MON,UNI_ALA,UofMontevallo,D2,Team,20250307-UofMontevallo-1,fc1de480-fb8e-11ef-9d2d-ff19a6244ef4,82.30399,3.16893,NA,6.76951,NA,NA,NA,66c4ae68-7341-4a40-b409-985f761ef5c7,2025-03-07,20:01:39,2025-03-07T20:01:39Z,2025-03-07T20:01:39Z,GroundBall,v3,NA,NA,NA,"Stephenson, Payton",1000106771,Right,UNI_MON,54.53877,-121.08411,11.13714,5.58538,0.96337,-13.20926,3.30085,-8.03418,6.37104,305.258746,0.66678,124.90666,-24.33271,NA,NA,NA,NA,NA,NA,3.16922,-22.77695,-19.92542,NA,NA,NA,NA,NA,NA,0.89372,62.05096,0.04946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
6,2025-03-07,14:02:16,"Melendez, Adiel",699719,Left,UNI_MON,Undefined,Fastball,NA,NA,89.02888,-0.772397,3.785922,2117.495249,127.079109,10:15:00,5.78373,-2.89143,5.8307,-26.42151,8.56241,-10.0469,2.86225,-0.20386,82.44421,-5.652999,1.989782,0.425702,6.04099,4.86776,2.58754,50,5.70468,-8.13175,-129.24469,-2.65488,10.36056,23.41936,-23.82561,7a576ba8-2d08-41a3-bd65-88da87fc793a,NA,NA,NA,NA,158.946625,1000097187,"Walker, Presley",1542.636854,NA,77.95602,Right,14.742249,-103.67087,9.41278,36.77404,147.88269,57.39558,1.509829,160.946992,-0.59459,2.59384,0.11708,NA,NA,NA,NA,NA,2,1,UNI_ALA,1,Top,0,0,0,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UNI_MON,UNI_ALA,UofMontevallo,D2,Team,20250307-UofMontevallo-1,12169660-fb8f-11ef-9d2d-ff19a6244ef4,88.54185,12.33888,NA,6.58467,NA,NA,NA,66c4ae68-7341-4a40-b409-985f761ef5c7,2025-03-07,20:02:16,2025-03-07T20:02:16Z,2025-03-07T20:02:16Z,LineDrive,v3,NA,NA,NA,"Stephenson, Payton",1000106771,Right,UNI_MON,54.67673,-130.08936,11.70968,5.78493,-1.79555,-11.91281,2.88757,-8.50543,5.18028,325.74596,-0.59458,-103.19102,8.17202,-0.86759,0.20915,0.06141,-0.11513,0.05924,-0.01085,2.59385,29.09402,-23.02751,2.19528,-0.56356,0.47898,-0.39591,0.17099,-0.02894,0.11708,39.72065,-6.29975,0.95427,-0.30135,0.33783,-0.30075,0.1307,-0.02209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
7,2025-03-07,14:02:38,"Melendez, Adiel",699719,Left,UNI_MON,Undefined,Fastball,NA,NA,89.80421,-0.88927,3.308152,2294.649586,119.660034,10:00:00,5.73853,-3.02565,5.68944,-24.95123,10.01166,-15.63044,2.82889,-1.2411,82.11018,-5.524595,0.51782,0.425574,8.82477,5.66863,2.75666,50,5.64795,-6.84041,-130.24293,-2.8934,15.1715,27.13094,-22.42854,a98a4544-c90e-4d0f-84c8-63e854728189,NA,NA,NA,NA,NA,1000097187,"Walker, Presley",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,UNI_ALA,1,Top,0,0,1,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UNI_MON,UNI_ALA,UofMontevallo,D2,Team,20250307-UofMontevallo-1,1f09dd50-fb8f-11ef-9d2d-ff19a6244ef4,88.56845,NA,NA,7.69403,NA,NA,NA,66c4ae68-7341-4a40-b409-985f761ef5c7,2025-03-07,20:02:38,2025-03-07T20:02:38Z,2025-03-07T20:02:38Z,NA,v3,NA,NA,NA,"Stephenson, Payton",1000106771,Right,UNI_MON,54.81644,-131.24241,13.56547,5.73932,-2.06715,-11.21427,3.01895,-7.39932,7.58575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-07,14:02:58,"Melendez, Adiel",699719,Left,UNI_MON,Undefined,Slider,NA,NA,78.94076,0.660582,1.163323,2625.443916,273.346251,03:00:00,5.61005,-3.09482,5.33176,-45.68148,0.37972,19.02107,2.4233,-0.41794,72.23345,-7.664277,4.541817,0.488471,-9.22878,0.40858,2.97524,50,5.63682,-3.08118,-114.5581,-0.243,-12.17149,22.65541,-31.6352,ab01e244-d562-4dc6-8bfc-5919ef22aa50,NA,NA,NA,NA,146.535682,1000097187,"Walker, Presley",5547.690659,NA,68.91315,Right,65.709562,NA,NA,NA,NA,26.18056,NA,NA,1.43848,2.53229,0.47024,NA,NA,NA,NA,NA,2,3,UNI_ALA,1,Top,0,0,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UNI_MON,UNI_ALA,UofMontevallo,D2,Team,20250307-UofMontevallo-1,2b099c80-fb8f-11ef-9d2d-ff19a6244ef4,77.16408,49.58742,NA,6.70731,NA,NA,NA,66c4ae68-7341-4a40-b409-985f761ef5c7,2025-03-07,20:02:58,2025-03-07T20:02:58Z,2025-03-07T20:02:58Z,NA,v3,NA,NA,NA,"Stephenson, Payton",1000106771,Right,UNI_MON,55.17575,-115.57714,11.32771,5.61574,1.17996,-15.8176,3.10152,-2.53371,-6.08574,347.783715,1.43848,-34.68508,-4.56983,3.07701,-1.00408,0.27701,-0.07134,0.01712,-0.00265,2.53229,92.12471,-32.140860000000004,4.65031,-0.93208,0.15996,-0.02726,0.00391,-2.9e-4,0.47024,22.92651,-3.08257,0.42687,-0.02947,-0.00926,0.00508,-0.00204,4.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
9,2025-03-07,14:03:26,"Melendez, Adiel",699719,Left,UNI_MON,Undefined,Fastball,NA,NA,90.02745,-0.099301,2.827817,2217.044035,129.030067,10:15:00,5.80771,-3.06868,5.57162,-25.50556,9.56973,-10.38127,3.58937,-1.28991,81.90112,-4.837643,0.978394,0.426257,6.04866,5.21331,2.8315,50,5.78254,-5.98116,-130.53307,-1.13421,10.39623,28.45777,-23.21361,96e98f88-ad7c-4678-a29c-dc1a51eb28d2,NA,NA,NA,NA,NA,1000097187,"Walker, Presley",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,UNI_ALA,1,Top,0,0,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UNI_MON,UNI_ALA,UofMontevallo,D2,Team,20250307-UofMontevallo-1,3bc954c0-fb8f-11ef-9d2d-ff19a6244ef4,88.42645,NA,NA,8.12633,NA,NA,NA,66c4ae68-7341-4a40-b409-985f761ef5c7,2025-03-07,20:03:26,2025-03-07T20:03:26Z,2025-03-07T20:03:26Z,NA,v3,NA,NA,NA,"Stephenson, Payton",1000106771,Right,UNI_MON,54.93297,-131.60412,14.22888,5.80879,-0.26053,-11.6068,3.06398,-6.37244,5.19811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-07,14:03:46,"Melendez, Adiel",699719,Left,UNI_MON,Undefined,ChangeUp,NA,NA,78.64525,0.148527,2.438626,2713.224124,289.859885,03:45:00,5.68529,-3.03704,5.52647,-49.43093,-3.8878,14.3065,1.7050399999999999,0.43662,73.082,-8.809313,4.98739,0.485716,-6.64351,-1.66343,2.81467,50,5.66469,-5.40728,-114.26201,-1.36198,-8.83041,19.98852,-34.38502,03a62439-6e2c-44e6-81a1-85f7e8d7351d,NA,NA,NA,NA,-7.192185,1000097187,"Walker, Presley",2214.143108,NA,57.14497,Right,24.253751,109.23883,20.17785,-12.9167,158.08972,150.24594,2.567119,-6.462659,1.75038,1.85475,-0.45777,NA,NA,NA,NA,NA,2,5,UNI_ALA,1,Top,0,1,2,Curveball,InPlay,Undefined,LineDrive,Out,1,0,NA,UNI_MON,UNI_ALA,UofMontevallo,D2,Team,20250307-UofMontevallo-1,4776d540-fb8f-11ef-9d2d-ff19a6244ef4,77.60174,22.63672,NA,5.56325,NA,NA,NA,66c4ae68-7341-4a40-b409-985f761ef5c7,2025-03-07,20:03:46,2025-03-07T20:03:46Z,2025-03-07T20:03:46Z,LineDrive,v3,NA,NA,NA,"Stephenson, Payton",1000106771,Right,UNI_MON,54.98325,-115.13046,9.99426,5.69141,0.13196,-17.19251,3.04126,-5.02362,-4.41521,185.890416,1.75025,75.82059,-9.13798,2.01026,-0.66569,0.35634,-0.15647,0.0376,-0.00358,1.85491,34.4195,-14.82318,0.3479,0.35184,-0.36742,0.17511,-0.04029,0.00358,-0.45774,-9.56837,1.70557,-0.39052,0.13711,-0.07513,0.0324,-0.00765,7.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
