player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-01-11,14:21:48,1,1,"Spiegel, Justin",1000193413,Right,VIR_KEY,"Albright, Ayden",10249608,Right,VIR_KEY,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.34788,-1.460625,-2.666327,2502.474417,217.954967,01:15:00,5.53918,2.5164,5.73762,-15.53304,19.08312,13.98162,2.88289,1.19692,82.11543,-4.431824,-0.167215,0.423458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.86772,10.46658,-2.30292,50,5.40806,5.48405,-131.01106,-3.79382,-13.61617,28.777,-14.06023,VIR_KEY,VIR_KEY,GrayMinorStadium,TeamExclusive,Team,20260111-GrayMinorStadium-Private-1,c6c2ff40-ef22-11f0-80ef-771f2c576f6e,89.01096,NA,NA,8.23246,NA,NA,NA,NA,NA,NA,d7708c3e-de4b-435b-8c7e-ff80015f83d9,2026-01-11,19:21:48,2026-01-11T19:21:48Z,2026-01-11T19:21:48Z,NA,v3,471480,471480,NA,"Slater, Will",10088614,Right,VIR_KEY,41864d59-3364-4e48-9949-b315bdc42b48,54.76015,-132.0525,14.3885,5.53616,-3.28498,-7.03011,-2.51031,5.97682,-6.80808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-01-11,14:22:03,1,2,"Spiegel, Justin",1000193413,Right,VIR_KEY,"Albright, Ayden",10249608,Right,VIR_KEY,Undefined,1,Top,0,1,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Single,0,0,NA,90.45723,-1.490846,-3.160132,2493.673905,223.353477,01:30:00,5.54215,2.62286,5.83666,-16.82926,17.86379,15.68906,2.75163,0.99012,81.60465,-4.714711,-0.351953,0.423929,75.43644,14.472395,-31.121764,1339.363068,92.22833,11.44796,-59.94926,160.25101,160.25101,-34.28652,1.7094,-9.03252,9.96016,-2.37448,50,5.41077,6.55687,-131.04886,-3.90946,-15.50649,31.00661,-15.07502,VIR_KEY,VIR_KEY,GrayMinorStadium,TeamExclusive,Team,20260111-GrayMinorStadium-Private-1,cfe54100-ef22-11f0-80ef-771f2c576f6e,88.91225,13.12965,NA,8.85258,NA,NA,NA,2.31224,2.71698,-0.93814,d7708c3e-de4b-435b-8c7e-ff80015f83d9,2026-01-11,19:22:03,2026-01-11T19:22:03Z,2026-01-11T19:22:03Z,LineDrive,v3,471480,471480,NA,"Slater, Will",10088614,Right,VIR_KEY,bb9db74c-71f0-4323-ae45-5203d63acd77,54.66137,-132.14716,15.5033,5.5398,-3.37548,-7.53751,-2.61646,7.10613,-7.75324,82.472652,2.31229,91.7025,-9.46067,-0.38167,1.95298,-2.97657,2.27226,-0.84553,0.12359,2.71696,27.65236,-19.5672,1.83009,-0.58366,0.52685,-0.31799,0.09775,-0.01218,-0.93815,-55.36851,1.51288,0.38139,-0.55465,0.78249,-0.58396,0.21409,-0.03096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-01-11,14:22:49,2,1,"Spiegel, Justin",1000193413,Right,VIR_KEY,"Fitzwater, Grayson",1000230988,Left,VIR_KEY,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,90.99667,-2.424445,-4.437104,2451.968536,222.22028,01:30:00,5.57748,2.63997,5.68837,-19.44466,15.67241,12.92343,1.68928,-0.4269,81.02557,-6.126075,-2.135565,0.426511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.06768,9.19552,-2.27404,50,5.3611,9.58883,-131.27619,-6.18267,-13.70881,34.59227,-16.54876,VIR_KEY,VIR_KEY,GrayMinorStadium,TeamExclusive,Team,20260111-GrayMinorStadium-Private-1,eb42b770-ef22-11f0-80ef-771f2c576f6e,88.37384,NA,NA,9.9711,NA,NA,NA,NA,NA,NA,d7708c3e-de4b-435b-8c7e-ff80015f83d9,2026-01-11,19:22:49,2026-01-11T19:22:49Z,2026-01-11T19:22:49Z,NA,v3,471480,471480,NA,"Slater, Will",10088614,Right,VIR_KEY,37bf23d1-624d-4c0d-982a-d5ca25453d2f,54.8048,-132.53624,17.29614,5.57533,-5.57987,-8.27438,-2.63242,10.08819,-6.8544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-01-11,14:23:12,2,2,"Spiegel, Justin",1000193413,Right,VIR_KEY,"Fitzwater, Grayson",1000230988,Left,VIR_KEY,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.82126,-0.304662,-3.361599,2362.318936,213.448302,01:00:00,5.51219,2.76562,6.11924,-18.5754,16.62221,10.07591,3.68208,0.49386,80.11411,-3.888262,-1.550037,0.427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.27811,9.02563,-2.51258,50,5.47911,7.19104,-129.98042,-1.20266,-10.49062,33.15312,-17.09238,VIR_KEY,VIR_KEY,GrayMinorStadium,TeamExclusive,Team,20260111-GrayMinorStadium-Private-1,f91cb4e0-ef22-11f0-80ef-771f2c576f6e,88.27265,NA,NA,9.70715,NA,NA,NA,NA,NA,NA,d7708c3e-de4b-435b-8c7e-ff80015f83d9,2026-01-11,19:23:12,2026-01-11T19:23:12Z,2026-01-11T19:23:12Z,NA,v3,471480,471480,NA,"Slater, Will",10088614,Right,VIR_KEY,c3572f41-a9d9-442e-83a0-daa81ec5b988,54.37307,-131.09109,16.57656,5.50981,-0.63006,-8.54619,-2.75938,7.54249,-5.24531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-01-11,14:23:33,2,3,"Spiegel, Justin",1000193413,Right,VIR_KEY,"Fitzwater, Grayson",1000230988,Left,VIR_KEY,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,90.27515,-0.924612,-3.329435,2450.497324,222.428537,01:30:00,5.42812,2.83118,5.74842,-18.40123,17.05568,14.28603,3.03235,0.91853,80.27503,-4.459849,-0.777602,0.42857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.37245,9.37178,-2.56288,50,5.34031,6.9397,-130.51959,-2.65421,-14.05954,34.25817,-16.43633,VIR_KEY,VIR_KEY,GrayMinorStadium,TeamExclusive,Team,20260111-GrayMinorStadium-Private-1,05b16110-ef23-11f0-80ef-771f2c576f6e,87.94932,NA,NA,10.00013,NA,NA,NA,NA,NA,NA,d7708c3e-de4b-435b-8c7e-ff80015f83d9,2026-01-11,19:23:33,2026-01-11T19:23:33Z,2026-01-11T19:23:33Z,NA,v3,471480,471480,NA,"Slater, Will",10088614,Right,VIR_KEY,7e900235-ad79-41cc-8223-8fb4fda5b4e2,54.74476,-131.75909,17.12909,5.42558,-2.05953,-8.21817,-2.82317,7.44839,-7.02977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-01-11,14:49:50,1,1,"Dhein, Peyton",10002197,Left,VIR_KEY,"Conrad, Thomas",10122989,Right,VIR_KEY,Undefined,1,Bottom,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,NA,85.73537,-1.8414,-2.487064,2264.817441,200.778382,12:45:00,5.64469,1.37476,5.28646,-15.00977,25.52076,8.9956,2.66249,-0.21255,75.28773,-4.807828,-0.892981,0.458208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.37028,13.83422,-1.15449,50,5.46662,4.94502,-123.63238,-4.3206,-7.99365,33.42763,-11.58176,VIR_KEY,VIR_KEY,GrayMinorStadium,TeamExclusive,Team,20260111-GrayMinorStadium-Private-1,b95cae60-ef26-11f0-a6e6-1b92d4da2151,82.26055,NA,NA,10.44763,NA,NA,NA,NA,NA,NA,d7708c3e-de4b-435b-8c7e-ff80015f83d9,2026-01-11,19:49:50,2026-01-11T19:49:50Z,2026-01-11T19:49:50Z,NA,v3,471480,471480,NA,"Raile, Cole",1000433146,Right,VIR_KEY,4ebe17a4-14e5-4fe5-8f86-87b912d17ae5,55.20052,-125.03059,16.71382,5.63721,-3.83616,-5.79088,-1.36833,5.27938,-3.99683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-01-11,14:24:11,1,1,"Spiegel, Justin",1000193413,Right,VIR_KEY,"Fitzwater, Grayson",1000230988,Left,VIR_KEY,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,89.89242,0.374254,-2.250869,2409.547446,220.371256,01:15:00,5.52557,2.82967,5.71716,-19.8934,15.5556,12.10505,4.21669,1.74058,80.53304,-3.413963,-0.087509,0.428522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.82012,8.13189,-2.64867,50,5.54485,4.56489,-130.19307,0.23289,-11.49362,31.95868,-18.46977,VIR_KEY,VIR_KEY,GrayMinorStadium,TeamExclusive,Team,20260111-GrayMinorStadium-Private-1,1bb7f5a0-ef23-11f0-80ef-771f2c576f6e,87.9591,NA,NA,9.35938,NA,NA,NA,NA,NA,NA,d7708c3e-de4b-435b-8c7e-ff80015f83d9,2026-01-11,19:24:11,2026-01-11T19:24:11Z,2026-01-11T19:24:11Z,NA,v3,471480,471480,NA,"Slater, Will",10088614,Right,VIR_KEY,5f9e688c-0770-4f47-8fcb-68385711bd81,54.7766,-131.36035999999999,15.97934,5.52402,0.90749,-9.23488,-2.82307,4.98469,-5.74681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-01-11,14:50:03,1,1,"Dhein, Peyton",10002197,Left,VIR_KEY,"Conrad, Thomas",10122989,Right,VIR_KEY,Undefined,1,Bottom,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,NA,85.64767,-2.233604,-0.734328,2197.392186,209.120273,01:00:00,5.71706,1.23901,5.39496,-16.54032,23.95686,12.32371,2.24424,1.57777,75.16397,-5.474575,1.457145,0.45802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.33489,13.2945,-1.18187,50,5.50682,1.00708,-123.57856,-5.22305,-9.395,34.01046,-12.45756,VIR_KEY,VIR_KEY,GrayMinorStadium,TeamExclusive,Team,20260111-GrayMinorStadium-Private-1,b9607ef0-ef26-11f0-a6e6-1b92d4da2151,82.29439,NA,NA,10.48371,NA,NA,NA,NA,NA,NA,d7708c3e-de4b-435b-8c7e-ff80015f83d9,2026-01-11,19:50:03,2026-01-11T19:50:03Z,2026-01-11T19:50:03Z,NA,v3,471480,471480,NA,"Raile, Cole",1000433146,Right,VIR_KEY,ffe7f665-cf86-4cdf-9bae-9472f171672e,55.09173,-124.97202,17.00523,5.71036,-4.71264,-6.22878,-1.23102,1.392,-4.6975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2026-01-11,14:24:43,1,1,"Spiegel, Justin",1000193413,Right,VIR_KEY,"Fitzwater, Grayson",1000230988,Left,VIR_KEY,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,NA,89.84867,-3.082555,-3.490362,2408.093797,218.625446,01:15:00,5.50365,2.7767,5.78302,-17.46741,18.15595,13.39961,1.17197,0.64194,80.55572,-6.425559,-1.095316,0.429575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.97477,10.67142,-2.49663,50,5.23858,7.32522,-129.82749,-7.5114,-13.33323,32.35353,-14.3322,VIR_KEY,VIR_KEY,GrayMinorStadium,TeamExclusive,Team,20260111-GrayMinorStadium-Private-1,2f0117e0-ef23-11f0-80ef-771f2c576f6e,87.74358,NA,NA,9.29295,NA,NA,NA,NA,NA,NA,d7708c3e-de4b-435b-8c7e-ff80015f83d9,2026-01-11,19:24:43,2026-01-11T19:24:43Z,2026-01-11T19:24:43Z,NA,v3,471480,471480,NA,"Slater, Will",10088614,Right,VIR_KEY,bfcbfcf7-3cd4-4fe8-a248-44481b2208ad,54.7123,-130.99655,16.17677,5.50064,-6.99352,-7.1661,-2.77002,7.807,-6.66662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-01-11,14:53:37,1,1,"Dhein, Peyton",10002197,Left,VIR_KEY,"Conrad, Thomas",10122989,Right,VIR_KEY,Undefined,1,Bottom,0,0,0,Undefined,Four-Seam,Undefined,Undefined,Undefined,Undefined,0,0,NA,89.34838,-2.226538,-0.567494,2145.232735,211.255408,01:00:00,5.89852,0.8707,5.46471,-15.50343,21.41147,12.02091,2.52151,1.34128,78.79399,-5.250149,1.57304,0.437293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.15091,11.98654,-0.82875,50,5.69248,0.70224,-129.0417,-5.42311,-9.99553,35.90853,-12.69525,VIR_KEY,VIR_KEY,GrayMinorStadium,TeamExclusive,Team,20260111-GrayMinorStadium-Private-1,43f38080-ef27-11f0-a6e6-1b92d4da2151,86.19495,NA,NA,10.55439,NA,NA,NA,NA,NA,NA,d7708c3e-de4b-435b-8c7e-ff80015f83d9,2026-01-11,19:53:37,2026-01-11T19:53:37Z,2026-01-11T19:53:37Z,NA,v3,471480,471480,NA,"Raile, Cole",1000433146,Right,VIR_KEY,1422391c-2908-4763-b30a-076846f3f720,55.02417,-130.43228,17.95426,5.89298,-4.93148,-6.34762,-0.86344,1.08932,-4.99776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,2026-01-11,14:25:15,1,1,"Spiegel, Justin",1000193413,Right,VIR_KEY,"Kohlmeyer, JW",1000143449,Right,VIR_KEY,Undefined,1,Top,0,1,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,91.27449,-2.550147,-2.939991,2450.556258,225.728627,01:30:00,5.66048,2.58998,5.8491,-17.27017,17.24123,16.27178,1.84694,1.21163,81.46104,-5.868773,-0.025072,0.422817,27.81917,-34.50132,14.986847,NA,NA,NA,NA,4.52641,4.52641,-7.172263,0.074139,-9.40579,10.11264,-2.36064,50,5.44307,6.07013,-132.01660999999999,-6.39667,-16.16789,34.91255,-14.79113,VIR_KEY,VIR_KEY,GrayMinorStadium,TeamExclusive,Team,20260111-GrayMinorStadium-Private-1,41fcdd70-ef23-11f0-80ef-771f2c576f6e,89.14594,1.74131,NA,9.81344,NA,NA,NA,2.04366,1.74131,-1.22029,d7708c3e-de4b-435b-8c7e-ff80015f83d9,2026-01-11,19:25:15,2026-01-11T19:25:15Z,2026-01-11T19:25:15Z,GroundBall,v3,471480,471480,NA,"Slater, Will",10088614,Right,VIR_KEY,ad19ff94-164e-46ce-8aa6-d12a0239cdb5,54.64793,-133.24011,17.45627,5.65816,-5.87832,-7.39556,-2.58329,6.63673,-8.08394,180,2.03735,33.01019,NA,NA,NA,NA,NA,NA,NA,1.7458,-23.48731,NA,NA,NA,NA,NA,NA,NA,-1.22198,8.83693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
