PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-27,13:05:30,"Warrick, Isaac",824733,Left,UAB_BLA,Undefined,Fastball,NA,NA,86.26808,-3.144841,2.486083,2184.747181,151.198542,11:00:00,5.96408,-0.52053,6.02068,-17.44662,20.01796,-10.33686,1.59156,0.92228,78.98636,-6.462282,0.627978,0.440536,6.045,11.56768,0.33144,50,5.70782,-5.02467,-125.09178,-7.35748,9.57802,25.24262,-13.84561,b8ba71ee-4c60-4bf0-a7ce-675eb7cd3f82,NA,NA,NA,NA,NA,831155,"Robson, Colin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,RIC_OWL,1,Top,0,0,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UAB_BLA,RIC_OWL,YoungMemorialField,D1,AMER,20250427-YoungMemorialField-1,356defc0-2392-11f0-b8cb-fba7f1461737,85.56033,NA,NA,7.28172,NA,NA,NA,ed9c5bb5-34d0-4ca5-acf5-0c00efe700e5,2025-04-27,18:05:30,2025-04-27T18:05:30Z,2025-04-27T18:05:30Z,NA,v3,471227,2352,27 April 2025 14:00-rice@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,54.48045,-125.99265,12.62131,5.96158,-6.86335,-6.92281,0.51686,-5.36649,4.78901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-27,13:05:45,"Warrick, Isaac",824733,Left,UAB_BLA,Undefined,Slider,NA,NA,76.14389,-0.818388,2.381311,2409.83436,307.068268,04:15:00,5.69476,-0.56944,5.50021,-51.96452,-3.01118,5.97335,0.59819,2.15698,70.46199,-10.232504,3.4471,0.503573,-2.35512,-0.84673,0.35702,50,5.58796,-4.81872,-110.5159,-3.27739,-2.90955,19.89768,-33.22012,6cb36252-d2d6-4d3e-8455-5b9cc366c658,NA,NA,NA,NA,NA,831155,"Robson, Colin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,RIC_OWL,1,Top,0,0,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UAB_BLA,RIC_OWL,YoungMemorialField,D1,AMER,20250427-YoungMemorialField-1,3e320bf0-2392-11f0-b8cb-fba7f1461737,74.84997,NA,NA,5.6819,NA,NA,NA,ed9c5bb5-34d0-4ca5-acf5-0c00efe700e5,2025-04-27,18:05:45,2025-04-27T18:05:45Z,2025-04-27T18:05:45Z,NA,v3,471227,2352,27 April 2025 14:00-rice@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,55.00214,-111.41286,9.94884,5.70195,-1.77986,-16.61006,0.57129,-4.68756,-1.45477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-27,13:05:59,"Warrick, Isaac",824733,Left,UAB_BLA,Undefined,Fastball,NA,NA,86.98755,-4.215947,3.271027,2157.059275,157.38831,11:15:00,5.90263,-0.43956,5.98491,-16.748,20.50848,-8.0026,0.58579,1.92873,79.2316,-7.406638,1.835298,0.439311,5.06343,12.15422,0.18539,50,5.55937,-6.86109,-125.78814,-9.73471,8.06751,26.84077,-12.80878,85812f58-abe2-4091-b988-a55cba29bc50,NA,NA,NA,NA,NA,831155,"Robson, Colin",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,RIC_OWL,1,Top,0,1,1,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UAB_BLA,RIC_OWL,YoungMemorialField,D1,AMER,20250427-YoungMemorialField-1,465c5920-2392-11f0-b8cb-fba7f1461737,85.79894,NA,NA,7.75595,NA,NA,NA,ed9c5bb5-34d0-4ca5-acf5-0c00efe700e5,2025-04-27,18:05:59,2025-04-27T18:05:59Z,2025-04-27T18:05:59Z,NA,v3,471227,2352,27 April 2025 14:00-rice@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,54.51393,-126.74766,13.42039,5.89919,-9.27681,-6.40439,0.43582,-7.1495,4.03375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-27,13:06:14,"Warrick, Isaac",824733,Left,UAB_BLA,Undefined,Fastball,NA,NA,88.13148,-2.504636,1.72247,2225.120905,143.134936,10:45:00,6.01596,-0.4441,6.03644,-18.91922,17.25836,-11.98512,2.11756,0.15261,79.88296,-6.105994,-0.434533,0.432903,6.75937,10.05816,0.31629,50,5.81017,-3.36067,-127.80721,-6.13741,11.05186,29.16719,-15.7285,c96710ea-0d52-481c-8b5e-3fd7c6c3dd4c,NA,NA,NA,NA,34.113876,831155,"Robson, Colin",2748.585479,NA,94.6709,Left,22.895714,88.2844,41.74638,65.61895,329.52007,273.49545,4.134027,43.843155,3.06656,2.26654,-0.22536,NA,NA,NA,NA,NA,1,4,RIC_OWL,1,Top,0,2,1,Four-Seam,InPlay,Undefined,LineDrive,Double,0,0,NA,UAB_BLA,RIC_OWL,YoungMemorialField,D1,AMER,20250427-YoungMemorialField-1,4f2e30f0-2392-11f0-b8cb-fba7f1461737,87.06892,54.02807,NA,8.24852,NA,NA,NA,ed9c5bb5-34d0-4ca5-acf5-0c00efe700e5,2025-04-27,18:06:14,2025-04-27T18:06:14Z,2025-04-27T18:06:14Z,LineDrive,v3,471227,2352,27 April 2025 14:00-rice@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,54.46405,-128.82193,14.5836,6.01417,-5.59021,-7.86425,0.4399,-3.74516,5.52593,217.826569,3.06595,105.91746,-25.48215,6.76917,-1.72221,0.42525,-0.08964,0.01228,-7.3e-4,2.26778,53.98744,-14.09037,-0.68627,0.74014,-0.32517,0.08708,-0.01223,6.8e-4,-0.22576,71.749,-5.78871,0.37415,0.05185,9e-5,-0.00799,0.00209,-1.6e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
5,2025-04-27,13:07:14,"Warrick, Isaac",824733,Left,UAB_BLA,Undefined,Fastball,NA,NA,86.97463,-3.822811,2.965288,2155.012652,152.762214,11:00:00,6.05805,-0.45465,6.06047,-14.98544,22.14938,-10.73237,1.26097,1.39802,79.06451,-6.713217,1.036261,0.438593,6.43071,12.95076,0.23001,50,5.75247,-6.09116,-125.89161,-8.79549,10.24697,27.25291,-11.53775,5aa52db5-f709-42e4-858c-e34a64deb160,NA,NA,NA,NA,NA,825579,"Brown, Blaine",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,RIC_OWL,1,Top,0,0,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UAB_BLA,RIC_OWL,YoungMemorialField,D1,AMER,20250427-YoungMemorialField-1,73065e80-2392-11f0-b8cb-fba7f1461737,85.9394,NA,NA,7.91012,NA,NA,NA,ed9c5bb5-34d0-4ca5-acf5-0c00efe700e5,2025-04-27,18:07:14,2025-04-27T18:07:14Z,2025-04-27T18:07:14Z,NA,v3,471227,2352,27 April 2025 14:00-rice@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,54.43946,-126.84901,13.62646,6.05434,-8.39016,-5.76887,0.45032,-6.45114,5.12349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-27,13:07:32,"Warrick, Isaac",824733,Left,UAB_BLA,Undefined,Slider,NA,NA,77.9935,0.93533,1.559714,2302.206632,305.428247,04:15:00,5.68335,-0.90529,5.56844,-47.55062,-1.34465,3.77591,2.59495,0.86675,72.10525,-7.738945,2.233627,0.489238,-1.51429,-0.56323,0.76819,50,5.73237,-3.22773,-113.3325,0.2875,-1.98038,19.64351,-32.91061,a0fdea19-4f0f-401d-84b6-818a112d550d,NA,NA,NA,NA,6.187003,825579,"Brown, Blaine",NA,NA,93.24412,Left,-8.183035,NA,NA,NA,20.8452,18.81907,0.153593,3.435633,0.48957,2.81948,-0.88614,NA,NA,NA,NA,NA,2,2,RIC_OWL,1,Top,0,1,0,Curveball,InPlay,Undefined,GroundBall,Single,0,0,NA,UAB_BLA,RIC_OWL,YoungMemorialField,D1,AMER,20250427-YoungMemorialField-1,7e290420-2392-11f0-b8cb-fba7f1461737,77.04309,2.81948,NA,5.88825,NA,NA,NA,ed9c5bb5-34d0-4ca5-acf5-0c00efe700e5,2025-04-27,18:07:32,2025-04-27T18:07:32Z,2025-04-27T18:07:32Z,GroundBall,v3,471227,2352,27 April 2025 14:00-rice@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,54.93458,-114.18459,9.82176,5.68893,1.71509,-16.45531,0.90633,-3.14183,-0.99019,172.236652,0.48986,134.5528,-14.78489,NA,NA,NA,NA,NA,NA,2.81883,-19.40901,6.90559,NA,NA,NA,NA,NA,NA,-0.88599000000000006,14.57631,-4.39929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-04-27,13:08:13,"Warrick, Isaac",824733,Left,UAB_BLA,Undefined,ChangeUp,NA,NA,82.51907,-2.328961,2.733729,2056.847405,124.715104,10:15:00,5.78046,-0.88168,6.05203,-27.63608,13.58678,-17.533,1.31785,0.18982,75.06999,-7.508769,-0.422546,0.462105,9.93847,8.13481,0.67853,50,5.58423,-5.05209,-119.63413,-5.68038,14.25966,25.23218,-20.50227,c72a7960-7535-479c-b43c-de6f5c89b461,NA,NA,NA,NA,NA,831154,"Zito, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,RIC_OWL,1,Top,0,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UAB_BLA,RIC_OWL,YoungMemorialField,D1,AMER,20250427-YoungMemorialField-1,968177f0-2392-11f0-b8cb-fba7f1461737,81.56686,NA,NA,7.44908,NA,NA,NA,ed9c5bb5-34d0-4ca5-acf5-0c00efe700e5,2025-04-27,18:08:13,2025-04-27T18:08:13Z,2025-04-27T18:08:13Z,NA,v3,471227,2352,27 April 2025 14:00-rice@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,54.44899,-120.56882,12.61609,5.78058,-4.9209,-10.25114,0.87546,-5.58032,7.12983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-04-27,13:08:31,"Warrick, Isaac",824733,Left,UAB_BLA,Undefined,Fastball,NA,NA,86.4378,-3.235931,2.853093,2174.056865,142.679312,10:45:00,5.95253,-0.56901,5.99911,-20.44777,17.37749,-12.20461,1.24308,1.05993,78.28708,-7.112197,0.660213,0.442652,7.23705,10.37449,0.35123,50,5.68622,-5.7537,-125.14761,-7.67287,11.32767,28.33231,-15.93552,43cdb312-d8ec-4c28-95dc-7d2b28b17179,NA,NA,NA,NA,NA,831154,"Zito, Michael",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,RIC_OWL,1,Top,0,1,0,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UAB_BLA,RIC_OWL,YoungMemorialField,D1,AMER,20250427-YoungMemorialField-1,a1444a50-2392-11f0-b8cb-fba7f1461737,85.15143,NA,NA,8.15072,NA,NA,NA,ed9c5bb5-34d0-4ca5-acf5-0c00efe700e5,2025-04-27,18:08:31,2025-04-27T18:08:31Z,2025-04-27T18:08:31Z,NA,v3,471227,2352,27 April 2025 14:00-rice@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,54.50135,-126.16256,14.16616,5.95086,-7.10201,-7.96776,0.56461,-6.15949,5.66384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-27,13:08:48,"Warrick, Isaac",824733,Left,UAB_BLA,Undefined,Fastball,NA,NA,87.82226,-2.684308,1.307591,2262.283231,152.741868,11:00:00,6.10416,-0.32729,6.1408,-13.90513,22.90383,-11.04449,2.46219,-0.03902,78.41012,-5.430238,-0.683598,0.436665,6.18059,13.20528,0.23323,50,5.89232,-2.45187,-127.18318,-6.2706,9.85831,32.45013,-11.11102,e071cecb-4978-4bfa-9c4a-01ba845c3c5a,NA,NA,NA,NA,12.107705,831154,"Zito, Michael",NA,NA,79.7935,Right,82.685524,NA,NA,NA,NA,10.05497,NA,NA,2.33749,2.29326,-0.21173,NA,NA,NA,NA,NA,3,3,RIC_OWL,1,Top,0,2,0,Four-Seam,InPlay,Undefined,Popup,Out,1,0,NA,UAB_BLA,RIC_OWL,YoungMemorialField,D1,AMER,20250427-YoungMemorialField-1,ab714550-2392-11f0-b8cb-fba7f1461737,86.31893,96.44892,NA,9.41214,NA,NA,NA,ed9c5bb5-34d0-4ca5-acf5-0c00efe700e5,2025-04-27,18:08:48,2025-04-27T18:08:48Z,2025-04-27T18:08:48Z,NA,v3,471227,2352,27 April 2025 14:00-rice@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,54.35673,-128.28996,16.22507,6.09972,-5.89164,-5.55551,0.3226,-2.78811,4.92915,NA,2.33749,14.56833,-10.58409,3.54398,-0.96295,0.33926,-0.13735,0.01202,0.01408,2.29326,116.07792,-29.02313,3.73806,-0.72319,0.11498,-3e-5,-0.01279,0.00398,-0.21173,3.12521,1.28716,-0.52476,0.15782,-0.05991,0.02594,-0.00302,-0.00234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Undefined,NA,NA,NA
10,2025-04-27,13:09:30,"Warrick, Isaac",824733,Left,UAB_BLA,Undefined,ChangeUp,NA,NA,82.11098,-2.165742,3.228592,2062.085187,122.176797,10:00:00,5.78241,-0.73985,5.80748,-30.53565,12.69753,-17.19076,1.2195,0.83331,72.7289,-7.916831,0.149524,0.473238,10.06339,7.83182,0.48521,50,5.5867000000000004,-6.00182,-118.59319,-5.41533,13.78522,30.72791,-21.4457,29e3c93d-18cf-4a17-88bd-2a2cbfe77f53,NA,NA,NA,NA,NA,825305,"West, Landon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,RIC_OWL,1,Top,1,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UAB_BLA,RIC_OWL,YoungMemorialField,D1,AMER,20250427-YoungMemorialField-1,c41d5760-2392-11f0-b8cb-fba7f1461737,79.64789,NA,NA,9.38208,NA,NA,NA,ed9c5bb5-34d0-4ca5-acf5-0c00efe700e5,2025-04-27,18:09:30,2025-04-27T18:09:30Z,2025-04-27T18:09:30Z,NA,v3,471227,2352,27 April 2025 14:00-rice@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,54.68907,-119.80199,15.36396,5.78314,-4.57168,-10.72285,0.73198,-6.54411,6.89261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
11,2025-04-27,13:09:46,"Warrick, Isaac",824733,Left,UAB_BLA,Undefined,ChangeUp,NA,NA,83.28676,-0.90308600000000006,2.092094,2175.799852,123.79022,10:15:00,5.81044,-0.72842,5.94914,-27.4871,14.04115,-18.3804,2.6816,-0.31881,73.86292,-6.125525,-1.210569,0.463813,10.0902,8.01839,0.57158,50,5.72358,-3.63839,-120.50679,-2.70755,14.33937,30.73737,-20.779,01153cba-9ac6-498f-919c-2f52a4c761e9,NA,NA,NA,NA,NA,825305,"West, Landon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,RIC_OWL,1,Top,1,1,0,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,UAB_BLA,RIC_OWL,YoungMemorialField,D1,AMER,20250427-YoungMemorialField-1,cdd04060-2392-11f0-b8cb-fba7f1461737,81.2664,NA,NA,9.42384,NA,NA,NA,ed9c5bb5-34d0-4ca5-acf5-0c00efe700e5,2025-04-27,18:09:46,2025-04-27T18:09:46Z,2025-04-27T18:09:46Z,NA,v3,471227,2352,27 April 2025 14:00-rice@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,54.5449,-121.66052,15.36868,5.81057,-1.92761,-10.3895,0.71825,-4.17662,7.16968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
12,2025-04-27,13:10:22,"Warrick, Isaac",824733,Left,UAB_BLA,Undefined,ChangeUp,NA,NA,82.86622,-4.084098,3.586659,2035.30898,114.487748,09:45:00,5.68231,-0.86966,5.93567,-31.54821,10.3804,-19.0893,-0.74961,0.87144,74.49169,-9.950938,0.15665,0.466044,11.28741,7.22288,0.59458,50,5.33747,-6.78289,-119.65614,-9.52099,15.91119,29.0474,-21.9924,1783d9eb-329f-4e51-b310-16417d24d0d6,NA,NA,NA,NA,NA,825305,"West, Landon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,RIC_OWL,1,Top,1,1,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UAB_BLA,RIC_OWL,YoungMemorialField,D1,AMER,20250427-YoungMemorialField-1,e30f8d50-2392-11f0-b8cb-fba7f1461737,80.87747,NA,NA,8.37453,NA,NA,NA,ed9c5bb5-34d0-4ca5-acf5-0c00efe700e5,2025-04-27,18:10:22,2025-04-27T18:10:22Z,2025-04-27T18:10:22Z,NA,v3,471227,2352,27 April 2025 14:00-rice@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,54.56568,-120.75941,14.5237,5.68323,-8.68568,-10.9962,0.86368,-7.38722,7.95559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
13,2025-04-27,13:10:43,"Warrick, Isaac",824733,Left,UAB_BLA,Undefined,Fastball,NA,NA,87.21736,-0.688368,1.9714,2194.881899,148.577436,11:00:00,6.05088,-0.52979,5.98102,-17.66469,19.76911,-11.19178,3.94033,0.36568,77.89763,-4.112681,-0.039239,0.440356,6.36225,10.75272,0.37981,50,5.98675,-3.86896,-126.33568,-1.97684,10.04613,31.25489,-15.19524,64e53638-29cf-4b0b-a3ea-70dbcac1b075,NA,NA,NA,NA,NA,825305,"West, Landon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,RIC_OWL,1,Top,1,2,1,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,UAB_BLA,RIC_OWL,YoungMemorialField,D1,AMER,20250427-YoungMemorialField-1,ef55a450-2392-11f0-b8cb-fba7f1461737,85.59547,NA,NA,9.31973,NA,NA,NA,ed9c5bb5-34d0-4ca5-acf5-0c00efe700e5,2025-04-27,18:10:43,2025-04-27T18:10:43Z,2025-04-27T18:10:43Z,NA,v3,471227,2352,27 April 2025 14:00-rice@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,54.514,-127.44753,15.62744,6.04745,-1.43629,-7.59762,0.5238,-4.22634,5.02307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
14,2025-04-27,13:11:00,"Warrick, Isaac",824733,Left,UAB_BLA,Undefined,ChangeUp,NA,NA,83.17342,-2.381185,3.759447,2021.792141,116.11613,09:45:00,5.61562,-0.83623,5.91342,-30.02049,11.85012,-20.53336,0.89781,0.94696,73.89219,-8.032868,0.076256,0.465721,12.02674,7.45685,0.54639,50,5.40742,-7.08184,-120.13876,-5.91469,16.96113,30.86907,-21.65771,724acd32-6569-4bc8-8f08-006f15dc87c1,NA,NA,NA,NA,NA,825305,"West, Landon",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,RIC_OWL,1,Top,1,2,2,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UAB_BLA,RIC_OWL,YoungMemorialField,D1,AMER,20250427-YoungMemorialField-1,f9b03f00-2392-11f0-b8cb-fba7f1461737,80.93346,NA,NA,9.28123,NA,NA,NA,ed9c5bb5-34d0-4ca5-acf5-0c00efe700e5,2025-04-27,18:11:00,2025-04-27T18:11:00Z,2025-04-27T18:11:00Z,NA,v3,471227,2352,27 April 2025 14:00-rice@uab,"Hollifield, Nick",1000197973,Right,UAB_BLA,54.58487,-121.3111,15.43453,5.61643,-5.09218,-10.82886,0.82757,-7.72599,8.48057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
