PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-05-17,12:04:54,"Simon, Samuel",1000235827,Right,UNL_REB,Undefined,Cutter,NA,NA,85.00396,-0.758924,-2.389981,2164.528412,182.149586,12:00:00,6.28423,1.23557,6.01972,-26.66553,11.68863,0.39516,3.3585,-0.94652,78.13871,-5.734088,-2.318967,0.445736,-0.84134,6.57929,-1.0485,50,6.21017,5.13719,-123.45672,-2.46179,-1.30355,23.68575,-21.98039,4f43ce01-bf72-4df8-bd80-0bd6dac8b4ca,NA,NA,NA,NA,NA,823297,"Spencer, Chase",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,AIR_FOR,1,Top,0,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250517-EarlEWilsonStadium-1,d15a02b0-3351-11f0-9f85-e7eb1113a312,84.56226,NA,NA,6.86526,NA,NA,NA,f94448fd-5381-4938-8829-196f4e35b07c,2025-05-17,19:04:54,2025-05-17T19:04:54Z,2025-05-17T19:04:54Z,NA,v3,471376,471472,17 May 2025 15:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,54.47884,-124.31303,11.84287,6.28481,-1.66713,-10.9902,-1.23508,5.18431,-0.65177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-05-17,12:05:07,"Simon, Samuel",1000235827,Right,UNL_REB,Undefined,Cutter,NA,NA,84.50583,0.172981,-1.42318,2256.352786,173.655306,11:45:00,6.2248,1.31896,5.86958,-29.38072,9.67571,-0.94264,3.93713,-0.08182,77.48031,-5.291286,-1.592246,0.449798,0.09327,5.28201,-1.20322,50,6.22182,3.08795,-122.74985,-0.57645,0.1426,23.77835,-24.0967,5184f473-67d6-4695-922d-775a2d9f2748,NA,NA,NA,NA,NA,823297,"Spencer, Chase",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,AIR_FOR,1,Top,0,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250517-EarlEWilsonStadium-1,d94dd690-3351-11f0-9f85-e7eb1113a312,83.79855,NA,NA,7.02552,NA,NA,NA,f94448fd-5381-4938-8829-196f4e35b07c,2025-05-17,19:05:07,2025-05-17T19:05:07Z,2025-05-17T19:05:07Z,NA,v3,471376,471472,17 May 2025 15:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,54.62791,-123.64309,11.88917,6.22647,0.32875,-12.04835,-1.31912,3.0826,0.0713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-05-17,12:05:21,"Simon, Samuel",1000235827,Right,UNL_REB,Undefined,Fastball,NA,NA,87.27435,-1.61836,-2.188406,2330.554171,210.489923,01:00:00,6.37825,0.92221,6.42572,-19.38292,16.52257,9.06524,3.27398,-0.33485,79.94842,-5.311552,-0.5459,0.431273,-5.31988,9.41583,-0.77,50,6.25381,4.49422,-126.78469,-4.10261,-8.67094,25.59051,-16.82707,451701ce-30c1-4b7d-8854-7289c510aaa8,NA,NA,NA,NA,NA,823297,"Spencer, Chase",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,AIR_FOR,1,Top,0,2,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250517-EarlEWilsonStadium-1,e17f4fb0-3351-11f0-9f85-e7eb1113a312,87.39817,NA,NA,7.32593,NA,NA,NA,f94448fd-5381-4938-8829-196f4e35b07c,2025-05-17,19:05:21,2025-05-17T19:05:21Z,2025-05-17T19:05:21Z,NA,v3,471376,471472,17 May 2025 15:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,54.07254,-127.60405,12.79525,6.37655,-3.56384,-8.41353,-0.91834,4.77185,-4.33547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-05-17,12:05:34,"Simon, Samuel",1000235827,Right,UNL_REB,Undefined,Fastball,NA,NA,88.36624,-2.972163,-3.042822,2313.002898,215.651163,01:15:00,6.26424,1.19775,6.54028,-16.93627,18.16847,12.198,2.1206,-0.57916,80.67065,-6.226458,-0.829792,0.426436,-7.30689,10.75508,-0.99188,50,6.05051,6.35429,-128.17459,-7.08939,-12.11562,27.30661,-14.34096,64f97e84-1b69-417e-9c95-24a4162de587,NA,NA,NA,NA,NA,823297,"Spencer, Chase",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,AIR_FOR,1,Top,0,2,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250517-EarlEWilsonStadium-1,e9b583c0-3351-11f0-9f85-e7eb1113a312,88.38935,NA,NA,7.69559,NA,NA,NA,f94448fd-5381-4938-8829-196f4e35b07c,2025-05-17,19:05:34,2025-05-17T19:05:34Z,2025-05-17T19:05:34Z,NA,v3,471376,471472,17 May 2025 15:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,53.95932,-129.01534,13.65331,6.26199,-6.64784,-7.17048,-1.19327,6.72732,-6.05781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-05-17,12:05:50,"Simon, Samuel",1000235827,Right,UNL_REB,Undefined,Fastball,NA,NA,86.77655,-1.613465,-1.425323,2245.239176,188.700511,12:15:00,6.25312,1.20249,6.13075,-22.89383,13.67642,1.92504,2.8531,0.04518,79.89305,-5.907059,-1.078222,0.435246,-1.37835,7.84197,-1.09461,50,6.11783,3.0637,-126.12274,-4.24314,-2.23109,24.46775,-19.48037,a42d4f6f-393d-45d0-9532-166f64e1a723,NA,NA,NA,NA,-5.969616,823297,"Spencer, Chase",3884.393621,NA,93.30621,Right,46.777563,109.20366,103.09944,-13.21212,345.85921,345.85921,5.723483,-8.30602,1.90024,2.94556,-0.06061,NA,NA,NA,NA,NA,1,5,AIR_FOR,1,Top,0,2,2,Cutter,InPlay,Undefined,FlyBall,Out,1,0,NA,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250517-EarlEWilsonStadium-1,f30209d0-3351-11f0-9f85-e7eb1113a312,86.60022,130.03261,NA,6.8835,NA,NA,NA,f94448fd-5381-4938-8829-196f4e35b07c,2025-05-17,19:05:50,2025-05-17T19:05:50Z,2025-05-17T19:05:50Z,FlyBall,v3,471376,471472,17 May 2025 15:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,54.36923,-126.96754,12.23387,6.25273,-3.57053,-9.74018,-1.20173,3.14073,-1.11554,174.115172,1.91083,93.01637,-18.16264,4.28595,-0.28296,-0.1455,0.04617,-0.00547,2.4e-4,2.94332,99.73913,-23.3314,1.8876,-0.08677,-0.0949,0.03495,-0.00518,2.9e-4,-0.06082,-9.74268,0.62306,-0.17109,0.0209,0.00213,-0.00119,1.6e-4,-1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
6,2025-05-17,12:06:34,"Simon, Samuel",1000235827,Right,UNL_REB,Undefined,ChangeUp,NA,NA,80.83057,-2.361288,-3.717936,1931.712977,241.544158,02:00:00,6.09921,1.3156,6.61524,-29.87817,12.46827,20.13096,1.44096,-0.41673,73.17626,-8.018168,-0.058406,0.46836,-11.84359,7.77772,-1.07044,50,5.92612,6.9155,-117.12784,-5.61581,-16.18447,25.49055,-21.54565,3c03de5b-f4d5-480b-a6d7-c3e57dca4638,NA,NA,NA,NA,NA,823311,"Zapp, Walker",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,AIR_FOR,1,Top,1,0,0,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250517-EarlEWilsonStadium-1,0d87bde0-3352-11f0-9f85-e7eb1113a312,80.47746,NA,NA,7.65431,NA,NA,NA,f94448fd-5381-4938-8829-196f4e35b07c,2025-05-17,19:06:34,2025-05-17T19:06:34Z,2025-05-17T19:06:34Z,NA,v3,471376,471472,17 May 2025 15:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,53.88375,-117.97003,12.74527,6.0999,-4.90396,-10.77283,-1.30776,7.45022,-8.09223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-05-17,12:06:51,"Simon, Samuel",1000235827,Right,UNL_REB,Undefined,Cutter,NA,NA,85.54888,-0.212729,-2.5813,2280.176831,187.953774,12:15:00,6.19969,1.13901,5.96636,-24.99308,13.72032,1.7198,3.91949,-1.11264,77.007,-4.937514,-2.272706,0.447818,-1.71721,7.51433,-0.93523,50,6.1691,5.51651,-123.94945,-1.21403,-2.62746,28.58427,-20.67658,27ae34d8-feb5-4fc0-ae6a-85e169981ab2,NA,NA,NA,NA,NA,823311,"Zapp, Walker",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,AIR_FOR,1,Top,1,1,0,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250517-EarlEWilsonStadium-1,1760f390-3352-11f0-9f85-e7eb1113a312,84.16902,NA,NA,8.54188,NA,NA,NA,f94448fd-5381-4938-8829-196f4e35b07c,2025-05-17,19:06:51,2025-05-17T19:06:51Z,2025-05-17T19:06:51Z,NA,v3,471376,471472,17 May 2025 15:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,54.52807,-124.98931,14.29213,6.19959,-0.46184,-10.33829,-1.13765,5.61209,-1.31373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-05-17,12:07:07,"Simon, Samuel",1000235827,Right,UNL_REB,Undefined,Fastball,NA,NA,88.13791,-2.488853,-1.634046,2327.400564,216.1694,01:15:00,6.39792,1.05894,6.69178,-16.16139,18.7545,12.8917,2.77266,0.63847,80.63774,-5.609337,0.714867,0.425288,-7.30985,10.96792,-0.95491,50,6.2253,3.18427,-128.08211,-5.95316,-12.12403,26.83907,-13.98277,752c4f20-d8bb-4d10-b68b-f6d3148d1607,NA,NA,NA,NA,175.363326,823311,"Zapp, Walker",1811.842325,NA,72.86843,Right,12.480763,NA,NA,NA,132.49724,58.74721,1.445498,178.730534,1.60666,2.7055,-0.65357,NA,NA,NA,NA,NA,2,3,AIR_FOR,1,Top,1,2,0,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250517-EarlEWilsonStadium-1,210c8990-3352-11f0-9f85-e7eb1113a312,88.62806,10.06192,NA,7.50017,NA,NA,NA,f94448fd-5381-4938-8829-196f4e35b07c,2025-05-17,19:07:07,2025-05-17T19:07:07Z,2025-05-17T19:07:07Z,GroundBall,v3,471376,471472,17 May 2025 15:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,53.80835,-128.87767,13.41954,6.39561,-5.53869,-6.99138,-1.05463,3.54365,-6.06201,281.226333,1.60666,-104.00618,8.70879,-0.83094,0.07074,0.13317,-0.12007,0.05485,-0.01023,2.7055,23.09669,-18.9746,1.46637,-0.27882,0.08084,-0.03128,0.01224,-0.00225,-0.65357,8.43508,-5.4902,1.32646,-0.31694,0.02228,0.02782,-0.01585,0.00313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
9,2025-05-17,12:07:28,"Simon, Samuel",1000235827,Right,UNL_REB,Undefined,ChangeUp,NA,NA,80.71379,-1.91394,-1.932033,1785.355222,222.976344,01:30:00,6.20925,1.13779,6.44283,-27.2747,15.07615,12.68776,2.17604,0.41914,73.49228,-7.075586,0.369764,0.468385,-7.26056,8.90245,-1.00621,50,6.06107,3.50852,-117.17697,-4.63309,-9.99858,24.11041,-19.91443,9eed29b2-95bf-4569-80db-a77b70898ab3,NA,NA,NA,NA,-36.288976,823311,"Zapp, Walker",4035.649892,NA,93.79751,Right,56.337479,85.02653,136.32701,-69.78867,287.71393,127.65252,6.326563,-42.579468,2.22784,1.65126,-0.87031,NA,NA,NA,NA,NA,2,4,AIR_FOR,1,Top,1,2,1,Changeup,InPlay,Undefined,FlyBall,Error,0,0,NA,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250517-EarlEWilsonStadium-1,2d6b31a0-3352-11f0-9f85-e7eb1113a312,80.47328,158.03117,NA,7.2215,NA,NA,NA,f94448fd-5381-4938-8829-196f4e35b07c,2025-05-17,19:07:28,2025-05-17T19:07:28Z,2025-05-17T19:07:28Z,FlyBall,v3,471376,471472,17 May 2025 15:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,54.05592,-118.00856,12.05521,6.20902,-3.94621,-9.95721,-1.13317,3.85339,-4.99929,164.74118000000001,2.2318,61.40959,-13.21837,2.8817,-0.28772,-0.03293,0.01422,-0.00163,7e-5,1.64892,114.50623,-27.2189,3.59231,-0.69722,0.07959,-7.6e-4,-8.7e-4,7e-5,-0.87655,-45.03597,5.77606,-0.98768,0.01751,0.03527,-0.00761,6.4e-4,-2e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Medium,Low,NA,NA,NA
10,2025-05-17,12:08:13,"Simon, Samuel",1000235827,Right,UNL_REB,Undefined,Cutter,NA,NA,85.02649,-0.743967,-2.508639,2228.142472,189.428235,12:15:00,6.09775,1.45307,6.0149,-30.13549,8.58315,1.21169,2.8966,-0.77129,77.49293,-6.360485,-2.290856,0.447849,-1.36799,5.02303,-1.25692,50,6.02302,5.35668,-123.36467,-2.55868,-2.09444,26.0359,-24.48372,f8bfde66-4ffd-452d-9bef-46ae4904f188,NA,NA,NA,NA,NA,1000192772,"Peters, Zachary",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,AIR_FOR,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250517-EarlEWilsonStadium-1,4835b6e0-3352-11f0-9f85-e7eb1113a312,84.16328,NA,NA,7.53357,NA,NA,NA,f94448fd-5381-4938-8829-196f4e35b07c,2025-05-17,19:08:13,2025-05-17T19:08:13Z,2025-05-17T19:08:13Z,NA,v3,471376,471472,17 May 2025 15:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,54.4828,-124.30715,13.01795,6.0996,-1.67239,-12.24186,-1.4522,5.4325,-1.04722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
11,2025-05-17,12:08:27,"Simon, Samuel",1000235827,Right,UNL_REB,Undefined,Curveball,NA,NA,76.87849,-0.158845,-1.753033,2179.962412,28.786447,07:00:00,6.32738,1.36911,5.70368,-55.11424,-6.85949,-4.6911,1.58645,-0.65575,70.15359,-10.221324,-2.594106,0.499967,1.84095,-3.07579,-1.21904,50,6.2794,3.58476,-111.54477,-2.07043,2.28112,23.15467,-35.98527,99f98105-c23e-49da-bf94-e99d928d86c0,NA,NA,NA,NA,149.376034,1000192772,"Peters, Zachary",4167.150647,NA,62.62386,Right,25.147299,NA,NA,NA,131.76679,60.9457,1.852713,152.191394,1.17904,1.40331,0.58939,NA,NA,NA,NA,NA,3,2,AIR_FOR,1,Top,1,0,1,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250517-EarlEWilsonStadium-1,50a12bc0-3352-11f0-9f85-e7eb1113a312,75.38986,17.85707,NA,6.72489,NA,NA,NA,f94448fd-5381-4938-8829-196f4e35b07c,2025-05-17,19:08:27,2025-05-17T19:08:27Z,2025-05-17T19:08:27Z,LineDrive,v3,471376,471472,17 May 2025 15:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,54.79738,-112.53621,11.57734,6.33506,-0.5296,-17.99264,-1.37044,3.48709,1.14056,329.81189,1.17904,-71.54636,3.67193,0.4649,-0.19382,0.20691,-0.16454,0.0727,-0.01267,1.40332,39.02917,-25.06904,2.54397,-0.33321,-0.06903,0.06585,-0.01795,0.00197,0.58941,42.35149,-6.22434,0.7488,0.06972,-0.25654,0.18443,-0.06855,0.01063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
12,2025-05-17,12:08:45,"Simon, Samuel",1000235827,Right,UNL_REB,Undefined,Fastball,NA,NA,88.44071,0.421779,-1.185698,2303.046362,209.51037,01:00:00,6.24981,1.42256,6.23682,-18.25824,16.87706,8.94638,5.11746,1.07416,80.89738,-3.063705,0.429925,0.426622,-4.92268,8.94713,-1.33821,50,6.27192,2.2947,-128.54955,0.44523,-8.25873,25.99763,-17.16355,c6e33db4-bda9-45d9-a6ae-c6853603df40,NA,NA,NA,NA,NA,1000192772,"Peters, Zachary",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,AIR_FOR,1,Top,1,0,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250517-EarlEWilsonStadium-1,5b120d90-3352-11f0-9f85-e7eb1113a312,88.3509,NA,NA,7.54333,NA,NA,NA,f94448fd-5381-4938-8829-196f4e35b07c,2025-05-17,19:08:45,2025-05-17T19:08:45Z,2025-05-17T19:08:45Z,NA,v3,471376,471472,17 May 2025 15:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,54.26056,-129.40833,12.99882,6.24784,1.01219,-8.58177,-1.41851,2.56752,-4.12937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
13,2025-05-17,12:09:00,"Simon, Samuel",1000235827,Right,UNL_REB,Undefined,Cutter,NA,NA,85.17371,-1.441,-4.330784,2313.958475,190.17979,12:15:00,6.1469,1.50895,5.86229,-32.84955,5.58949,0.80445,2.06663,-2.45501,78.84213,-7.468612,-4.187055,0.446229,-1.51492,3.58229,-1.15768,50,6.01053,9.31845,-123.47107,-4.21371,-2.35806,22.67333,-26.5981,25f1a525-69fe-4f1b-b1cd-8bfd5d22bf84,NA,NA,NA,NA,NA,1000192772,"Peters, Zachary",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,AIR_FOR,1,Top,1,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,NA,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250517-EarlEWilsonStadium-1,6468a5c0-3352-11f0-9f85-e7eb1113a312,84.46884,NA,NA,6.33158,NA,NA,NA,f94448fd-5381-4938-8829-196f4e35b07c,2025-05-17,19:09:00,2025-05-17T19:09:00Z,2025-05-17T19:09:00Z,NA,v3,471376,471472,17 May 2025 15:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,54.63738,-124.31973,11.33666,6.14962,-3.21815,-13.29905,-1.50812,9.40671,-1.17903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
14,2025-05-17,12:09:15,"Simon, Samuel",1000235827,Right,UNL_REB,Undefined,ChangeUp,NA,NA,81.38009,-0.658026,-3.337038,1994.650327,240.910059,02:00:00,6.02863,1.52651,6.52506,-31.69773,9.2639,14.46977,2.7824,-0.33266,75.06817,-6.595957,-0.712082,0.460638,-8.538,5.38611,-1.30053,50,5.96892,6.40621,-118.27422,-2.23389,-12.16682,21.28949,-24.49878,dcfb7482-a4cf-47d4-ad39-a9f6c3428e7f,NA,NA,NA,NA,-13.645219,1000192772,"Peters, Zachary",1154.551871,NA,106.1637,Right,6.911119,106.06746,4.99164,-29.14916,147.43369,147.43369,1.047705,-16.192366,2.0127,2.86344,0.31423,NA,NA,NA,NA,NA,3,5,AIR_FOR,1,Top,1,2,2,Changeup,InPlay,Undefined,GroundBall,Double,0,1,NA,UNL_REB,AIR_FOR,EarlEWilsonStadium,D1,MW,20250517-EarlEWilsonStadium-1,6d80d560-3352-11f0-9f85-e7eb1113a312,81.82652,6.90715,NA,6.31193,NA,NA,NA,f94448fd-5381-4938-8829-196f4e35b07c,2025-05-17,19:09:15,2025-05-17T19:09:15Z,2025-05-17T19:09:15Z,GroundBall,v3,471376,471472,17 May 2025 15:05-airforce@unlv,"Gallegos, Chase",831021,Right,UNL_REB,53.97656,-118.98785,10.64475,6.03003,-1.41268,-12.24939,-1.5221,6.81405,-6.08341,64.208983,2.0127,150.21228,-19.1461,3.43602,-0.74346,0.15118,-0.03312,0.00637,-7.2e-4,2.86344,18.73609,-22.75294,2.65552,-0.5896,0.13428,-0.02862,0.0056,-6.5e-4,0.31423,-36.46569,-4.20078,1.57341,-0.44549,0.115,-0.0274,0.00552,-6.4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
