PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-03-07,17:05:15,"Hart, Zach",1000296564,Right,YOU_HAR,Undefined,Fastball,NA,NA,88.4541,-2.516398,-3.238336,1797.400459,222.100945,01:30:00,5.69404,2.19469,6.415,-21.38966,13.35997,11.16678,1.59287,0.14484,81.83269,-6.536346,-1.217195,0.424274,-6.65445,7.9267,-1.96801,50,5.50391,6.84277,-128.44936,-6.27435,-11.23678,23.93708,-18.78891,8b5d3712-10c6-487c-99bb-a92a58f1a43a,NA,NA,NA,NA,NA,1000392578,"Ramirez, Luis",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,UNC_PEM,1,Top,0,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,YOU_HAR,UNC_PEM,TheZellB.MillerField,D2,CC,20250307-TheZellB.MillerField-1,403096c0-fba0-11ef-ac27-c3c428ee1bc4,88.83984,NA,NA,6.62141,NA,NA,NA,68dac819-d1d2-4ecb-8619-3bd97aa2a897,2025-03-07,22:05:15,2025-03-07T22:05:15Z,2025-03-07T22:05:15Z,NA,v3,NA,NA,NA,"Enrico, Jack",10011485,Right,YOU_HAR,54.08655,-129.20867,11.96854,5.69348,-5.67835,-9.39445,-2.19072,7.19921,-5.61839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-03-07,17:05:27,"Hart, Zach",1000296564,Right,YOU_HAR,Undefined,Slider,NA,NA,82.42423,-0.408288,-3.156248,1488.208284,267.832056,03:00:00,5.39199,2.12186,6.70005,-37.98856,1.77461,15.16355,1.85237,0.4965,75.9418,-7.503792,-0.393266,0.453849,-8.87745,1.41122,-1.91731,50,5.35004,6.08718,-119.82803,-1.93385,-12.94094,22.59398,-30.11687,7e6791a5-99b8-4cdb-b9e6-959c2c98706f,NA,NA,NA,NA,NA,1000392578,"Ramirez, Luis",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,UNC_PEM,1,Top,0,0,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,YOU_HAR,UNC_PEM,TheZellB.MillerField,D2,CC,20250307-TheZellB.MillerField-1,47876750-fba0-11ef-ac27-c3c428ee1bc4,83.05053,NA,NA,6.48243,NA,NA,NA,68dac819-d1d2-4ecb-8619-3bd97aa2a897,2025-03-07,22:05:27,2025-03-07T22:05:27Z,2025-03-07T22:05:27Z,NA,v3,NA,NA,NA,"Enrico, Jack",10011485,Right,YOU_HAR,53.80223,-120.54282,11.29699,5.39615,-0.98106,-15.05843,-2.11637,6.49658,-6.47047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-03-07,17:05:41,"Hart, Zach",1000296564,Right,YOU_HAR,Undefined,Slider,NA,NA,80.45873,0.015758,-1.503478,1365.617171,273.484896,03:00:00,5.46695,2.1432,6.17266,-42.03152,0.70386,10.64237,1.97888,1.64113,73.82063,-7.765779,0.419435,0.470506,-6.00863,0.68449,-2.03501,50,5.44646,2.69282,-116.96134,-1.24384,-8.29351,22.79906,-31.2293,64e70651-e17f-41cb-8c56-77f4ed7e8f65,NA,NA,NA,NA,NA,1000392578,"Ramirez, Luis",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,UNC_PEM,1,Top,0,0,2,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,NA,YOU_HAR,UNC_PEM,TheZellB.MillerField,D2,CC,20250307-TheZellB.MillerField-1,4f6c9530-fba0-11ef-ac27-c3c428ee1bc4,80.11045,NA,NA,6.6381,NA,NA,NA,68dac819-d1d2-4ecb-8619-3bd97aa2a897,2025-03-07,22:05:41,2025-03-07T22:05:41Z,2025-03-07T22:05:41Z,NA,v3,NA,NA,NA,"Enrico, Jack",10011485,Right,YOU_HAR,54.32973,-117.80231,11.39953,5.47109,-0.09192,-15.61465,-2.13997,2.99873,-4.14675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-03-07,17:06:16,"Hart, Zach",1000296564,Right,YOU_HAR,Undefined,ChangeUp,NA,NA,77.40078,0.332311,-2.954977,2114.985245,84.001971,08:45:00,5.4974,2.99177,5.97537,-45.12227,0.52945,-5.63335,2.04569,-0.2195,72.63153,-7.914816,-3.96607,0.486295,2.27721,0.47571,-2.75452,50,5.49793,6.00423,-112.59795,-0.7107,2.98064,16.69915,-31.5514,54c68883-099d-4915-b2eb-0171f5ab3f01,NA,NA,NA,NA,27.801998,1000230275,"Hinson, Blake",2317.428943,NA,97.57063,Left,18.24273,94.37104,29.25148,56.51527,312.23925,284.87608,3.127327,37.648668,2.82571,2.20244,0.18418,NA,NA,NA,NA,NA,2,1,UNC_PEM,1,Top,0,0,0,Curveball,InPlay,Undefined,LineDrive,Out,1,0,NA,YOU_HAR,UNC_PEM,TheZellB.MillerField,D2,CC,20250307-TheZellB.MillerField-1,648f5970-fba0-11ef-ac27-c3c428ee1bc4,77.50938,34.1573,NA,4.76926,NA,NA,NA,68dac819-d1d2-4ecb-8619-3bd97aa2a897,2025-03-07,22:06:16,2025-03-07T22:06:16Z,2025-03-07T22:06:16Z,LineDrive,v3,NA,NA,NA,"Enrico, Jack",10011485,Right,YOU_HAR,54.52891,-113.26763,8.34958,5.50106,0.55459,-15.7757,-2.99291,5.8847,1.49032,NA,2.82579,120.21815,-22.96992,5.22111,-1.03069,0.11448,0.00978,-0.00626,7.5e-4,2.20234,44.80164,-16.78649,0.81646,-0.09818,0.0697,-0.03554,0.00931,-9.4e-4,0.18418,63.39123,1.34202,-1.75005,0.67157,-0.18771,0.04045,-0.00577,4e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
5,2025-03-07,17:06:55,"Hart, Zach",1000296564,Right,YOU_HAR,Undefined,Fastball,NA,NA,85.93112,-1.592135,-3.414368,1804.281678,220.72307,01:15:00,5.88383,2.30988,6.44911,-23.79777,13.31863,10.44823,2.43489,0.0398,78.689,-6.088191,-1.523026,0.438485,-6.40622,7.76851,-2.07206,50,5.76003,7.04647,-124.70837,-4.1387,-10.08924,25.06398,-19.9393,ae6871e1-9db8-4fdd-8047-0ad58106f6bd,NA,NA,NA,NA,NA,1000118934,"Villarreal, Isaias",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,UNC_PEM,1,Top,1,0,0,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,YOU_HAR,UNC_PEM,TheZellB.MillerField,D2,CC,20250307-TheZellB.MillerField-1,7b79be50-fba0-11ef-ac27-c3c428ee1bc4,85.96067,NA,NA,7.24212,NA,NA,NA,68dac819-d1d2-4ecb-8619-3bd97aa2a897,2025-03-07,22:06:55,2025-03-07T22:06:55Z,2025-03-07T22:06:55Z,NA,v3,NA,NA,NA,"Enrico, Jack",10011485,Right,YOU_HAR,54.05054,-125.51981,12.53199,5.88357,-3.49317,-9.96965,-2.30548,7.3731,-5.04462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.53932,1.902191,1.067059,0.835132,-0.15441,2.26515,0.00119,-1.52874,5.98223,1.83622,63.08061,3.02737,61.69909,-1.49135,86.33978,-10.86999,5.9904,6.98716,-12.63123,1.83323,72.99107,-1.55976,High,High,High,NA,NA,High,Medium,Medium
6,2025-03-07,17:07:22,"Hart, Zach",1000296564,Right,YOU_HAR,Undefined,Slider,NA,NA,79.00374,-0.204082,-2.427516,1537.732745,249.739014,02:15:00,5.66818,2.34862,6.35599,-37.52191,6.3654,13.5815,2.35334,1.24478,72.66054,-7.197727,0.031888,0.476805,-7.79004,3.76221,-2.17889,50,5.63571,4.40218,-114.83477,-1.4707,-10.41326,21.05331,-27.14497,bcb4d8b0-df09-4765-9cd9-fdc8a2d231a9,NA,NA,NA,NA,NA,1000118934,"Villarreal, Isaias",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,UNC_PEM,1,Top,1,0,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,YOU_HAR,UNC_PEM,TheZellB.MillerField,D2,CC,20250307-TheZellB.MillerField-1,8bb5a090-fba0-11ef-ac27-c3c428ee1bc4,79.0521,NA,NA,6.3432,NA,NA,NA,68dac819-d1d2-4ecb-8619-3bd97aa2a897,2025-03-07,22:07:22,2025-03-07T22:07:22Z,2025-03-07T22:07:22Z,NA,v3,NA,NA,NA,"Enrico, Jack",10011485,Right,YOU_HAR,54.14565,-115.59232,10.52665,5.67105,-0.49396,-13.57249,-2.34403,4.77687,-5.20663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-03-07,17:08:22,"Hart, Zach",1000296564,Right,YOU_HAR,Undefined,Slider,NA,NA,76.6927,1.618997,-2.058283,1990.339781,174.495223,11:45:00,5.62881,2.38022,6.07704,-43.39459,3.06063,-0.17846,3.51198,0.46006,71.39627,-6.380194,-2.090398,0.490556,-0.38343,1.60858,-2.22089,50,5.73096,4.01488,-111.5388,1.86812,-0.49105,16.94007,-30.11396,eeca5079-f49f-4b61-91b9-0bfe97239efe,NA,NA,NA,NA,NA,1000118934,"Villarreal, Isaias",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,UNC_PEM,1,Top,1,1,1,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,YOU_HAR,UNC_PEM,TheZellB.MillerField,D2,CC,20250307-TheZellB.MillerField-1,af629f70-fba0-11ef-ac27-c3c428ee1bc4,76.83615,NA,NA,5.29643,NA,NA,NA,68dac819-d1d2-4ecb-8619-3bd97aa2a897,2025-03-07,22:08:22,2025-03-07T22:08:22Z,2025-03-07T22:08:22Z,NA,v3,NA,NA,NA,"Enrico, Jack",10011485,Right,YOU_HAR,54.4246,-112.20878,8.47003,5.63353,3.05912,-15.05698,-2.38006,4.03429,-0.24552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
8,2025-03-07,17:09:03,"Hart, Zach",1000296564,Right,YOU_HAR,Undefined,Fastball,NA,NA,87.06223,-3.072381,-4.741604,1729.465096,222.164983,01:30:00,5.73446,2.41315,6.57401,-25.65938,10.2939,8.34367,0.76766,-1.24763,80.40775,-7.869065,-3.23109,0.43156,-5.62701,6.55233,-2.09012,50,5.51165,10.15461,-126.11635,-7.5297,-9.1213,24.09662,-21.55278,4e441085-0412-42be-be7a-6baa9d4b3139,NA,NA,NA,NA,NA,1000118934,"Villarreal, Isaias",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,UNC_PEM,1,Top,1,2,1,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,YOU_HAR,UNC_PEM,TheZellB.MillerField,D2,CC,20250307-TheZellB.MillerField-1,c82f0ac0-fba0-11ef-ac27-c3c428ee1bc4,87.34005,NA,NA,6.65449,NA,NA,NA,68dac819-d1d2-4ecb-8619-3bd97aa2a897,2025-03-07,22:09:03,2025-03-07T22:09:03Z,2025-03-07T22:09:03Z,NA,v3,NA,NA,NA,"Enrico, Jack",10011485,Right,YOU_HAR,53.92693,-126.86444,12.04831,5.73503,-6.86059,-10.77639,-2.40977,10.43779,-4.56065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-03-07,17:09:43,"Hart, Zach",1000296564,Right,YOU_HAR,Undefined,Fastball,NA,NA,85.91905,-1.654831,-2.819699,1717.032978,228.523336,01:30:00,5.76822,2.41281,6.3554,-26.51962,10.62146,10.71414,2.03286,0.70827,78.93978,-6.625482,-0.881121,0.43863,-6.40823,6.33264,-2.21333,50,5.63554,5.7511,-124.79557,-4.39138,-10.12286,24.71983,-22.17062,6cc50d9b-aa42-4b4d-bb34-6cced2869f2b,NA,NA,NA,NA,NA,1000118934,"Villarreal, Isaias",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,UNC_PEM,1,Top,1,3,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,YOU_HAR,UNC_PEM,TheZellB.MillerField,D2,CC,20250307-TheZellB.MillerField-1,dfd0d8c0-fba0-11ef-ac27-c3c428ee1bc4,85.93213,NA,NA,6.97927,NA,NA,NA,68dac819-d1d2-4ecb-8619-3bd97aa2a897,2025-03-07,22:09:43,2025-03-07T22:09:43Z,2025-03-07T22:09:43Z,NA,v3,NA,NA,NA,"Enrico, Jack",10011485,Right,YOU_HAR,54.14622,-125.61418,12.35992,5.76881,-3.65719,-11.08531,-2.40933,6.08632,-5.06143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-03-07,17:10:13,"Hart, Zach",1000296564,Right,YOU_HAR,Undefined,Slider,NA,NA,81.00854,-1.026569,-4.650357,1451.051993,271.622565,03:00:00,5.41877,2.34117,6.60529,-40.59282,0.87437,13.66347,1.09244,-0.78955,74.75072,-8.566586,-2.171147,0.463472,-8.47355,1.10705,-2.02903,50,5.33192,9.0963,-117.53284,-3.2693,-11.88606,21.69215,-30.62117,076de4cf-f3b3-41f7-b951-60d123c0d91e,NA,NA,NA,NA,NA,1000118934,"Villarreal, Isaias",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,6,UNC_PEM,1,Top,1,3,2,Changeup,StrikeCalled,Strikeout,Undefined,Undefined,0,0,NA,YOU_HAR,UNC_PEM,TheZellB.MillerField,D2,CC,20250307-TheZellB.MillerField-1,f1b9a7b0-fba0-11ef-ac27-c3c428ee1bc4,81.32625,NA,NA,6.25781,NA,NA,NA,68dac819-d1d2-4ecb-8619-3bd97aa2a897,2025-03-07,22:10:13,2025-03-07T22:10:13Z,2025-03-07T22:10:13Z,NA,v3,NA,NA,NA,"Enrico, Jack",10011485,Right,YOU_HAR,53.89719,-118.24993,10.84607,5.42327,-2.25704,-15.31059,-2.33623,9.48923,-5.94303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
