PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-29,18:05:56,"Ralamb, Karl",825306,Right,SLU_BILL,Undefined,Fastball,NA,NA,90.76402,-2.101069,-2.485187,2161.321505,236.859141,02:00:00,6.00728,1.09109,6.17081,-21.1534,12.86013,17.83336,2.30123,0.28042,82.07036,-6.108297,0.731888,0.419756,-9.92142,7.66465,-0.91126,50,5.83734,4.94525,-131.57888,-5.47719,-17.16929,31.27714,-18.91019,eec5de3d-cfdf-4785-b742-6bfda76f97d5,NA,NA,NA,NA,NA,1000217847,"Mitchell, Mackenzie",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,SOU_COU,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SLU_BILL,SOU_COU,StLouisUniversity,D1,A10,20250429-StLouisUniversity-1,82175790-254e-11f0-8bb5-dfdf3cb6e472,89.79603,NA,NA,8.69366,NA,NA,NA,3f6605e3-feda-4ce7-a5ef-0604147d4056,2025-04-29,23:05:56,2025-04-29T23:05:56Z,2025-04-29T23:05:56Z,NA,v3,471427,471448,29 April 2025 19:00-silledward@stlouis,"Sanchez, Kamaehu",1000324940,Right,SLU_BILL,54.32543,-132.60307,15.63857,6.00655,-4.85796,-9.4551,-1.0824,5.50747,-8.58465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-29,18:06:13,"Ralamb, Karl",825306,Right,SLU_BILL,Undefined,Fastball,NA,NA,92.31485,-3.662093,-4.129839,2273.443962,236.345952,02:00:00,6.0824,1.08579,6.15346,-20.44206,12.53611,17.07808,0.98201,-1.31327,83.78144,-7.514917,-1.05668,0.413318,-10.06288,7.94237,-0.77991,50,5.79261,8.90831,-133.48562,-9.2046,-17.98668,31.24198,-17.9776,bc40992b-3bc4-4abf-ac2d-9c6c1f1590f6,NA,NA,NA,NA,NA,1000217847,"Mitchell, Mackenzie",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,SOU_COU,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SLU_BILL,SOU_COU,StLouisUniversity,D1,A10,20250429-StLouisUniversity-1,8c6bd7c0-254e-11f0-8bb5-dfdf3cb6e472,91.19467,NA,NA,8.53341,NA,NA,NA,3f6605e3-feda-4ce7-a5ef-0604147d4056,2025-04-29,23:06:13,2025-04-29T23:06:13Z,2025-04-29T23:06:13Z,NA,v3,471427,471448,29 April 2025 19:00-silledward@stlouis,"Sanchez, Kamaehu",1000324940,Right,SLU_BILL,54.34434,-134.49856,15.62099,6.08159,-8.62172,-8.9888,-1.0782,9.49148,-8.99334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-29,18:06:32,"Ralamb, Karl",825306,Right,SLU_BILL,Undefined,Slider,NA,NA,78.12697,2.746856,0.020035,2961.043853,33.786006,07:15:00,5.93891,1.24186,5.98571,-63.45909,-17.09347,-12.53548,3.19851,0.2158,70.75028,-8.912918,-2.237663,0.490083,6.35961,-9.00473,-1.237,50,6.12229,0.44204,-113.36071,3.33538,8.11714,24.42157,-43.66731,8755c648-d2f1-42a9-b074-2885afc28f16,NA,NA,NA,NA,NA,1000217847,"Mitchell, Mackenzie",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,SOU_COU,1,Top,0,1,1,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SLU_BILL,SOU_COU,StLouisUniversity,D1,A10,20250429-StLouisUniversity-1,97701ff0-254e-11f0-8bb5-dfdf3cb6e472,76.91037,NA,NA,7.37669,NA,NA,NA,3f6605e3-feda-4ce7-a5ef-0604147d4056,2025-04-29,23:06:32,2025-04-29T23:06:32Z,2025-04-29T23:06:32Z,NA,v3,471427,471448,29 April 2025 19:00-silledward@stlouis,"Sanchez, Kamaehu",1000324940,Right,SLU_BILL,54.51574,-114.3294,12.21078,5.95564,5.06747,-21.83366,-1.24815,0.12007,4.05857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-29,18:06:51,"Ralamb, Karl",825306,Right,SLU_BILL,Undefined,Slider,NA,NA,79.67517,2.94493,-1.183253,3222.011571,33.215408,07:00:00,5.9694,1.13709,6.01602,-62.13436,-17.45611,-12.48379,3.52244,-0.99944,71.93644,-8.479654,-3.430282,0.481082,5.93174,-9.31099,-1.03803,50,6.16813,2.87376,-115.53575,3.8512,7.84311,25.89769,-44.4853,095bebef-f87f-464b-ae8f-20793528e307,NA,NA,NA,NA,NA,1000217847,"Mitchell, Mackenzie",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,SOU_COU,1,Top,0,1,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SLU_BILL,SOU_COU,StLouisUniversity,D1,A10,20250429-StLouisUniversity-1,a3049a30-254e-11f0-8bb5-dfdf3cb6e472,78.34926,NA,NA,7.73873,NA,NA,NA,3f6605e3-feda-4ce7-a5ef-0604147d4056,2025-04-29,23:06:51,2025-04-29T23:06:51Z,2025-04-29T23:06:51Z,NA,v3,471427,471448,29 April 2025 19:00-silledward@stlouis,"Sanchez, Kamaehu",1000324940,Right,SLU_BILL,54.48494,-116.53673,12.94885,5.98605,5.57061,-22.24265,-1.14325,2.57061,3.92156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-29,18:07:10,"Ralamb, Karl",825306,Right,SLU_BILL,Undefined,Fastball,NA,NA,93.73158,-1.523134,-2.589435,2135.710767,238.839405,02:00:00,6.12966,0.99277,5.99053,-20.97493,11.28875,16.6843,2.9684,-0.01828,84.24607,-5.490253,0.409311,0.408817,-9.30981,6.64217,-0.79707,50,5.99807,5.37262,-135.78517,-4.30576,-17.07433,34.63142,-19.9922,9a817942-6e3f-4223-9bb9-0c4a12eeb804,NA,NA,NA,NA,NA,1000217847,"Mitchell, Mackenzie",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,SOU_COU,1,Top,0,2,2,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,SLU_BILL,SOU_COU,StLouisUniversity,D1,A10,20250429-StLouisUniversity-1,ae2b5e80-254e-11f0-8bb5-dfdf3cb6e472,92.19891,NA,NA,9.48552,NA,NA,NA,3f6605e3-feda-4ce7-a5ef-0604147d4056,2025-04-29,23:07:10,2025-04-29T23:07:10Z,2025-04-29T23:07:10Z,NA,v3,471427,471448,29 April 2025 19:00-silledward@stlouis,"Sanchez, Kamaehu",1000324940,Right,SLU_BILL,54.50416,-136.92912,17.31571,6.1294,-3.6453700000000002,-9.9961,-0.98386,5.93662,-8.53717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.20322,NA,NA,0.966772,NA,NA,NA,0.26134,6.20527,2.26357,67.41188,8.23854,-57.36463,0.3411,75.40239,-6.20494,6.22394,13.68277,-11.98912,2.16106,-68.68173,7.31809,High,High,High,NA,NA,High,High,High
6,2025-04-29,18:07:42,"Ralamb, Karl",825306,Right,SLU_BILL,Undefined,Fastball,NA,NA,92.58356,-1.895191,-3.803559,2084.558631,233.176096,01:45:00,6.06615,1.08044,6.06384,-19.40485,13.49001,16.43206,2.69061,-1.0755,83.55734,-5.579926,-0.851613,0.412796,-9.56843,7.87544,-0.79326,50,5.90849,8.17814,-134.0312,-5.04663,-17.18914,32.33298,-18.02626,9c349fa5-0243-4c08-873e-ecadc48dc29b,NA,NA,NA,NA,NA,827167,"Bloomer, Chase",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,SOU_COU,1,Top,1,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SLU_BILL,SOU_COU,StLouisUniversity,D1,A10,20250429-StLouisUniversity-1,c195eb70-254e-11f0-8bb5-dfdf3cb6e472,91.3101,NA,NA,9.02622,NA,NA,NA,3f6605e3-feda-4ce7-a5ef-0604147d4056,2025-04-29,23:07:42,2025-04-29T23:07:42Z,2025-04-29T23:07:42Z,NA,v3,471427,471448,29 April 2025 19:00-silledward@stlouis,"Sanchez, Kamaehu",1000324940,Right,SLU_BILL,54.43196,-135.09611,16.16649,6.06493,-4.45292,-9.01313,-1.07194,8.74428,-8.59457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-29,18:08:01,"Ralamb, Karl",825306,Right,SLU_BILL,Undefined,Slider,NA,NA,80.13275,1.561614,-0.786327,3103.417039,41.923086,07:30:00,5.87926,1.20391,6.06942,-60.38369,-16.09363,-15.95375,2.29286,-0.85326,72.16643,-9.552806,-3.666029,0.478988,7.93741,-8.39359,-1.13466,50,5.96866,2.19753,-116.26719,1.18811,10.54524,27.77552,-43.32536,7fd1dcd9-d488-4ff0-a997-9f88f2101244,NA,NA,NA,NA,-37.226128,827167,"Bloomer, Chase",NA,NA,69.4772,Right,-22.806381,NA,NA,NA,6.98729,6.6675,0.060564,-21.677521,1.94749,2.4005,0.87262,NA,NA,NA,NA,NA,2,2,SOU_COU,1,Top,1,0,1,Curveball,InPlay,Undefined,GroundBall,Out,1,0,NA,SLU_BILL,SOU_COU,StLouisUniversity,D1,A10,20250429-StLouisUniversity-1,cd0180f0-254e-11f0-8bb5-dfdf3cb6e472,78.69182,2.4005,NA,7.96632,NA,NA,NA,3f6605e3-feda-4ce7-a5ef-0604147d4056,2025-04-29,23:08:01,2025-04-29T23:08:01Z,2025-04-29T23:08:01Z,GroundBall,v3,471427,471448,29 April 2025 19:00-silledward@stlouis,"Sanchez, Kamaehu",1000324940,Right,SLU_BILL,54.43156,-117.32109,13.88776,5.8924,2.83202,-21.66268,-1.21045,1.79741,5.27262,180,1.94495,75.05552,NA,NA,NA,NA,NA,NA,NA,2.40184,-39.63593,NA,NA,NA,NA,NA,NA,NA,0.87455,-57.02421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-04-29,18:08:41,"Ralamb, Karl",825306,Right,SLU_BILL,Undefined,Fastball,NA,NA,91.6043,-3.17916,-1.799541,2087.966014,230.554514,01:45:00,5.98652,1.13344,6.13036,-19.06674,14.4491,16.08402,1.45461,0.80989,82.81629,-6.797117,1.101438,0.416674,-8.80603,8.82008,-1.00368,50,5.73346,3.47003,-132.70763,-7.94483,-15.48289,32.1318,-16.66642,04f23bd7-3fd0-4f61-9d24-aff541605cdf,NA,NA,NA,NA,NA,10285766,"Niedzwiedz, Ryan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,SOU_COU,1,Top,2,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SLU_BILL,SOU_COU,StLouisUniversity,D1,A10,20250429-StLouisUniversity-1,e4a28ba0-254e-11f0-8bb5-dfdf3cb6e472,90.46026,NA,NA,8.78802,NA,NA,NA,3f6605e3-feda-4ce7-a5ef-0604147d4056,2025-04-29,23:08:41,2025-04-29T23:08:41Z,2025-04-29T23:08:41Z,NA,v3,471427,471448,29 April 2025 19:00-silledward@stlouis,"Sanchez, Kamaehu",1000324940,Right,SLU_BILL,54.36542,-133.76043,16.0659,5.98482,-7.39875,-8.33321,-1.12569,3.97732,-7.74144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-29,18:09:00,"Ralamb, Karl",825306,Right,SLU_BILL,Undefined,ChangeUp,NA,NA,83.12268,-0.082069,-4.054429,1549.832706,261.987823,02:45:00,5.45309,1.66308,6.45489,-36.52152,3.84618,16.71568,2.33405,-0.67479,74.88519,-6.937647,-1.02856,0.457287,-10.01859,2.50496,-1.38249,50,5.43157,7.90345,-120.4196,-1.26073,-14.43969,27.40509,-28.56367,e14e7543-2385-49bd-bfbd-ea466ef4df7d,NA,NA,NA,NA,NA,10285766,"Niedzwiedz, Ryan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,SOU_COU,1,Top,2,0,1,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,SLU_BILL,SOU_COU,StLouisUniversity,D1,A10,20250429-StLouisUniversity-1,f016d3b0-254e-11f0-8bb5-dfdf3cb6e472,82.42629,NA,NA,8.23748,NA,NA,NA,3f6605e3-feda-4ce7-a5ef-0604147d4056,2025-04-29,23:09:00,2025-04-29T23:09:00Z,2025-04-29T23:09:00Z,NA,v3,471427,471448,29 April 2025 19:00-silledward@stlouis,"Sanchez, Kamaehu",1000324940,Right,SLU_BILL,54.04184,-121.33595,13.70254,5.45776,-0.30564,-14.28184,-1.65483,8.38627,-7.21985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-29,18:09:22,"Ralamb, Karl",825306,Right,SLU_BILL,Undefined,Slider,NA,NA,78.56434,2.390696,1.148663,3126.391314,35.5548,07:15:00,5.80727,1.31464,5.94737,-65.05755,-18.80194,-14.69099,2.60494,1.15593,70.70286,-9.559385,-1.497774,0.489501,7.8354799999999996,-9.74894,-1.39838,50,5.96288,-1.70921,-113.92231,2.56021,10.01839,26.20929,-44.639,0537a26e-408b-4f01-8ce1-3ea35c835669,NA,NA,NA,NA,NA,10285766,"Niedzwiedz, Ryan",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,SOU_COU,1,Top,2,0,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,SLU_BILL,SOU_COU,StLouisUniversity,D1,A10,20250429-StLouisUniversity-1,fcdacd40-254e-11f0-8bb5-dfdf3cb6e472,77.00177,NA,NA,7.86149,NA,NA,NA,3f6605e3-feda-4ce7-a5ef-0604147d4056,2025-04-29,23:09:22,2025-04-29T23:09:22Z,2025-04-29T23:09:22Z,NA,v3,471427,471448,29 April 2025 19:00-silledward@stlouis,"Sanchez, Kamaehu",1000324940,Right,SLU_BILL,54.55356,-114.96514,13.10465,5.82567,4.33634,-22.3195,-1.32244,-2.10783,5.0092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
