PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-22,18:35:26,"Spencer, Jacob",1000189110,Right,IND_SYC,Undefined,Undefined,NA,NA,92.08931,-2.48597,-3.408186,2135.233901,238.443768,02:00:00,6.17447,1.60731,5.77154,-22.70139,10.707090000000001,15.58304,1.96374,-0.26943,83.78948,-6.719084,-0.621002,0.416006,-8.94197,6.52965,-1.33485,50,5.95493,7.24937,-133.36973,-6.5845,-16.00764,30.3189,-20.48487,f10ea2f6-eb65-47ea-9f10-5626ced4f32f,NA,NA,NA,NA,NA,823806,"Groves, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,ILL_ILL,1,Top,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,ILL_ILL,IndianaState,D1,MVC,20250422-IndianaState-1,143cf740-1fca-11f0-bb94-63a784631d73,90.60547,NA,NA,8.29983,NA,NA,NA,d1c3f45a-1ad6-40c0-a5bf-f42257cc40f0,2025-04-22,22:35:26,2025-04-22T22:35:26Z,2025-04-22T22:35:26Z,NA,v3,471319,4805,22 April 2025 18:30-illinois@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.72663,-134.43994,15.15945,6.17459,-5.86142,-10.24243,-1.60071,7.81442,-8.00382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-22,18:35:39,"Spencer, Jacob",1000189110,Right,IND_SYC,Undefined,Undefined,NA,NA,92.9632,-3.699303,-2.902934,2172.503279,235.58488,01:45:00,6.04764,1.62634,6.06265,-21.40647,11.13083,14.59607,0.83091,0.15372,84.53652,-7.708636,-0.275395,0.410546,-8.45524,7.20087,-1.40892,50,5.74857,6.20635,-134.59668,-9.41393,-15.366,31.75973,-19.08765,24d31723-8e48-4265-9dea-4722fdf5c826,NA,NA,NA,NA,NA,823806,"Groves, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,ILL_ILL,1,Top,0,0,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,ILL_ILL,IndianaState,D1,MVC,20250422-IndianaState-1,1c3c15c0-1fca-11f0-bb94-63a784631d73,91.81043,NA,NA,8.42668,NA,NA,NA,d1c3f45a-1ad6-40c0-a5bf-f42257cc40f0,2025-04-22,22:35:39,2025-04-22T22:35:39Z,2025-04-22T22:35:39Z,NA,v3,471319,4805,22 April 2025 18:30-illinois@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.43635,-135.63945,15.87987,6.04737,-8.78722,-9.54382,-1.62097,6.71086,-7.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-22,18:35:53,"Spencer, Jacob",1000189110,Right,IND_SYC,Undefined,Undefined,NA,NA,85.39495,-0.845744,-3.239696,2019.857741,238.880178,02:00:00,5.90259,1.79541,5.86792,-28.72773,9.65914,13.98548,2.72169,-0.05169,78.19774,-6.18492,-0.733807,0.445926,-8.08256,5.53642,-1.54117,50,5.81728,6.45367,-123.90406,-2.76236,-12.56903,24.68056,-23.56447,781c36eb-af53-4fd8-8208-f7cd37c030fb,NA,NA,NA,NA,-54.176251,823806,"Groves, Nick",2818.581551,NA,87.12352,Left,16.121353,63.68236,21.76144,-89.69098,216.22019,211.74595,2.378846,-55.559429,0.906,2.62657,0.19929,NA,NA,NA,NA,NA,1,3,ILL_ILL,1,Top,0,1,1,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,ILL_ILL,IndianaState,D1,MVC,20250422-IndianaState-1,24546190-1fca-11f0-bb94-63a784631d73,84.52619,21.85216,NA,7.19721,NA,NA,NA,d1c3f45a-1ad6-40c0-a5bf-f42257cc40f0,2025-04-22,22:35:53,2025-04-22T22:35:53Z,2025-04-22T22:35:53Z,LineDrive,v3,471319,4805,22 April 2025 18:30-illinois@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.63153,-124.8232,12.34028,5.90382,-1.88478,-11.78223,-1.79023,6.92177,-6.28451,NA,0.906,71.84823,-13.81784,3.33389,-0.77281,0.16561,-0.03081,0.00406,-2.6e-4,2.62657,35.48133,-17.52538,1.237,-0.20375,0.03577,-0.00603,0.00117,-1.2e-4,0.19929,-99.53319,15.21729,-3.07274,0.61941,-0.12212,0.02274,-0.00319,2.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Medium,NA,NA,NA
4,2025-04-22,18:36:13,"Spencer, Jacob",1000189110,Right,IND_SYC,Undefined,Undefined,NA,NA,91.88379,-0.261388,-2.875359,2094.036376,223.910976,01:30:00,6.19266,1.4848,5.73216,-18.29269,15.20324,13.55981,4.42454,-0.06519,83.37694,-3.724659,-0.452647,0.41655,-7.68426,8.12441,-1.25321,50,6.15972,6.07402,-133.23021,-1.19366,-13.74453,29.92401,-17.64223,8560631c-c857-41e9-9470-2bd1a8c5b022,NA,NA,NA,NA,NA,823806,"Groves, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,ILL_ILL,1,Top,0,1,2,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,ILL_ILL,IndianaState,D1,MVC,20250422-IndianaState-1,300da1e0-1fca-11f0-bb94-63a784631d73,90.48713,NA,NA,8.50685,NA,NA,NA,d1c3f45a-1ad6-40c0-a5bf-f42257cc40f0,2025-04-22,22:36:13,2025-04-22T22:36:13Z,2025-04-22T22:36:13Z,NA,v3,471319,4805,22 April 2025 18:30-illinois@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.7644,-134.29605,14.962,6.19104,-0.56527,-8.82112,-1.47827,6.56358,-6.87226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-22,18:36:29,"Spencer, Jacob",1000189110,Right,IND_SYC,Undefined,Undefined,NA,NA,92.18583,-1.164184,-2.513609,2006.264969,222.832644,01:30:00,6.141,1.55166,5.95449,-17.65879,15.37076,13.21316,3.5886,0.32018,83.65014,-4.523185,-0.141489,0.41364,-7.50898,8.55674,-1.35913,50,6.03856,5.29112,-133.7274,-3.26067,-13.5052,30.66682,-16.78442,22fce4d3-a3c3-426c-8b25-72a1d1809b49,NA,NA,NA,NA,-145.012368,823806,"Groves, Nick",2000.57781,NA,78.61792,Left,25.719791,NA,NA,NA,NA,45.24007,NA,NA,0.16387,3.5332,-0.18538,NA,NA,NA,NA,NA,1,5,ILL_ILL,1,Top,0,2,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,ILL_ILL,IndianaState,D1,MVC,20250422-IndianaState-1,3a328690-1fca-11f0-bb94-63a784631d73,91.12376,21.86682,NA,8.53569,NA,NA,NA,d1c3f45a-1ad6-40c0-a5bf-f42257cc40f0,2025-04-22,22:36:29,2025-04-22T22:36:29Z,2025-04-22T22:36:29Z,NA,v3,471319,4805,22 April 2025 18:30-illinois@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.54289,-134.76517,15.33341,6.13929,-2.69268,-8.39221,-1.54592,5.74813,-6.7526,NA,0.16117,-85.03195,6.80761,NA,NA,NA,NA,NA,NA,3.5455,49.68314,-22.05246,NA,NA,NA,NA,NA,NA,-0.20165,-59.09368,13.25162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,NA,NA,NA
6,2025-04-22,18:36:48,"Spencer, Jacob",1000189110,Right,IND_SYC,Undefined,Undefined,NA,NA,84.80534,-0.089587,-2.580965,1768.606369,247.630168,02:15:00,5.8165,1.93105,5.70919,-32.26486,7.82378,15.20048,3.04421,0.79152,75.80205,-6.115288,0.136818,0.455703,-8.58914,4.46063,-1.72426,50,5.78942,4.8885,-122.75928,-1.26645,-12.77936,29.95945,-25.53729,8099938b-efb2-416b-a85f-1a659e876b2e,NA,NA,NA,NA,-54.452755,823806,"Groves, Nick",1937.190942,NA,88.96333,Left,2.943355,NA,NA,NA,97.34936,97.34936,0.823755,-55.793667,0.42979,3.08168,-0.7709,NA,NA,NA,NA,NA,1,6,ILL_ILL,1,Top,0,2,2,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,ILL_ILL,IndianaState,D1,MVC,20250422-IndianaState-1,45613a20-1fca-11f0-bb94-63a784631d73,82.71267,3.95943,NA,9.00329,NA,NA,NA,d1c3f45a-1ad6-40c0-a5bf-f42257cc40f0,2025-04-22,22:36:48,2025-04-22T22:36:48Z,2025-04-22T22:36:48Z,GroundBall,v3,471319,4805,22 April 2025 18:30-illinois@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.78566,-123.92171,14.97972,5.81934,-0.27559,-12.76865,-1.92355,5.38434,-6.38968,NA,0.42979,75.75723,-13.8096,2.59817,-0.47049,0.08297,-0.01555,0.00295,-3.8e-4,3.08168,6.69994,-12.81143,0.11392,0.08308,-0.03137,0.01009,-0.00216,2.8e-4,-0.7709,-106.02268,13.33374,-3.07184,0.68175,-0.14494,0.03013,-0.00533,5.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
7,2025-04-22,18:37:15,"Spencer, Jacob",1000189110,Right,IND_SYC,Undefined,Undefined,NA,NA,91.76308,-1.861566,-2.205885,2222.706416,223.113087,01:30:00,6.06134,1.62142,6.02911,-18.39891,14.94072,12.90131,2.80225,0.65268,83.13667,-5.359122,0.114694,0.415577,-7.32465,8.60237,-1.45593,50,5.9058,4.57402,-133.08944,-4.88898,-13.00444,31.26463,-16.90108,5551c26b-7e21-4714-89d4-650d99935135,NA,NA,NA,NA,-55.403412,823806,"Groves, Nick",3087.347763,NA,88.11444,Left,29.849894,57.39313,50.66748,-93.84007,285.12893,151.90741,3.835804,-64.139214,0.55391,2.70843,-0.52952,NA,NA,NA,NA,NA,1,7,ILL_ILL,1,Top,0,2,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,ILL_ILL,IndianaState,D1,MVC,20250422-IndianaState-1,557fd060-1fca-11f0-bb94-63a784631d73,90.69901,57.40324,NA,8.62641,NA,NA,NA,d1c3f45a-1ad6-40c0-a5bf-f42257cc40f0,2025-04-22,22:37:15,2025-04-22T22:37:15Z,2025-04-22T22:37:15Z,FlyBall,v3,471319,4805,22 April 2025 18:30-illinois@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.46856,-134.13506,15.63232,6.05986,-4.32373,-8.45054,-1.61618,5.00895,-6.50222,NA,0.55476,63.61466,-15.78799,3.32468,-0.43566,-0.00677,0.01709,-0.0034,2.5e-4,2.70722,64.36381,-22.42109,3.17253,-1.08802,0.34134,-0.07713,0.01053,-6.3e-4,-0.52986,-92.25693,12.62993,-2.73558,0.4575,-0.0402,-0.00431,0.00184,-1.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
8,2025-04-22,18:37:36,"Spencer, Jacob",1000189110,Right,IND_SYC,Undefined,Undefined,NA,NA,81.48977,1.704159,-1.465389,2191.978813,48.747207,07:30:00,6.06902,1.79642,5.1092,-53.12219,-8.94489,-12.03347,3.24872,-0.58727,73.5219,-7.934582,-3.594539,0.478378,5.42307,-4.43343,-1.64876,50,6.18868,3.54675,-117.98077,1.49229,7.49024,26.65003,-38.29745,af598495-ae37-45fd-99e5-0d082a2682e4,NA,NA,NA,NA,NA,823806,"Groves, Nick",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,ILL_ILL,1,Top,0,2,2,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,ILL_ILL,IndianaState,D1,MVC,20250422-IndianaState-1,62086ea0-1fca-11f0-bb94-63a784631d73,78.7922,NA,NA,7.96787,NA,NA,NA,d1c3f45a-1ad6-40c0-a5bf-f42257cc40f0,2025-04-22,22:37:36,2025-04-22T22:37:36Z,2025-04-22T22:37:36Z,NA,v3,471319,4805,22 April 2025 18:30-illinois@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,55.38825,-119.19167,13.32502,6.08134,3.23243,-19.14872,-1.80219,3.20642,3.74512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-22,18:38:00,"Spencer, Jacob",1000189110,Right,IND_SYC,Undefined,Undefined,NA,NA,92.23347,-2.73284,-2.854877,2158.90983,232.855527,01:45:00,6.02999,1.68627,5.9207,-21.42064,11.7617,14.00414,1.70385,0.20184,83.74286,-6.750305,-0.341308,0.414596,-8.10382,7.20532,-1.4658,50,5.79875,6.06388,-133.6332,-7.09577,-14.51326,31.38094,-19.26993,d07d89cc-351c-4884-bb47-144679cf78dc,NA,NA,NA,NA,101.553486,823806,"Groves, Nick",NA,NA,58.6525,Left,-43.708668,NA,NA,NA,2.74865,2.74865,0.030814,37.553487,2.56433,1.83869,-0.20922,NA,NA,NA,NA,NA,1,9,ILL_ILL,1,Top,0,3,2,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,ILL_ILL,IndianaState,D1,MVC,20250422-IndianaState-1,6ff7a1c0-1fca-11f0-bb94-63a784631d73,90.91366,1.83869,NA,8.49061,NA,NA,NA,d1c3f45a-1ad6-40c0-a5bf-f42257cc40f0,2025-04-22,22:38:00,2025-04-22T22:38:00Z,2025-04-22T22:38:00Z,GroundBall,v3,471319,4805,22 April 2025 18:30-illinois@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.57821,-134.70401,15.69047,6.02966,-6.43823,-9.63496,-1.68116,6.55911,-7.25663,NA,2.56457,-12.50242,NA,NA,NA,NA,NA,NA,NA,1.83983,-59.67161,NA,NA,NA,NA,NA,NA,NA,-0.21039,61.15904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Estimated,Estimated,NA,NA,NA
10,2025-04-22,18:38:23,"Spencer, Jacob",1000189110,Right,IND_SYC,Undefined,Undefined,NA,NA,92.4853,-2.683989,-2.512519,2083.096487,233.162084,01:45:00,6.08334,1.42299,5.88887,-22.57631,10.41989,12.39701,1.70559,0.12163,84.08694,-6.900911,-0.287623,0.413431,-7.13878,6.48099,-1.22768,50,5.85375,5.34373,-134.03559,-7.05673,-12.87573,31.28605,-20.48473,915921ff-a59d-4a9b-a6b7-74e55a16b460,NA,NA,NA,NA,48.125168,823806,"Groves, Nick",NA,NA,70.43277,Left,-38.810738,NA,NA,NA,4.13268,2.89035,0.028013,20.599029,2.35937,1.81843,-0.22942,NA,NA,NA,NA,NA,1,10,ILL_ILL,1,Top,0,3,2,Sinker,InPlay,Undefined,GroundBall,Out,1,0,NA,IND_SYC,ILL_ILL,IndianaState,D1,MVC,20250422-IndianaState-1,7dd26280-1fca-11f0-bb94-63a784631d73,91.16975,1.81843,NA,8.39836,NA,NA,NA,d1c3f45a-1ad6-40c0-a5bf-f42257cc40f0,2025-04-22,22:38:23,2025-04-22T22:38:23Z,2025-04-22T22:38:23Z,GroundBall,v3,471319,4805,22 April 2025 18:30-illinois@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.60965,-135.10727,15.64303,6.08346,-6.35504,-10.24237,-1.41828,5.78478,-6.43786,NA,2.35873,53.87196,NA,NA,NA,NA,NA,NA,NA,1.8192,-64.9145,NA,NA,NA,NA,NA,NA,NA,-0.23013,60.09436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,Low,Low,NA,NA,NA
11,2025-04-22,18:38:55,"Spencer, Jacob",1000189110,Right,IND_SYC,Undefined,Undefined,NA,NA,83.22163,-0.804898,-1.953586,2164.981029,94.277029,09:15:00,6.12059,1.78906,5.20573,-40.02034,2.44831,-10.78627,2.02811,-0.94776,74.75375,-8.12475,-3.865259,0.469035,4.65744,2.00984,-1.5999,50,6.01653,4.57991,-120.37617,-3.1532,6.65718,28.99685,-29.30124,6694bf91-65ff-4a61-b320-9fb45c6c43a0,NA,NA,NA,NA,NA,802488,"Chee-Aloy, Cameron",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,ILL_ILL,1,Top,1,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,ILL_ILL,IndianaState,D1,MVC,20250422-IndianaState-1,90c24130-1fca-11f0-bb94-63a784631d73,80.36161,NA,NA,8.46788,NA,NA,NA,d1c3f45a-1ad6-40c0-a5bf-f42257cc40f0,2025-04-22,22:38:55,2025-04-22T22:38:55Z,2025-04-22T22:38:55Z,NA,v3,471319,4805,22 April 2025 18:30-illinois@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,55.28864,-121.64345,14.49843,6.12636,-1.87261,-14.65062,-1.79371,4.28896,3.32859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
12,2025-04-22,18:39:08,"Spencer, Jacob",1000189110,Right,IND_SYC,Undefined,Undefined,NA,NA,91.67577,-2.028278,-2.067913,2095.821469,224.365959,01:30:00,6.16236,1.59963,5.67844,-19.48761,14.50017,12.98331,2.6456,0.75302,82.76642,-5.706001,0.252722,0.419598,-7.31477,8.37874,-1.43389,50,5.97936,4.22541,-132.84677,-5.34952,-12.88369,32.28552,-17.41638,895f2b14-9997-4a67-91b6-25f8f4b80565,NA,NA,NA,NA,NA,802488,"Chee-Aloy, Cameron",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,ILL_ILL,1,Top,1,0,1,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,ILL_ILL,IndianaState,D1,MVC,20250422-IndianaState-1,98a10670-1fca-11f0-bb94-63a784631d73,89.82999,NA,NA,8.90936,NA,NA,NA,d1c3f45a-1ad6-40c0-a5bf-f42257cc40f0,2025-04-22,22:39:08,2025-04-22T22:39:08Z,2025-04-22T22:39:08Z,NA,v3,471319,4805,22 April 2025 18:30-illinois@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,54.81981,-134.013,16.14276,6.16124,-4.7204,-8.70819,-1.59492,4.6908,-6.44184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
13,2025-04-22,18:39:28,"Spencer, Jacob",1000189110,Right,IND_SYC,Undefined,Undefined,NA,NA,82.1309,0.323339,-1.702222,2151.907264,51.053967,07:45:00,6.09615,1.59653,4.98018,-51.22444,-8.15504,-11.79075,2.13295,-0.99407,75.35129,-8.892839,-3.785306,0.472341,5.37237,-3.79347,-1.42208,50,6.08502,4.04318,-119.14013,-1.28107,7.67318,24.23675,-37.59214,d94f7961-4732-4116-92be-b4a35a027078,NA,NA,NA,NA,73.318054,802488,"Chee-Aloy, Cameron",4299.903377,NA,87.34574,Right,24.676709,23.11602,39.08783,107.54368,253.8033,124.17255,3.787926,86.472003,1.12453,1.78447,1.00657,NA,NA,NA,NA,NA,2,3,ILL_ILL,1,Top,1,0,2,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,IND_SYC,ILL_ILL,IndianaState,D1,MVC,20250422-IndianaState-1,a4dee010-1fca-11f0-bb94-63a784631d73,79.7992,44.02186,NA,6.77961,NA,NA,NA,d1c3f45a-1ad6-40c0-a5bf-f42257cc40f0,2025-04-22,22:39:28,2025-04-22T22:39:28Z,2025-04-22T22:39:28Z,LineDrive,v3,471319,4805,22 April 2025 18:30-illinois@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,55.52114,-120.25806,12.11837,6.10412,0.45288,-18.79607,-1.60041,3.68925,3.83659,NA,1.12524,33.39069,-15.80236,3.97011,-0.6489,-0.07418,0.06895,-0.01368,9.4e-4,1.78342,53.51711,-20.63566,3.29995,-1.10003,0.41082,-0.10322,0.01397,-7.8e-4,1.00836,111.44975,-14.73465,0.38545,0.95863,-0.65523,0.20488,-0.0316,0.00195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Low,NA,NA,NA
14,2025-04-22,18:39:48,"Spencer, Jacob",1000189110,Right,IND_SYC,Undefined,Undefined,NA,NA,83.50428,6.88e-4,-0.481182,2222.478401,40.37693,07:15:00,6.11374,1.64042,5.02556,-57.03495,-14.80182,-13.90166,1.36148,0.02789,75.61441,-10.26634,-2.945891,0.467733,6.74437,-6.93284,-1.58261,50,6.0676,1.62701,-121.00396,-2.23876,9.76333,28.81,-42.21023,43887c4d-d70c-46fb-8019-9fa2e069850a,NA,NA,NA,NA,NA,802488,"Chee-Aloy, Cameron",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,ILL_ILL,1,Top,1,0,2,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,IND_SYC,ILL_ILL,IndianaState,D1,MVC,20250422-IndianaState-1,b058a660-1fca-11f0-bb94-63a784631d73,80.58538,NA,NA,7.88987,NA,NA,NA,d1c3f45a-1ad6-40c0-a5bf-f42257cc40f0,2025-04-22,22:39:48,2025-04-22T22:39:48Z,2025-04-22T22:39:48Z,NA,v3,471319,4805,22 April 2025 18:30-illinois@indianast,"Martinez, Jeremy",1000317474,Right,IND_SYC,55.47501,-122.30056,14.405,6.12561,-0.33907,-21.10511,-1.64595,1.18761,4.88166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
