PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,PAofInning,PitchofPA,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-04-15,18:01:41,"Interdonato, Reed",1000121806,Right,WM_TRI,Undefined,Fastball,NA,NA,90.23123,-3.149796,-5.24211,2395.622698,238.605315,02:00:00,5.70255,2.40182,5.37933,-20.93903,15.08883,22.38789,0.98948,-0.66047,80.79051,-7.087073,-1.280827,0.432007,-13.0019,9.0339,-1.94787,50,5.40495,10.89643,-130.02263,-7.89295,-21.80458,32.43945,-17.0239,07ba050e-90a8-414e-ba8b-d21225019517,NA,NA,NA,NA,NA,1000251017,"Carter, Jaedan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,LON_LAN,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,LON_LAN,PlumeriPark,D1,CAA,20250415-PlumeriPark-1,36bcbdd0-1a45-11f0-8bb5-db2cac7a6294,87.24966,NA,NA,9.44072,NA,NA,NA,2104751b-49b2-4e50-8510-412944ad4b7e,2025-04-15,22:01:41,2025-04-15T22:01:41Z,2025-04-15T22:01:41Z,NA,v3,471493,471338,15 April 2025 18:00-longwood@willmary,"Felmlee, Charlie",10032221,Right,WM_TRI,55.11883,-131.29352,16.21972,5.70112,-7.226,-8.51195,-2.3915,11.75068,-10.90229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
2,2025-04-15,18:02:39,"Interdonato, Reed",1000121806,Right,WM_TRI,Undefined,Fastball,NA,NA,90.48114,-3.617145,-5.422264,2450.853897,237.961111,02:00:00,5.73533,2.41886,5.46777,-20.60174,15.43221,22.23954,0.61349,-0.81776,80.4461,-7.513038,-1.482465,0.432043,-13.19064,9.49906,-1.95647,50,5.40189,11.3423,-130.2002,-8.9457,-21.99896,34.57686,-16.33178,ccadeb82-adbe-4d93-958e-b28de6558ab8,NA,NA,NA,NA,NA,1000251017,"Carter, Jaedan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,LON_LAN,1,Top,0,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,LON_LAN,PlumeriPark,D1,CAA,20250415-PlumeriPark-1,593904e0-1a45-11f0-8bb5-db2cac7a6294,87.24224,NA,NA,10.03504,NA,NA,NA,2104751b-49b2-4e50-8510-412944ad4b7e,2025-04-15,22:02:39,2025-04-15T22:02:39Z,2025-04-15T22:02:39Z,NA,v3,471493,471338,15 April 2025 18:00-longwood@willmary,"Felmlee, Charlie",10032221,Right,WM_TRI,55.02983,-131.52917,17.28843,5.73366,-8.31799,-8.16589,-2.40866,12.18784,-10.99948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
3,2025-04-15,18:02:56,"Interdonato, Reed",1000121806,Right,WM_TRI,Undefined,Fastball,NA,NA,91.34488,-0.572312,-3.965219,2411.132409,229.371758,01:45:00,5.75957,2.44544,5.24593,-15.46316,20.15792,21.70911,3.93182,0.52216,80.40622,-3.579668,-0.126757,0.429561,-12.13863,10.61323,-2.09695,50,5.69628,8.04788,-131.7417,-1.76255,-20.61519,36.75645,-14.14945,181f94a5-1357-4881-a404-e0550b127028,NA,NA,NA,NA,NA,1000251017,"Carter, Jaedan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,LON_LAN,1,Top,0,2,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,LON_LAN,PlumeriPark,D1,CAA,20250415-PlumeriPark-1,635b5180-1a45-11f0-8bb5-db2cac7a6294,87.74638,NA,NA,10.93866,NA,NA,NA,2104751b-49b2-4e50-8510-412944ad4b7e,2025-04-15,22:02:56,2025-04-15T22:02:56Z,2025-04-15T22:02:56Z,NA,v3,471493,471338,15 April 2025 18:00-longwood@willmary,"Felmlee, Charlie",10032221,Right,WM_TRI,55.24633,-133.19741,18.37823,5.75498,-1.20218,-7.07472,-2.43184,8.86433,-10.3076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
4,2025-04-15,18:03:14,"Interdonato, Reed",1000121806,Right,WM_TRI,Undefined,Fastball,NA,NA,90.81935,-1.281834,-4.151944,2450.399095,229.39686,01:45:00,5.65883,2.42283,5.27476,-17.5428,18.29206,19.60111,2.98957,0.14962,80.45165,-4.644324,-0.685462,0.430848,-11.1715,9.96949,-2.05762,50,5.52934,8.55545,-131.02311,-3.48809,-18.86558,35.04395,-15.33832,d586adab-99a1-47bc-b876-63bd3101215e,NA,NA,NA,NA,NA,1000251017,"Carter, Jaedan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,LON_LAN,1,Top,0,3,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,LON_LAN,PlumeriPark,D1,CAA,20250415-PlumeriPark-1,6e507e80-1a45-11f0-8bb5-db2cac7a6294,87.48431,NA,NA,10.3677,NA,NA,NA,2104751b-49b2-4e50-8510-412944ad4b7e,2025-04-15,22:03:14,2025-04-15T22:03:14Z,2025-04-15T22:03:14Z,NA,v3,471493,471338,15 April 2025 18:00-longwood@willmary,"Felmlee, Charlie",10032221,Right,WM_TRI,55.21904,-132.41166,17.52197,5.65551,-2.88034,-7.66916,-2.41142,9.30296,-9.43279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
5,2025-04-15,18:03:33,"Interdonato, Reed",1000121806,Right,WM_TRI,Undefined,Fastball,NA,NA,91.85029,-1.416995,-3.143119,2477.987644,225.85389,01:30:00,5.76011,2.37327,5.45282,-17.48056,16.9628,16.10454,2.97459,0.76989,82.13335,-4.75004,-0.281039,0.4224,-9.11284,9.36993,-2.10697,50,5.62342,6.53031,-132.82874,-3.84842,-15.94313,33.95501,-15.78115,f7bcff30-09a7-40cb-8670-040cb2fdd531,NA,NA,NA,NA,NA,1000251017,"Carter, Jaedan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,LON_LAN,1,Top,0,3,1,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,LON_LAN,PlumeriPark,D1,CAA,20250415-PlumeriPark-1,7982db90-1a45-11f0-8bb5-db2cac7a6294,89.2339,NA,NA,9.71694,NA,NA,NA,2104751b-49b2-4e50-8510-412944ad4b7e,2025-04-15,22:03:33,2025-04-15T22:03:33Z,2025-04-15T22:03:33Z,NA,v3,471493,471338,15 April 2025 18:00-longwood@willmary,"Felmlee, Charlie",10032221,Right,WM_TRI,55.04308,-134.11171,16.9775,5.75757,-3.25214,-7.89057,-2.36509,7.1327,-7.97157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
6,2025-04-15,18:03:52,"Interdonato, Reed",1000121806,Right,WM_TRI,Undefined,Fastball,NA,NA,91.26605,-1.262587,-4.340613,2454.874056,222.93424,01:30:00,5.74145,2.32885,5.50688,-18.63422,16.00505,13.71631,3.00422,-0.59533,82.18118,-4.788486,-1.906298,0.4236,-8.2715,8.82453,-1.95876,50,5.6188,9.38266,-131.94142,-3.52513,-14.39024,31.49975,-16.82168,fe8aa643-4cbc-471f-9152-18272af8adb2,NA,NA,NA,NA,NA,1000251017,"Carter, Jaedan",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,LON_LAN,1,Top,0,3,2,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,LON_LAN,PlumeriPark,D1,CAA,20250415-PlumeriPark-1,84ec7540-1a45-11f0-8bb5-db2cac7a6294,88.98124,NA,NA,9.08486,NA,NA,NA,2104751b-49b2-4e50-8510-412944ad4b7e,2025-04-15,22:03:52,2025-04-15T22:03:52Z,2025-04-15T22:03:52Z,NA,v3,471493,471338,15 April 2025 18:00-longwood@willmary,"Felmlee, Charlie",10032221,Right,WM_TRI,54.99059,-133.12754,15.74988,5.73961,-2.89171,-8.41084,-2.32227,9.92452,-7.19512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
7,2025-04-15,18:04:16,"Interdonato, Reed",1000121806,Right,WM_TRI,Undefined,Fastball,NA,NA,90.67833,-1.425061,-3.504949,2388.878876,219.485042,01:15:00,5.7016,2.40552,5.40344,-17.60438,17.82328,13.55564,2.89648,0.24683,81.09223,-4.782155,-1.099918,0.428393,-8.03469,9.83375,-2.10292,50,5.56279,7.40873,-131.09771,-3.82794,-13.6852,33.21726,-15.42458,3322f95c-438a-4e49-9097-6497cacba22e,NA,NA,NA,NA,-1.595511,1000251017,"Carter, Jaedan",2613.587414,NA,99.42917,Right,20.858657,109.99766,39.29329,0.7121,381.36385,377.64172,4.325779,5.480327,1.0977,2.91615,-0.22712,NA,NA,NA,NA,NA,1,7,LON_LAN,1,Top,0,3,2,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,NA,WM_TRI,LON_LAN,PlumeriPark,D1,CAA,20250415-PlumeriPark-1,92dba860-1a45-11f0-8bb5-db2cac7a6294,87.98558,55.2494,NA,9.5861,NA,NA,NA,2104751b-49b2-4e50-8510-412944ad4b7e,2025-04-15,22:04:16,2025-04-15T22:04:16Z,2025-04-15T22:04:16Z,LineDrive,v3,471493,471338,15 April 2025 18:00-longwood@willmary,"Felmlee, Charlie",10032221,Right,WM_TRI,55.09413,-132.38215,16.60863,5.69928,-3.2315,-7.71229,-2.39963,7.93791,-6.8426,208.932208,1.09668,136.24451,-22.02652,4.95143,-1.21377,0.31557,-0.06819,0.00907,-5.1e-4,2.91756,51.88949,-13.13427,-0.25865,0.44616,-0.21428,0.05899,-0.00827,4.6e-4,-0.22717,-3.79282,6.75349,-1.98087,0.5009,-0.10548,0.01717,-0.00185,9e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA
8,2025-04-15,18:04:54,"Interdonato, Reed",1000121806,Right,WM_TRI,Undefined,Fastball,NA,NA,89.9266,-3.367633,-4.329006,2375.72075,230.280266,01:45:00,5.5937,2.47408,5.44483,-18.56001,17.5784,19.43407,0.88124,0.0326,80.50252,-6.889092,-0.880644,0.432669,-11.2639,10.39512,-2.10484,50,5.28279,8.93543,-129.71957,-8.24452,-18.78239,32.54595,-14.84031,1520d4e6-23c6-435b-a2c2-be1c8b9e5e47,NA,NA,NA,NA,NA,1000361728,"Urbaniak, Mikey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,LON_LAN,1,Top,1,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,LON_LAN,PlumeriPark,D1,CAA,20250415-PlumeriPark-1,a9f90420-1a45-11f0-8bb5-db2cac7a6294,87.11604,NA,NA,9.42408,NA,NA,NA,2104751b-49b2-4e50-8510-412944ad4b7e,2025-04-15,22:04:54,2025-04-15T22:04:54Z,2025-04-15T22:04:54Z,NA,v3,471493,471338,15 April 2025 18:00-longwood@willmary,"Felmlee, Charlie",10032221,Right,WM_TRI,55.05293,-130.98119,16.27298,5.59123,-7.66925,-7.42016,-2.46533,9.66352,-9.3912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
9,2025-04-15,18:05:13,"Interdonato, Reed",1000121806,Right,WM_TRI,Undefined,Slider,NA,NA,83.94855,1.376824,-2.087142,2396.800372,69.214716,08:15:00,5.40723,2.73594,4.76886,-40.57589,0.42658,-1.92705,3.33239,0.59566,77.52949,-5.932691,-2.425549,0.460868,0.42886,0.22035,-2.52501,50,5.50944,4.52591,-121.81457,1.32698,0.65111,21.60323,-31.83953,1042dabf-b9d8-4544-99ac-6ebb3a82dcbf,NA,NA,NA,NA,NA,1000361728,"Urbaniak, Mikey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,LON_LAN,1,Top,1,1,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,LON_LAN,PlumeriPark,D1,CAA,20250415-PlumeriPark-1,b50d03c0-1a45-11f0-8bb5-db2cac7a6294,81.78581,NA,NA,6.41906,NA,NA,NA,2104751b-49b2-4e50-8510-412944ad4b7e,2025-04-15,22:05:13,2025-04-15T22:05:13Z,2025-04-15T22:05:13Z,NA,v3,471493,471338,15 April 2025 18:00-longwood@willmary,"Felmlee, Charlie",10032221,Right,WM_TRI,55.73223,-122.82695,10.80161,5.4123,2.81905,-15.91977,-2.73639,4.4954,0.32555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
10,2025-04-15,18:05:29,"Interdonato, Reed",1000121806,Right,WM_TRI,Undefined,Fastball,NA,NA,90.35302,-3.457086,-5.600247,2442.390994,223.211231,01:30:00,5.6377,2.51093,5.32934,-15.97631,20.31529,17.66158,1.04298,-1.28888,80.31746,-6.532008,-2.484762,0.433585,-10.90855,11.85138,-2.01677,50,5.31288,11.93312,-129.97219,-8.36978,-18.15649,34.08685,-12.44825,268a5c93-5657-4dc1-9ffe-5bcceb97191c,NA,NA,NA,NA,NA,1000361728,"Urbaniak, Mikey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,LON_LAN,1,Top,1,1,1,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,LON_LAN,PlumeriPark,D1,CAA,20250415-PlumeriPark-1,bec4a7b0-1a45-11f0-8bb5-db2cac7a6294,86.932,NA,NA,10.03557,NA,NA,NA,2104751b-49b2-4e50-8510-412944ad4b7e,2025-04-15,22:05:29,2025-04-15T22:05:29Z,2025-04-15T22:05:29Z,NA,v3,471493,471338,15 April 2025 18:00-longwood@willmary,"Felmlee, Charlie",10032221,Right,WM_TRI,55.16825,-131.32063,17.04343,5.63424,-7.87734,-6.22412,-2.50304,12.65138,-9.07825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
11,2025-04-15,18:05:48,"Interdonato, Reed",1000121806,Right,WM_TRI,Undefined,Fastball,NA,NA,90.61502,-1.60852,-4.732114,2412.398403,227.32573,01:30:00,5.62015,2.59971,5.21734,-18.33296,17.24119,17.27784,2.57439,-0.42009,81.53988,-5.069214,-1.683973,0.429278,-10.05127,9.46087,-2.17519,50,5.45797,10.00652,-130.84405,-4.29883,-17.2057,30.84751,-15.97897,44218e4c-39c3-46a4-8703-15dc6dc59cf5,NA,NA,NA,NA,NA,1000361728,"Urbaniak, Mikey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,LON_LAN,1,Top,1,2,1,Sinker,StrikeSwinging,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,LON_LAN,PlumeriPark,D1,CAA,20250415-PlumeriPark-1,ca239300-1a45-11f0-8bb5-db2cac7a6294,87.80427,NA,NA,9.07514,NA,NA,NA,2104751b-49b2-4e50-8510-412944ad4b7e,2025-04-15,22:05:48,2025-04-15T22:05:48Z,2025-04-15T22:05:48Z,NA,v3,471493,471338,15 April 2025 18:00-longwood@willmary,"Felmlee, Charlie",10032221,Right,WM_TRI,55.27972,-132.08292,15.42375,5.61773,-3.65709,-7.98949,-2.59094,10.69752,-8.60285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
12,2025-04-15,18:06:08,"Interdonato, Reed",1000121806,Right,WM_TRI,Undefined,Fastball,NA,NA,91.54678,-2.430995,-3.615317,2399.364744,223.025127,01:30:00,5.75167,2.36467,5.17459,-14.77064,20.73143,17.93595,2.22723,0.45273,80.94858,-5.296226,-0.446514,0.428843,-10.18048,11.58993,-2.04184,50,5.51458,7.455,-132.00441,-6.04525,-17.39955,36.3099,-12.36559,3293aeff-9bcc-422b-b070-88cd7221bad8,NA,NA,NA,NA,NA,1000361728,"Urbaniak, Mikey",NA,NA,NA,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,LON_LAN,1,Top,1,2,2,Sinker,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,NA,WM_TRI,LON_LAN,PlumeriPark,D1,CAA,20250415-PlumeriPark-1,d5b749f0-1a45-11f0-8bb5-db2cac7a6294,87.89335,NA,NA,10.5982,NA,NA,NA,2104751b-49b2-4e50-8510-412944ad4b7e,2025-04-15,22:06:08,2025-04-15T22:06:08Z,2025-04-15T22:06:08Z,NA,v3,471493,471338,15 April 2025 18:00-longwood@willmary,"Felmlee, Charlie",10032221,Right,WM_TRI,55.31904,-133.45948,18.15495,5.74691,-5.54971,-6.1828,-2.35456,8.15226,-8.69977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.52604,2.855927,1.848627,1.0073,-0.61923,2.03602,-0.43899,-1.07159,5.9995,-6.1169,70.83126,3.60719,-53.95008,-1.04579,75.48852,-4.09506,6.05595,12.36397,-14.66966,-6.19591,-54.26416,6.78372,High,High,High,NA,NA,High,High,High
13,2025-04-15,18:06:41,"Interdonato, Reed",1000121806,Right,WM_TRI,Undefined,Fastball,NA,NA,91.29977,-2.220913,-5.03315,2365.0199,226.771214,01:30:00,5.77777,2.33528,5.38262,-19.2882,15.46942,15.13194,2.07946,-1.13391,82.52879,-5.842078,-2.35734,0.424323,-9.07449,8.78811,-1.8948,50,5.56504,10.89597,-131.81041,-5.78561,-15.82122,30.36861,-16.85215,9b6e6f0b-1bd5-444e-b4f2-09540dd07ccb,NA,NA,NA,NA,NA,1000090433,"Webb, Myles",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,LON_LAN,1,Top,2,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,LON_LAN,PlumeriPark,D1,CAA,20250415-PlumeriPark-1,e9b193c0-1a45-11f0-8bb5-db2cac7a6294,88.82963,NA,NA,8.77098,NA,NA,NA,2104751b-49b2-4e50-8510-412944ad4b7e,2025-04-15,22:06:41,2025-04-15T22:06:41Z,2025-04-15T22:06:41Z,NA,v3,471493,471338,15 April 2025 18:00-longwood@willmary,"Felmlee, Charlie",10032221,Right,WM_TRI,55.11472,-132.9836,15.1843,5.77597,-5.13459,-8.42608,-2.32754,11.50718,-7.91061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
14,2025-04-15,18:06:59,"Interdonato, Reed",1000121806,Right,WM_TRI,Undefined,Fastball,NA,NA,90.04622,-1.789377,-2.927072,2367.385441,222.49124,01:30:00,5.83479,2.33391,5.36911,-18.3604,17.56958,14.82572,2.62426,0.82251,80.63333,-5.277483,-0.295483,0.43142,-8.36949,9.78627,-2.08193,50,5.66165,5.96223,-130.20326,-4.65939,-14.08126,32.41766,-15.70916,43336f88-5613-4b95-a210-907b13d11669,NA,NA,NA,NA,NA,1000090433,"Webb, Myles",NA,NA,NA,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,LON_LAN,1,Top,2,1,0,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,WM_TRI,LON_LAN,PlumeriPark,D1,CAA,20250415-PlumeriPark-1,f4414830-1a45-11f0-8bb5-db2cac7a6294,87.36836,NA,NA,9.41289,NA,NA,NA,2104751b-49b2-4e50-8510-412944ad4b7e,2025-04-15,22:06:59,2025-04-15T22:06:59Z,2025-04-15T22:06:59Z,NA,v3,471493,471338,15 April 2025 18:00-longwood@willmary,"Felmlee, Charlie",10032221,Right,WM_TRI,55.1265,-131.47345,16.20883,5.83215,-4.04388,-7.85458,-2.32635,6.51396,-7.04063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA
